DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/05/1994|Nelson Piquet|1|Roseli Tardelli|Boa noite! Ímola, Itália, quatro pilotos acidentam-se, duas pessoas ficam feridas e dois pilotos perdem a vida. Morre o tricampeão Ayrton Senna. O domingo mudou de cor aqui no Brasil. A Williams que o Senna pilotava bateu contra o muro na curva Tamburello a quase 300 km por hora. Ontem, o Grande Prêmio perdeu seu caráter festivo e ficou um gosto ruim de impotência diante da morte. O domingo que mudou de cor ontem, no Brasil, poderia ter mudado há sete anos, quando o também tricampeão Nelson Piquet, que está hoje no centro do Roda Viva, sofreu um acidente na mesma curva. Nelson Piquet, que nasceu no Rio de Janeiro em 1952, começou no automobilismo pelo kart, em que foi campeão pela primeira vez em 71. Considerado um excelente preparador de motores e acertador de carros, Piquet estreou na Fórmula 1 em 78. Passou 14 anos por lá, disputou 204 Grandes Prêmios. Venceu 23 vezes, conseguiu 24 pole positions, e deixou a Fórmula 1 em 92. Na Fórmula Indy, sofreu acidente nas 500 milhas de Indianápolis, em 92. Declaração de Nelson Piquet: “Não me preocupo com a morte, estou sempre perto dela e quem tem alegria de viver dá uma banana para a morte!”. Para entrevistar Nelson Piquet, convidamos os seguintes jornalistas: José Emílio Aguiar, editor assistente de esporte do jornal o Estado de S. Paulo; Mair Pena Neto, sub-editor de esportes do Jornal do Brasil; Paulo Stein, locutor da Rede Manchete; Milton Alves, repórter esportivo do jornal O Globo; Celso Miranda, comentarista esportivo da Rede Cultura; Luiz Alberto Pandini, repórter esportivo do Jornal da Tarde e da revista Greed; Marcos Zamponi, redator da revista Auto Esporte; Milton Coelho da Graça, da TV Educativa do Rio de Janeiro; e Eduardo Viotti, editor de "Veículo" da Folha de S. Paulo. [Programa ao vivo] Piquet, boa noite!
02/05/1994|Nelson Piquet|2|Nelson Piquet|Boa noite!
02/05/1994|Nelson Piquet|3|Roseli Tardelli|O Senna não conseguiu dar uma banana para a morte, por quê? Problemas no carro, problemas no próprio Senna, ou essa questão da pista que todo mundo está reclamando agora?
02/05/1994|Nelson Piquet|4|Nelson Piquet|Olha, eu acho que foi um acidente... foi um acidente fatal, foi muito parecido com o que aconteceu comigo. Eu tive um pouco mais de sorte do que ele. Acho que a grande diferença é que eu bati com a frente do carro virada para onde eu vinha e, pelo que eu vi bem do acidente dele, o que deve ter acontecido é que a roda dianteira bateu na cabeça dele - o que geralmente acontece. Isso de você bater de ângulo na parede, a primeira coisa que acontece é que a roda dianteira quebra o triângulo debaixo e ela vira apoiando pelo triângulo de cima e bate na cabeça. Depois ela decolou. E eu... não aconteceu isso porque eu bati de ré, bati, quer dizer, lateral, mas andando para trás. Então, a roda dianteira foi para frente. É uma curva que - eu nem posso falar que é uma reta, que não é reta, é uma curva. Mas é uma curva que não é reta. É uma curva... é uma reta torta, praticamente. Realmente, tiveram três acidentes nessa curva, sérios: o meu, o do Berger e o do Senna. O meu e do Berger foi já, com certeza, provado que foi um acidente mecânico, houve falha mecânica. E o do Senna eu tenho certeza também que foi uma falha mecânica. Só que existe muita polêmica, mas isso vai existir, porque ninguém vai admitir a culpa de ter quebrado alguma coisa no carro ou estourado um pneu. Isso, então, sem dúvida, tem que se chegar à conclusão de que aconteceu alguma coisa no carro. Se não for o carro, seria o Senna. Mas o Senna, [era] novo, preparo físico ótimo, nunca teve problemas de saúde. Então, acho muito difícil. E errar, ele não poderia errar ali. Não é uma questão de errar, ali acho que não teria maneira de uma pessoa errar aquela curva. Então, a única coisa que você pode pensar é... realmente foi uma falha mecânica que aconteceu.
02/05/1994|Nelson Piquet|5|Roseli Tardelli|A equipe já descartou essa possibilidade, na tarde de hoje.
02/05/1994|Nelson Piquet|6|Nelson Piquet|Eu acho que eles vão ter que descartar isso sempre, eles não podem admitir a culpa. Mas, sem dúvida, não tem outra explicação.
02/05/1994|Nelson Piquet|7|Roseli Tardelli|Não faz parte do jogo da Fórmula 1 admitir culpas, também?
02/05/1994|Nelson Piquet|8|Nelson Piquet|Não em caso de morte. [Pausa]
02/05/1994|Nelson Piquet|9|José Emílio Aguiar|Bom, uma coisa que tem-se comentado é que a hipótese mais provável do acidente teria sido a quebra da suspensão traseira. Você acha que essa é uma hipótese provável?
02/05/1994|Nelson Piquet|10|Nelson Piquet|Olha, pode ser quebra da asa dianteira - acontece a mesma coisa -, ou a quebra da suspensão traseira, os carros são muito rígidos e com aquela pressão aerodinâmica, com aquela asa que eles carregam atrás, qualquer coisa que quebra atrás o carro abaixa a traseira e a frente fica inguiável. Eu sei disso porque já aconteceu várias vezes isso comigo, mas acontece em lugares diferentes. Acontece no meio da reta - realmente uma reta em que você não precise virar - então o carro arreia a traseira e você perde o controle do carro. Quando você diminui a velocidade, você consegue dirigir o carro até o box, porque você perde a pressão aerodinâmica e perde essa insegurança do carro, as rodas encostam no chão e você consegue guiar. Mas em alta velocidade e naquele momento - se aconteceu, naquele momento, ali, como aconteceu com o Berger [Gerhard Berger, austríaco, um dos maiores nomes da Fórmula 1, apesar de nunca ter sido campeão mundial, disputou 210 GP´s em 14 temporadas, de 1984 a 1997, quando se afastou do esporte; no Grande Prêmio de San Marino, em 2004, Berger pilotou uma Lotus em homenagem aos dez anos do falecimento de Senna e do também austríaco Roland Ratzenberger, falecido um dia anterior da morte de Senna, nos treinos], que quebrou a asa dianteira também - você vai em frente, sem nenhuma dúvida. Então, eu acho que quebrou a suspensão traseira, eu acho, não há dúvida que... Inclusive, você olhando pela filmagem do carro do Schumacher [Michael Schumacher, alemão, campeão mundial por sete vezes - nos anos de 1994 e 1995, pela Benetton, e de 2000 a 2004, pela Ferrari - tendo sido o maior campeão de todos os tempos; retirou-se do esporte no final da temporada de 2006], você vê que o carro vira um pouco para a direita e depois vai em frente. É uma coisa que é muito difícil de você provar isso, porque depois que o carro se destrói tanto, o carro machuca tanto - e arrancou duas rodas -; então, fica muito difícil de você provar uma coisa assim. Mas, no bom senso...
02/05/1994|Nelson Piquet|11|José Emílio Aguiar|Mas pela câmera do Schumacher - a câmera de dentro do carro do Schumacher - não dá para ver que tem uma queda, assim, para um dos lados. Então, por exemplo, se a suspensão quebra para o lado direito, normalmente o carro cai assim, para a direita, ou para o lado em que a suspensão quebra. Não teriam ficado marcas de pneu no chão, também? No caso de um... [Piquet interrompe, tornando o comentário incompreensível]
02/05/1994|Nelson Piquet|12|Nelson Piquet|Não, não. Primeiro, o carro naquela velocidade anda praticamente a 90 metros por segundo, anda muito rápido. Segundo, você vê, pouco antes do carro virar, faísca que sai do chão. Mas isso é uma coisa normal, porque, no início da corrida, o carro está com os tanques mais cheios, o pneu está com uma calibragem um pouco mais baixa, então sempre toca muito no chão. Mas você vê que, depois que ele toca, imediatamente ele vira para a direita. E outra coisa, você está muito longe, a câmera não foca muito bem. E os carros andam, praticamente, no chão. Praticamente no chão, na reta. A partir de 200 e tantos quilômetros por hora, que é uma velocidade superior a qualquer curva, o carro anda praticamente no chão, com uma diferença muito pouca. Então, ele vai variar, se a suspensão quebrar, talvez um centímetro e meio a mais [indica com o polegar e o indicador a distância que o carro ficaria do solo]. E um centímetro e meio, naquela distância, você não vê.
02/05/1994|Nelson Piquet|13|[...]|Você descarta totalmente a possibilidade de falha humana?
02/05/1994|Nelson Piquet|14|Nelson Piquet|Olha, só se você... só se você puder, vamos dizer, [dizer] que o Senna teve uma parada cardíaca ou alguma coisa assim. Se ele, tipo... são, em sã saúde, ele com uma saúde boa e se não aconteceu nada com a saúde dele, é impossível. Ali é impossível um erro humano.
02/05/1994|Nelson Piquet|15|Milton Coelho da Graça|A RAI [emissora italiana], como de costume, faz uma péssima transmissão e nem sequer colocou a câmera numa boa posição na Tamburello, apesar de ser uma curva de triste história. Mas há uma testemunha importante que, talvez melhor do que a câmera que estava no carro do Schumacher, que é o próprio Schumacher.
02/05/1994|Nelson Piquet|16|Nelson Piquet|É verdade.
