DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
27/03/1989|Olívio Dutra|1|[programa ao vivo]|programa ao vivo]
27/03/1989|Olívio Dutra|2|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva. Este programa é transmitido ao vivo pela rádio cultura AM e pelas TVs Educativas do Piauí, Ceará, Bahia, Porto Alegre, Espírito Santo e TV Cultura de Curitiba. É ainda retransmitido pelas TVs Educativas do Mato Grosso do Sul e Minas Gerais. O convidado do Roda Viva desta noite é o prefeito de Porto Alegre, Olívio Dutra, do Partido dos Trabalhadores. Para entrevistar Olívio Dutra esta noite nós convidamos os seguintes jornalistas: Carlos Brickmann, editor-chefe do jornal Folha da Tarde; Moura Reis, repórter de política do jornal O Estado de S. Paulo; Ricardo Noblat, colunista do Jornal do Brasil em Brasília; Elmar Bones da Costa, diretor da Gazeta Mercantil em Porto Alegre; Eliane Cantanhêde, repórter da sucursal do jornal O Estado de S. Paulo em Brasília; Tão Gomes Pinto, editor da revista Istoé Senhor; Kleber de Almeida, editor do Caderno de Sábado do Jornal da Tarde; Emanuel Nery, repórter do jornal Folha de S. Paulo. Para registrar os melhores momentos do Roda Viva, também está conosco o cartunista Paulo Caruso. O bancário Olívio Dutra tem 47 anos; ele nasceu em São Luiz Gonzaga, no Rio Grande do Sul; foi presidente do Sindicato dos Bancários de Porto Alegre. Preso em 1979 durante uma greve, teve o seu mandato cassado pelo Ministério do Trabalho. É um dos fundadores do PT; foi eleito deputado federal em 1986; em dezembro de 1987 foi eleito presidente nacional do Partido dos Trabalhadores; no ano passado, foi eleito prefeito de Porto Alegre. Na gestão de Olívio Dutra, em Porto Alegre, houve inclusive alguns incidentes polêmicos, como em janeiro, em que o secretário dos Transportes, Antonio [...], colocou o departamento jurídico da prefeitura à disposição de um usuário que apedrejou um ônibus, reclamando contra os maus serviços prestados à população. Ele brigou com a CUT [Central Única dos Trabalhadores], por ter dado um aumento de tarifa aos transportes urbanos; interveio em seis empresas de transporte em Porto Alegre, que queriam paralisar os seus serviços; e apoiou a greve geral brasileira no último mês. Eu começaria, Olívio, perguntando a você a respeito dessa diferença de ponto de vista, ou seja, você decretou intervenção em seis empresas de transporte em Porto Alegre que ameaçavam paralisar seus serviços pedindo tarifas maiores, e ao mesmo tempo apoiou a paralisação dos trabalhadores de transportes urbanos de Porto Alegre, em favor de aumento de salário.
27/03/1989|Olívio Dutra|3|Olívio Dutra|A intervenção do governo da Frente Popular em Porto Alegre, no sistema de transporte coletivo, se deu porque os permissionários desse serviço, 14 empresas, desafiaram o governo da Frente Popular [...] com uma greve patronal a partir do dia 16 de fevereiro, se nós não reajustássemos a tarifa segundo o que eles queriam. E em janeiro queriam 22 centavos de cruzados novos; em 16 de fevereiro queriam 19 centavos de cruzados novos. E por uma decisão unilateral desses empresários, eles decidiram ir à greve patronal, ao local que, no dia 16, nós preventivamente interviemos em três empresas no dia 14. São três empresas localizadas, geograficamente, uma no norte, outra na zona sul e outra no sudeste da cidade, e são as três maiores empresas que, junto com a Carris, a empresa municipal de transporte coletivo, implicaria que a administração popular tivesse controle de 53% dos serviços. E isso garantiu que, mesmo que os empresários praticassem o locaute, a maioria da população tivesse ainda a prestação de serviços.
27/03/1989|Olívio Dutra|4|Jorge Escosteguy|O senhor não acha que a prefeitura, como ocorreu em São Paulo e Porto Alegre, liberando do ponto os funcionários do transporte público municipal e apoiando a greve, não estaria também de certa forma promovendo um locaute?
27/03/1989|Olívio Dutra|5|Olívio Dutra|A prefeitura de Porto Alegre não liberou do ponto os funcionários públicos municipais e nem os trabalhadores das empresas de transporte coletivo sob intervenção nos dias 14 e 15, dias da greve geral, coordenada e articulada pelo movimento sindical, pela CUT e pela CGT [Comando Geral dos Trabalhadores]. Nós simplesmente garantimos que o direito de greve pudesse ser exercido, saísse do discurso e da palavra escrita e fosse para a prática. O que a prefeitura municipal garantiu foi isso, e a questão do abono dos dias parados nós só viemos a negociar e discutir com os trabalhadores municipais depois da realização da greve.
27/03/1989|Olívio Dutra|6|Jorge Escosteguy|Qual foi a posição adotada pela prefeitura no caso das faltas?
27/03/1989|Olívio Dutra|7|Olívio Dutra|Nós ainda estamos discutindo, mas a posição adotada até agora como indicativa é que nós abonaremos o ponto dos trabalhadores que efetivamente fizeram a greve no dia 14 e 15, mas quem não estava no trabalho no dia 13 e depois não voltou ao trabalho no dia 16 não vai ter abono de ponto, não.
27/03/1989|Olívio Dutra|8|Ricardo Noblat|Prefeito, até que ponto essa intervenção em algumas companhias de ônibus de Porto Alegre melhorou ou não o serviço oferecido ao usuário? Porque até um certo ponto, pelo que eu sei, a população ainda se queixa muito de que não houve uma grande melhoria, ou que pelo menos não deu até agora para perceber uma grande melhoria. Quer dizer, a prefeitura tem condições, a partir da intervenção, de fazer com que esse serviço funcione melhor ou menos ruim do que funcionava?
27/03/1989|Olívio Dutra|9|Olívio Dutra|Veja, Ricardo, que nós estamos com uma intervenção não faz ainda sessenta dias nas empresas. As primeiras três intervenções se deram no dia 14 de fevereiro, não é? As outras três intervenções se deram no dia 16. Portanto, nós não estamos ainda com dois meses completos de intervenção. Por certo, nós estamos por dentro trabalhando para que o poder público, que é o último responsável pela prestação de serviços, possa efetivamente ter um controle sobre esse serviço. E isso não é fácil, porque há décadas de relação viciada entre as empresas permissionárias desse serviço e a administração pública. E isso não se resolve em três...
27/03/1989|Olívio Dutra|10|Ricardo Noblat|Mas a tendência é prorrogar essa intervenção?
