DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
10/12/1999|Orlando Villas Bôas|1|Paulo Markun|Orlando e os irmãos, Cláudio e Leonardo, marcaram a história da colonização do Brasil central, mostrando que era possível desbravar o país e, ao mesmo tempo, estabelecer uma política com a população indígena de convivência humanista, de paz e de respeito. 
10/12/1999|Orlando Villas Bôas|2|[Comentarista]|Três irmãos, Leonardo, Cláudio e Orlando: os irmãos Villas Bôas. Juntos, iniciaram uma aventura em 1943, só comparável à do Marechal Rondon no início do século. Comandaram a expedição Roncador-Xingu, criada pelo presidente Getúlio Vargas para desbravar o Brasil central. A marcha para o oeste correu o eixo do rio das Mortes, no Mato Grosso, em direção a Manaus, passando pelo Xingu. Sob o comando dos Villas Bôas, uma turma de aventureiros, garimpeiros e militares se embrenhou pela selva durante oito anos. A expedição terminou em 1951, depois de abrir 1500 quilômetros de picadas na mata virgem, construir 36 campos de pouso e mapear a região. No rastro da aventura, surgiram mais de 50 novos povoados que se transformaram em cidades. Mas o principal legado da expedição foi o estabelecimento de contatos com os desconhecidos índios do centro-oeste. E, mais que isso: um novo tipo de contato. A expedição Roncador-Xingu rompeu a tradição histórica de relações desastradas entre brancos e índios. Desde a descoberta do Brasil, a aproximação com indígenas era feita geralmente por aventureiros predadores. O índio era visto como selvagem, um inimigo que precisava se render à cultura branca. Os Villas Bôas, orientados pelo Marechal Rondon, começaram a mudar essa relação, dando início a um trabalho de resgate cultural com populações indígenas no país. Depois do final da expedição, os irmãos Villas Bôas continuaram vivendo e trabalhando na região, onde criaram o Parque Nacional do Xingu, em 1961, ano em que morreu o irmão mais novo, Leonardo. Cláudio faleceu no ano passado, depois de escrever com o irmão Orlando o livro que relata essa aventura de mais de 40 anos pelo sertão do Brasil central. Uma aventura onde Orlando diz que entraram moços e dela saíram velhos.
10/12/1999|Orlando Villas Bôas|3|Paulo Markun|Para entrevistar Orlando Villas Bôas, nós convidamos a jornalista Norma Couri; Reinaldo Azevedo, editor-chefe das revistas Bravo e República; Ulisses Capozolli, jornalista científico; Washington Novaes, consultor da TV Cultura de São Paulo; Roberto Baruzzi, professor titular de medicina preventiva da Escola Paulista de Medicina e coordenador do programa de saúde do Parque do Xingu; Betty Mindlin, antropóloga e escritora, que acaba de lançar o livro Terra grávida, sobre mitologia indígena, e Lux Vidal, antropóloga e presidente da Comissão dos Estudos Indígenas da Comissão Pró-Índio de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Hoje, infelizmente, você não poderá participar do programa, fazendo perguntas, porque ele foi gravado antecipadamente. Boa noite, Orlando. 
10/12/1999|Orlando Villas Bôas|4|Orlando Villas Bôas|Boa noite. 
10/12/1999|Orlando Villas Bôas|5|Paulo Markun|Nós estamos chegando aí, na beirada do ano 2000. A nossa civilização gosta muito desses números redondos, não sei se os índios têm lá alguma noção do que significa isso, se é que significa alguma coisa. Qual a expectativa que o senhor tem para a durabilidade do índio e da cultura do índio, no próximo século? 
10/12/1999|Orlando Villas Bôas|6|Orlando Villas Bôas|Eu duvido muito que os índios avancem muito neste século. A preocupação da sociedade brasileira hoje, com relação ao índio... o índio está começando a ser bem recebido. Mas, na realidade, aquilo que constitui a coisa mais importante, que seria a assistência ao índio do mundo oficial, está declinando cada vez mais. 
10/12/1999|Orlando Villas Bôas|7|Paulo Markun|Isso tem a ver também com a pressão que a própria civilização faz em torno das áreas onde eles vivem? 
10/12/1999|Orlando Villas Bôas|8|Orlando Villas Bôas|Eu acho que mais do que isso é o descaso que o índio está tendo por parte do alvo, o tutor. Hoje, por exemplo, uma coisa que nos amedronta são fazendeiros que estão conquistando a terra das áreas limítrofes, por exemplo, a do Parque [do Xingu]. Eu hoje mesmo recebi um telefonema de um cidadão, de um americano, que disse: "Já estou comprando uma terra perto da aldeia dos índios! Vou fazer um hotel, vai ser uma beleza! Vamos levar o turismo para aquela área!" E eu não vejo nenhum protesto, nenhuma medida por parte não só da legislação nossa... do governo e da própria Funai, impedindo uma coisa dessas. Turismo seria levar ao fim a cultura do índio. 
10/12/1999|Orlando Villas Bôas|9|Reinaldo Azevedo|A proteção ao índio, a proteção oficial no regime democrático piorou em relação à ditadura militar? 
10/12/1999|Orlando Villas Bôas|10|Orlando Villas Bôas|Olha, no regime militar, nós tínhamos uma impressão que o índio era mais bem mais assistido. Não por causa da coisa... Porque o Rondon ainda era vivo. Os índios no Brasil começaram a morrer com Rondon. 
