DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/07/2001,Patrícia Verdugo,1,[...],"[Programa gravado, portanto não permitiu a participação dos telespectadores]"
30/07/2001,Patrícia Verdugo,2,Paulo Markun,"Boa noite. O Roda Viva de hoje fala de um livro e de uma escritora que ajudaram a revelar ao mundo detalhes de um dos mais violentos episódios da ditadura na América Latina, a investigação jornalística que deu origem ao processo contra o ditador chileno Augusto Pinochet {Pinochet: Augusto Pinochet (1915-2006) sobe ao poder no Chile através de um golpe militar, em 11 de setembro de 1973, que derruba Salvador Allende, o primeiro presidente socialista eleito democraticamente. O Chile torna-se, então, palco de uma repressão criminosa, torturas e assassinatos. Cerca de trinta mil chilenos são mortos e mais de cem mil são presos sem julgamento. Quem se opõe à junta de Pinochet é perseguido e eliminado. Mais de vinte e dois mil estudantes são expulsos das universidades. Mais de cento e cinqüenta mil chilenos vão para o exílio. A meta de Pinochet é juntar uma economia de livre iniciativa com um Estado autoritário. Os chilenos perdem os direitos como: liberdade política; liberdade de expressão; liberdade de imprensa; programas sociais para a infância; direito à educação universitária; reforma agrária; sindicatos; organizações de serviço social; e fábricas e minas, que são devolvidas aos monopólios chilenos e estrangeiros.}. Este programa foi gravado antes da recente decisão da Justiça chilena de suspender o processo que acusava Pinochet de seqüestros e assassinatos sob a alegação de que o ex-ditador sofre de problemas mentais. A acusação está recorrendo da decisão. Mas você vai ver na entrevista de hoje as revelações sobre como o grupo de Pinochet usou a brutalidade e o terrorismo militar para impor os seus poderes ao Chile nos anos 60. A autora dessa obra que tem o título de A caravana da morte, no Brasil, é a chilena Patrícia Verdugo, que o Roda Viva entrevista esta noite."
30/07/2001,Patrícia Verdugo,3,[Comentarista Valéria Grillo],"A jornalista e escritora Patrícia Verdugo já escreveu uma dezena de livros. O primeiro a ser traduzido para o português tem o título de A caravana da morte, e data de fins dos anos 80. A obra conta como Pinochet ordenou ao general Sergio Arellano Stark, que formasse um comando de elite a fim de eliminar presos políticos e inimigos do regime, logo depois do golpe de 11 de setembro de 1973, que derrubou o presidente Salvador Allende {Salvador Allende: (1908-1973). Eleito presidente do Chile em 1970 pela Unidade Popular, uma coligação de esquerda, foi deposto por um golpe de Estado orquestrado pelo general Augusto Pinochet, em 1973, que instaurou a ditadura no país. Allende, durante seu governo, estatizou as minas de cobre, a principal riqueza do país, e passou para o controle do Estado as minas de carvão e os serviços de telefonia. Aumentou a intervenção nos bancos e desapropriou terras improdutivas, entregando-as aos camponeses. Allende pretendia construir a “via chilena para o socialismo”, e isso provocou forte reação da direita e do governo dos Estados Unidos, que uniram suas forças para prejudicar sua política e desestabilizar o Chile. No dia 11 de setembro de 1973, dia do golpe, ele teria se suicidado na sala da Presidência, antes de ser preso pelos militares que tomavam o poder.}. Apesar de seu conteúdo explosivo para a ditadura, A caravana da morte circulou livremente no Chile porque Pinochet e seu círculo de poder acreditavam que livros não conseguiriam abalar a sólida estrutura autoritária implantada no país. A conclusão de que eles estavam enganados veio uma década depois. A obra de Patrícia Verdugo, baseada em uma investigação de mais de dois anos, ofereceu provas suficientes para que dois juízes, o espanhol Baltasar Garzón, e o chileno Juan Guzmán Tapia, abrissem processos contra o ex-ditador chileno. Um dos grandes trunfos de Patrícia Verdugo, ao escrever o livro, foi a entrevista que conseguiu com o general Joaquim Lagos. Ele foi o único militar chileno a contestar, cara a cara, as afirmações de Pinochet de que o ditador não tinha nada a ver com as execuções sumárias de presos políticos. Com o testemunho de Lagos contra o tirano e investigações sobre declarações de aliados do próprio Pinochet, Patrícia Verdugo expôs, em toda a crueza, o que significou para a história do Chile e da América Latina o sinistro episódio em A caravana da morte."
30/07/2001,Patrícia Verdugo,4,Paulo Markun,"Para entrevistar Patrícia Verdugo, nós convidamos: Vicente Adorno, editor de Internacional do Jornal da Cultura; o cientista político Jorge Zaverucha, doutor pela Universidade de Chicago, pós-doutor em ciência política pela Universidade do Texas, em Austin, e professor da Universidade Federal de Pernambuco; o engenheiro Rafael de Falco Netto, superintendente da revista Imprensa; a escritora e ex-repórter da BBC de Londres, Jan Rocha, que participou do Grupo Clamor, ligado à Cúria de São Paulo, um grupo que denunciava as violações dos direitos humanos nos países do cone-sul; convidamos ainda o jornalista Otávio Dias, da editoria internacional do jornal Folha de S.Paulo; e a procuradora do estado de São Paulo, Flávia Piovesan, professora, doutora em direitos humanos e direito constitucional pela PUC de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Hoje não será possível a participação dos telespectadores porque o programa está sendo gravado. Boa noite, Patrícia."
30/07/2001,Patrícia Verdugo,5,Patrícia Verdugo,Boa noite.
30/07/2001,Patrícia Verdugo,6,Paulo Markun,"Eu queria começar a história pelo final. O livro A caravana da morte conta o que fizeram alguns militares chilenos, relaciona os nomes desses militares, como o general Sergio Aureliano Stark, o coronel Marcelo Morén Brito, o major Armando Fernández Larios, coronel Sergio Arredondo González, tenente Juan Chimineli, o major Carlos López Tapias e o subtenente Hugo Julio. Tem outros nomes ainda? São de 12 a 14 nomes, segundo o seu livro?"
30/07/2001,Patrícia Verdugo,7,Patrícia Verdugo,Estão procurando. Continuam a pesquisa para completar a lista da tripulação.
30/07/2001,Patrícia Verdugo,8,Paulo Markun,"A lista dos tripulantes dessa caravana. Mas eu queria que você nos dissesse onde estão essas pessoas hoje, qual é a situação delas, o que aconteceu com essas pessoas?"
30/07/2001,Patrícia Verdugo,9,Patrícia Verdugo,"O general Sergio Arellano Stark está há dois anos e meio em prisão domiciliar. Foi condenado, e o juiz decidiu prendê-lo em seu domicílio. [Em outubro de 2008, a Corte Suprema do Chile condenou o general pelo assassinato de quatro opositores à ditadura de Augusto Pinochet: Teófilo Arce, José Sepúlveda, Segundo Sandoval e Leopoldo González, mortos num quartel militar da cidade de Linares, em outubro de 1973] Todos os outros estão presos em recintos militares. Já estão todos presos. O único que está livre é o major Armando Fernández Larios. Porque Armando Fernández Larios fugiu do Chile com o FBI e foi para os EUA para testemunhar no caso Letelier [atentado ocorrido em 21 de setembro de 1976 em que um carro-bomba matou Orlando Letelier, embaixador chileno nos EUA e adversário do regime de Pinochet, quando ele caminhava em uma rua de Washington]. E, nos EUA, foi condenado a uma pena menor por ter colaborado com a investigação. Hoje em dia está nos EUA, vive na Flórida, sob o regime de proteção de testemunhas. Mas há uma petição de extradição na Argentina para Armando Fernández Larios pelo assassinato do general Carlos Prats e sua esposa. Agora estão preparando uma petição de extradição no Chile pela Caravana da morte."
30/07/2001,Patrícia Verdugo,10,Paulo Markun,Ficou faltando um da Caravana da Morte que é o general Augusto Pinochet.
