DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
14/05/1990|Paulo Autran e Tônia Carrero|1|Paulo Markun [2005]| Boa Noite! O Roda Viva, em sua programação especial de final de ano, reapresenta hoje uma outra edição histórica, destaque do nosso acervo, também pelo fato de ter sido um programa diferente, feito com dois entrevistados. Uma dupla que construiu parte importante da história do nosso teatro moderno. Tônia Carrero [Maria Antonieta Portocarrero Thedim, nascida em 1922, na cidade do Rio de Janeiro] e Paulo Autran [Paulo Paquet Autran, nascido no Rio de Janeiro em 1922 e falecido em São Paulo, aos 85 anos, em 2007]. Os dois atores, que hoje contam com 55 anos de profissão, continuam na ativa e seguem na construção dessa história. Falar da história de um, praticamente obriga a falar da história do outro. Tônia Carrero e Paulo Autran estrearam juntos no teatro, em 1949, com a peça Um deus dormiu lá em casa [de Guilherme Figueiredo, Rio de janeiro]. Tônia começou no cinema em 1947, no filme Querida Suzana [do italiano Pier Alberto Pieralisi]. Ela tinha voltado de Paris, onde foi estudar teatro para impulsionar a sua carreira de atriz. Mesmo depois de ter estreado no teatro com Paulo Autran, ela continuou atuando em filmes. Seu primeiro grande sucesso foi Tico-tico no fubá [drama musical dirigido por Adolfo Celi e indicado ao Grande Prêmio do Festival de Cannes], em 1952, que lhe deu projeção nacional. Mas, aos poucos, a fama foi se transferindo para o teatro, onde ela consolidou carreira com inúmeros espetáculos. Entre eles, Casa de bonecas [de Henrik Ibsen, 1971, Rio de Janeiro, dirigido pelo filho de Tônia Carrero, Cecil Thiré, trabalho que lhe conferiu o Prêmio Estadual de Teatro de melhor atriz], Lady Macbeth [de William Shakespeare, 1970, Rio de Janeiro, atuando com Paulo Autran sob direção de Fauzi Arap], Navalha na carne [1968, Rio de Janeiro, texto de Plínio Marcos, direção de Fauzi Arap e produzido pela Companhia Tônia Carrero; a atriz foi vencedora do Prêmio Molière], Entre quatro paredes [de Jean-Paul Sartre, 1956, Rio de Janeiro, com Paulo Autran, dirigido pelo então marido de Tônia Carrero, Adolfo Celi, e produzido pela Companhia Tônia-Celi-Autran] e Jardim das cerejeiras [2000, São Paulo, de Anton Tchekhov]. Também fez novelas na televisão, onde tornou-se ainda mais conhecida do público. Paulo Autran, nos finais dos anos 40, já tinha superado a dúvida entre ser advogado ou ator, levado pela amiga Tônia, deslanchou uma carreira quase que exclusivamente dedicada ao teatro, com algumas aparições dos cinemas e poucas na televisão. Levou tudo ou quase tudo ao palco, de Shakespeare [William Shakespeare (1564-1616), pensador e escritor inglês, tido como o maior dramaturgo de todos os tempos] a Molière [Jean Baptiste Poquelin (1622-1673) adotou o pseudônimo Molière; autor, ator, diretor, produzia suas peças, administrava teatros e uma companhia de atores] de Arthur Miller [1915-2005, socialista perseguido na época de caça aos comunistas e durante o período da Guerra Fria, dramaturgo e roteirista norte-americano, considerado como o maior dramaturgo americano do século XX; ganhador do título Mestre Absoluto da Dramaturgia Moderna, em 2002, juntamente com Tennessee Williams] a Oduvaldo Viana [Oduvaldo Viana Filho (1936-1974), um dos maiores nomes da história da dramaturgia brasileira, reconhecido como agitador cultural por ter criado um teatro que refletia e estimulava a crítica aos problemas das classes populares brasileiras]. Fez Antígone [1952, São Paulo, de Jean Anouilh e do dramaturgo grego Sófocles, direção de Adolfo Celi; o trabalho conferiu a Autran o Prêmio Saci]; Édipo Rei, [de Sófocles, 1967, São Paulo, produzida pela Companhia Paulo Autran]; Depois da queda [de Arthur Miller, 1964, São Paulo, trabalho em que Autran levou o Prêmio da Associação Paulista dos Críticos Teatrais, APCT]; Liberdade! Liberdade! [de Flávio Rangel e Millôr Fernandes, 1965, Rio de Janeiro]. Foi da tragédia grega ao drama, da comédia ao musical. Teatro para divertir, emocionar, mas também para fazer pensar. A entrevista de Tônia Carrero e Paulo Autran é um encontro divertido, cheio de histórias e reflexões em torno do teatro. A gravação é de maio de 1990, quando os dois comemoravam juntos 40 anos de teatro. O programa teve apresentação do jornalista Jorge Escosteguy.
14/05/1990|Paulo Autran e Tônia Carrero|2|Jorge Escosteguy [1990]| Para entrevistar Paulo Autran e Tônia Carrero, esta noite, nós convidamos as seguintes pessoas: Caio Fernando Abreu, escritor; Edmar Pereira, jornalista do Jornal da Tarde; Aymar Labaki, crítico de teatro; Maurício Kubrusly, jornalista da TV Globo; Edianez Parente, editora de Variedades da Folha de S. Paulo; Sérgio Mamberti, ator; Alberto Guzik, crítico de teatro; Cristina Mutarelli, atriz. Para registrar os melhores momentos deste programa, também está conosco o cartunista Paulo Caruso. Na platéia assistem ao programa convidados da produção.
14/05/1990|Paulo Autran e Tônia Carrero|3|Jorge Escosteguy| Boa noite, Paulo! Boa noite, Tônia!
14/05/1990|Paulo Autran e Tônia Carrero|4|Tônia Carrero e Paulo Autran| Boa noite!
14/05/1990|Paulo Autran e Tônia Carrero|5|Jorge Escosteguy| Recentemente, o que mais tem se discutido na cultura brasileira, em geral, foram os chamados resultados do Plano Collor, aquele plano econômico que acabou com uma série de coisas, inclusive com o dinheiro de muita gente na poupança. A classe artística reclamou muito dos cortes que esse plano representou na ajuda oficial - vamos dizer assim - a várias iniciativas na área cultural. Vocês acham que esse corte foi uma coisa grave para a cultura brasileira, ou a cultura brasileira deve não depender o máximo possível de uma ajuda oficial?
14/05/1990|Paulo Autran e Tônia Carrero|6|Tônia Carrero| Como que se deve responder? Somos dois. Dois pensamentos, duas cabeças.
14/05/1990|Paulo Autran e Tônia Carrero|7|Jorge Escosteguy| Então, primeiro você, depois o Paulo.
14/05/1990|Paulo Autran e Tônia Carrero|8|Tônia Carrero| Muitas vezes em acordo, eu acredito. Porque eu acho que, nesse ponto de vista, o Paulo pode acrescentar alguma coisa ao que eu disser ou vice-versa, não é? Realmente, por enquanto, está lamentável, não temos ajuda nenhuma. Mas temos esperanças imensas de que a coisa venha... Tem que ser resolvida. O problema cultural tem que ser resolvido, porque a cultura é uma das coisas mais importantes num país, porque define um país. E se temos um presidente, tão interessado em trazer o país até para o Primeiro Mundo, segundo o que ele falou, ele não pode esquecer a cultura. São planos a fazer. Eu acredito que, de imediato, ele teve outras coisas primordiais.
14/05/1990|Paulo Autran e Tônia Carrero|9|Jorge Escosteguy| Paulo, por favor.
14/05/1990|Paulo Autran e Tônia Carrero|10|Paulo Autran| Eu sou do tempo em que, para fazer teatro, a gente tinha que ir a um banco, pedir um empréstimo e esse empréstimo era pago com a bilheteria. Então, a gente não dependia, existia o Serviço Nacional de Teatro [criado em 1948, no governo do presidente Getúlio Vargas, e que foi transformado no Instituto Nacional de Artes Cênicas – Inacen, em 1981], que sempre foi um cabide de empregos e que tinha gente ótima trabalhando no SNT [Serviço Nacional de Teatro], mas jamais eles tinham dinheiro para fazer nada. O dinheiro dava apenas para pagar os ordenados dos funcionários. E assim foi pelo resto da vida em relação ao teatro. Sempre houve órgãos oficiais, que nunca tinham verba para auxiliar o teatro. Mesmo assim, fizeram alguma coisa, compraram refletores para alguns teatros, ajudaram a construção de alguns teatros. Isso era bom. Agora, é claro que uma Lei Sarney, ou equivalente a uma Lei Sarney, ou uma coisa que seja melhor do que a Lei Sarney, é indispensável. Não para o teatro, não para quem faz teatro, mas para o público em geral, para o povo brasileiro. O povo brasileiro tem que ter acesso à cultura. Então, o Estado tem que ter meios e organismos que facilitem a ida, o contato do grande público brasileiro com a cultura, com a obra de cultura com teatro, com a música, com dança, seja com o que for, com a literatura, com artes plásticas. Então o governo, efetivamente, tem que encontrar um meio que facilite e que possibilite, o acesso à cultura à enorme camada de público, de povo brasileiro, que não tem dinheiro para comprar entrada de teatro, para ir... que tem medo de entrar em uma galeria de arte e assim por diante.
