DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/09/2006|Paulo Brossard|1|[Programa ao vivo, permitindo a participação dos telespectadores]|Programa ao vivo, permitindo a participação dos telespectadores]
25/09/2006|Paulo Brossard|2|Paulo Markun|Boa noite. “Democracia neste país é relativa, mas corrupção é absoluta”. A frase é de um jurista que tem sessenta anos de vida política. Figura marcante da Nova República, participou do primeiro governo civil pós-regime militar, quando começou a redemocratização do Brasil. E agora, a uma semana das eleições, num clima eleitoral marcado pelas denúncias de corrupção, o Roda Viva entrevista um personagem da nossa história política e ética, e que também está ligado à história do Roda Viva que esta semana completa vinte anos. Nosso convidado é o jurista e ex-ministro da Justiça, Paulo Brossard, que retorna ao programa exatos vinte anos depois de ser entrevistado aqui, na edição número 1 do Roda Viva, em 29 de setembro de 1986. Ao longo da carreira, o jurista e político Paulo Brossard passou por duas ditaduras, a de Getulio Vargas e a do governo militar. Polêmico, na maior parte das vezes, atuou na oposição a governos, comandou o Ministério da Justiça num momento marcante da nossa história recente, foi quando esteve aqui no Roda Viva.
25/09/2006|Paulo Brossard|3|[Vídeo do Roda Viva de 29/09/1986, narrado por Paulo Markun]|Em 29 de setembro de 1986, o Roda Viva entrava no ar com a apresentação do jornalista Rodolfo Gamberini, marcando o início do processo de redemocratização do Brasil. Era o primeiro governo civil depois de mais de vinte anos de regime militar. E a TV Cultura abriu espaço para o debate das idéias que a Nova República [período iniciado com o fim da ditadura militar, em 1985, quando o Brasil voltou a escolher diretamente seus governantes] trazia. Gaúcho de Bajé, pala dobrado sobre o ombro, Paulo Brossard de Souza Pinto, ministro da Justiça, encarregado da ordem pública, política e social do governo Sarney, enfrentou, naquele primeiro Roda Viva, uma bancada de jornalistas ávidos por um trabalho naqueles novos tempos democráticos. Alguns deles também estão hoje aqui presentes: Augusto Nunes, atualmente do Jornal do Brasil e Gazeta Mercantil e que em 1986 também veio ao Roda Viva pelo Jornal do Brasil; Getúlio Bitencourt, hoje no Diário do Comércio e Indústria, e que participou da primeira entrevista pela Gazeta Mercantil; e Paulo Moreira Leite, atualmente no Estado de S. Paulo, e que na época estava na revista Veja, onde também foi redator-chefe. Agora na condição de entrevistador, o primeiro âncora do programa, Rodolfo Gamberini, hoje na TV Record, participa do Roda Viva novamente. Naquele momento, Paulo Brossard já acumulava 41 anos de vida pública, iniciada nos tempos em que estudava direito em Porto Alegre. Advogado, professor de direito e pecuarista, teve três mandatos de deputado estadual e um de federal. Também foi senador pelo MDB gaúcho, quando também participou em 1978 da Frente Nacional de Redemocratização. Chegou a ser candidato a vice-presidente da República na chapa do general Euler Bentes, que perdeu a eleição no colégio eleitoral para o general [João Batista] Figueiredo [último presidente da ditadura militar, governou o Brasil de 1979 a 1985. Uma de suas principais medidas foi abolir o sistema bipartidário – que permitia a existência de apenas dois partidos políticos]. Nos anos seguintes, veio a anistia, depois a campanha das Diretas [movimento civil de reivindicação por eleições presidenciais diretas no Brasil, desencadeado em 1983, quando o país vivia um processo de abertura política, organizado, principalmente, pelos partidos de oposição ao regime ditatorial], a frustração de mais uma eleição pelo colégio eleitoral, a agonia de Tancredo Neves [foi o primeiro presidente civil do Brasil depois de mais de vinte anos de ditadura militar. Foi eleito em 1985 pelo Colégio Eleitoral, mas não chegou a assumir a presidência. Na véspera da posse foi internado no Hospital de Base, em Brasília, com fortes dores abdominais, onde morre vítima de infecção generalizada] e o inesperado governo [José] Sarney [em decorrência da internação de Tancredo, Sarney o substituiu interinamente em 15 de março de 1985. Com o falecimento do presidente eleito, em 21 de abril, no dia seguinte Sarney foi empossado oficialmente no cargo, governando até 1990]. Dali em diante, Paulo Brossard acompanhou de perto os novos caminhos políticos do Brasil. Em 1988, quando ainda estava no Ministério da Justiça, a nova Constituição reestabeleceu o voto direto que ano seguinte elegeu primeiro ppresidente depois de quase 30 anos sem eleições livres. Em 1992 Brossard já era ministro do Supremo Tribunal Federal quando Fernando Collor renunciou para escapar do impeachment [definição de impeachment], depois de ser denunciado por corrupção. Em 1993 Paulo Brossard assumiu a presidência do Tribunal Superior Eleitoral, voltando depois ao Supremo onde se aposentou em 1994. Era o ano do Plano Real que derrubou a inflação e abriu caminho para que o então ministro da Fazenda, Fernando Henrique Cardoso, fosse eleito presidente da República em 1994 e reeleito em 1998. Luiz Inácio Lula da Silva que disputava o cargo desde 1989, quando perdeu para Collor, também foi derrotado em 1994 e 1998 por Fernando Henrique. Finalmente eleito em 2002, tenta agora o segundo mandato.
25/09/2006|Paulo Brossard|4|Paulo Markun|Bom, depois dessa rápida viagem na história, informo que para entrevistar o ministro da Justiça, Paulo Brossard, nós convidamos: Augusto Nunes, diretor de jornalismo do Jornal do Brasil e da Gazeta Mercantil. Augusto foi apresentador do Roda Viva entre 1987 e 1989; está conosco também Getulio Bitencourt, diretor de redação do Jornal DCI e do Site Panorama Brasil, estava no primeiro programa, como já disse; Paulo Moreira Leite, repórter especial do jornal O Estado de S. Paulo; Rodolfo Gamberini, jornalista da TV Record e apresentador do Roda Viva durante os anos 1986 e 1987; Merval Pereira, colunista do jornal O Globo; Reinaldo Azevedo, articulista da revista Veja e dono do blog Reinaldo Azevedo; Alexandre Machado, comentarista de política da TV Cultura e Bóris Casoy, jornalista. Também temos a participação de Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva, como você sabe, é transmitido há vinte anos, completa esta semana, em rede nacional de TV para todo o Brasil. Boa noite, ministro.
25/09/2006|Paulo Brossard|5|Paulo Brossard|Boa noite, Paulo.
25/09/2006|Paulo Brossard|6|Paulo Markun|Queria começar pelo seguinte: nesses vinte anos, o que o senhor acha que melhorou e o que piorou no Brasil?
25/09/2006|Paulo Brossard|7|Paulo Brossard|[suspirando] Perguntinha dura para começar, né?
25/09/2006|Paulo Brossard|8| Paulo Markun|Para começar pesado já! [risos]
25/09/2006|Paulo Brossard|9|Paulo Brossard|Olha, eu diria que muita coisa melhorou nesses vinte anos, mas em compensação, algumas coisas pioraram, é forçoso reconhecer isso. E me chama atenção que um país com todas as características do nosso, a sua variedade, a sua pluralidade, que tem realmente progredido muito em muitos setores. No setor público, porém, especificamente no setor político, a meu juízo, não tem melhorado. E ao contrário, tem degenerado.
25/09/2006|Paulo Brossard|10| Merval Pereira|O senhor tem uma explicação? A gente estava conversando antes, o senhor acha que são vários os fatores que fazem com que essa representação política tenha regredido...
