DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
04/10/1992|Paulo Haddad|1|Jorge Escosteguy| Boa Noite. O ministério do presidente interino Itamar Franco conseguiu a façanha de desagradar a todos: gregos e troianos. Chamou mais atenção a nomeação dos ministros da Fazenda e do Planejamento, pessoas consideradas como fora ramo, apesar de serem políticos. No Roda Viva que está começando agora, pela TV Cultura de São Paulo, nós vamos discutir um pouco o novo ministério e vamos conversar com o ministro do Planejamento, Paulo Haddad. Para entrevistar Paulo Haddad esta noite no Roda Viva, nós convidamos: Marcelo Pontes, diretor de redação do Jornal do Brasil, de São Paulo; Ottoni Fernandes, jornalista da Gazeta Mercantil; Pedro Cafardo, editor-chefe do jornal O Estado de S. Paulo; Stephen Kanitz, professor da Universidade de São Paulo; Luiz Nassif, jornalista da agência Dinheiro Vivo, comentarista da Folha de S. Paulo e da Rádio Bandeirantes; Alberto Tamer, comentarista econômico da TV Manchete; José Paulo Kupfer, diretor de redação do Diário do Comércio e Indústria e Fernando Mitre, diretor executivo do Jornal da Tarde. O professor Paulo Roberto Haddad tem 53 anos, é mineiro, de Oliveiras, economista, foi secretário de Planejamento e da Fazenda de Minas Gerais no governo de Francelino Pereira [PFL-MG], de 1979 a 1972. Lembramos aos telespectadores que o programa Roda Viva também é transmitido pelas TVs Minas Cultural e Educativa, TVE do Espírito Santo, TVE da Bahia, TVE do Ceará, TVE do Mato Grosso do Sul, TVE do Piauí e TVE de Porto Alegre. Lembramos aos telespectadores que hoje, infelizmente, não haverá perguntas por telefone, porque o programa foi gravado. O ministro tinha um compromisso e só pôde gravar o Roda Viva nesta segunda-feira pela manhã. Boa noite, ministro.
04/10/1992|Paulo Haddad|2|Paulo Haddad| Boa noite.
04/10/1992|Paulo Haddad|3|Jorge Escosteguy| Como o senhor analisa as repercussões sobre a nomeação do ministério do presidente Itamar Franco? E como o senhor se sente como ministro interino? O senhor acha que essa interinidade está só no nome e que, no fundo, não será interino?
04/10/1992|Paulo Haddad|4|Paulo Haddad| Bom, eu começaria fazendo uma correção na sua apresentação. Quando você diz que eu não sou do ramo. Desde 1966, quando eu fiz um curso de especialização em planejamento, na Holanda, na escola mais consolidada de planejamento econômico, em economia de mercado, eu venho dedicando toda minha vida profissional nisso. Tanto academicamente, lecionando técnicas de planejamento, como na prática profissional, tendo exercido cargo de secretário de Planejamento de Minas Gerais de 79 a 82. De lá para cá, venho formando uma geração de especialistas em planejamento e trabalhado em planejamento em Rondônia, no Araguaia, no Tocantins, na região de Carajás, na Bahia e em outros estados - até mesmo como consultor do governo federal. E isso é importante, porque eu tenho a impressão que, ao longo desse período, eu desenvolvi uma larga experiência nas metodologias e na parte política de tratar o planejamento e a economia de mercado. Eu acho que a repercussão está carregada de emoções e preconceitos. Particularmente, aqui de São Paulo. O fato de o presidente Itamar ter deslocado o eixo de decisão na área econômica para Minas e para o Nordeste provocou uma primeira reação emocional. Em um certo sentido, o que a gente observa é que, pelo fato de nós não sermos conhecidos, em um primeiro momento, houve uma reação bastante preconceituosa. Nós consideramos até que alguns meios de comunicação nos trataram de maneira deselegante.
04/10/1992|Paulo Haddad|5|Jorge Escosteguy| Teve uma revista, inclusive, que comparou o senhor e o ministro Krause [Gustavo Krause, foi ministro da Fazenda no governo Itamar Franco] a uma dupla caipira.
04/10/1992|Paulo Haddad|6|Paulo Haddad| É, isso aí foi o ponto máximo do preconceito que nós poderíamos esperar, uma vez que o ministro Krause vem do estado de Pernambuco e tem uma longa história a serviço do desenvolvimento do país. E eu venho de um estado que é a segunda economia do país. Então, eu acho que o que nós temos que fazer é o seguinte: mostrar através do trabalho, da discussão...
04/10/1992|Paulo Haddad|7|Ottoni Fernandes| Desculpe interrompê-lo.
04/10/1992|Paulo Haddad|8|Paulo Haddad| Pois não.
04/10/1992|Paulo Haddad|9|Ottoni Fernandes| Eu acho que quando o senhor coloca isso, no fundo, há um imenso preconceito. Mas criou-se no país uma expectativa de que os problemas da economia do Brasil são tão formidáveis que somente uma fórmula mágica, uma receita miraculosa, saindo do bolso do colete de economistas, sairia embolando essas receitas. O senhor tem alguma fórmula mágica para resolver o problema da inflação, os problemas do Estado, os problemas da recessão?
04/10/1992|Paulo Haddad|10|Paulo Haddad| Os últimos ministros da área econômica que chegaram ao poder com uma proposta definida, com pacotes organizados, com um sistema de pensamento rígido e que prometeram, por exemplo, acabar com a inflação em 90 dias, que prometeram uma inflação suíça, um crescimento japonês, prometeram para dezembro deste ano uma inflação de 2%, fracassaram. Eu acho que há um papel novo para os ministros da área econômica, que é um trabalho diferente com a classe política. Quando os planos fracassam, os economistas dizem que o problema é político. Então, nós estamos partindo da concepção de que é preciso uma articulação imediata com os partidos, com o Congresso, com o Senado e com os segmentos organizados da sociedade civil. Todos os projetos de modernização da economia brasileira, os portos, os projetos das patentes, das licitações, das concorrências e o ajuste fiscal da economia brasileira, passam necessariamente por uma negociação.
