DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/11/1995|Pedro Almodóvar|1|Matinas Suzuki| Boa noite! Ele é o cineasta espanhol mais importante da atualidade e veio ao Brasil para lançar, na Mostra de Cinema de São Paulo, o seu mais recente filme. Na “lei do desejo e dos segredos” do Roda Viva está Pedro Almodóvar.
06/11/1995|Pedro Almodóvar|2|[Comentarista em off e vídeo com cenas dos filmes e do diretor em ação]| Mulher revoltada tem ataque de nervos, uma não, três. Órfão sai do hospício e rapta uma atriz pornô. Apresentadora confessa crime na televisão. Advogada mata os amantes na hora do orgasmo. Maquiadora é estuprada e tem vontade de espirrar. Cenas de Madri, personagens de Almodóvar, “almodramas”. Almodóvar não é só melodrama nem só escândalo e, muito menos, perversão. Suas fantasias querem ser coisas normais, seus personagens amam e matam, porque não existe pecado, só a “lei do desejo”, força trágica, irresistível. Almodóvar é quase sempre drama. E o desejo também é a lei do cinema, pelo menos desde que ele começou a filmar nos anos 70, impulsionado pelas movidas madrileñas. Antes do cinema um outro emprego, na Telefônica de Madri, doze anos falando ao telefone, observando a classe média baixa espanhola e, nas horas de loucura, um excesso de criatividade, fotonovelas pornôs, teatro alternativo, shows de travestis, exatamente o mesmo universo de seus filmes, marginal e irreverente, livre e cheio de intensidade. É esse o caos que ele leva para o cinema, às vezes de forma sombria como em O matador, de 85, um filme onde a paixão vira obsessão, amor e morte. Anos depois, a reviravolta, com Mulheres a beira de um ataque de nervos vem o sucesso, tão odiado por ele, prêmios internacionais e a briga com Carmen Maura a atriz inseparável dos primeiros filmes. Se Mulheres foi até indicado ao Oscar, Ata-me só causou escândalo. Onde Almodóvar via apenas um filme puro e romântico os americanos enxergaram uma obra pornográfica, inclassificável. De salto alto foi a segunda parceria do diretor com a atriz Victoria Abril, um filme diferente, intrigante, citando Bergman na relação desencontrada entre as duas personagens, mãe e filha. Para encarnar dramas e sentimentos profundos, os atores de Almodóvar têm que ser fortes [trecho de entrevista com Victoria Abril falando disso]. Kika é uma personagem ingênua, otimista, mas o que deveria ter sido uma comédia leve, acabou virando um filme ácido, um estudo perverso sobre o voyerismo, a televisão, o comércio do sangue e da tragédia, figurinos de Gaultier embalando o mundo cão. E agora, cansado de escandalizar, Almodóvar chega com o intimista A flor do meu segredo, o mais autobiográfico de seus filmes. No lugar das cores fortes, um drama seco. Trágico, cômico, cruel, bem humorado, racional e irracional, kitsch, extravagante, surpreendente, terno e radical, Pedro Almodóvar, 44 anos, espanhol!
06/11/1995|Pedro Almodóvar|3|Matinas Suzuki| Bem, para entrevistar o cineasta Pedro Almodóvar, nós convidamos, esta noite, o cineasta André Klotzel; o jornalista Marco Antônio Rezende, diretor de redação da revista Vip-Exame; o Sérgio Augusto, que é jornalista e crítico de cinema da Folha de S. Paulo; a atriz e roteirista Patrícia Travassos; o produtor cultural Leon Cakoff, diretor da Mostra Internacional de Cinema; a Lorena Calábria, que é apresentadora do programa Metrópolis da Rede Cultura de Televisão; e o jornalista Luís Zanin Oricchio, crítico de cinema do jornal O Estado de S. Paulo. O Roda Viva é transmitido em rede nacional com (.....) e nós lembramos que hoje não teremos perguntas dos telespectadores porque este programa foi gravado. Boa noite Pedro Almodóvar!
06/11/1995|Pedro Almodóvar|4|Pedro Almodóvar| Boa noite!
06/11/1995|Pedro Almodóvar|5|Matinas Suzuki| Como está você se sentindo nessa segunda viagem ao Brasil? Se é que você já teve tempo de ter alguma impressão do país.
06/11/1995|Pedro Almodóvar|6|Pedro Almodóvar| A verdade é que não tive muito tempo. Apenas para uma primeira impressão do Festival e sobre a recepção do meu filme A Flor de Meu Segredo em sua projeção de ontem. Mas, 24 horas é pouco para quem acaba de chegar.
06/11/1995|Pedro Almodóvar|7|Matinas Suzuki| Antes de falar um pouco sobre o seu novo filme, eu gostaria de perguntar o seguinte: nós brasileiros, sempre nos sentimos muito à vontade vendo os seus filmes. Nos parece sempre uma coisa muito familiar, embora a realidade seja a realidade espanhola. Mas seja na caracterização dos personagens, seja na maneira como você dirige, seja na maneira como você usa a música, tudo isso, como você usa o humor, no Brasil a gente fica muito à vontade com os seus filmes e eu tenho a impressão que o Brasil deve ter sido um dos primeiros países a reconhecer a importância do seu cinema. A que você atribui isso?
06/11/1995|Pedro Almodóvar|8|Pedro Almodóvar| Bem, pode ser porque eu sou um ser humano e, no Brasil, vocês também são seres humanos. Quero dizer que pertencemos à mesma espécie animal. Provavelmente, este é um dos elementos de identificação. Naturalmente, outro fator é a língua. Mas, os outros povos todos da América Latina estão mais próximos do espanhol do que vocês, já que o idioma de vocês é o português. Então, não temos que pedir perdão a vocês, pois não foram os espanhóis que conquistaram o Brasil. É para mim um alívio não ter que pedir perdão. A língua é suficientemente próxima para que me entendam. Além disso, há uma questão, que não é geográfica, nem histórica, uma vez que a história do Brasil evoluiu fora da influência do império espanhol. Eu acredito que seja, basicamente, uma questão de sensibilidade, que é quase mais importante do que a história, do que a língua e a cultura. Existe uma sensibilidade comum entre nós, que tampouco sei de onde vem. Além do mais, é uma sensibilidade natural. Eu tenho um caráter barroco, tenho um critério sobre a cor que se parece muito com o de vocês. Creio que é por aí. Ainda que esta apresentação [refere-se à apresentação dele feita pela comentarista no início do programa], de voz feminina, fosse realmente provocadora [risos], eu sou uma pessoa mais simples do que disseram, pois, em meu cinema, não tanto em minha vida, mas em meu cinema, há uma enorme presença do irracional, do exagero. Um certo tipo de absurdo, que acho que não existe também por aqui. É a impressão que tenho, embora não tenha muita experiência, pois estive aqui apenas quatro dias em minha visita anterior. Mas, creio que talvez na vida brasileira também haja a presença do exagero e do absurdo, e que tudo isto provavelmente faça com que compreendam melhor os meus filmes. É por isso que o Brasil é um dos países onde lançam meus filmes antes.
06/11/1995|Pedro Almodóvar|9|Matinas Suzuki| Sobre o seu novo filme A flor do meu segredo, que está sendo lançado agora no Brasil, a crítica, os artigos e o que se falou sobre o filme, seria de que esse é um filme mais sério de Pedro Almodóvar. E você tem dito que embora seja um filme mais sério, você também se reconhece nesse filme. Como é que você vê essa questão de ser mais sério, ou se é mais engraçado, ou se isso é verdade...
06/11/1995|Pedro Almodóvar|10|Pedro Almodóvar| Só me cabe qualificar meus filmes, meu trabalho, minha vida inclusive, como coisa séria ou humorada. É que ambas as coisas estão unidas. Todos os meus filmes foram feitos com muita seriedade, e em todos há uma grande presença do humor. É que o humor não está em conflito com a seriedade, nem a seriedade é uma atitude, nem um estado de espírito, nem uma vontade de mudança. A seriedade está nas intenções. E as intenções já são, há muito, sérias. Significa que quando conto uma história, faço do modo mais sincero e de todo coração. Acontece que as histórias podem ser divididas em gêneros, podem ser classificadas conforme o seu tom. As minhas, reconheço que são difíceis de classificas, pois misturo quase todos os gêneros. Tenho também uma natureza eclética. E passo do drama à comédia, e daí ao thriller, ou do thriller ao musical, num mesmo filme. À diferença dos outros, A flor do meu segredo é um filme basicamente dramático, com menos mistura de gêneros e onde o humor está menos presente. É uma opção narrativa que fiz antes de começar a rodar. Como disse, trata-se de uma opção estética. Portanto, a mudança, nesse filme decorre da própria mudança de gênero, pois queria fazer um drama. E também percebi que devia contar essa história em tom sóbrio, transparente, econômico e austero. Não porque tenha me tornado sóbrio, austero, etc. Nem significa que, a partir de agora, todos os meus filmes serão sóbrios. Caí na tentação da sobriedade, como caí em outras tentações. E porque, para mim, era algo novo. Mas, esse filme me representa do mesmo modo que todos os meus filmes anteriores. E também nesse filme também há humor. Acontece que, por baixo das emoções, há uma história mais cheia de dor que de humor.
06/11/1995|Pedro Almodóvar|11|Matinas Suzuki| Eu acho que poucos cineastas conseguiram filmar tão bem as cenas de sexo, como você filma.
06/11/1995|Pedro Almodóvar|12|Pedro Almodóvar| Contudo, sou muito tímido, sabe? Sim, sim. Tive a sorte de contar provavelmente com os dois atores mais desinibidos que há na Espanha e provavelmente no mundo. Atores puramente cinematográficos, que são Victoria Abril e Antonio Banderas. E, em geral, é assim, pois, se os atores tivessem levantado problemas na hora de fazer tais seqüências – e eu sou muito autoritário quando rodo – creio que não seria capaz de pedir ou obrigá-los a fazer tais cenas. E as teria substituído ou mudado de tom. Eles não sabem disso, não lhes disse: “Se se incomodam, podemos fazer de outro modo”. Não, não. Eu lhes disse como queria. Mas, se vejo que aquilo cria problema para eles, respeito tanto os atores que, só nesse caso, só nesse caso específico, mudaria as cenas. Mas, ao fazê-las com Banderas e Victoria, como são pessoas que celebram a sensualidade, celebram também seus corpos sem serem exibicionistas – o que não é o caso – mas, não têm nenhuma sombra, nem qualquer problema.
06/11/1995|Pedro Almodóvar|13|Matinas Suzuki| Mas em A flor do meu segredo também não tem cenas de sexo, quer dizer, o sexo foi embora junto com o riso. Como é isso? Essas coisas são conjuntas? São...
06/11/1995|Pedro Almodóvar|14|Pedro Almodóvar| Há outro filme que também não tinha sexo: Mulheres à beira de um ataque de nervos. Ambos os filmes tratam de uma mulher em crise, em crise profunda. Cada um de tom muito distinto. Um é comédia delirante, o que os americanos chamam de skrill ball. O outro é um drama. Em ambos os casos, não ponho sexo por capricho. O sexo faz parte da história que estou contando. Normalmente, minhas histórias transcorrem no terreno do desejo e da paixão, mas em Mulheres e em A Ffor de meu segredo, essa paixão é a paixão morta, por parte de um dos membros dessa paixão. Então, meus personagens não são promíscuos. Nesse caso, da mulher que foi abandonada, em ambos os filmes, o que estou contando é o processo de abandono, é o processo de solidão. E, nesse processo, não há sexo. Porém, não significa que não vá rodar nenhuma cena de sexo, simplesmente a história não o pedia. Da mesma forma, nas outros filmes, pela história e pelos personagens, eu devia incluir cenas eróticas porque faziam parte do que estava contando. Tudo depende do roteiro. E, nesses casos, os roteiros não pediam que houvesse. Não ponho cenas de sexo porque sim, nem deixo de pôr porque sim. Não há um cálculo nisso. Ponho apenas o que a história, sincera e honestamente, exige.
06/11/1995|Pedro Almodóvar|15|Sergio Augusto| Das cenas de sexo que você já dirigiu, qual foi a mais difícil de fazer?
06/11/1995|Pedro Almodóvar|16|Pedro Almodóvar| Creio que tenha sido mais difícil para os atores, pela situação, pela proximidade dos corpos, pelas dificuldades das posturas físicas. Creio que as mais difíceis foram as que Victoria interpretou. Mas, não para Victoria, pois ela é uma mulher que poderia fazer até circo. E faria circo perfeitamente bem. Victoria pode fazer sexo agarrada não sei onde, em qualquer situação. Porém, se tornava mais difícil para os rapazes. No caso de Ata-me e no caso de Salto Alto, por um motivo geográfico, era muito difícil para Miguel José e para Antonio Banderas seguirem a Victoria, porque à postura era bem incômoda, sobretudo pela postura física.
06/11/1995|Pedro Almodóvar|17|Patrícia Travassos| A gente está falando de ator. Eu sou atriz também. Eu gostaria de saber... Eu li uma vez que o Fellini quando ia fazer um filme, ele botava um anúncio no jornal, alugava um apartamento e dizia: “Fellini está fazendo elenco”, e botava o telefone. Recebia todo tipo de pessoa. E ele montava aqueles elencos fellinianos com esse tipo de pessoa, da rua. Quando você escreve os seus roteiros, você já vai pensando num ator para fazer? Como é que você faz esse processo da escolha do elenco?
06/11/1995|Pedro Almodóvar|18|Pedro Almodóvar| Fellini escrevia para personagens muito específicos que ele não conhecia previamente e que sabia pertencerem à vida cotidiana. Então, solicitava, como você disse, e tinha que buscá-los na rua. Nem todos os meus personagens vêm da rua, e suas características físicas coincidem com pessoas mais ortodoxas. Apesar de que não tenho problemas para definir físicos, normalmente, quando escrevo, não defino os rostos dos personagens, porque, no desenrolar da história, eles mudam tanto, mudam de idade, mudam de sexo, às vezes, que quando termino o roteiro realmente não sei que tipo de ator necessito. Então, é nesse momento que começo a procurar. E começo a procurar, naturalmente, entre os que conheço melhor. Se há um papel que se ajusta aos que conheço, de modo natural chamo-os. O resto, vou chegando aos atores que não conheço. Às vezes, faço testes e, pouco a pouco, chego aos atores que, fisicamente, se encaixam no papel ou que me parecem ter as características exigidas pelo papel. Depois, vem a segunda parte, que é essencial para mim. Com o roteiro por terminar, ensaio o papel com os atores e descubro que coisas fazem melhor, descubro coisas do papel deles que não havia previsto. Então, o que faço, normalmente, é adaptar o papel às medidas e às características do ator, como se fosse uma roupa. Tanto, que me dê a impressão de que só aquela pessoa pode fazer o papel. E este é o roteiro definitivo. A partir daí começamos a preparar o filme.
