DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|1|Paulo Markun|Boa noite. O Roda Viva começa o Ano Novo com o seu foco dirigido para as expectativas em torno do crescimento econômico. O que se esperava da economia em 2003 não aconteceu. A política ficou dominada pelas reformas previdenciária e tributária e a economia não explodiu, mas também só viveu a fase de transição de governo, quase sem crescimento. A aposta ficou para 2004 e esse é o tema do segundo programa da série especial do Roda Viva, onde colocamos no centro do debate a perspectiva do novo ano. Na semana passada foi a política e hoje é a vez da economia. Também desta vez reunimos uma bancada de convidados especiais: economistas, estudiosos, pesquisadores, com quem vamos analisar os rumos e as perspectivas da economia em 2004. É o ano que agora concentra as expectativas da retomada do desenvolvimento. De um lado, com a recuperação do mercado interno abalado pelo desemprego e pela queda de renda. De outro, com a busca de novas oportunidades no mercado internacional, onde a política externa brasileira procura abrir espaço e aumentar o número de parceiros econômicos. Para analisar as perspectivas da economia brasileira em 2004 nós convidamos: Maria Lúcia Pádua Lima, coordenadora do Centro de Estudos Estratégicos Internacionais e professora da Escola de Economia da Fundação Getúlio Vargas; Luis Carlos Mendonça de Barros, economista e publisher da revista e do site Primeira Leitura; José Carlos Braga, professor do Instituto de Economia da Universidade Estadual de Campinas, Unicamp; Roberto Luiz Troster, economista-chefe da Febraban, Federação Brasileira de Bancos, e professor do Departamento de economia da Pontifícia Universidade Católica de São Paulo, PUC; Reinaldo Gonçalves, professor de economia da Universidade Federal do Rio de Janeiro [UFRJ] e Eduardo Giannetti, professor de economia das faculdades IBMEC de São Paulo. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. Hoje o programa não permite a participação do telespectador, porque está sendo gravado. Bom, eu gostaria de começar com essa... usando aquela frase que o presidente Lula utilizou e que virou uma espécie de carimbo que vem sendo repetido insistentemente, muito embora até o momento não tenha se traduzido em fatos reais, que é “de que nós finalmente vamos assistir ao espetáculo do crescimento”. Então a pergunta é: que tamanho tem esse espetáculo do crescimento no ano de 2004, na avaliação de vocês? Ele será um crescimento significativo ou corre o risco de ser mais ou menos? Começo com você, Maria.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|2|Maria Lúcia Pádua Lima|Pois é. Você disse que a economia não explodiu em 2003. Felizmente, não é?
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|3|Paulo Markun|Pois é.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|4|Maria Lúcia Pádua Lima|Porque nós tínhamos uma série de preocupações em 2002, com o que ocorreria no ano de 2003, e preocupações inclusive justificadas, porque à medida que foi se tornando - digamos - claro que o candidato [Luiz Inácio Lula da Silva] do PT [Partido dos Trabalhadores] ganharia as eleições, a economia brasileira entrou em uma rota de turbulência que nós todos conhecemos. Em 2003 essa explosão não ocorreu, mas o preço pago foi bastante alto. O que se discute [é] se esse preço foi mais alto do que deveria ser. Agora, do meu ponto de vista, o PT ter ganhado as eleições significava pagar um preço mesmo, e um preço pelo fato de ser um partido que, durante vários anos, teve um determinado programa, que... teve um determinado comportamento no Congresso. Portanto, esse preço teria que ser pago para que houvesse condições de se tocar a economia. É claro que parte da chamada "herança maldita", faz parte da própria estrutura - não é? -, da estrutura programática do partido que venceu as eleições em 2002. Agora, o que nós podemos esperar para 2004? Então, de uma maneira muito breve, é que seja um ano melhor que 2003, o que não significa que será muito espetacular, porque nós temos uma série de obstáculos que deverão ser vencidos e, mais ainda, definições que não foram tomadas até este momento. Nós temos várias indefinições e, portanto, eu imagino que o ano de 2004 será melhor, o que não é tão difícil que aconteça.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|5|Paulo Markun|Qual um exemplo de indefinição? Por exemplo...
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|6|Maria Lúcia Pádua Lima|Bom, nós temos indefinições, por exemplo, em relação a uma política industrial de investimento. Agora recentemente, no final do ano passado, algumas coisas foram desenhadas, mas nós não sabemos como será a estrutura de financiamento deste país daqui para frente, quer dizer, isso não está redesenhado, que é uma urgência. Se se quiser voltar a crescer, a ter taxas de investimentos - só assim que esta economia vai ter um espetáculo de crescimento -, você precisa ter uma estrutura de financiamento adequado. Isso não está equacionado, isso não está definido.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|7|Roberto Luis Troster|Posso entrar nisso?
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|8|Maria Lúcia Pádua Lima|Claro, por favor.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|9|Roberto Luis Troster|Eu acho que essa questão de financiamento é básica.
Neste programa, estudiosos e especialistas em economia opinam, discutem e fazem projeções sobre o Brasil no ano de 2004, o segundo ano do primeiro mandato de Lula|Perspectiva Econômica|10|Maria Lúcia Pádua Lima|Pois é.
