DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/05/2005|Renato Janine Ribeiro|1|Paulo Markun|Boa noite. O mundo sempre mudou, mas as últimas mudanças têm sido tão intensas e tamanhas que corremos o risco de nos confundir sobre o que está acontecendo realmente. Em busca dessa compreensão, pensadores, críticos e analistas procuram traduzir para o grande público as relações que hoje marcam a vida na sociedade brasileira e também no mundo. É o que tem feito o filósofo Renato Jeanine Ribeiro, que traz hoje para o Roda Viva sua visão de sociedade, de país e dos rumos que a vida pode tomar com base na política, na ética e democracia. 
02/05/2005|Renato Janine Ribeiro|2|[Comentarista]|Alguns intelectuais são eleitos pela mídia como fontes regulares de consulta e opinião e Renato Janine Ribeiro é um dos mais requisitados. Doutor pela USP onde leciona ética e filosofia política como professor titular, atualmente é diretor de avaliação da Capes, órgão do Ministério da Educação que cuida da pós-graduação e da pesquisa científica e tecnológica no Brasil. Em seus site pessoal na internet, Renato Janine Ribeiro apresenta um painel dos temas a que tem se dedicado, como os desafios de um tempo em que exige cada vez mais ética, os discursos, e as condutas de partidos políticos e governantes no Brasil, e políticas para a ciência, tecnologia, e cultura. O site traz ainda trechos de seus onze livros que tratam de ética política, cultura e sociedade. Entre eles, o projeto do novo curso de humanidades, na Universidade de São Paulo, "A sociedade contra o social" que vai analisar o alto custo da vida pública no Brasil, e o afeto autoritário, uma análise crítica sobre o veículo de massa que mais referência leva hoje ao brasileiro, a televisão. Renato Janine também tem participado de projetos que discutem o pensamento ocidental. No filme Ética, foi um dos pensadores convidados, apresentou o curso livre de humanidades da editora Abril e na TV Cultura, módulos do Café Filosófico, um programa que buscou fazer um balanço do século XX e apontar paradigmas do século XXI.
02/05/2005|Renato Janine Ribeiro|3|Paulo Markun|Para entrevistar o filósofo Renato Janine Ribeiro, convidamos Gabriel Priolli, diretor geral da TV PUC São Paulo e presidente da Associação Brasileira de Televisão Universitária e editor da revista Interlivros, Olgária Matos, professora titular em teoria das ciências humanas da Faculdade de Filosofia da USP, Caio Túlio Costa, jornalista e presidente do Instituto DNA paulista e da fundação Semco, Dario Vizeu, diretor de programas da TV Cultura e Oscar Pilagallo, professor titular aposentado de física da USP de São Carlos. E em nosso estúdio o cartunista Paulo Caruso acompanha com seus desenhos o movimento do programa. O Roda Viva, como você sabe, é transmitido em rede nacional de TV para todo o Brasil ao vivo. Boa noite, professor.
02/05/2005|Renato Janine Ribeiro|4|Renato Janine|Boa noite, Paulo.
02/05/2005|Renato Janine Ribeiro|5|Paulo Markun|Há 160 anos atrás o filósofo que o senhor conhece bem, que é Karl Marx ,dizia que filosofia tinha que ser feita para mudar o mundo. Como o senhor escreve muito, e escreve muito sobre a filosofia política, eu queria saber do ponto de vista do senhor para que serve a filosofia de hoje, num Brasil de hoje com um governo Lula, governo pelo qual, inclusive, o senhor tem simpatia?
02/05/2005|Renato Janine Ribeiro|6|Renato Janine|Olha, a filosofia política, que é a parte que eu freqüento da filosofia, quer dizer, eu tenho menos contato com a filosofia geral, com história da filosofia, da teoria do conhecimento, o que me interessa muito é questão da ação que aparece na filosofia política. Ela tem contribuído, ela tem participado muito em discussão, quer dizer, você tem pensadores que estão nessa área que têm inclusive visões muito diferentes, que simpatizam com governos, uns que são contrários, uns que estão mais à direita, outros mais à esquerda, mas o que eu acho importante hoje é a gente tentar pensar de que maneira você sai de uma situação de paralisia da ação para uma situação que é possível agir. Quer dizer, nós estamos num mundo em que há muita travas, que ao mesmo tempo é um número enorme de possibilidades, como nós podemos pensar as situações de dificuldades hoje e tentar superá-las, tem os chamados gargalos, quer dizer, você encontra alguns gargalos da cidadania na sociedade, alguns deles são muito visíveis.
02/05/2005|Renato Janine Ribeiro|7|Paulo Markun|Por exemplo? 
02/05/2005|Renato Janine Ribeiro|8|Renato Janine|A má distribuição de renda, por exemplo, é muito óbvio o difícil acesso à saúde, mas alguns que não parecem tão fortes e podem ser muitas importantes intervenção deles pela própria cultura, acesso à cultura, e por outro lado, difusão da cultura, tem papel emancipador muito grande. Ciência. A ciência quando chega às pessoas aparece como cultura, quer dizer, quando eu tenho contato com a ciência... Por exemplo, todos nós sabemos que o Sol não gira em torno da Terra, essas coisas, tudo causou uma certa mudança na nossa consciência que custou a vida de muita gente. Mas nem todo mundo sabe o que Freud disse. E as coisas que ele disse sobre o ser humano são fabulosas. Mas quando isso chegou à sociedade, quando isso chegou à população? Quantas sabem disso? Em outras palavras, em que medida, o quê da ciência passa a ser absorvido pela vida das pessoas de modo que elas mudem sua ação, sua forma de conhecer o mundo, sua forma de agir.
02/05/2005|Renato Janine Ribeiro|9|Paulo Markun|Agora, mais detalhadamente, onde entra a filosofia política nisso? Porque eu imagino que num cidadão médio, se falar em ação, vai pensar o seguinte: “ação é o governo asfaltar a minha rua, ou ação é meu patrão me dar um aumento de salário, ou ação é o técnico do meu time de futebol trocar o jogador que não está jogando e não deixar o Corinthians perder”. E no entanto, esse universo que o senhor freqüenta da filosofia política, e que aliás, do seu trabalho pelo que eu pude acompanhar da sua obra é justamente de mostrar que não é bem assim, dizer: “está bom, por trás de tudo isso há instâncias de pensamento, que é essa questão da filosofia política, que podem orientar a ação”. Orientar em que direção? Ou esclarecer, ou iluminar?
02/05/2005|Renato Janine Ribeiro|10|Renato Janine|Olha, primeiro ponto da filosofia política, acho que sua diferença com a ciência política é que ela se preocupa muito com a significação das ações para quem as pratica, mais do que, vamos dizer, com as grandes estruturas, com as instituições, com o Estado, com os partidos, com as eleições. Para mim, pelo menos, é muito importante saber de que maneira as pessoas que obedecem o poder, que votam num governo, que apóiam esse governo, que criticam esse governo, aceitam um sistema, mesmo que detestem o governo, mas aceitem o sistema que o elegeu, ou repudiam tudo isso, como elas significam o que vivem? É o primeiro ponto, quer dizer, você não tem nenhum poder se não tiver gente de alguma forma aceitando os princípios dele. E segundo ponto é, quais são as travas da vida de hoje? Quer dizer, nós temos travas na vida pessoal e travas na vida política. Te garanto, quando eu comecei a trabalhar filosofia política, tinha um certo desdém das questões éticas, que achava que as questões éticas eram burguesas, de princípios, do que deve ser ou não deve ser, e achava muito mais importante a política propriamente dita. Então, havia um primário disso, simpatia de uma esquerda por uma coisa e antipatia por outra. Hoje eu acho que as coisas são extremamente paralelas, quer dizer, a minha vida pode estar bloqueada por situações que podem ser extremamente paralelas, e que bloqueiam a sociedade. E pode estar bloqueadas por medos, por desconfianças, por descrenças... E identificar esses pontos de bloqueio e tentar rompê-los é o desafio hoje. Quer dizer, por isso eu diria que a questão não é mais ser, vamos dizer, com todo respeito pela filosofia que lida com ser, mas acho que a questão fundamental é agir.
02/05/2005|Renato Janine Ribeiro|11|Paulo Markun|Oscar.
