DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
08/01/1996,Roberto de Abreu Sodré,1,Matinas Suzuki,"Boa noite, hoje nós teremos um programa de importância especial aqui para a TV Cultura. Ex-governador de São Paulo, ex-ministro das Relações Exteriores e idealizador da Fundação Padre Anchieta, Centro Paulista de Rádio e Televisão Cultura de São Paulo. Está no centro do Roda Viva, Roberto Costa de Abreu Sodré."
08/01/1996,Roberto de Abreu Sodré,2,[Vídeo comentado],"No espelho do tempo: meio século de política, a autobiografia do paulistano Roberto de Abreu Sodré, lançada recentemente, reflete uma longa vida pública marcada pela polêmica. A trajetória deste advogado, político e fazendeiro de café de 77 anos começou quando ele ainda estudava direito na Faculdade do Largo de São Francisco. Ali foi preso diversas vezes por protestar contra o Estado Novo {Estado Novo: O Estado Novo é como ficou conhecido o período em que Getúlio Vargas atuou como presidente do Brasil, entre 1937 a 1945. Na prática, significou um período de ditadura, quando Vargas determinou o fechamento do Congresso Nacional e a extinção dos partidos políticos. Ele outorgou uma nova Constituição, que lhe conferia o controle total do poder executivo, lhe permitia nomear interventores nos estados e previa um novo legislativo. Nunca aconteceram eleições no Estado Novo.} de Getúlio {Getúlio: Getúlio Dornelles Vargas (1882-1954), um dos mais importantes políticos brasileiros, chefe civil da Revolução de 1930 que pôs fim à chamada República Velha, foi, por duas vezes, presidente da República. Ficou conhecido como “pai dos pobres” por ter criado leis de apoio aos trabalhadores. Governou o Brasil de 1930 a 1937; de 1937 a 1945 no Estado Novo (como ditador); e de 1951 a 1954 como presidente eleito pelo voto direto. O período de 1945 a 1964 foi marcado pela influência do getulismo nas políticas governamentais. No último mandato de Getúlio, a política nacional polarizou-se fortemente e uma crise política grave sobreveio após a revelação de que o chefe da guarda pessoal de Getúlio, Gregório Fortunato, seria o mandante da tentativa fracassada de assassinato do líder opositor Carlos Lacerda. Diante da iminência de um golpe, Getúlio suicidou-se com um tiro no coração, em 1954. Apesar de ter sido um ditador, com medidas controladoras e populistas, e de ter perseguido implacavelmente adversários políticos, Vargas foi um presidente marcado por ações de investimento no Brasil. Além de criar obras de infra-estrutura e desenvolver o parque industrial brasileiro, tomou medidas favoráveis aos trabalhadores, ainda que mantendo os sindicatos sob estrito controle do Estado. Foi na área do trabalho que deixou sua marca registrada, com a criação da CLT.} Vargas. Deputado estadual pela UDN [União Democrática Nacional, partido político de orientação conservadora fundado em 1945, em oposição ao governo de Getúlio Vargas, possuía uma tocha olímpica como símbolo e o lema “o preço da liberdade é a eterna vigilância”], brigou com o líder, Carlos Lacerda {Carlos Lacerda: (1914-1977) Carlos Frederico Werneck de Lacerda foi jornalista e político de forte personalidade. Iniciou sua carreira como jornalista, escrevendo para o Diário de Notícias. Na política, começou como simpatizante dos comunistas, mas só até 1939, quando se aproximou dos liberais de direita. Em 1949, funda a Tribuna da Imprensa, jornal que moveu uma acirrada campanha contra o segundo governo Getúlio Vargas (1951-1954). Em 1954, sofreu o atentado que atribuiu à “alta esfera governamental” e cujo desfecho foi o suicídio de Vargas semanas depois. Lacerda foi deputado federal e, em 1960, foi empossado como primeiro governador do estado da Guanabara, no qual inicia uma ampla reforma administrativa. Apoiou o golpe militar de 1964, mas por pouco tempo. Em 1968, por causa do AI-5, Lacerda foi preso e teve seus direitos políticos cassados.}, quando aceitou o convite do Marechal Castelo Branco {Castelo Branco: (1897-1967) O cearense Humberto de Alencar Castelo Branco fez uma longa e bem sucedida carreira militar. Em 1963, tornou-se chefe do estado-maior do Exército. Ele foi um dos principais articuladores do golpe militar de 1964, que visava a “impedir o avanço do comunismo no Brasil”. Castelo Branco foi o primeiro presidente do regime. Em seu governo, líderes como João Goulart, Leonel Brizola, Juscelino Kubitschek e Jânio Quadros tiveram seus direitos políticos cassados; muitos adversários do regime foram presos ou deixaram o país. Em 1965, o AI-2 instituiu a eleição indireta para presidente e criou o bipartidarismo, passando a existir apenas a Arena e o MDB. No ano seguinte, o AI-3 estabeleceu eleições indiretas para os governadores e para os prefeitos das capitais. Em janeiro de 1967, o Congresso Nacional, fechado desde outubro de 1966, foi reaberto apenas para aprovar a nova Constituição por determinação do AI-4, de 1966. O governo Castelo Branco promoveu uma nova política econômica e alterações na legislação trabalhista, como o fim da estabilidade por tempo de serviço. Criou o Banco Central e o Banco Nacional de Habitação. Outras medidas de seu governo foram a criação do Serviço Nacional de Informação; a Lei de Imprensa; a reforma das Forças Armadas; e a introdução da reforma agrária no Brasil. Poucos meses após o fim de seu mandato, em 1967, faleceu no Ceará em acidente aéreo.} para se filiar à Arena [Aliança Renovadora Nacional, partido governista existente de 1966 a 1979, no sistema bipartidário da ditadura militar]. Entre 1967 e 1970, foi o primeiro governador de São Paulo empossado pelo regime militar de 1964, movimento que apoiou e depois criticou. O ex-governador conta em suas memórias que só não renunciou após a decretação do AI-5 {AI-5: Os Atos Institucionais foram decretos emitidos durante os anos após o golpe militar de 1964 no Brasil. O AI5 baixado pelo presidente Costa e Silva em 13 de dezembro de 1968, dentro das ações da ditadura militar no Brasil, estabeleceu o fechamento do Congresso Nacional, das assembléias legislativas e das câmaras de vereadores; decretou intervenção nos territórios, estados e municípios; cassou mandatos eletivos e suspendeu direitos políticos por dez anos e decretou o confisco de bens. Os AIs serviram como mecanismos de legitimação e legalização das ações políticas dos militares, estabelecendo para eles próprios diversos poderes extra-constitucionais. Sem este mecanismo, a Constituição de 1946 tornaria inexeqüível o regime militar, daí a necessidade de substituí-la por decretos. De 1964 a 1969 são decretados 17 atos institucionais regulamentados por 104 atos complementares. O governo divulgou que seu objetivo era combater a “corrupção e a subversão”.}, em 1968, para não ceder espaço ao então ministro da Justiça, Luís Antônio da Gama e Silva, seu adversário na defesa da liberalização do regime. Na autobiografia, Abreu Sodré afirma o apoio de empresários à Operação Bandeirante [(Oban), centro de informações, investigações e de torturas, montado pelo Exército brasileiro em 1969, e financiado por alguns empresários], grupo paramilitar de repressão política. E, contrariando historiadores, afirma que não colaborou com a Oban. Outra polêmica de sua carreira envolve o atual prefeito e ex-governador de São Paulo, Paulo Maluf {Paulo Maluf: Paulo Maluf, empresário e político paulistano, foi eleito prefeito de São Paulo para o período de 1969 a 1971 e, a partir de então, tem um eleitorado cativo e presença permanente na política de São Paulo, suscitando a existência de um movimento de massa chamado “malufismo”, uma forma de populismo de direita. As gestões de Maluf são caracterizadas por dezenas de obras públicas e por políticas de segurança pública criticadas pelos direitos humanos. Foi eleito governador de São Paulo por via indireta em 1978. Em 1982, foi eleito deputado federal. Em 1984, concorreu à presidência pelo PDS com Tancredo Neves (do PMDB) e foi derrotado. Na disputa, um grupo de dissidentes do PDS formou a Frente Liberal e aliou-se a Tancredo; o próprio presidente do PDS, José Sarney, mudou para o PMDB e concorreu como vice. Em 2006, depois de ser acusado de vários esquemas de corrupção, de ter dinheiro de origem pública em contas no exterior e ter sido preso por isso, Maluf conseguiu se reeleger novamente para deputado federal.}. Sodré apoiou Maluf na eleição indireta para o Palácio dos Bandeirantes em 1978, e Maluf o nomeou para a presidência da Eletropaulo em 1982. Vinte dias depois da posse, Sodré se demitiu em um episódio que foi considerado um rompimento com Maluf. Ministro das Relações Exteriores no governo José Sarney [1985-1990], Abreu Sodré reformulou o plano de carreira do Itamaraty e instaurou mais uma polêmica. Ao defender a diplomacia de resultados, assistiu em sua gestão ao restabelecimento das relações com Cuba, e propôs a abertura do mercado brasileiro de informática aos fabricantes estrangeiros. Afastado da política, concentrou até o ano passado sua atividade pública na presidência do Conselho Curador da Fundação Padre Anchieta, entidade mantenedora da Rádio e TV Cultura, uma iniciativa de seu governo para utilizar o rádio e a televisão como meios de promoção da educação e da cultura."
08/01/1996,Roberto de Abreu Sodré,3,Matinas Suzuki,"Para entrevistar o ex-governador, Abreu Sodré, nós estamos hoje com a casa cheia e com muita gente importante. O repórter especial da Folha de S.Paulo, João Batista Natali; o deputado federal e igualmente ex-governador de São Paulo, André Franco Montoro. Doutor Montoro, muito obrigado pela sua presença que nos honra. A jornalista Paula Quental, do Jornal da Tarde; a repórter da TV Cultura, Tereza Cristina de Barros; Paulo Brossard, ex-ministro da Justiça e ex-presidente do Supremo Tribunal Federal. Ministro Brossard, também muito obrigado pela sua presença que nos honra igualmente."
08/01/1996,Roberto de Abreu Sodré,4,Paulo Brossard,"[corrigindo Matinas] Presidente do Tribunal Eleitoral, do Supremo, vice."
08/01/1996,Roberto de Abreu Sodré,5,Matinas Suzuki,"Entramos aqui com a correção, o senhor me desculpe. Marcelo Parada, diretor de jornalismo da Rádio Eldorado AM, e Florestan Fernandes, da Rede Manchete, que também já trabalhou aqui na TV Cultura. Eu ia pulando o Florestan, desculpe. O Roda Viva é transmitido em rede nacional, por 48 emissoras de 17 estados brasileiros. Nós lembramos que você também pode participar – hoje é o nosso primeiro programa ao vivo de 1996 – enviando as suas perguntas pelo telefone (011) 252-6525. Se você preferir o fax, utilize-se do número (011) 874-3454. Boa noite, governador Sodré."
08/01/1996,Roberto de Abreu Sodré,6,Roberto de Abreu Sodré,"Boa noite, Matinas."
08/01/1996,Roberto de Abreu Sodré,7,Matinas Suzuki,"Como nós vimos aí no vídeo, o senhor está lançando o livro No espelho do tempo: meio século de política. Uma trajetória política que quem porventura tiver oportunidade de ler o livro verá que foi uma das maiores trajetórias, senão uma das mais intensas que a gente teve aqui no estado de São Paulo. Por que o senhor escreveu o livro? Por que o senhor teve a idéia de escrever o livro? E eu gostaria até de fazer uma perguntinha indiscreta. Normalmente, as pessoas que escrevem as biografias são muito indulgentes com os inimigos e os adversários, e o senhor não foi indulgente. Por que é que o senhor também usou dessa característica no seu livro?"
08/01/1996,Roberto de Abreu Sodré,8,Roberto de Abreu Sodré,"Primeiro: não é uma autobiografia. Eu era interpelado de tempo em tempo, perguntando a mim: por que você não descreve os encontros que teve durante toda a sua vida, do acadêmico ao chanceler do Itamaraty? Eu disse: “eu não gosto de autobiografia”. Tenho alguns livros, quase todos eles com base na parte didática, e nunca me aventurei a ser romancista, e não gosto de autobiografia, principalmente depois que a Zélia [provavelmente refere-se à Zélia Cardoso de Mello, ministra da Economia no governo Collor, cuja biografia intitulada Zélia, uma paixão: biografia autorizada foi escrita por Fernando Sabino, em 1991], com mão de terceiros, escreveu a sua autobiografia."
08/01/1996,Roberto de Abreu Sodré,9,Matinas Suzuki,Precoce.
08/01/1996,Roberto de Abreu Sodré,10,Roberto de Abreu Sodré,"Fiquei com uma certa antipatia por autobiografia. Então o que é este livro? Este livro é como se eu estivesse entrando em um palco, que foi o palco da minha vida, e fui encontrando as pessoas, que no início da minha formação política, conviveram comigo. A grande maioria, infelizmente, já não mais existe. Então eu vou travando um diálogo com essas pessoas que conheci no tempo, sem guardar uma cronologia. Eu pulo muito. Eu estou, por exemplo, descrevendo o Carnaval do presidente Itamar [Franco, governou o Brasil de 1992 a 1994, depois do impeachment de Fernando Collor de Mello], e escrevo a posição de D. Pedro I ao despedir de dona Amélia [de Beauharnais, princesa da Baviera e duquesa de Leuchtenberg, tornou-se esposa de D. Pedro I, após a morte de Maria Leopoldina]. Então, eu não tenho uma sequência lógica, porque eu achava que devia fazer isso mais com um sentido de um romance biográfico. É esta a forma. Escrevi por cobrança. Perguntavam-me: “você conheceu tanta gente, dialogou com tantos políticos, assistiu a tantos fatos da história deste país e de São Paulo, por que você não escreve?” Mas foi passando, foi passando, e um dia sentei na fazenda, e comecei a escrever, e aí não soube mais parar. Taí."
