DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/12/1991|Roberto Leal Lobo|1|[programa ao vivo]|programa ao vivo]
02/12/1991|Roberto Leal Lobo|2|Jorge Escosteguy|Boa noite. A universidade pública no Brasil tem sido acusada de gastar muito e produzir pouco, não retribuindo à sociedade tudo o que o contribuinte gasta na sua manutenção. Este e outros assuntos ligados ao ensino universitário serão debatidos hoje no Roda Viva, que está começando pela TV Cultura. No centro da roda está o reitor de Universidade de São Paulo [USP], Roberto Leal Lobo. Roberto Leal Lobo tem 52 anos, formou-se em eletrônica pela PUC [Pontifícia Universidade Católica] de São Paulo, em 1961. Entrou na USP em 1962, no Departamento de Física e Ciências dos Materiais [DFCM] da Escola de Engenharia de São Carlos [EESC]. Entre 1984 e 1986, dirigiu o Instituto de Física e Química, em São Carlos. De 1986 a 1989 foi vice-reitor da USP, na gestão de José Goldemberg [físico e reitor da USP entre 1986-1989]. Em janeiro do ano passado [1990], tomou posse como reitor da Universidade de São Paulo, a maior do país; uma comunidade onde convivem cerca de setenta mil pessoas, entre professores, alunos e funcionários. Neste próximo domingo, dia oito, a USP fará a primeira fase de seu vestibular: ao todo são 109 mil candidatos para sete mil vagas. Para entrevistar Roberto Leal Lobo, esta noite no Roda Viva, nós convidamos: Paulo de Camargo, repórter de educação do jornal O Estado de S. Paulo ; Sérgio Brandão, jornalista especializado em ciência e tecnologia; Frederico Vasconcelos, editor da coluna Painel do jornal Folha de S. Paulo ; Ana Maria Sanchez, diretora da revista Nova Escola, da Fundação Victor Civita; Fernando Pacheco Jordão, jornalista; Luiz Weis, jornalista da revista Superinteressante ; Raimundo Pereira, redator do Jornal Brasil ; e Joaquim de Carvalho, repórter do jornal O Globo, em São Paulo. Na platéia assistem ao programa, convidados da produção [...]. Boa noite professor.
02/12/1991|Roberto Leal Lobo|3|Roberto Leal Lobo|Boa noite.
02/12/1991|Roberto Leal Lobo|4|Jorge Escosteguy|No começo do programa eu me referia a algumas críticas que se fazem às universidades no Brasil, às universidades públicas, entre elas, o fato de gastarem muito e não retribuírem à sociedade aquilo que ela gasta para mantê-las. Inclusive, haveria um certo preconceito na universidade de se integrar mais ao setor produtivo. Houve algumas tentativas na USP nesse sentido e eu gostaria que o senhor nos dissesse o que a USP tem feito para que o aluno, quando sai da universidade, tenha mais condições de operar no mercado de trabalho. Ou seja, dentro da realidade do país hoje. Ao mesmo tempo, que benefício, ou que [possibilidades de] trabalho conjunto o setor produtivo pode encontrar dentro da USP?
02/12/1991|Roberto Leal Lobo|5|Roberto Leal Lobo|Bom, primeiro uma pequena retificação, eu sou formado na PUC do Rio.
02/12/1991|Roberto Leal Lobo|6|Jorge Escosteguy|Desculpe, PUC do Rio.
02/12/1991|Roberto Leal Lobo|7|Roberto Leal Lobo|Mas é uma PUC também. Bom, eu acho que esse é um assunto muito importante. Tem sido muito discutido no Brasil e no mundo inteiro: o papel das universidades no desenvolvimento da sociedade em geral. E a razão dessa discussão, o motivo principal tem sido a demanda muito grande do acesso ao ensino de terceiro grau. Cada vez mais a população quer chegar à universidade. Por exemplo, na Inglaterra, no final da Segunda Guerra, 3% da população de 18 a24 anos chegava à universidade. Hoje, 18% chegam. Nos Estados Unidos, no fim da guerra, 20% chegavam ao ensino de terceiro grau. Hoje, 50% têm acesso. A universidade ficou cara, o ensino superior ficou caro. Naturalmente, questionam-se os gastos com ensino superior em qualquer lugar do mundo. Agora, quando se fala em universidade pública, eu diria que ela não deve ser o alvo da maior crítica. A universidade pública no Brasil ainda é o melhor sistema universitário que nós temos. Mas universidades públicas também são muito heterogêneas. Há universidade pública de vários tipos, de vários tamanhos, de várias tradições. O que a USP tem feito - falo particularmente da USP, já que a sua pergunta é em relação, por exemplo, à formação do estudante [...]. Nós estamos fazendo um amplo debate sobre a estrutura curricular e a formação do nosso estudante de graduação. Houve um certo abandono também, no mundo inteiro, do estudante de graduação. O mundo se voltou para a pós-graduação: formou seus especialistas e deixou de ter ambição sobre o curso de graduação no Brasil e no mundo. Nós estamos recuperando isso, e muita gente está também recuperando isso. É importante entender o seguinte: o estudante, quando sai da universidade, ele não entra diretamente em uma fábrica, ele não é moldado para uma fábrica. E nem podia ser, senão nós teríamos que formar estudante para aquela [detereminada] fábrica. O que o estudante tem que ter como formação é a capacidade de se adaptar às demandas que vai encontrar fora. Ele tem que ter uma formação suficientemente geral e, ao mesmo tempo, específica, para poder se adaptar à demanda do serviço do trabalho que ele vai fazer. De modo que, às vezes, houve essa queixa do setor empresarial, de que o estudante tem que ser readaptado, tem que ser reciclado. Não é bem ser reciclado. O que acontece é que ele tem que ser adaptado ao novo serviço, ter uma formação ampla para poder se adaptar a vários tipos de demanda, não é? Ele não é formado para aquela fábrica ou para aquele setor, ele é formado engenheiro. E, então, ele vai para uma certa fábrica e terá que se adaptar às condições daquela fábrica. Cada vez mais, hoje, no mundo, o estudante deve ter uma formação da mais geral, [à mais] específica, porque a tecnologia avança muito. E, pelo fato da tecnologia avançar muito - quando se forma um estudante, e ele já está com uma tecnologia, eventualmente,obsoleta - ele tem que aprender a se adaptar, a ser capaz de participar de uma mudança tecnológica com eficiência, com rapidez, com competência. Quer dizer, é isso o que se espera de um estudante universitário, não é [a formação] daquela pessoa marcada para uma certa fábrica, ou para um certo setor específico.
02/12/1991|Roberto Leal Lobo|8|Jorge Escosteguy|Luiz Weis, por favor.
02/12/1991|Roberto Leal Lobo|9|Luiz Weis|Professor, por gentileza, eu gostaria de retornar a pergunta do Escosteguy por outro ângulo, quem sabe um pouco mais amplo, das relações da universidade com a sociedade. Recentemente, o senhor fez uma comparação - que, em si, não é nada de extraordinária, é correta - entre a Universidade de São Paulo dos anos 1930 e a Universidade de São Paulo dos anos 1980. Nos anos 1930, ela se destinava a formar as elites e o fez muito bem. E nos anos 1980, ela se destina, eu cito o senhor, “ela está voltada para a solução dos problemas brasileiros”. Ora, independentemente da questão da formação dos quadros técnicos e científicos, o Brasil, hoje - como todos estamos “carecas” de saber - vive, está imerso, mergulhado em uma crise feroz. Duas coisas são patentes: de um lado a universidade não está propondo, não está oferecendo à sociedade caminhos para a superação dessa crise. Por outro lado, a sociedade parece que não está esperando que a universidade faça isso. Nos anos 1970, durante a ditadura militar, a universidade encarnou, em larga medida, o anseio pela democratização. Hoje, nós estamos atolados como estamos... O país não está esperando que a universidade diga algo de pertinente a respeito e nem a universidade está fazendo. Como está esse divórcio?
02/12/1991|Roberto Leal Lobo|10|Roberto Leal Lobo|Bom, na década de 1970 havia uma guerra muito clara, não é? Que a universidade encampou com muita coragem, e teve um papel extremamente importante. Hoje, essa visão é uma visão pessimista. Eu acho que a universidade está fazendo uma porção de coisas. A universidade não pode suprir todas as demandas da sociedade, coitadinha. A universidade não tem força para isso e nem gente para isso. Mas ela tem procurado se organizar para isso: está mudando. É preciso ver que é um processo muito dinâmico. Quer dizer, a universidade lutou pela democratização do país durante muito tempo. E essa transição que houve para a democracia... E agora ela tem que começar a pensar nos problemas de políticas públicas, nas questões nacionais...
02/12/1991|Roberto Leal Lobo|11|Luiz Weis|[interrompendo] Por exemplo, vamos ser mais específicos. Existe a crise no Estado brasileiro, que é a região central que articula toda a crise nacional e como a universidade aparece nesse plenário?
02/12/1991|Roberto Leal Lobo|12|Roberto Leal Lobo|Eu vou falar da USP, não é, porque eu não vou falar das universidades como um todo. Os programas que nós temos, por exemplo, o de integração do Cone Sul [região que engloba Chile, Argentina, Uruguai e, do Brasil, os estados do Rio Grande do Sul, Paraná, Santa Catarina e São Paulo] junto com o Itamaraty. Não sei se você sabe, a Universidade de São Paulo será um centro de referência e discussão. Nós temos um programa de meio ambiente, que tem quatrocentos docentes nossos participando. É um número internacionalmente fantástico, poucas universidades do mundo - se é que alguma possui - têm quatrocentos professores trabalhando com problema de meio ambiente.
02/12/1991|Roberto Leal Lobo|13|Luiz Weis|Não obstante, o senhor me permite interromper nesse ponto? Não obstante, a USP não foi ouvida - e nem cheirada até onde me consta - na formulação da política ambiental brasileira, tendo em vista a conferência da ONU [Organização das Nações Unidas], de junho de 1992 [refere-se ao evento conhecido como Eco-92].
02/12/1991|Roberto Leal Lobo|14|Roberto Leal Lobo|Perfeitamente, foi ouvida pelo [Maurice] Strong, que é o secretário [geral das Nações Unidas]...
02/12/1991|Roberto Leal Lobo|15|Luiz Weis|[interrompendo] Sim, foi ouvida pelo subsecretário da ONU. [Mas] não foi ouvida aqui no Brasil?
02/12/1991|Roberto Leal Lobo|16|[risos]|risos]
02/12/1991|Roberto Leal Lobo|17|Roberto Leal Lobo|O que não é nosso problema até agora, está certo? É um problema, mas não é nossa culpa, digamos assim. Há um ano - você se lembra - saiu na imprensa uma reclamação minha, dizendo que a Universidade de São Paulo tinha se preparado para uma discussão sobre o meio ambiente e que não tinha sido consultada, até aquele momento, pelo Itamaraty, nem pelo governo brasileiro. Vários professores nossos são chamados a participar das discussões, mas a USP, enquanto instituição, ainda não está. Nós vamos trabalhar na discussão técnica paralela, mas nós temos muito a oferecer. Estamos, inclusive, fazendo um programa, que é uma [espécie de] Carta da Terra, e nós vamos oferecer à sociedade, ao mundo, ao governo, a quem quiser. Então, esse é outro exemplo. Nós estamos com um programa ligado às empresas, todo tipo, seja pequena, média, agrobusiness, que pega todo o setor de produção agrícola. Isso, junto com o pessoal, os professores da FEA [Faculdade de Engenharia de Alimentos]. Nós estamos com um programa Disk Tecnologia, de atendimento ao pequeno empresário, médio empresário [e] às prefeituras. Quer dizer, não é muito verdade isso. A universidade tem procurado se preparar e dar respostas, ela não tem...
02/12/1991|Roberto Leal Lobo|18|Luiz Weis|[interrompendo] Na verdade, na medida em que toda pesquisa de opinião, em que o cidadão é solicitado a se referir às instituições das quais ele espera alguma coisa para solução dos problemas brasileiros, a universidade não é citada. Não é que a universidade seja desprezada, não é o que se dá com o Congresso, que apenas 3% esperam alguma coisa, que é uma formação pejorativa? Não. A universidade, simplesmente, é como se não existisse. O que será que acontece hoje no Brasil, por força do descalabro que os economistas fizeram no país, daquilo que aconteceu com o público americano em relação aos seus colegas físicos, depois que estourou a bomba atômica, [depois] que houve uma recusa da sociedade em relação a valorizar o pensamento científico? Será que depois de todos os exemplos que nós tivemos aqui, não é um pouco dizer: “olha, aqui não temos nada a esperar”?
02/12/1991|Roberto Leal Lobo|19|Roberto Leal Lobo|Acho que não. O Brasil nunca valorizou o pensamento científico, esse que é o nosso problema. Quer dizer, o Brasil nunca soube nem sequer negociar seus assuntos de interesse usando a comunidade científica. O Brasil é um país que não tem adido científico, tem diplomata. Então, é isso: o Brasil não tem essa tradição. Nós vamos ter que criar essa tradição, não houve um retrocesso. Não começou.
02/12/1991|Roberto Leal Lobo|20|Jorge Escosteguy|Professor, Fernando Jordão tem um pergunta, por favor.
02/12/1991|Roberto Leal Lobo|21|Fernando Pacheco Jordão|O senhor citou, usou a palavra guerra, provavelmente se referindo à época da ditadura militar em que, de fato, a universidade, a USP em particular, foi bastante dizimada, especialmente a área de ciências humanas. Quer dizer, houve, em 1969, aquela cassação de aposentadoria compulsória em massa na área de ciências humanas, e até hoje essa área não se recuperou, a ponto de, no vestibular desse ano - ao que me parece, nem haverá necessidade de se fazer o primeiro estágio do vestibular - haver vagas em excesso. Isto é, é uma área que não atrai as pessoas, porque, também, o curso tornou-se muito pouco atraente para o estudante. Como a USP reage a isso? Como ela poderia recuperar a posição que tinha, por exemplo, na década de 1960, como uma fonte do pensamento político, de uma reflexão sobre a realidade brasileira, sobre a política, sobre a economia, sobre o quadro social brasileiro?
02/12/1991|Roberto Leal Lobo|22|Roberto Leal Lobo|Olha, eu não quero parecer excessivamente otimista, mas acho que a USP já faz isso, mas o curso específico, nós temos duzentos cursos de graduação. Há um curso específico na área de humanidades, ciências sociais, que está com uma demanda que não é grande. Agora, isso talvez tenha sido uma mudança em relação à expectativa do que é um curso de ciências sociais. A PUC do Rio fechou o curso de sociologia, porque não tem demanda. Então, não é um problema específico da USP, é um problema específico da sociedade. A sociedade esperava que a sociologia fosse a mola transformadora, e parece que não acredita mais nisso, tanto que...
02/12/1991|Roberto Leal Lobo|23|Jorge Escosteguy|[interrompendo] O senhor acredita nisso?
02/12/1991|Roberto Leal Lobo|24|Roberto Leal Lobo|Eu acho que ela não é a única, mas o curso... A sociologia é um pensamento importante. Infelizmente, perdeu o seu conteúdo de modificação e não tem, aparentemente, o mercado de trabalho profissional específico que atrai o estudante.
02/12/1991|Roberto Leal Lobo|25|Fernando Pacheco Jordão|Mas o senhor acha que a universidade deve ser voltada apenas para o mercado de trabalho?
02/12/1991|Roberto Leal Lobo|26|Roberto Leal Lobo|Não. Mas os estudantes, muitas vezes, são voltados para o mercado de trabalho. E quando a carreira não é atraente, eles não a procuram, a não ser as pessoas que tenham uma vocação científica profunda. O número de pessoas que têm vocação científica não enche o vestibular, essa que é a verdade. Quer dizer, não se esgota um quadro de seis mil vagas com pessoas que tenham grande vocação científica e alto poder de especulação. Isso não é verdade em lugar nenhum do mundo. Então, tem que ter gente para tudo, tem que ter gosto para tudo, e essa é a dificuldade da universidade. Quer dizer, nós temos que, ao mesmo tempo, dentro das áreas de humanidades, darmos a possibilidade da pessoa se tornar aquele intelectual, que vai realmente dar uma contribuição intelectual profunda para a humanidade, não é? E ter o profissional também, aquele que vai fazer ciências sociais para, eventualmente, trabalhar em uma empresa de consulta, de pesquisa de opinião ou em uma firma. Quer dizer, tem que haver essa flexibilidade curricular, e essa oportunidade para o estudante escolher a sua vocação. Uma universidade não faz só pesquisador, nem só intelectual; faz veterinário, médico, dentista, sociólogo, no sentido estritamente profissional e tudo, não é...?
02/12/1991|Roberto Leal Lobo|27|Paulo de Camargo|O problema é mais sério. Quer dizer, [não é] só que as pessoas não querem entrar - o problema da vocação -, mas as que entram não saem. A USP perdeu nos últimos cinco semestres, seis mil e setecentos alunos. O mesmo número de vagas que oferece no ano. Quer dizer, porque as pessoas querem sair, também, da maior universidade do país?
02/12/1991|Roberto Leal Lobo|28|Roberto Leal Lobo|A contento, eu vou tentar lhe responder. Acontece o seguinte: de onde é que as pessoas saem? De onde elas saem? Quantos saem da medicina? Da medicina não sai ninguém, formam-se 98, 99% das pessoas que entram. Faculdade de Direito, também não sai ninguém. Da odontologia, também não sai ninguém. Da Poli [Escola Politécnica da USP], não sai quase ninguém, não é? Então, nesses cursos não sai ninguém. De onde as pessoas saem? Saem dos cursos cujo diploma não tem valor de mercado. E porque elas saem? Por várias razões. Podem se desencorajar, trocar de curso no meio do caminho, trabalhar durante dois anos na universidade. [Mas], depois de dois anos, eles acham - como aquele diploma não significa um emprego garantido, não significa uma profissão permanente - que tiveram na universidade a cultura geral que queriam, e vão para o mercado terciário de trabalho. O sujeito vai ser gerente de uma agência de turismo, por exemplo.
02/12/1991|Roberto Leal Lobo|29|Paulo de Camargo|Mas a universidade não pode se aproximar mais do aluno?
02/12/1991|Roberto Leal Lobo|30|Roberto Leal Lobo|É preciso levar mais em conta que, quando uma pessoa, o evadido... Muitas vezes, é falha da universidade. Outras vezes, é uma demanda pessoal, que nós estamos administrando mal. Estamos considerando uma derrota quando, muitas vezes, a rigor, não é uma derrota. Nós estamos formando gente de melhor qualidade. A pergunta é: esse é o papel da universidade ou ele [o aluno] devia ter isso em outro lugar? Não tem outro lugar para ter? Então, essa é uma questão que nós podemos discutir aqui: qual é o sistema de ensino de terceiro grau adequado?
02/12/1991|Roberto Leal Lobo|31|Jorge Escosteguy|Professor, a Ana Maria Sanchez tem uma pergunta para o senhor, por favor?
02/12/1991|Roberto Leal Lobo|32|Ana Maria Sanchez|Ainda nessa linha, das responsabilidades da universidade para com a sociedade. Eu gostaria de chegar a um dos problemas mais graves que a sociedade enfrenta nesse momento, que é a educação fundamental, o ensino fundamental.
02/12/1991|Roberto Leal Lobo|33|Roberto leal Lobo|Certo.
02/12/1991|Roberto Leal Lobo|34|Ana Maria Sanchez|A educação de primeiro e segundo grau, que é o começo da linha desses alunos que depois vão dar muito trabalho na universidade, porque chegam aos vestibulares semi-analfabetos, muitas vezes. Bem, a gente sabe que alguma coisa a Universidade de São Paulo começa a fazer pelo segundo grau. Eu queria falar um pouquinho disso. Um dos pilares dessa crise do ensino fundamental está na formação muito precária dos professores, e a universidade tem muito a ver com isso. Eu queria saber, o que ela pensa fazer, não só com esses professores que ela está formando agora, mas com todos que estão na rede. Porque nós temos professores aí, por mais vinte anos... Esses que já estão trabalhando e estão com problemas, não só com relação à [sua] formação... Mas há uma investigação que a universidade pode fazer. Nós sabemos que algumas estão fazendo, a respeito dos problemas relacionados ao ensino de primeiro e de segundo grau. O que a Universidade de São Paulo está fazendo ou pretende fazer?
02/12/1991|Roberto Leal Lobo|35|Roberto Leal Lobo|Essa pergunta é importante, mas que exige uma longa resposta.
02/12/1991|Roberto Leal Lobo|36|Ana Maria Sanchez|Mas nós temos tempo.
02/12/1991|Roberto Leal Lobo|37|Roberto Leal Lobo|Em primeiro lugar é o seguinte: do ponto de vista da formação do professor de segundo grau - esse formado pela universidade - eu sinto sempre que me põem em uma armadilha quando se faz uma discussão sobre isso, porque me dizem assim: “é preciso que a universidade forme professores”; “os professores não têm salários hoje”; “o salário é muito baixo”; “é muito difícil atrair alguém que entusiasticamente abrace a profissão de professor secundário nesse país”. Não é? Está complicado. Então, a demanda é baixa. A não ser as pessoas que têm muita vocação, mesmo para o ensino de segundo grau, de um modo geral, elas são menos qualificadas, por exemplo, do que demanda a medicina, em que as pessoas fazem os melhores cursos, vão passar seis meses nos Estados Unidos tal. Chegam aqui, fazem o vestibular, tiram dez em história, português, geografia e em matemática. Então, de um modo geral, a demanda é menos qualificada. O que se fazia? Se cortavam essas pessoas da universidade, através de um vestibular que era feito para medicina, e que, portanto, impediam que essas pessoas que procuravam os cursos de licenciatura sequer entrassem na universidade. Aí nós fazemos com que elas entrem, diminuindo as exigências de eliminação. Aí dizem, estão baixando o nível da universidade. Então, isso é uma armadilha. Então, não tem saída? É para me matar? Quer dizer, se nós não formamos [dizem]: "vocês não formam professores secundários". Se nós aceitamos que existe esse mercado e trabalhamos em cima desse mercado, procurando fazer com que eles saiam bons, ainda que entrem com deficiência, aí dizem assim: “estão baixando o nível da universidade“. Essa armadilha... Não dá para se sobreviver nela. Então, a nossa decisão foi essa, deixar que entrem, trabalhar com eles e fazer com que eles saiam bons.
02/12/1991|Roberto Leal Lobo|38|Luiz Weis|Trabalhar com eles significa: a universidade vai ocupar, vai suprir uma parte das deficiências do ensino médio?
02/12/1991|Roberto Leal Lobo|39|Roberto Leal Lobo|Necessariamente, se é que nós queremos formar professores secundários. Senão a outra solução é não formar, quer dizer essa é a escolha.
02/12/1991|Roberto Leal Lobo|40|Ana Maria Sanchez|Só que é um círculo vicioso, se vocês não formam...
02/12/1991|Roberto Leal Lobo|41|Roberto Leal Lobo|Porque é muito importante que a gente tenha escolhas, é isto ou aquilo. Não adianta fingir que nós vamos ter aquele estudante que nós queríamos que tivesse ter. Não tem; tem esse. Então, ou se trabalha com ele ou não trabalha com nenhum, está certo?
02/12/1991|Roberto Leal Lobo|42|Paulo de Camargo|Professor.
02/12/1991|Roberto Leal Lobo|43|Ana Maria Sanchez|Mas ele não tem...
02/12/1991|Roberto Leal Lobo|44|Roberto Leal Lobo|Deixa [eu] terminar, que é muito importante isso. O que é que nós estamos fazendo? Nos cursos de licenciatura nós diminuímos os requisitos eliminatórios do vestibular, para fazer com que essas pessoas entrem, e vamos nos organizar para fazer com que ela [se] saia bem, o melhor possível. [E] com os outros professores que são, só na rede pública, duzentos e vinte mil? Nós não podemos atender a todos imediatamente, é impossível. Nós temos vários cursos de atualização, de reciclagem. Estamos fazendo um programa na Faculdade de Educação [da USP] em que abrimos as vagas não preenchidas, porque isso sempre acontece de um ano para outro. Disciplinas que têm vagas livres, convidando os professores da rede pública a irem se escrever, a fazer esses cursos. Eles têm feito. O ano passado foi um enorme sucesso. Nós estamos montando programas junto à Secretária de Educação para ampliar esse sistema. Estamos nos preparando para trabalhar com multimídia, para poder atingir mais gente. Agora, precisa haver uma decisão do Estado de apoiar esses programas. Nós não podemos fazer tudo sozinhos. Estamos fazendo uma coleção de livros didáticos para o segundo grau, com os nossos melhores professores. Colocamos à disposição também da comunidade, preparando uma coleção que cobre todas as matérias do segundo grau. De modo que eu acho que a universidade tem, hoje, quatrocentos professores também, o número não é uma coincidência, mas é o mesmo número de professores que trabalham junto à rede de ensino estadual e municipal. Então, estamos fazendo. O problema é complicado. Quer dizer, recuperar um sistema muito deteriorado é muito difícil, leva anos, mas as três universidades do estado [de São Paulo] estão mobilizadas para atender...
02/12/1991|Roberto Leal Lobo|45|Ana Maria Sanchez|[interrompendo] Mas vocês estão, basicamente, preocupados com o segundo grau, não é, pelo que eu sei. O senhor mesmo disse, quando assumiu, que uma das suas preocupações fundamentais era com o aluno que entrava na faculdade, que o primeiro ano dele era fundamental, e que, portanto, os professores doutores, inclusive, deveriam voltar para dar aulas para esse aluno. O senhor sabe que no ensino fundamental a situação é a mesma. O primeiro ano e o segundo ano [do] primário de uma criança, eles são fundamentais para a vida desse estudante seja...
02/12/1991|Roberto Leal Lobo|46|Roberto Leal Lobo|[interrompendo] Deixa eu só lhe responder
02/12/1991|Roberto Leal Lobo|47|Ana Maria Sanchez|É justo que ele seja atendido pelo professor menos escolarizado?
02/12/1991|Roberto Leal Lobo|48|Roberto Leal Lobo|Não, não é. Justo, eu acho que não é, agora...
02/12/1991|Roberto Leal Lobo|49|Ana Maria Sanchez|[interrompendo] Funciona?
02/12/1991|Roberto Leal Lobo|50|Roberto Leal Lobo|A USP não é Secretaria de Educação, por enquanto. Agora, nós estamos fazendo. Até, há meu pedido, o Instituto de Estudos Avançados (IEA) montou um grupo de altíssimo nível para discutir problemas de ensino, essencialmente do ensino básico. Já existe um documento - eu ainda não tive oportunidade de ler, mas sei que existe - inclusive, com sugestões para recuperação do ensino básico, que é o que nós podemos fazer. Quer dizer, nós não podemos resolver todos os problemas do estado, nem do país, infelizmente. Se nós pudéssemos, ficaríamos muito contentes. Mas nós não temos gente, nem a nossa vocação é resolver todos os problemas. Senão, também se descaracteriza demais a universidade, que tem uma finalidade específica. Não podemos ser Secretaria da Educação, Secretaria da Saúde, Secretaria dos Transportes. Infelizmente não podemos. Então, cada um tem que ter a sua atribuição: nós podemos colaborar, discutir metodologias, ajudar com conhecimento, com a competência, com a experiência. Mas nós não podemos resolver todos os problemas como nós gostaríamos.
02/12/1991|Roberto Leal Lobo|51|Jorge Escosteguy|Professor, com essa sua resposta, o senhor respondeu também a pergunta do Francisco José Magalhães, de São Carlos. O Raimundo Pereira tem um pergunta, por favor.
02/12/1991|Roberto Leal Lobo|52|Raimundo Pereira|Professor Lobo, eu queria, na [mesma] linha, tentando desenvolver o que o Luiz Weis perguntou, eu vou fazer uma pergunta que poderia ser resumida assim - mas eu vou desenvolver um pouco mais: o que é ser reitor? Porque, do que entendi que o senhor disse, a universidade tem um certo rumo que o senhor acha até razoável, está até otimista...
02/12/1991|Roberto Leal Lobo|53|Roberto Leal Lobo|.. está tendo.
02/12/1991|Roberto Leal Lobo|54|Raimundo Pereira|No pouco tempo que o senhor teve para expor suas idéias, o senhor já apresentou uma série de iniciativas e tal. Agora, por outro lado, o senhor diz também que o país não tem, parece que não demonstra respeito, interesse pelo pensamento científico. Então, eu queria saber: o que é ser reitor? É da universidade para fora, da universidade em relação aos tempos que nós estamos vivendo? O que é ser reitor? Tem a ver com a busca que o país precisa fazer em direção à cultura, pensamento científico? O que é que é ser reitor, nesse sentido?
02/12/1991|Roberto Leal Lobo|55|Roberto Leal Lobo|Ser reitor no Brasil é mais do que ser reitor em outros países. Porque os outros países têm uma estruturada universitária diferente. Por exemplo, nos Estados Unidos você tem o presidente da universidade, que é a pessoa que cuida da área acadêmica. O reitor aqui no Brasil cuida um pouco de tudo, ele cuida... Discute a área acadêmica, discute a graduação, a pós-graduação, pesquisa, extensão, cultura. E ele tem que ser o representante da universidade externamente. Então, é uma tarefazinha complicada, é bastante serviço.
02/12/1991|Roberto Leal Lobo|56|[risos]|risos]
02/12/1991|Roberto Leal Lobo|57|Raimundo Pereira|Mas em relação...
