DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/01/1993|Rodolfo Konder|1|[programa ao vivo]|[programa ao vivo]
25/01/1993|Rodolfo Konder|2|Jorge Escosteguy| Boa noite. Hoje, 25 de janeiro, é aniversário de São Paulo. No centro do Roda Viva, que começa agora pela TV Cultura, está sentado o secretário de Cultura do município, Rodolfo Osvaldo Konder, nosso entrevistado desta noite. Rodolfo Osvaldo Konder tem 54 anos, é jornalista e escritor, ex-militante do Partido Comunista Brasileiro, foi dirigente sindical do Sindicato dos Petroleiros do Rio, da União Brasileira de Escritores e da Anistia Internacional – Seção Brasileira. Esteve exilado no Uruguai e no México entre 1964 e 1965; foi preso e torturado no DOI-Codi em 1975, na mesma ação repressiva que assassinou o jornalista Vladimir Herzog; passou mais três anos no exílio no Canadá e nos Estados Unidos. Deixou o Partido Comunista em 1987. No segundo turno das eleições municipais do ano passado, foi um dos articuladores e assinou um manifesto de intelectuais que acabou por aproximá-lo de Paulo Maluf [Paulo Salim Maluf]. Antes de assumir a secretaria, Konder era apresentador do Jornal da Cultura, aqui da TV Cultura. Lembramos que o Roda Viva também é transmitido ao vivo pela TVE do Ceará; TVE da Bahia; TVE do Piauí; TVE de Porto Alegre; TVE do Espírito Santo; TVE do Mato Grosso do Sul e TV Minas Cultural e Educativa, e é retransmitido através da TVE do Rio de Janeiro para todas as emissoras que formam a Rede Brasil. Para entrevistar Rodolfo Konder esta noite no Roda Viva, nós convidamos Oliveiros Ferreira, cientista político e jornalista do jornal O Estado de S. Paulo; Alex Solnik, editor da revista Interview; Regina Echeverria, jornalista da revista Ícaro; Juca Kfouri, diretor editorial da revista Playboy e da Editora Abril; Zeca Camargo, diretor de jornalismo da MTV; José Geraldo Couto, repórter do encarte Mais! do jornal Folha de S.Paulo; Rosângela Petta, chefe de reportagem do Departamento de Telejornalismo da TV Cultura; e Ricardo Ohtake, diretor da Cinemateca Brasileira. Na platéia, assistem ao programa convidados da produção. Boa noite, secretário.
25/01/1993|Rodolfo Konder|3|Rodolfo Konder| Boa noite.
25/01/1993|Rodolfo Konder|4|Jorge Escosteguy| O senhor disse, em 1989, que via com simpatia e esperança o discurso modernizador do então candidato Fernando Collor de Mello. Agora, nas eleições municipais do ano passado, o senhor também viu com simpatia o discurso modernizador do atual prefeito Paulo Salim Maluf. Até que ponto o senhor acha que está correndo mais um risco de se decepcionar com um discurso modernizador?
25/01/1993|Rodolfo Konder|5|Rodolfo Konder| Bom, fazer política é sempre fazer apostas. Eu acho que eu já fiz algumas apostas erradas, mas também já fiz algumas apostas corretas. Acredito que o discurso modernizador do presidente Collor continua válido. Eu acho que as pessoas, diante do naufrágio, diante do fracasso do governo Collor, não devem enterrar junto com ele, em função desse fracasso, um discurso que correspondia a uma série de necessidades, de exigências da sociedade brasileira, e que é um discurso que está aí à espera de um novo autor. Eu diria, inclusive, que num artigo recentemente publicado...
25/01/1993|Rodolfo Konder|6|Jorge Escosteguy| [interrompendo] O senhor diria que o Paulo Maluf é o novo autor?
25/01/1993|Rodolfo Konder|7|Rodolfo Konder| Pode ser, eu acho que pode ser. Mas, por exemplo, um artigo do governador Fleury publicado recentemente na Folha de S.Paulo resgata algumas das preocupações das propostas do discurso modernizador do "falecido" presidente Collor. Agora, acho que o prefeito também está empenhado em trabalhar com essas idéias, com essas propostas e, nesse sentido, surgiu aí uma esquina que nos aproximou, não só a mim, mas a muitas outras pessoas que, já há algum tempo, vêm se preocupando com esses temas e que descobriram no prefeito um possível canal para a materialização desse discurso.
25/01/1993|Rodolfo Konder|8|Regina Echeverria| Secretário, o senhor sabia, com certeza, que seria extremamente patrulhado em aceitar esse cargo, inclusive de ser chamado de neomalufista. Eu queria saber qual foi a razão, além de compartilhar com as idéias, que o levou a aceitar esse convite e assumir esse cargo.
25/01/1993|Rodolfo Konder|9|Rodolfo Konder| Olha, eu insisto sempre que o convite me apanhou de surpresa. Ao participar daquele manifesto, na verdade nós estávamos dando seqüência a todo um trabalho político. Esse grupo não surgiu do dia para noite, ele é um grupo que já vinha se reunindo, discutindo e examinando uma série de preocupações conjuntas desde a época do Tancredo, na verdade, e muitas outras que vieram depois. Um grupo que, sob muitos aspectos, se desiludiu com o que aconteceu no chamado socialismo real e que vinha procurando caminhos. Nós nos reuníamos, inclusive elaboramos um manifesto contra o maniqueísmo já no segundo turno da eleição presidencial. Até o Mário de Andrade fazia parte do grupo, depois infelizmente faleceu, mas, enfim, era um grupo grande, numeroso, que se articulou em função de inúmeros eventos políticos, inúmeros momentos importantes da nossa evolução política. Agora, quando nos articulamos agora, em função do segundo turno da eleição, eu ainda tinha a idéia de votar em branco, porque no primeiro turno eu votei no Aloysio Nunes Ferreira [PMDB], mas estávamos igualmente preocupados, como na situação anterior, em impedir o retorno daquela ótica da *Guerra Fria, dos bons e dos maus, que o segundo turno estimula muito, não é? Então, nos manifestamos; eu endossei o manifesto, mas não previa desdobramentos administrativos com aquilo; o convite me apanhou de surpresa. Agora, no momento em que o prefeito me convidou, em primeiro lugar, ele já estava dando uma demonstração muito mais clara para nós todos de que realmente ele via o quadro político de uma maneira nova, quer dizer, entendeu que a sua eleição se deveu a um eleitorado que transbordava de muito os limites do velho malufismo; que ele estava realmente empenhado em encontrar novas posições, abrir o seu discurso, e nisso nós nos encontrávamos. Então, eu achei que, ao me fazer o convite, ele estava dando uma demonstração clara, prática de que havia mudanças em curso, não era apenas uma questão de retórica. E, mais do que isso, a maneira com que ele me fez o convite era praticamente irrecusável: ele me ofereceu carta branca para gerir a Secretaria Municipal da Cultura, e de fato, até aqui, ele não interferiu em nenhum momento na preparação da equipe, eu escolhi a equipe toda, uma equipe muito diversificada, de pessoas com diferentes opiniões, pertencentes a diferentes correntes de opinião; ele não interferiu, não indicou pessoas, não fez qualquer sugestão nem pediu que incluísse esse ou aquele nome. E também no plano das propostas de trabalho, quer dizer, não houve a menor interferência; ele até, generosamente, me definiu como o "prefeito da cultura". E ser o prefeito da cultura da maior cidade ao sul do Equador é um desafio quase irrecusável, porque também, veja bem, nós estamos num quadro de mudanças, e ele não está aí como um usurpador, ele foi eleito pela maioria do eleitorado. Então, ao aceitar esse convite, eu estou aceitando participar de um jogo político que me parece ousado, mas que me parece cheio de possibilidades.
25/01/1993|Rodolfo Konder|10|Jorge Escosteguy| Antes de passar ao Juca Kfouri, quero apenas lembrar ao telespectador que quando o secretário se referiu ao Mário de Andrade, se referia ao nosso querido companheiro Mário de Andrade que dirigiu a revista Playboy e que faleceu. Juca, por favor.
25/01/1993|Rodolfo Konder|11|Juca Kfouri| Bom, até emocionado com a referência ao Mário de Andrade, eu primeiro queria fazer um registro a que eu acho que o telespectador do Roda Viva tem o direito, pela transparência do programa. Eu também fui um dos signatários do documento Pelo Futuro de São Paulo. Sou companheiro do Rodolfo Konder há vinte anos, razão pela qual eu acho que devo esclarecer isso com muita transparência para o telespectador, mas que evidentemente não me impede de fazer todas as perguntas que eu imagino que o telespectador gostaria de fazer ao secretário da Cultura do município de São Paulo.
25/01/1993|Rodolfo Konder|12|Jorge Escosteguy| [interrompendo] Até porque ser corintiano não o constrange de comentar esportes [risos].
25/01/1993|Rodolfo Konder|13|Juca Kfouri| Exatamente, é com a mesma tranqüilidade que eu assumo o meu corintianismo, com muita honra, com muita honra e orgulho eu sou amigo do Rodolfo, que aqui trato como secretário. Uma das acusações mais sérias que lhe fizeram, a que a Regina até já fez referência, é a de que o senhor trocou o seu passado, a sua profissão por um prato de lentilhas. Eu gostaria que o senhor informasse quanto mais o senhor está ganhando como secretário da Cultura, comparado com o que o senhor ganhava como jornalista da TV Cultura.
25/01/1993|Rodolfo Konder|14|Rodolfo Konder| Olha, Juca, eu posso fazer diferentes leituras dessa crítica e dessa metáfora, mas há uma leitura que até que dá razão a quem me fez essa crítica, porque eu de fato troquei um belo salário aqui na Cultura por um prato de lentilhas. Porque o salário de secretário é a metade do que eu ganhava na TV Cultura. Agora, é evidente que não me moveu nem a questão salarial, quer dizer, a idéia de que eu estivesse me beneficiando materialmente, nem mesmo a questão de uma eventual notoriedade, porque, embora eu hoje esteja aqui no centro do Roda Viva, como jornalista de televisão, a gente tem muito mais notoriedade do que qualquer secretário. Você aparecer todos os dias na televisão...
25/01/1993|Rodolfo Konder|15|Juca Kfouri| [interrompendo] Isso me leva a uma segunda pergunta que eu acho que está diretamente ligada a essa. Isso não coloca de cara, prontamente, a questão de como é difícil a vida pública num país em que os cargos públicos não podem concorrer com os cargos que essas pessoas têm na vida privada? De forma que, ou para ser um funcionário, para ser um servidor do público, você precisa ser milionário ou precisa querer roubar? Quer dizer, na sua área recentemente tivemos um escândalo na Secretaria da Cultura do Estado, até agora não esclarecido, quer dizer, como é que fica esse jogo? Como é ser capaz de não se deixar levar por esse tipo de tentação que, eventualmente, é capaz de acontecer?
25/01/1993|Rodolfo Konder|16|Alex Solnik| E só para completar o Juca: o seu salário aqui na Cultura que era ótimo ou o seu salário como secretário que é péssimo? [risos]
25/01/1993|Rodolfo Konder|17|Rodolfo Konder| O salário como secretário é que é péssimo. Eu me compenso um pouco porque eu tenho uma aposentadoria. Eu sou aposentado. Mas sou aposentado porque a lei definiu para mim essa estranha situação. Eu fui cassado – na época com dois esses e com cê cedilha –, mas depois, quando veio a Anistia [Lei da Anistia], eu fui reintegrado e depois aposentado compulsoriamente. Então, eu tenho uma aposentadoria que me impede que a perda seja maior, quer dizer, uma aposentadoria que me garante um padrão de vida mais razoável, mas o salário de secretário é muito baixo. Os salários do funcionalismo são muito baixos. Agora, eu responderia ao Juca o seguinte: eu acho que nós fazemos parte de alguma coisa nova, veja bem, que eu ainda não consigo definir com clareza, mas tenho a plena convicção de que é alguma coisa nova, e estamos vivendo no Brasil os primeiros sintomas mais evidentes de todo um processo de reorganização, de reestruturação política no plano mundial, quer dizer, o aparecimento daquilo que o presidente [dos Estados Unidos entre 1989-1993 George H. W.] Bush definiu como uma nova ordem mundial e que podemos até considerar uma nova desordem mundial, mas, enfim, é alguma coisa diferente que está aí e que sucede aquela lógica barata, empobrecedora da Guerra Fria e começa a se manifestar aqui no Brasil. Uma pergunta que eu sempre faço às pessoas com quem eu converso sobre esse tema: seria possível alemães e franceses estarem hoje vivendo intensamente esse processo de integração da Europa se eles continuassem a se orientar pela ótica da Segunda Guerra Mundial?
25/01/1993|Rodolfo Konder|18|Oliveiros S. Ferreira| Perdão, eu colocaria diferentemente: seria possível eles viverem como estão vivendo sem a Guerra Fria?
25/01/1993|Rodolfo Konder|19|Rodolfo Konder| Sem a Guerra Fria? Como?
25/01/1993|Rodolfo Konder|20|Oliveiros S. Ferreira| Se não tivesse havido a *Guerra Fria, seria possível a união?
25/01/1993|Rodolfo Konder|21|Rodolfo Konder| Ah, se não tivesse havido. Pois é, mas eu ainda fui um pouco mais longe, porque eu acho que os ódios da Segunda Guerra Mundial foram, sob certos aspectos, muito mais profundos do que os da Guerra Fria.
25/01/1993|Rodolfo Konder|22|Oliveiros S. Ferreira| Eu diria que foram suplantados pela Guerra Fria.
25/01/1993|Rodolfo Konder|23|Rodolfo Konder| É verdade, eu ia chegar lá. Agora, de qualquer forma, veja bem, se nós considerarmos que morreram 50 milhões de pessoas e que a Europa foi duramente atingida pela Segunda Guerra, eu diria que os ressentimentos, os ódios, tudo aquilo que orientou as pessoas ao longo da Segunda Guerra, e que depois orientou as pessoas durante os anos da Guerra Fria, e ninguém luta mais contra essa herança da Guerra Fria do que eu, se eles tivessem continuado a se orientar por aquela lógica, nós não teríamos a Europa unificada. Eu diria que, no Brasil, se nós continuarmos a nos orientar pelos velhos ressentimentos, pelos velhos ódios, pelos antigos rancores, que já me orientaram, eu já fui...
25/01/1993|Rodolfo Konder|24|Regina Echeverria| [interrompendo] O senhor já foi antimalufista?
25/01/1993|Rodolfo Konder|25|Rodolfo Konder| Eu fui antimalufista e considerava o Maluf um inimigo meu, mas eu hoje sou um homem do desarmamento. Eu acho que nós estamos vivendo um prenúncio de uma grande reorganização política, de um grande realinhamento...
25/01/1993|Rodolfo Konder|26|Oliveiros S. Ferreira| [interrompendo] É uma aposta otimista que faz [ri].
25/01/1993|Rodolfo Konder|27|Rodolfo Konder| Não, eu diria, por exemplo: basta a gente pensar no quadro atual, Oliveiros, e você freqüentemente aborda esse tema nos seus editoriais, e não estou jogando confete, mas eu leio muito os seus editoriais e me orientava muito por eles aqui na TV Cultura.
25/01/1993|Rodolfo Konder|28|Oliveiros S. Ferreira| [Os editorias] não são meus, são do Estado de S. Paulo.
