DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/04/1994|Ruth Rocha|1|Roseli Tardelli|Boa noite. Estamos começando mais um Roda Viva, pela Rede Cultura de São Paulo. Hoje nós vamos entrevistar a escritora de livros infantis Ruth Rocha. Ela tem mais de seis milhões de exemplares vendidos. É traduzida em vinte línguas. Tem como principais livros: Marcelo, marmelo, martelo; Quando eu comecei a crescer; Reizinho mandão e Nicolau tinha uma idéia. No ano passado, a Ruth, que se diz preguiçosa e considera isso um defeito seu, recebeu dois prêmios Jabuti, um prêmio como autora do melhor livro informativo da Fundação Nacional do Livro Infantil do Rio de Janeiro, e ainda o Prêmio Monteiro Lobato de Academia Brasileira de Letras, como autora do melhor livro do ano pela série O homem e a comunicação. Para entrevistar a escritora Ruth Rocha, estão hoje à noite aqui com a gente a jornalista Mônica Rodrigues Costa, editora da Folhinha do grupo Folha da Manhã; Lourdes Sola, editora do Estadinho do grupo O Estado de S. Paulo; Tatiana Belinky, jornalista e escritora; Helena Salem, jornalista e escritora; Nelson Ascher que é editor da Revista da Universidade de São Paulo; o Fernando Portela, que também é jornalista e escritor; a Marta Góes que é jornalista, e Zélia Cavalcanti que é educadora. Lembramos que o Roda Viva é retransmitido por 26 emissoras em todo o país. Como o programa desta noite foi gravado, não vai ser possível a participação dos telespectadores por telefone como normalmente acontece. Ruth, boa noite.
25/04/1994|Ruth Rocha|2|Ruth Rocha|Boa noite.
25/04/1994|Ruth Rocha|3|Roseli Tardelli|Lendo o seu material, eu vi que você disse, em uma das entrevistas, que começou a escrever livros infantis por acaso. Como é que a gente começa a escrever livros infantis por acaso, e consegue aí seis milhões de exemplares vendidos e consegue criar essa cumplicidade com as crianças, como você conseguiu?
25/04/1994|Ruth Rocha|4|Ruth Rocha|Olha, eu acho que a chave está na cumplicidade. Eu acho que embora não escrevesse antes para crianças, eu sempre fui cúmplice de crianças. Eu trabalhei durante 15 anos como orientadora educacional, e eu tenho uma atitude em relação às crianças de extrema cumplicidade, porque eu acredito que, principalmente no Brasil, nos países subdesenvolvidos em geral, a criança é muito mal considerada, muito maltratada, muito pouco amada; a criança não entra nas cogitações das prioridades do país. E isso faz com que eu considere sempre a criança como uma coisa muito importante; é necessário que se dê atenção a ela, é necessário que se trabalhe mais por ela. Então, quando eu escrevo, eu tenho uma cumplicidade total com a criança. Eu não sabia, evidentemente, que ia vender muitos livros, mas já tinha toda essa cumplicidade que eu aprendi durante meus anos de orientadora educacional.
25/04/1994|Ruth Rocha|5|Roseli Tardelli|Isso quer dizer que você não pensava em ser escritora?
25/04/1994|Ruth Rocha|6|Ruth Rocha|Nunca pensei. Eu fui daquelas meninas que pensam em ser tudo: bailarina, não sei o quê. Em uma ocasião, até eu pensei em ser escritora, eu e uma amiga minha começamos um caderninho, e era um caderninho azul que a gente começou a escrever um plágio, evidentemente, de uma obra qualquer que a gente estava lendo. E aquilo não prosperou e também não levava muito a sério, não. E faltavam para mim referências para poder ser escritora. Eu só tive essas referências muitos anos depois, quando eu li Eça de Queiroz. Eu tive um professor que mandou ler A cidade e as serras, o professor Everaldo Castelo, ainda está na Universidade de São Paulo, e ele era muito jovem, era meu professor de ginásio. E nós líamos muita bobagem, só lia romance, essas coisas.
25/04/1994|Ruth Rocha|7|Roseli Tardelli|A gente poderia dizer que seu talento é adquirido ou não?
25/04/1994|Ruth Rocha|8|Ruth Rocha|Poderia sim. Acho que sim. Porque só depois que eu comecei a ler coisas mais importantes... É verdade que eu tinha lido todo Monteiro Lobato, com muita paixão. Mas quando eu comecei a ler livros mais sérios, mais importantes, de grandes autores, é que eu comecei a perceber o que era literatura. Mas ainda custou muito para eu achar o meu caminho como escritora. Porque eu estudei sociologia política, e depois eu comecei a trabalhar como orientadora educacional, fiz o curso de pós-graduação na PUC. E aí fiquei muito interessada em orientação e tal, trabalhei muitos anos. E só no momento em que se fundou a revista Recreio, que foi um marco da literatura infantil brasileira, foi que eu fui convidada pela Sônia Robatto, que era a diretora da revista, para fazer a orientação pedagógica. E daí foi um passo para começar a escrever histórias infantis, porque a Sônia, que escrevia todas as histórias, cansou-se de escrever e me convidou então para escrever, e eu comecei.
25/04/1994|Ruth Rocha|9|Marta Góes|Mas isso foi o acaso?
25/04/1994|Ruth Rocha|10|Ruth Rocha|É. Foi o acaso, foi realmente.
