DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
27/02/2006|Ruy Castro|1|Paulo Markun| Boa noite. Ele disse que já escreveu para toda espécie de veículo, exceto bula de remédio. É o viés de humor de um profissional que já tratou de quase tudo, em mais de 30 anos de imprensa, e outros oito dedicados exclusivamente à literatura. E que surge atualmente como um dos principais autores de biografias no Brasil. Acaba de lançar a biografia de Carmen Miranda. É o terceiro livro do gênero que ele escreve desde que se dedicou a carreira de escritor. A literatura veio depois de toda uma vida profissional na grande imprensa que começou nos anos 60 no Rio de Janeiro.
27/02/2006|Ruy Castro|2|[Comentarista]| "Eu não moro no Rio, eu namoro o Rio!" A frase de Tom Jobim [(1927-1994) compositor e instrumentista. Um dos criadores do movimento bossa nova] também marcou a vida de Ruy Castro. Mineiro de Caratinga que, pelo tanto que foi ao Rio de Janeiro quando menino, acabou virando carioca por adoção. Aos 16 anos já morava na cidade, foi em 1964, ano do golpe militar. Dez anos mais tarde, aos 19, Ruy Castro foi cursar ciências sociais e começou a carreira de jornalista. Em mais de 30 anos passou pelas redações dos principais jornais e revistas do país, quase sempre nas seções culturais. A carreira de escritor foi brotando junto e ganhou peso a partir de 1990 quando publicou Chega de saudade, uma história da vida cultural e boêmia do Rio de Janeiro, dos compositores, cantores e instrumentistas nos tempos da bossa nova. Depois disso vieram mais de 20 livros, com destaque para uma especialidade que passou a marcar o escritor Ruy Castro: as biografias. O anjo pornográfico: a vida de Nelson Rodrigues [o título vem de uma autodefinição de Nelson Rodrigues: "Sou um menino que vê o amor pelo buraco da fechadura. Nunca fui outra coisa. Nasci menino, hei de morrer menino. E o buraco da fechadura é, realmente, a minha ótica de ficcionista. Sou (e sempre fui) um anjo pornográfico."] ; Estrela solitária, sobre Garrincha. E, agora, a biografia de outro mito, Carmen Miranda, a brasileira mais famosa do século XX. Maior cantora do rádio, estrela imbatível dos cassinos, no cinema e em Hollywood, rica, adorada por todos, morreu aos 46 anos depois de uma carreira meteórica. Ao entrelaçar a intimidade e a vida pública da "pequena notável", o livro se tornou a maior biografia já escrita no Brasil sobre uma personalidade e vai muito além dos balangandãs que fizeram a imagem e a lembrança deixada por Carmen Miranda ao país que tanto se alegrou por ela.
27/02/2006|Ruy Castro|3|Paulo Markun| Para entrevistar o escritor e jornalista Ruy Castro, nós convidamos Mário Sérgio Conti, apresentador do Band News e colunista do site No mínimo; Sérgio Rizzo, crítico de cinema da Folha de S. Paulo e colunista do Uol News; Hélio Goldsztejn, diretor do programa Metrópolis, da TV Cultura; Isabel Lustosa, historiadora e cientista política; Lilian Pacce, editora de moda e apresentadora do GNT Fashion; Ubiratan Brasil Mata, subeditor do Caderno 2 do jornal O Estado de S. Paulo e Pedro Alexandre Sanches, escritor, repórter e crítico musical da revista Carta Capital. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Mas hoje, como o programa está sendo gravado, ele não permite a participação dos telespectadores. Boa noite, Ruy.
27/02/2006|Ruy Castro|4|Ruy Castro| Boa noite, Markun.
27/02/2006|Ruy Castro|5|Paulo Markun| Você já falou mais de uma vez que essa história de biografia, o sujeito começa achando que vai devorar ou decifrar o personagem e acaba acontecendo uma coisa um pouco ao contrário. Quer dizer, você acaba incorporando. Queria saber o que é que você incorporou da Carmen Miranda?
27/02/2006|Ruy Castro|6|[Risos]|[Risos]
27/02/2006|Ruy Castro|7|Ruy Castro| É verdade, eu achei que fosse capturar a alma da Carmen. Tive essa pretensão também com o Garrincha, com o Nelson Rodrigues, livros anteriores, e com pouco tempo de trabalho, você abdica da sua vida pessoal, dos seus próprios sentimentos e pensamentos e passa a viver em função do personagem. E você leva tanto tempo no processo e misteriosamente você começa até a reagir como personagem. Você quase que se torna o personagem, de certa maneira. Porque você dedica, não estou falando do meu caso, particular, né, que eu empenho 24 horas por dia. Mas você não faz mais nada, não pensa [em] mais nada, só naquele personagem, então de alguma maneira você se torna ele.
27/02/2006|Ruy Castro|8|Paulo Markun| Mas há uma diferença entre isso e você imaginar o que o personagem sentiu ou pensou em determinada circunstância? Isso...
27/02/2006|Ruy Castro|9|Ruy Castro| Isso é rigorosamente...
27/02/2006|Ruy Castro|10|Paulo Markun| Isso é campo [em] que você não entra?
