DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
17/12/2001|Sérgio Amaral|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
17/12/2001|Sérgio Amaral|2|Paulo Markun| Boa noite. 2002 deve ser mais um ano duro, chave para a economia brasileira, complicado por conta das dificuldades da economia mundial e que, por isso mesmo, vai exigir do governo e dos empresários brasileiros esforços extras para conquistar mercados e aumentar as exportações. Nosso entrevistado desta noite recebeu a missão de colocar em prática o desafio lançado em tom firme pelo presidente da República [Fernando Henrique Cardoso], que diz o seguinte: "Exportar ou morrer". No centro do Roda Viva está Sérgio Amaral, ministro do Desenvolvimento, Indústria e Comércio Exterior. Sérgio Amaral foi porta-voz do presidente Fernando Henrique durante cinco anos até assumir a embaixada brasileira em Londres. Formado em direito, diplomata de carreira, doutor em ciências políticas na Universidade de Paris, é um especialista em dívida externa, crise de liquidez e crescimento econômico, além se dizer obcecado pelas exportações. Mas, esta semana, as dificuldades em torno do comércio mundial ganharam um destaque novo, com a reunião programada para quinta-feira agora, entre os quatro presidentes do Mercosul [Mercado Comum do Sul], bloco que sofre com a crise grave de três dos seus países-membros e também com as perspectiva de criação da Alca, Área de Livre Comércio das Américas. Para entrevistar o ministro Sérgio Amaral, convidamos os jornalistas: Teodomiro Braga, diretor da sucursal do Jornal do Brasil em Brasília; Dirceu Brisola, editor da revista Brazil Now; Sidnei Brasile, diretor do grupo Exame; Maria Clara do Prado, colunista do jornal Gazeta Mercantil; Cláudia Safatle, diretora adjunta da sucursal de Brasília do jornal Valor Econômico; Guilherme Barros, editor do "Painel S.A." do jornal Folha de S.Paulo; o empresário Paulo Skaf, presidente da ABIT [Associação Brasileira da Indústria Têxtil e de Confecção]. O Roda Viva é transmitido em rede nacional para todos os estados brasileiros e Brasília. Você pode usar o telefone ou a internet para mandar sua mensagem, fazer sua pergunta, sua crítica, sua observação. A Shizuka e a equipe dela estão aqui para registrar as informações. O nosso telefone é (11) 252-6525, o fax é (11) 3874-3454 e o endereço na internet é rodaviva@tvcultura.com.br. Boa noite, ministro.
17/12/2001|Sérgio Amaral|3|Sérgio Amaral| Boa noite, Paulo.
17/12/2001|Sérgio Amaral|4|Paulo Markun| Nesta reunião de quinta-feira agora, tenho certeza que o assunto vai ser momentoso. A Argentina acaba de assistir diversas manifestações de protestos contra as exportações brasileiras, programas populares de rádio ensinam como identificar através do código de barras os produtos brasileiros e boicotá-los. Esse é o clima que se vive, no que é o país, se não estou enganado, mais beneficiado pelo Mercosul, porque foi o país que mais aumentou suas exportações. Que perspectiva há nessa política de exportações, mais do que isso, na sobrevivência do Mercosul?
17/12/2001|Sérgio Amaral|5|Sérgio Amaral| Olha, eu não vejo com preocupação a sobrevivência ou a perspectiva do Mercosul. O Mercosul passa por uma crise e é compreensível que isso aconteça porque um de seus membros mais importantes, a Argentina, está passando por sérias dificuldades financeiras [crise da Argentina], e isso afeta o Mercosul. O ministro Cavallo tem sempre levantado a questão da desvalorização da moeda brasileira, retirando competitividade do produto argentino. Em parte, isso é verdade. Agora, também é verdade que os números não demonstram ou comprovam que a teoria do ministro Cavalo de que nós precisamos ter algum tipo de indexação das tarifas nas oscilações de câmbio no Brasil. Porque, na verdade, as exportações brasileiras para a Argentina vêm caindo, e as exportações Argentinas para o Brasil, inclusive, de manufaturados, vêm subindo. Desde 1995, a Argentina tem um saldo comercial expressivo com o Brasil. Mas desde 1993, a Argentina tem um déficit comercial com os Estados Unidos, e aí não é pequeno: são cerca de dois bilhões de dólares por ano. Agora, no momento de dificuldade que a Argentina passa, o mais importante que temos a fazer é demonstrar como o governo brasileiro tem feito. O presidente, sobretudo, tem total solidariedade com a Argentina, inclusive se empenhou muito para que houvesse o apoio dos organismos financeiros multilaterais à Argentina. E acho que nós devemos demonstrar compreensão na relação de comércio, porque o importante para nós é que a Argentina supere o mais rápido possível essas dificuldades. A economia argentina é sólida, muito competitiva e está passando por uma crise financeira que, aliás, é a quinta ou sexta que o sistema financeiro vive em pouco mais de seis ou sete anos. E, tão logo a Argentina supere essa dificuldade, o Mercosul recupera o seu dinamismo e a sua confiança.
17/12/2001|Sérgio Amaral|6|Guilherme Barros| Ministro, quais saídas o senhor enxerga para a Argentina superar as dificuldades? Existe um debate sobre a dolarização ou a desvalorização. Como isso poderá afetar o Brasil?
17/12/2001|Sérgio Amaral|7|Sérgio Amaral| Eu acho que nenhuma das duas saídas é fácil. A dolarização retira instrumentos de política econômica e afeta as pessoas e empresas endividadas em dólar. Não tem nenhuma saída fácil. Agora, evidentemente, do ponto de vista do Mercosul, a saída mais compatível com o projeto de uma moeda comum não é a dolarização. Mas a decisão é Argentina e eles têm que encontrar o que é melhor para eles.
17/12/2001|Sérgio Amaral|8|Guilherme Barros| Neste caso seria a desvalorização a melhor saída?
17/12/2001|Sérgio Amaral|9|Sérgio Amaral| Eu não sei se é a melhor saída, o que estou dizendo é que, do ponto de vista do Mercosul, é a mais compatível com o projeto de uma moeda única.
17/12/2001|Sérgio Amaral|10|Dirceu Brisola| Ministro, o Mercosul se tornou uma coisa relativamente tímida com o passar do tempo, e outras articulações regionais se mostram mais eficazes, mais velozes, mais fortes, como a União Européia [união política e econômica de 27 Estados europeus, desde 1993. O objetivo é promover uma economia livre, concorrencial e sem barreiras comerciais], o Nafta [Tratado Norte-Americano de Livre Comércio, envolvendo Canadá, México e Estados Unidos numa atmosfera de livre comércio, com custo reduzido para troca de mercadorias entre os três países. O Nafta entrou em vigor em 1º de janeiro de 1994] e, agora na Ásia, uma possibilidade de articulação muito forte. O Mercosul tem um caminho que no início foi razoavelmente acelerado, mas depois se tornou tão tímido que parece quase inviável.
17/12/2001|Sérgio Amaral|11|Maria Clara do Prado| Eu queria só complementar essa questão do Brisola, lembrando o seguinte: a política externa brasileira, até uns três anos atrás, via o Mercosul como um elemento fundamental, estratégico, tendo em vista futuras negociações no âmbito da Alca. O Mercosul tinha um papel mais político do que propriamente econômico para o Brasil. E eu acho que a impressão geral hoje é que muito dificilmente o Mercosul se sustente, tendo em vista essa situação, enquanto a Argentina não resolver seus problemas. E por outro lado, a Alca está nessa confusão, tem esse fast track que foi aprovado lá pelo Congresso dando poderes ao presidente, mas tirando aquilo que mais interessa ao Brasil. Então, eu pergunto, qual seria a função do Mercosul hoje dentro da perspectiva estratégica brasileira, ele teria ainda alguma função a desempenhar?
