DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
27/08/1990|Sérgio Cabral|1|[Programa ao vivo, permitindo a participação dos telespectadores]|[Programa ao vivo, permitindo a participação dos telespectadores]
27/08/1990|Sérgio Cabral|2|Rodolfo Konder| Boa noite. Estamos começando mais um Roda Viva. O convidado desta noite é o jornalista, escritor e vereador Sérgio Cabral. Para entrevistar Sérgio Cabral, estão conosco Kleber de Almeida, editor do Caderno de Sábado do Jornal da Tarde; João Carlos Botezelli, o Pelão, jornalista e produtor musical; Maria Luiza Kfouri, diretora da Rádio Cultura; Jimi Joe, editor de música do Caderno 2 do jornal O Estado de S. Paulo; Roberto Ethel, diretor da revista Voice, e Ziraldo, cartunista e escritor. Sérgio Cabral Santos é carioca e tem 53 anos. Jornalista desde os 19 anos, especializou-se em música popular brasileira e foi um dos integrantes da patota do Pasquim. Seu interesse pela música começou com uma coleção de discos de Orlando Silva [(1915-1978), conhecido como o “cantor das multidões”, foi uma das mais belas vozes masculinas que o Brasil já teve], que pertencia a um tio. Mais tarde, estudou violão e piano e tornou-se compositor. Em 1982 candidatou-se a vereador no Rio de Janeiro e foi eleito. Sérgio Cabral também tem um extenso arquivo com vários documentos raros da música popular brasileira, entre eles, contratos do início da carreira de Noel Rosa. Sérgio Cabral acaba de lançar No tempo do Almirante: uma história de rádio e da MPB [Música Popular Brasileira], um livro que recupera os acontecimentos musicais do nosso país, desde a década de 1920. Boa noite, Sérgio Cabral.
27/08/1990|Sérgio Cabral|3|Sérgio Cabral| Boa noite.
27/08/1990|Sérgio Cabral|4|Rodolfo Konder| Falamos aqui da sua atividade também como compositor. Quais foram suas músicas mais bem sucedidas como compositor?
27/08/1990|Sérgio Cabral|5|Sérgio Cabral| Bom, a minha obra de compositor é pequena. Eu me tornei compositor graças a Rildo Hora [violonista, cantor, compositor, arranjador e produtor. É considerado o principal produtor-arranjador de samba e responsável pelos grandes sucessos de Martinho da Vila, Zeca Pagodinho, Grupo Fundo de Quintal, Beth Carvalho, Dudu Nobre, Dona Yvonne Lara e outros grandes sambistas], que é um grande músico, um grande compositor, que aliás tem um filho chamado Ziraldo, em homenagem ao próprio, que está aqui. E o Rildo me convidou para ser parceiro e fizemos algumas músicas. Eu devo ter umas vinte músicas gravadas, a mais conhecida é uma chamada “Os meninos da mangueira”. [Começa a cantar]: “Um menino da mangueira recebeu pelo Natal, um pandeiro...
27/08/1990|Sérgio Cabral|6|Ziraldo| [interrompendo] Mas não é a melhor, hein. A melhor é aquela inédita, esqueceu?
27/08/1990|Sérgio Cabral|7|Sérgio Cabral| É, tenho, modéstia à parte, algumas boas, mas essa realmente foi um grande sucesso. Esta música – “Os meninos da mangueira” – foi a música mais executada no ano de 1976, disputando com “Moça” de Wando. E eu acho que nós ganhamos, não sei.
27/08/1990|Sérgio Cabral|8|Kleber de Almeida| Sérgio, além de compositor, de pesquisador de música popular brasileira, você é também um dos mais conhecidos jurados dos desfiles de escolas de samba do Rio de Janeiro, portanto, uma das autoridades no assunto. Há alguns anos atrás, você deu uma entrevista ao Jornal do Brasil, se não me falha a memória, dizendo-se meio chateado com o ambiente das escolas de samba. Você chegava até a dizer que ela já era minada pela contravenção e já estava começando a ser minada também pelas drogas. Você continua pessimista com relação à escola de samba ou esse ambiente já melhorou? Qual é a sua opinião hoje?
27/08/1990|Sérgio Cabral|9|Sérgio Cabral| Não, essa entrevista não era pessimista não, pelo contrário, é até otimista. E só uma retificação: eu nunca fui jurado de escola de samba...
27/08/1990|Sérgio Cabral|10|Kleber de Almeida| [interrompendo] Dos desfiles de escolas de samba.
27/08/1990|Sérgio Cabral|11|Sérgio Cabral| Não, eu nunca fui. Eu trabalho normalmente em televisão, cobrindo o desfile de escola de samba. Aliás eu sou o jornalista que há mais tempo cobre escola de samba em televisão. Eu cubro escola de samba na televisão desde 1962, com a antiga TV Rio, e cubro para jornal desde 1958.
27/08/1990|Sérgio Cabral|12|Kleber de Almeida| Tem o Estandarte de Ouro [Troféu criado em 1972 pelo jornal O Globo para premiar os grandes destaques dos desfiles das escolas de samba do carnaval carioca] também, não é, de que você fez parte?
27/08/1990|Sérgio Cabral|13|Sérgio Cabral| Fiz parte do Estandarte de Ouro, mas do júri propriamente oficial, eu nunca fiz parte. Naquela entrevista eu estava falando de um problema que a cidade do Rio de Janeiro estava enfrentando e que afetava a escola de samba. A propósito de uma pergunta sobre os bicheiros que estavam comandando as escolas, eu disse que os bicheiros comandavam algumas escolas, até a minoria e que... E eu recusava a esse bicheiro, autoridade para pontificar sobre samba como eles estavam pontificando, como estão pontificando; eles não têm essa autoridade, a não ser financeira. E eu estava preocupado realmente com a interferência do negócio do tóxico, porque a entrada do tóxico nesse mundo da marginalidade e tal quebrou um... Ela mudou a qualidade da história, mudou a qualidade de uma série de coisas. O tóxico acabou, por exemplo, com uma certa ética que havia entre a marginalidade, esse tipo de marginalidade e as instituições populares. Então, havia uma ética, por exemplo, entre o marginal e a escola de samba. O marginal poupava a escola de samba e até a protegia, como patrimônio do povo. O cara do tóxico não tem esse respeito, não tem essa ética, e a minha grande preocupação era essa realmente. E aí entra não só na escola de samba como de um modo geral... Enfim, é uma atuação muito desagregadora, terrível.
27/08/1990|Sérgio Cabral|14|Maria Luiza Kfouri| E você acha que isso está interferindo na qualidade dos desfiles, dos sambas?
27/08/1990|Sérgio Cabral|15|Sérgio Cabral| Não, felizmente não. Não chega a esse ponto. Não há nenhuma escola de samba que seja dominada por traficantes; isso não é verdade, não existe isso. Em certas escolas, por exemplo, os traficantes às vezes adotam um determinado samba, na briga pelo samba-enredo; adota por alguma razão que eu nunca entendi por quê, já que não vai vender mais tóxico com aquele samba, não é? Ou enfim, porque querem o compositor...
27/08/1990|Sérgio Cabral|16|Maria Luiza Kfouri| E esse samba costuma ser o samba escolhido ou não?
27/08/1990|Sérgio Cabral|17|Sérgio Cabral| Não.
27/08/1990|Sérgio Cabral|18|Maria Luiza Kfouri| Não?
27/08/1990|Sérgio Cabral|19|Sérgio Cabral| Não, e até é uma boa pergunta. Eu diria que não, não sei de nenhuma vitória deles nessa área, não.
27/08/1990|Sérgio Cabral|20|Jimi Joe| Sérgio, está falando de samba, vamos continuar falando de samba. Quando eu tinha com uns 14, 15 anos, por aí, eu ganhei um disco de um tio meu, que chamava Rosa de Ouro, que tinha uma contra-capa escrita por você, assinada e tal. E foi o meu primeiro contato com o samba verdadeiro, que eu reconheci como um samba verdadeiro e autêntico. Eu queria saber de você em que pé está o samba atualmente no Brasil, como é que está o nosso samba?
27/08/1990|Sérgio Cabral|21|Sérgio Cabral| Está bem, quer dizer, os grandes sambistas estão aí, estão fazendo samba e até estão se renovando, estão surgindo novos valores. Tem um cara chamado Zeca Pagodinho que é fantástico. Aliás, eu fico impressionado como a mídia brasileira é burra em relação aos acontecimentos culturais e musicais brasileiros. É impressionante como os jornais do Rio – eu vou falar só do Rio – só dão valor a esses caras, que realmente não tem, são os caras que fazem sucesso, a maioria de classe média e tal. E como esnobam um cara como o Zeca Pagodinho, que é rigorosamente um talento, é um sujeito de entusiasmar, fantástico! É um Noel Rosa dos anos 90. Fantástico! Além de cantar, é um carioca na acepção mais romântica, mais lírica, mais poética, mais musical da palavra. Mas tratam o Zeca Pagodinho como, sei lá, um suburbano e tal. Então o samba continua, os velhos sambistas estão lá produzindo e tal. Porém há um contraste entre a produção, a criatividade e a mídia. A mídia tem outros interesses, eu não vou nem discutir, não vou aqui bancar o idealista. Devia mudar [fala engrossando a voz]! É claro que devia mudar, mas eles têm outros interesses, eles precisam, enfim, (...) de lucro imediato, sei lá... E são burros, [fala com ênfase] são muito burros! Dos mais antros da burrice brasileira, estão as gravadoras.
