DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
13/03/1995|Sergio Motta|1|Matinas Suzuki| Boa noite, ele é tão próximo do presidente da República que chega a repartir com Fernando Henrique Cardoso [ver entrevista com FHC no Roda Viva] o mesmo mal: as dores na coluna. Quem não o reconhece como um dos homens mais fortes da República, também pode se dar mal: o ex-deputado Pimenta da Veiga não o convidou para um jantar e perdeu a presidência do PSDB. Legalmente, ele ainda tem em suas mãos um poder incalculável: o de distribuir concessões de emissoras de rádio e televisão e de outros veículos de comunicação. Esse poder aumenta, quando se observa que ele assume, cada vez mais, um papel de articulador político do governo. No seu ministério passam ainda os serviços públicos mais cobiçados pela iniciativa privada: o uso de satélites e a telefonia celular. No centro do Roda Viva, que começa agora pela Rede Cultura, está Sérgio Roberto Vieira da Motta, 54 anos, ministro das Comunicações.
13/03/1995|Sergio Motta|2|[Comentarista]| O engenheiro Sergio Motta sempre abominou ser tratado como o tesoureiro de campanha de Fernando Henrique Cardoso. Ele vai gostar menos ainda de ser chamado de “o bom burguês” [nos anos 60, Jorge Medeiros Valle, funcionário do Banco do Brasil no Rio de Janeiro, usou de seus conhecimentos contábeis para desviar recursos para a luta armada contra a ditadura, tornando-se conhecido, por sua atitude contraditória a sua posição socioeconômica, como o “bom burguês”. Em 1982, a história originou o filme O bom burguês dirigido por Oswaldo Caldeira, que deu o nome de Lucas ao personagem principal, vivido pelo ator José Wilker], mas a tentação é grande, afinal, o ministro que militou na esquerda cristã era um empresário de sucesso que dava empregos aos perseguidos pelo regime militar. Na folha de pagamentos da sua empresa, a Hidrobrasileira, já constaram nomes como o do comandante da Aliança Libertadora Nacional (ANL), Carlos Marighella [ativista político morto em 1969 pelo governo militar]. O ministro foi jornalista e garantiu o caixa do jornal Movimento, uma publicação que, nos anos 70, lutava pela volta das liberdades democráticas. Sergio Motta produziu peças teatrais, como A morte do caixeiro viajante [escrita em 1949 pelo autor americano Arthur Miller, percorreu palcos em todo o mundo], mas, sobretudo, fez política. Em 1985, foi o coordenador da campanha de Fernando Henrique à prefeitura de São Paulo. Fernando Henrique não chegou lá, mas não esqueceu o colaborador. Sergio Motta voltou à campanha para a presidência, dessa vez, com resultados sabidamente melhores. De presente, ganhou um poderoso vespeiro. Sergio Motta agradeceu e parece estar disposto a "cutucar várias onças".
13/03/1995|Sergio Motta|3|Sergio Motta [arquivo Roda Viva]| ”O único interesse final de cada investimento, de cada concorrência, será transparente ao interesse público, só esse será o interesse que deverá ser considerado”.
13/03/1995|Sergio Motta|4|Matinas Suzuki| Para entrevistar o ministro das Comunicações Sergio Motta, nós convidamos hoje: Ethevaldo Siqueira, diretor de redação da RTN [Revista Nacional de Telecomunicações]; Marcelo Pontes, diretor da sucursal de Brasília e colunista do Jornal do Brasil; Luciano Suassuna, chefe da sucursal de Brasília da revista Isto É; Wagner Barreira, repórter sênior da direção editorial da Editora Abril; Dácio Nitrini, diretor executivo do Telejornal Brasil do SBT [Sistema Brasileiro de Televisão]; Elvira Lobato, repórter especial da Folha de S.Paulo; Marcelo Parada, diretor de jornalismo da Rádio Eldorado e Celso Ming, comentarista de economia do programa Opinião Nacional da Rede Cultura e colunista do Jornal da Tarde. Nós lembramos que o Roda Viva é transmitido em rede nacional por 30 emissoras, entre elas, a partir de hoje, a TVE do Rio de Janeiro. Você também pode participar deste programa fazendo perguntas pelo telefone: (011)252-6525. Eu vou repetir: (011)252-6525. Se você preferir o fax, escreva para: (011)874-3454. Repetindo: (011)874-3454. Para a entrevista com o ministro das Comunicações, o Roda Viva, pela primeira vez na televisão brasileira, abriu uma linha especial através de computador, pelo sistema internet. Chegaram mais de 100 perguntas do Japão, Estados Unidos, Austrália, Canadá, além do Brasil e outros países, as quais serão feitas ao ministro Sergio Motta no decorrer deste programa. Boa noite, ministro.
13/03/1995|Sergio Motta|5|Sergio Motta| Boa Noite.
13/03/1995|Sergio Motta|6|Matinas Suzuki| Ministro, hoje, parece que o senhor anunciou ou, pelo menos, deu uma entrevista, dizendo que gostaria de mudar algumas coisas nas concessões. O senhor mencionou uma espécie de leilão das concessões. Como seriam feitos esses leilões, ministro?
13/03/1995|Sergio Motta|7|Sergio Motta| Eu não dei nenhuma entrevista, eu nunca falei em leilão. O que eu tenho dito sistematicamente é que este governo, logo que assumiu, abriu mão do seu direito, que era o de distribuir concessões por critérios pessoais e políticos, como tem sido feito durante todos esses anos. Por desejo do presidente da República nós revogamos todos os editais que estavam em andamento, que eram 132, mais 20 editais que tinham sido lançados em dezembro do ano passado e, a partir dessa data, não temos mais distribuído nenhuma concessão ou permissão. O que nós estamos preparando é um novo decreto, estabelecendo um critério absolutamente impessoal e econômico. Provavelmente – ainda está em elaboração –, eu acredito que em 45 dias a 60 dias, teremos pronto. Será um decreto que terá um critério, primeiro, de pré-seleção de todos os grupos interessados: pré-seleção técnica, comercial, de tradição. Depois, terá um critério econômico, que estamos discutindo, que não será leilão, e que provavelmente estabelecerá uma base de preço para cada serviço, já que as concessões anteriores, como a TV a cabo, às vezes eram dadas e, depois, vendidas. Isso é um bem da União. E o terceiro critério será um critério de pluralidade de participação, ou seja, obviamente, num determinado local, quem já tiver um determinado tipo de serviço, terá preferência aquele que ainda não tiver.
13/03/1995|Sergio Motta|8|Matinas Suzuki| Tá, mas ministro, nesse pacote também foi anunciado que o senhor tentou – ou que há estudos no ministério do senhor sobre esse pacote –, dizia também que o senhor pretende limitar participação de grupos. Quando o senhor diz que vai redistribuir, o senhor está pensando em limitar grupos que já têm muita concessão?
13/03/1995|Sergio Motta|9|Sergio Motta| O problema não é limitar, o problema é criar um critério profissional e impessoal. Nós queremos eliminar intermediários, eliminar o que não é válido. Nós queremos que os profissionais participem.
13/03/1995|Sergio Motta|10|Matinas Suzuki| Quem são esses intermediários, ministro? Como se dão essas intermediações?
