DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/02/2009|Slavoj Zizek|1|Alexandre Machado| Boa noite. Para que serve a filosofia? Ele diz que serve para prevenir catástrofes e para fazer ver as coisas de outra maneira. É de uma maneira diferente que ele se destaca no debate da cultura contemporânea e na análise crítica dos desafios políticos do mundo. Diz que o capitalismo é indestrutível e provoca: "Com essa esquerda que está aí, quem precisa de direita?". O Roda Viva entrevista hoje o filósofo e psicanalista Slavoj Zizek, professor da Universidade de Liubliana, da Eslovênia, e diretor internacional do Instituto de Humanidades, da Universidade de Londres. A entrevista começa num instante.
02/02/2009|Slavoj Zizek|2|[intervalo]|[intervalo]
02/02/2009|Slavoj Zizek|3|Alexandre Machado| O filósofo Slavoj Zizek tem uma maneira singular de fazer ligações entre história da filosofia, crítica cultural e política. Especialista em Jacques Lacan, o principal seguidor de Freud, Slavoj Zizek também se tornou conhecido entre os cinéfilos. Ele é um especialista Hitchcock [(1899–1980) diretor inglês considerado o mestre dos filmes de suspense, revolucionou a história do cinema com os planos dramáticos dos protagonistas e é um dos cineastas mais conhecidos e populares de todos os tempos]. Como filósofo e crítico da cultura, ele escreve para várias publicações de prestígio no mundo, inclusive no Brasil, onde retornou recentemente para lançar o seu último livro: A visão em paralaxe.
02/02/2009|Slavoj Zizek|4|[Inserção de vídeo. Imagens de Slavoj Zizek, de seu último livro, da cidade de Liubliana, do atentado terrorista de 11 de setembro. Narração de Valéria Grillo]|[Inserção de vídeo. Imagens de Slavoj Zizek, de seu último livro, da cidade de Liubliana, do atentado terrorista de 11 de setembro. Narração de Valéria Grillo]
02/02/2009|Slavoj Zizek|5|A visão em paralaxe. Na orelha do livro, a explicação de paralaxe| medida da mudança de posição aparente de um objeto em relação a um segundo plano mais distante, quando esse objeto é visto a partir de ângulos diferentes. Um fenômeno óptico onde os objetos parecem sair do lugar quando mudamos a posição de observação. Zizek aborda atualidade a partir de uma paralaxe, de uma divisão dos pontos de vista como fato necessário para defesa de uma posição, de uma idéia. Navega pelos mais variados cenários intelectuais: da teoria social para a crítica da cultura, da teoria do cinema para o marxismo, a psicanálise e a política. Slavoj Zizek nasceu na cidade Liubliana, na Eslovênia, em 1949, é filosofo, psicanalista e um dos principais teóricos contemporâneos. Viveu na juventude e na vida universitária o ambiente político criado pela formação da República Socialista Federal Iugoslava. A Eslovênia, vizinha da Áustria, era uma das seis Repúblicas da antiga Iugoslávia, se tornou independente em 1991, quando Zizek, aos 42 anos de idade, já ganhava evidência no cenário intelectual da União Européia. Nome presente no debate sobre a desintegração dos Estados socialistas, ele também levou suas teses e críticas ao universo do cinema, do feminismo, da religião e da política. Ligado a um movimento de minorias organizadas em Liubliana, uma das mais bonitas capitais européias e de vida natural intensa, Zizek chegou a ser candidato à Presidência da República pelo Partido Liberal Democrático Esloveno, perdeu a eleição e se dedicou integralmente à carreira acadêmica, se tornando também um especialista em Jacques Lacan, o principal seguidor de Freud. Slavoj Zizek dá aulas na Universidade de Liubliana, também é professor visitante em várias universidades norte-americanas - Columbia, Michigan, Princeton - e tem vários livros publicados. Em Bem-vindo ao deserto do real, pergunta: “Com essa esquerda, quem precisa de direita?”, uma crítica ao pensamento de esquerda criado a partir dos ataques de 11 setembro de 2001 nos Estados Unidos. Às portas da revolução é uma reunião de textos de Lênin [(1870-1924), líder revolucionário russo que se tornou dirigente da União Soviética, adaptou as teorias marxistas para a realidade russa, um país atrasado, agrícola, com vestígios de um sistema feudal e sem nenhuma consciência revolucionária], uma nova leitura da Revolução Bolchevique e de seu líder teórico. O livro mais recente, A visão em paralaxe, é uma combinação de alta cultura com drama cotidiano, um conjunto de análises e críticas muitas vezes apresentadas com humor e ironia. É considerado o mais importante trabalho teórico de Slavoj Zizek.
02/02/2009|Slavoj Zizek|6|[Fim do vídeo]|[Fim do vídeo]
02/02/2009|Slavoj Zizek|7|Alexandre Machado| Para entrevistar o filósofo Slavoj Zizek, convidamos Emir Sader, sociólogo; Maria Rita Khel, psicanalista e escritora; Laura Greenhalgh, editora executiva do jornal Estado de S.Paulo e coordenadora dos cadernos Aliás e Cultura do jornal; Vladimir Safatle, professor do departamento de filosofia da Universidade de São Paulo e Luiza Moraes, repórter da TV Cultura, que fará as perguntas enviadas antecipadamente por telespectadores. No site www.tvcultura.com.br/rodaviva você pode se informar sobre os próximos programas e enviar por e-mail perguntas, críticas e sugestões. Está aqui também com a gente, como sempre, o cartunista Paulo Caruso, para registrar os momentos, os flagrantes deste programa. Boa noite, tudo bem?
02/02/2009|Slavoj Zizek|8|Slavoj Zizek| Good evening to you ["Boa noite para você", em inglês]
02/02/2009|Slavoj Zizek|9|Alexandre Machado| Zizek, nós convencionamos aqui que, apesar de todos os seus títulos, vamos tratá-lo por você, pode ser? [Zizek assente com a cabeça] A primeira pergunta que eu queria trazer é sobre a situação mundial. O senhor... você tem escrito a respeito do capitalismo, sobre a capacidade do capitalismo de atravessar as crises. E hoje vivemos uma enorme crise do capitalismo. Como é que você vê este momento?
02/02/2009|Slavoj Zizek|10|Slavoj Zizek| Em primeiro lugar, obrigado por me receberem aqui. E gosto de ser chamado de você, porque me sinto um proletário. Quando me chama de outra forma, sempre olho para trás, imaginando que estão falando com outra pessoa. Você foi direto ao ponto: onde estamos hoje? Estamos no final de uma utopia. Em geral, as pessoas consideram 1990 como o fim da utopia, a queda do Muro de Berlim. O fim da utopia comunista, da utopia do Estado de bem-estar social. Mas a verdadeira utopia foram os anos 1990, os felizes anos de Clinton [foi presidente dos Estados Unidos entre 1993 e 2001, anos de grande desenvolvimento econômico da nação. Deixou o cargo com as mais altas taxas de aprovação para um presidente na história moderna dos Estados Unidos], os anos da utopia Fukuyama [Francis Fukuyama (1952-), filósofo e economista político que defendia a queda do Muro de Berlim e o fim da União Soviética como a interrupção da evolução ideológica da humanidade e a democracia liberal ocidental como única alternativa ao mundo. Assita à entrevista com Fukuyama no Roda Viva]. Achávamos ter descoberto a fórmula: capitalismo democrático liberal. Todos fazem piada com Fukuyama: “Aquele idiota que achou que a história tinha acabado.”. Mas, será que ainda hoje, não somos quase todos... “fukuyamistas”? Até mesmo a esquerda de hoje. Eles não pensam: “O capitalismo está aqui para ficar?”, “Temos um sistema melhor do que a democracia parlamentarista?”. Silenciosamente, nós aceitamos isso. Apenas queremos o sistema mais justo, mais eficaz. Talvez vocês aqui, que são velhos o bastante, se lembrem de como sonhávamos, quando jovens, com o socialismo com face humana. Creio que a maioria da esquerda, hoje, sonha com o capitalismo global com uma face humana. E, para mim, essa é a única verdadeira questão. Será que ainda podemos pensar em alternativas globais radicais? Ou devemos aceitar que capitalismo e democracia liberal são, se não o melhor, o menos ruim do que existe? Devemos simplesmente permanecer no jogo e dele participar? Nesse sentido exato, eu, de certa forma, continuo um marxista [adepto das proposições de Karl Marx]. Hoje conseguimos aos poucos identificar uma série de – para usar um termo antigo – antagonismos: ecologia, a ascensão dos que vivem nas favelas, apartheid [regime de governo adotado em 1948, na África do Sul, que determinou que a minoria étnica branca detinha o poder sobre a maioria negra, separou os grupos étnicos por bairros e retirou os direitos civis dos negros. O termo continua sendo utilizado para designar situações em que haja distinção nítida, em termos de cidadania, entre etnias ou classes sociais], problemas de propriedade intelectual, de biogenética. A lógica democrática liberal e, ao mesmo tempo, a lógica capitalista orientada para o mercado não é o suficiente para confrontar esses problemas. Sei que a era do socialismo de Estado acabou. Não temos de voltar ao comunismo de Estado ou coisa do tipo. Com o partido controlando tudo. Mas, teremos de inventar novas formas de ações coletivas. Ou receio que nos aproximemos de um mundo muito triste, onde a natureza será destruída, onde teremos novas comunidades confinadas, apartheid, e a humanidade estará cada vez mais dividida entre aqueles que estão dentro e os que estão fora. Já reparou nesse paradoxo? Quando dizemos: “Anos 1990, o mundo está unido, cai o Muro de Berlim.”. Hoje, novos muros são construídos no mundo todo. Cisjordânia e Israel, Estados Unidos e México. O muro, agora simbólico, entre a Europa Ocidental e tudo o mais. Não podemos apenas ficar parados esperando. Devemos nos engajar em lutas, cientes de que, em muitas dimensões, confrontamos uma situação crítica. Do ponto de vista ecológico, social... Meu marxismo significa que não devemos nos esquecer disso. Ainda não temos a resposta.
