DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
20/01/2003|Tarso Genro|1|[Programa ao vivo, permitindo a participação dos telespectadores]|[Programa ao vivo, permitindo a participação dos telespectadores]
20/01/2003|Tarso Genro|2|Paulo Markun| Boa noite. Ele foi escolhido pelo presidente Luiz Inácio Lula da Silva para ser o articulador do pacto social. A partir do próximo mês, quase uma centena de representantes da sociedade civil e do governo começam a discutir como fazer as reformas pretendidas pelo novo governo. O trabalho será coordenado por Tarso Genro, secretário executivo do Conselho de Desenvolvimento Econômico e Social [CDES, criado em 2003 para articular o governo e a sociedade, viabilizando o diálogo social no desenvolvimento do país], nosso convidado desta noite do Roda Viva.
20/01/2003|Tarso Genro|3|[Comentarista]| www.tarsogenro.com.br é a página na internet de Tarso Fernando Herz Genro, 55 anos, gaúcho de São Borja. O histórico político está ali. Formado em direito e especializado em direito trabalhista, Tarso Genro começou a carreira política em 1968 como vereador em Santa Maria. Depois, foi deputado federal, duas vezes vice-prefeito e duas vezes prefeito de Porto Alegre, em 1993 e em 2000. Em abril do ano passado, afastou-se do cargo para tentar, pela segunda vez, o governo do Rio Grande do Sul. Em 1998 quis sair candidato, mas o PT [Partido dos Trabalhadores] decidiu-se por Olívio Dutra [político gaúcho, iniciou a trajetória política no sindicalismo do regime militar. No período de redemocratização do Brasil, foi um dos fundadores do PT. Foi deputado federal, prefeito de Porto Alegre, governador e ministro das Cidades na primeira fase do governo Lula]. Em 2002, a situação inverteu-se: Tarso Genro obteve a preferência do partido e disputou a eleição, chegando ao segundo turno. Acabou perdendo para o rival Germano Rigotto, do PMDB [Partido do Movimento Democrático Brasileiro]. Identificado com setores mais moderados do Partido dos Trabalhadores, Tarso é figura de peso na área intelectual petista. Suas obras publicadas abrangem idéias e críticas sobre política, modernidade, democracia, globalização. Também é autor de dezenas de ensaios e artigos discutindo os dilemas da esquerda, do socialismo e da democracia social, e as alternativas que são colocadas para a sociedade contemporânea e para a ordem global.
20/01/2003|Tarso Genro|4|Paulo Markun| Para entrevistar o secretário executivo do Conselho do Desenvolvimento Econômico e Social, Tarso Genro, nós convidamos Glauco Arbix, professor do Departamento de Sociologia da Universidade de São Paulo, a USP; Ilimar Franco, repórter de política da sucursal de Brasília do jornal O Globo; Cláudia Antunes, coordenadora de redação da sucursal do Rio de Janeiro do jornal Folha de S.Paulo; Rosane de Oliveira, editora de política do jornal Zero Hora e comentarista da TVCOM, do Rio Grande do Sul; Carlos Novaes, analista político da TV Cultura e Marco Antonio Rocha, editorialista do jornal O Estado de S. Paulo. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e para Brasília. Também permite a participação do telespectador pelo telefone (011) 252-6525. Nosso Fax é (011) 3874-3454 e o endereço do programa na internet é rodaviva@tvcultura.com.br. Boa noite.
20/01/2003|Tarso Genro|5|Tarso Genro| Boa noite.
20/01/2003|Tarso Genro|6|Paulo Markun| Queria entender - sei que isso é uma discussão longa - como é possível que 82 pessoas representem melhor a sociedade do que os quinhentos e tantos congressistas que foram eleitos pelo voto com esse objetivo? Que critérios foram estabelecidos para identificar esses 82 representantes da sociedade civil e como é possível imaginar que, de alguma maneira, eles tenham o poder ou a possibilidade de representar os conflitos da sociedade de forma mais eficiente do que uma instituição que está aí há tanto tempo e que tanta gente luta tanto para chegar?
20/01/2003|Tarso Genro|7|Tarso Genro| Boa noite. Em primeiro lugar, não represento o melhor. O Congresso Nacional é insubstituível, tem funções constitucionais que são incontornáveis. O Conselho é uma instituição pública, de caráter não-estatal, de formação do juízo do executivo, é um instrumento para o executivo, por meio do qual, ao invés de o executivo fazer os seus projetos de lei somente com a burocracia estatal, que é altamente qualificada, e com os quadros políticos do governo, faz também com a sociedade, remetendo-os ao Congresso. Portanto, essa disjuntiva, essa contradição entre o Conselho e o Congresso não existe. O instrumento do executivo, o Congresso, não só tem mantido todos seus poderes, que são constitucionais, como também vai fazer suas comissões externas para, um dia, a sociedade também formar o seu juízo. Portanto, é um elemento que agrega mais democracia para que o presidente, o executivo, faça suas propostas com mais coerência e sintonia com a sociedade civil.
20/01/2003|Tarso Genro|8|Paulo Markun| Como é que fica a questão da escolha? Quer dizer, que critério foi estabelecido para se...
20/01/2003|Tarso Genro|9|Tarso Genro| É um juízo da Presidência da República, que busca assessoria. Isso porque [o Conselho] é um órgão de consulta, assessoria e de indução das decisões do governo. Tem a mais ampla pluralidade social, que vai desde a Febraban [Federação Brasileira dos Bancos] até o MST [Movimento dos Trabalhadores Rurais Sem-Terra] e, como é um instrumento do executivo, é de livre escolha do presidente. Não é por nomeação, porque não são servidores públicos, mas por designação. Eles são designados e mantêm a sua independência, seus pontos de vista. Não estão subordinados ao executivo, vão exercitar plenamente suas posições.
20/01/2003|Tarso Genro|10|Marco Antonio Rocha| Poderia fazer uma pergunta?
