DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
30/05/1994,Telê Santana,1,[...],[Programa ao vivo]
30/05/1994,Telê Santana,2,Heródoto Barbeiro,"Boa noite. Mais uma vez, às vésperas do campeonato mundial de futebol, a imprensa especializada diz que o mundo aposta no Brasil. Hoje pela manhã a Seleção Brasileira fez o primeiro coletivo em Santa Clara, nos Estados Unidos, e os titulares venceram os reservas por 6 a 2. Todos se saíram bem, até o [jogador] Raí se saiu bem. O [técnico da Seleção, Carlos Alberto] Parreira classificou o treino com uma palavra inglesa: the best. E a Seleção que treinou hoje deve ser a que estréia contra a Rússia no campeonato mundial de futebol. O Roda Viva de hoje, da Rede Cultura, traz uma opinião especializada: o técnico Telê Santana, que vai falar dessa expectativa internacional e de um acontecimento que vai parar o Brasil [a Copa do Mundo de futebol]. Com a vida dedicada ao futebol-arte, Telê Santana já reuniu um grande número de títulos. Falta um só: o de campeão mundial, que Telê não conquistou quando dirigiu a Seleção Brasileira entre 1982 e 1986. Três anos na Arábia Saudita e há quase quatro no São Paulo Futebol Clube, a torcida o considera como um dos melhores técnicos do futebol brasileiro. E para entrevistar o Telê Santana, nós convidamos hoje: José Trajano, que é comentarista do programa Cartão Verde, da Rede Cultura; o Josemar Gimenez, que é chefe de redação da sucursal paulista do jornal O Globo; o Mauricio Cardoso, que é subdiretor de esporte da revista Veja; o Ubiratan Brasil, que é repórter esportivo da Folha de S.Paulo; o Sérgio Martins, redator chefe da revista Placar; e o Cássio de Andrade, que é coordenador de esportes do Jornal da Tarde. Quero lembrar que o Roda Viva é retransmitido para todo o Brasil por outras vinte e três emissoras de televisão do sul, do centro e do norte. Você que está em casa também pode participar pelo telefone 252-6525. A Shizuka, a Cristina e a Ana estão anotando as perguntas. Se você preferir o fax, você anote aí: 874-3454. Telê, minha primeira pergunta está diretamente relacionada com os acontecimentos de hoje da Seleção Brasileira de Futebol, especialmente desse coletivo, dessa vitória expressiva dos titulares sobre os reservas. Qual é o comentário que você tem a fazer sobre isso? É um comentário otimista, é um início bom dos brasileiros lá nos Estados Unidos?"
30/05/1994,Telê Santana,3,Telê Santana,"Claro que é bom, sempre é bom começar bem, e me parece [que] o treino foi bom, agradou ao Parreira, naturalmente, porque treinaram bem os titulares. É verdade que o time reserva teve algum enxerto americano [jogadores estadunidenses foram utilizados para compor o time reserva], mas não deixa de ser uma alegria para o técnico quando vê o seu time jogando como ele gostaria de ver."
30/05/1994,Telê Santana,4,Heródoto Barbeiro,"Agora, Telê, essa saída, esse primeiro coletivo, é um bom início para a Seleção Brasileira de futebol, ainda que seja o primeiro passo? Quer dizer, é mesmo nessa direção que o Parreira deve caminhar se o Brasil quiser conquistar esse tetracampeonato?"
30/05/1994,Telê Santana,5,Telê Santana,"É um treinamento bom, dá mais confiança aos jogadores, naturalmente. Eles, fazendo tudo para acertar, vêm de treinamentos físicos onde as dores musculares sempre aparecem, e para os jogadores, se apresentando bem, dá realmente essa confiança tão necessária para iniciar um trabalho de Copa do Mundo."
30/05/1994,Telê Santana,6,Heródoto Barbeiro,[Passo a palavra a] José Trajano.
30/05/1994,Telê Santana,7,José Trajano,"Bom, Telê, boa noite."
30/05/1994,Telê Santana,8,Telê Santana,Boa noite.
30/05/1994,Telê Santana,9,José Trajano,"Bom, se houvesse uma eleição para técnico da Seleção, eleições diretas, você ganharia. Várias pesquisas mostram que o torcedor brasileiro queria o Telê como treinador da Seleção. Agora não tem mais jeito, o Parreira já está lá; você inclusive vai acompanhar a Copa como comentarista numa emissora de televisão. Então eu acho que você já descartou esta hipótese, mas você fala muito em abandonar o futebol. Volta e meia você diz que quer abandonar o futebol, chateado com várias coisas, entre elas a corrupção no futebol brasileiro. Você até diz que parece chato, porque dizem que você quer aparecer, e toda vez que você ameaça largar o futebol... até tem uma frase sua que diz que você é muito decente para esse meio. O que você quer dizer com “esse meio do futebol”, é um meio corrupto, é um meio indecente, Telê?"
30/05/1994,Telê Santana,10,Telê Santana,"Eu, infelizmente, não tenho provas, mas aí estão os fatos que aconteceram no Rio de Janeiro, aqui mesmo em São Paulo, e vêm provar que alguma coisa de errado existe. Só que eu não posso dizer “o fulano roubou, o sicrano é ladrão”, eu não posso dizer isso. Quem dera que eu tivesse provas para apresentá-las num momento desses, porque eu acho que futebol não é lugar para ladrão, não é lugar para aproveitadores, é lugar para se trabalhar. Aqueles que trabalham recebem justamente o que merecem e aqueles que trabalham sem receberé porque gostam do futebol, ou deveriam gostar do futebol, por isso é que eu combato, eu acho que não tem lugar para pára-quedista no futebol. Ou trabalha como trabalha o pessoal da imprensa, ou [como] trabalham aqueles profissionais, jogadores, técnicos, preparadores e supervisores, sei lá mais o que, e [que] trabalham para receber, e aqueles..."
