DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/05/1988|Thomas Skidmore|1|Augusto Nunes| Boa Noite. Começa aqui mais um Roda Viva pela TV Cultura de São Paulo. Este programa é apresentado simultaneamente para a Rádio Cultura AM, e retransmitido pelas TVs Educativas de Porto Alegre e dos seguintes estados: Piauí, Bahia, Minas Gerais, Mato Grosso do Sul e Espírito Santo. O programa Roda Viva é apresentado ao vivo, portanto podemos receber perguntas encaminhadas pelos telespectadores, pelo número 252-6525, repito, 252-6525, à Bernardete, à Iara e à Claudia. Nosso entrevistado de hoje é o brasilianista Thomas Skidmore. Thomas Skidmore é professor de história do Brasil e de história da América Latina na Universidade de Wisconsin, e é o autor de dois livros. Um dos livros de Thomas Skidmore já é considerado um clássico da historiografia brasileira: Brasil: de Getúlio a Castelo, leitura obrigatória para os que quiserem entender a história brasileira nesse período. O outro tem tudo para se tornar um segundo clássico da lavra de Thomas Skidmore, é Brasil: de Castelo a Tancredo, que está sendo lançado agora, nestes dias, no Rio de Janeiro e em São Paulo. Thomas Skidmore vai conversar sobre a sua experiência como estudioso da história do Brasil e como autor desses dois livros; vai conversar, também, sobre o Brasil de agora, ao centro de uma Roda Viva formada pelos seguintes entrevistadores: Fernando Mitre, diretor de telejornalismo da Rede Bandeirantes de Televisão; Ricardo Noblat, colunista do Jornal do Brasil, em Brasília; Paulo Sérgio Pinheiro, sociólogo; Pedro Del Picchia, repórter da Folha da Tarde; André Singer, secretário de redação do jornal Folha de S. Paulo; Ricardo Carvalho, jornalista da produtora independente Argumento, e Rodolfo Konder, jornalista e escritor. Estará conosco, também, acompanhando e registrando cenas deste programa, o cartunista Paulo Caruso. Também estamos esperando a presença de um dos convidados, retido em Belo Horizonte, que é o jornalista Luciano Ornellas, editor-chefe do jornal O Estado de S. Paulo. Agradecemos também a presença de convidados da produção aqui na platéia. Repetimos que o nosso telefone para receber perguntas é 252-6525.
30/05/1988|Thomas Skidmore|2|Augusto Nunes| Professor Thomas Skidmore, o senhor costuma dizer que, quando vem ao Brasil, na primeira semana o senhor entende tudo, na segunda semana o senhor fica meio confuso e na terceira o senhor acha tudo muito complicado. Há quanto tempo o senhor está no Brasil?
30/05/1988|Thomas Skidmore|3|Thomas Skidmore| Estou aqui já na segunda semana.
30/05/1988|Thomas Skidmore|4|Augusto Nunes| Quer dizer, está um pouco confuso.
30/05/1988|Thomas Skidmore|5|Thomas Skidmore| É, está começando a ficar muito confuso [sorri].
30/05/1988|Thomas Skidmore|6|Augusto Nunes| Em meio a esse começo de confusão, o senhor esteve hoje, agora há pouco, no Palácio do Planalto com o presidente José Sarney durante uma hora. É isso?
30/05/1988|Thomas Skidmore|7|Thomas Skidmore| Sim.
30/05/1988|Thomas Skidmore|8|Augusto Nunes| Pois bem, que tipo de esclarecimentos ou de contribuições à confusão o presidente José Sarney deu ao senhor?
30/05/1988|Thomas Skidmore|9|Thomas Skidmore| Muito bom. Ele... foi uma conversa muito simpática, ele é um homem muito aberto. Ele já arranjou dois almoços nos Estados Unidos para os chamados brasilianistas. Um foi em 1985, quando o presidente viajou para fazer um discurso nas Nações Unidas, e convidou uns quarenta, cinqüenta brasilianistas. Um almoço lá muito simpático. Ele ofereceu um brinde para os brasilianistas que estão contribuindo para entender o Brasil. Eu achei muito simpático isso, porque, às vezes, estou estarrecido com a paciência dos brasileiros em ficar aqui recebendo todas as informações dos estrangeiros, dos "gringos" chegando aqui, não é? Mas, na conversa com o presidente, ele levantou alguns aspectos interessantes.
30/05/1988|Thomas Skidmore|10|Augusto Nunes| Por exemplo, professor?
