DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
27/01/1997|Túlio|1|[Programa gravado, permitindo a participação dos telespectadores por telefone, fax e e-mail]|Programa gravado, permitindo a participação dos telespectadores por telefone, fax e e-mail]
27/01/1997|Túlio|2|Matinas Suzuki|Boa noite. Ele é o maior salário do futebol brasileiro. Na grande área do Roda Viva está o atacante Túlio, do Corinthians.
27/01/1997|Túlio|3|[comentarista]|O goiano Túlio Humberto Pereira da Costa sempre fez o que a torcida mais gosta: gols, muitos gols. Até agora foram 473 em nove anos de carreira. Ambicioso, o artilheiro garante que ainda vai superar a barreira dos mil gols, como fez o rei Pelé. Uma promessa corajosa para um jogador de 27 anos. Mas Túlio adora um desafio. Do mesmo jeito que inferniza a vida de zagueiros e goleiros, ele sabe se promover como ninguém: faz apostas, provoca duelos, dá nome aos gols. Irreverente, ganhou o apelido de Túlio Maravilha. Em campo é o típico matador. Fica parado no ataque, parece alheio ao jogo, mas, de repente, Túlio quase só pega na bola no momento da conclusão, na hora de fazer o gol. Depois é correr para as câmeras e para os abraços. Sempre foi assim, desde o início, quando ainda era conhecido como Beiço pelos companheiros de equipe. No Goiás, em 1989, foi artilheiro do Campeonato Brasileiro pela primeira vez, com 11 gols. Tentou a sorte na Suíça em 1992 e se deu mal. Voltou ao Brasil e acertou o pé no Botafogo, do Rio de Janeiro, cidade perfeita para acolher o espírito brincalhão do goleador. Em três anos de Botafogo, fez 130 gols e foi artilheiro do Campeonato Brasileiro mais duas vezes. Em 1994 com 19 gols e em 1995 com 22. Além de conquistar o título de 1995, em uma decisão contra o Santos, Túlio já marcou mais de cem gols apenas em jogos do Campeonato Brasileiro. Na Seleção não teve muita chance. As melhores recordações são o título de novos no Torneio de Toulon [França] em 1990, e o famoso gol com ajuda do braço, contra a Argentina na Copa América de 1995. No final do ano passado, Túlio resolveu mudar de área. O Banco Excel Econômico, novo patrocinador do Corinthians, contratou o jogador por cinco milhões de dólares. Na estreia, Túlio perdeu o duelo para Romário, antigo desafeto dentro e fora de campo. O Flamengo venceu o jogo por três a zero no Maracanã, pelo torneio Rio-São Paulo. Na partida de volta, no Morumbi, Túlio prometeu três gols, fez só um, batizado de “Salve o Corinthians”. Foi o primeiro gol dele com a camisa do novo clube, que ganhou o jogo por dois a zero, mas acabou eliminado da competição.
27/01/1997|Túlio|4|[fala de Túlio no VT, após o jogo contra o Flamengo]|Infelizmente perdemos já o primeiro título, mas nós vamos ganhar mais.
27/01/1997|Túlio|5|[fala de Romário no VT, após o jogo contra o Corinthians]|O Túlio é igual ao cometa Halley, passa a cada 50 anos, já passou, agora já era, compraram gato por lebre.
27/01/1997|Túlio|6|[Comentarista]|Tudo bem, como diria o artilheiro. O casamento com a Fiel está apenas no começo e o ídolo promete dar à maior torcida de São Paulo o que ela mais gosta: gols, muitos gols.
27/01/1997|Túlio|7|Matinas Suzuki|Para entrevistar o Túlio, esta noite, nós convidamos Alberto Helena Jr., colunista da Folha de S.Paulo e comentarista da Rede CNT; o Flávio Prado que é comentarista da rádio Jovem Pan e apresentador do programa Cartão Verde, aqui da Rede Cultura; a Maria Amélia Rocha Lopes, editora-chefe do programa Vitrine, aqui também da Rede Cultura; o Maurício Cardoso, editor de esportes da revista Veja, e o Luiz Antônio Prósperi, repórter especial do Jornal da Tarde. O Roda Viva é transmitido em rede nacional com 289 outras emissoras de todos os estados brasileiros. É uma grande rede a rede do Roda Viva. Você pode participar desse programa enviando as suas perguntas para o número 252-6525. Se você preferir o fax, use o número 874-3454. E agora nós também estamos aqui na era da modernidade com o nosso e-mail rodaviva@tvcultura.com.br. Se você quiser mandar suas perguntas aqui para o Túlio, via internet, utilize esse endereço. Boa noite, Túlio.
27/01/1997|Túlio|8|Túlio|Boa noite, né?
27/01/1997|Túlio|9|Matinas Suzuki|Feliz pelo primeiro gol com a camisa do Corinthians?
27/01/1997|Túlio|10|Túlio|Feliz pelo primeiro gol, e pela primeira vez estar participando deste programa também. Você vê que a audiência é enorme, mais de duzentas e tantas emissoras. Realmente estou feliz, um ambiente novo no estado de São Paulo, onde sempre tive vontade de trabalhar, de mostrar meu futebol. E vocês viram aí que só foi o começo, um aperitivo do que vai ser durante estes três anos que eu vou permanecer aqui no Corinthians.
27/01/1997|Túlio|11|Matinas Suzuki|Junto com o nome Túlio vem essa coisa do marketing, o Túlio é marketing, o Túlio se promove, o Túlio sabe se promover... Você não acha que isso pode uma hora mais prejudicar do que ajudar você na sua carreira?
27/01/1997|Túlio|12|Túlio|Não, pelo contrário, o Túlio não é só marketing, o Túlio é alegria também, é alegria do futebol. O futebol de uns tempos para cá ficou muito profissional, aquela coisa meio massificante, meio robótica, aquela coisa mecânica: chegar ali e jogar o futebol feijão com arroz, ir embora e dar aquela entrevista normal, de todo mundo, e fica por isso mesmo. E eu estou tentando reviver um pouco aquilo que o Dadá Maravilha [Dario Pereira, ver entrevista em www.rodaviva.fapesp.br/materia_busca/81/Dad%E1/entrevistados/dada_maravilha_1987.htm] fez em outros tempos, aqueles duelos que existiam entre Santos e Botafogo na época de Pelé, de Garrincha [apelido de Manuel Francisco dos Santos (1933-1983), grande jogador de futebol que se notabilizou por suas belas e divertidas jogadas e por suas pernas tortas], ver os estádios lotados. Eu acho que o público hoje sente uma carência muito grande, já que o exterior vem aqui e leva a maioria dos craques que estão surgindo. E eu estou brigando de uma forma indireta justamente pela permanência desses grandes ídolos, grandes craques aqui no futebol brasileiro, para justamente fortalecer mais ainda o nosso futebol e atrair o público. Porque além do marketing, de uma boa organização, de um calendário mais racional, o que leva realmente o torcedor, o que faz o interesse da mídia pelo espetáculo, sem dúvida nenhuma, são os jogadores, que são os artistas. Eu, de uma forma ou de outra, estou tentando firmar essas raízes para que os jogadores tomem essa consciência de que o Brasil possa ser a potência, como são hoje a Espanha, a Itália em relação ao marketing fora de campo.
27/01/1997|Túlio|13|Matinas Suzuki|Você tem assessoria, alguém que o ajuda nisso, alguém que...
27/01/1997|Túlio|14|Túlio|Eu tenho, claro, toda uma assessoria para justamente cuidar da minha imagem, da minha performance. Mas a criatividade, a imaginação sempre parte da minha cabeça. Eu, de repente, estou dormindo e, no sono, começo a sonhar, a imaginar as coisas, e vejo um futuro cheio de alegria, cheio de gols, homenageando cidades, homenageando comidas típicas, enfim, tudo o que o Brasil tem de bonito que é este país. Então, eu tento de uma forma ou de outra despertar esse interesse nos torcedores.
27/01/1997|Túlio|15|Alberto Helena Jr.|Nesse sentido, nessa coisa de recuperar a alegria do futebol, o futebol mais bonito, o futebol mais inteligente, o futebol mais criativo e com mais gols, como você está vendo essa experiência do Rio-São Paulo, da regra das 15 faltas e tal? Como é que você vê isso aí?
27/01/1997|Túlio|16|Túlio|Vocês podem ver que o número de gols aumentou, o número de faltas diminuiu. Jogadores considerados violentos estão sempre recebendo cartão amarelo, sendo expulsos, e hoje já estão pensando duas vezes antes de fazer alguma falta mais violenta. Então é um teste ainda, não está oficializado que vai ser assim daqui para frente, mas não deixa de ser uma iniciativa boa. Você vê que o futebol está mais solto, está mais alegre, os gols estão saindo com mais naturalidade. E estão se sobressaindo também os jogadores técnicos, que têm talento; que sabem, em uma cobrança de falta, bater colocado, em um lançamento. Isso tudo é uma iniciativa para fazer do futebol aquela coisa que chama o torcedor, que é gol. Podem inventar mil regras, mil esquemas táticos, técnicos, mas o que significa o futebol hoje é gol. Se não tiver gol, não tem graça.
27/01/1997|Túlio|17|Maria Amélia Rocha Lopes|Túlio, eu queria lhe perguntar uma coisa. Você viu na abertura do programa aquela apresentação da sua vida e obra, e no finalzinho aparece o Romário [de Souza Faria, conhecido como Baixinho, é o terceiro maior artilheiro da Seleção Brasileira] dizendo que você é o cometa de Halley, que aparece de cinqüenta em cinqüenta anos, e que o Corinthians comprou gato por lebre. Eu queria que você falasse sobre essa opinião do Romário.
27/01/1997|Túlio|18|Túlio|É uma rivalidade que também faz parte, é como se fosse assim o Tom e o Jerry.
27/01/1997|Túlio|19|[risos]|risos]
27/01/1997|Túlio|20|Maria Amélia Rocha Lopes|Quem é o Tom e quem é o Jerry?
27/01/1997|Túlio|21|[risos]|risos]
27/01/1997|Túlio|22|Túlio|Eu acho que... Não sei, as histórias estão aí, os números estão aí, a biografia de um e de outro estão aí para serem julgados. Mas isso é bom, é uma disputa sadia. Claro, desde que se mantenha um nível elevado.
27/01/1997|Túlio|23|Maurício Cardoso|E tem se mantido um nível elevado nessa rivalidade?
27/01/1997|Túlio|24|Túlio|Eu acredito que sim. Da minha parte, vocês nunca vão ver ou vão me ouvir criticar, não que seja o Romário, que seja um eterno rival meu. Mas qualquer outro jogador. Aqui em São Paulo, por exemplo, tem o Viola [Paulo Sérgio Rosa, atacante], que faz muito bem isso também, essa coisa de marketing, de promover jogos. E vocês não vão ver, tanto eu como ele chegar a esse ponto de menosprezar um... essa coisa no nível pessoal. Assim, eu tento tratar todos de uma maneira bem profissional para, justamente, promover o espetáculo e atrair o público, é isso.
27/01/1997|Túlio|25|Matinas Suzuki|Se vocês forem para a Seleção, suponhamos os dois ali, como é que vocês vão se comportar?
27/01/1997|Túlio|26|Túlio|É difícil ir para a Seleção, porque os dois praticamente têm as mesmas características. E hoje, no futebol moderno, é até um pouco inadmissível dois jogadores com as mesmas características jogarem no mesmo time. Poderia ser até uma curiosidade, para ver o que é que ia dar de repente eu jogar junto com ele. Mas não sei. Talvez até mesmo na Seleção, o treinador poderia até evitar esse tipo de confronto.
27/01/1997|Túlio|27|Luiz Antônio Prósperi|Túlio, no ano passado, você teve um problema mais sério com ele, inclusive parece que você tentou entrar na Justiça, porque teve um problema aí, ele acabou falando mal da sua família, da sua esposa e tal. Queria que você contasse se você foi à Justiça mesmo, se parou por ali, como é que foi essa história.
27/01/1997|Túlio|28|Túlio|Não, pois é... Eu sei separar bem as coisas. Eu vejo que quando o negócio está se criando, tomando um rumo para outro lado, o lado pessoal, não é interessante nem para mim, nem para ele e muito menos para os torcedores e para a imprensa em geral. Então eu decidi, a partir daquele momento, não brincar mais, na concepção da palavra, com ele. E sim só promover jogos, não aceitar desafios, não aceitar provocações, porque eu já aceitei uma vez e acabei caindo em uma cilada, entre aspas, acabei sendo prejudicado. Mas sempre quando a gente acaba apanhando, a gente aprende as lições e procura evitar para justamente não dar margem a esse tipo [de coisa]. Porque o interessante para mim não é ver o Túlio discutindo, o Túlio brigando, o Túlio em escândalo. Você sempre vai o Túlio de alto astral, sempre para cima.
27/01/1997|Túlio|29|Flávio Prado|Agora, teve um comentário muito forte quando da separação do Romário, que você teria tido um caso com a Mônica Santoro. Você é casado, sua esposa está inclusive aqui no estúdio. De onde surgiu isso, como é que você administrou isso?
27/01/1997|Túlio|30|Túlio|Primeiro, foi surpresa da minha parte. Até hoje eu estou tentando descobrir da onde surgiu isso. Mas, em se tratando de futebol brasileiro, em se tratando da imprensa, não generalizada, mas de uma imprensa pouco partidária, uma imprensa que até certo ponto chega até ser um pouco maldosa, a gente encara com naturalidade. Eu soube tranquilamente administrar isso, vindo a público, enviando fax a redações de jornais, revistas, desmentindo todo o episódio.
27/01/1997|Túlio|31|Flávio Prado|Você tem alguma amizade, algum contato, alguma vez você conversou mais diretamente com a Mônica Santoro, com a ex-esposa do Romário?
27/01/1997|Túlio|32|Túlio|Não, nós sempre fomos vizinhos. Mas, por meus afazeres profissionais, nunca tive um contato mais próximo com a Mônica, justamente porque nunca dava de nos encontrarmos. As minhas filhas sempre se deram bem com os filhos dela, quer dizer, uma coisa bem familiar mesmo, uma coisa de vizinhança, mas não passou nada mais do que isso. E o que inventaram realmente causou surpresa para mim, mas eu, com habilidade e com discrição, soube realmente administrar, e está aí, não se fala mais nisso. Hoje eu estou muito bem casado, diga-se de passagem.
27/01/1997|Túlio|33|Alberto Helena Jr.|Essa questão de imagem pública, de acordo com o que colocou no início o Matinas, você veio do Rio de Janeiro, onde há uma cultura mais do fair play [jogo limpo, em que o jogador demonstra respeito às regras e códigos de conduta do jogo de futebol], o bom humor...
27/01/1997|Túlio|34|Túlio|Oba-oba... Carnaval...
27/01/1997|Túlio|35|Alberto Helena Jr.|É uma festa, um oba-oba e tal, e esse tipo de coisa pega bem. Agora, São Paulo com negócio de futebol é meio ranzinza, sabe? Esse meu povo aqui é ranzinza, é meio chato e fica com esse negócio de “ele é torcedor do Corinthians, não pode...” Outro dia encontrei um ser que me disse o seguinte: “Olha, quando o Edmundo jogava no Palmeiras, eu não conseguia ver o que o pessoal via nele e tal, por que elogiavam tanto. Agora que ele foi para o Corinthians, foi que eu vi que ele joga pra burro e tal...” Quer dizer, o cara não tem olho para mais nada. Você não teme que essa sua atitude, esse seu comportamento, esse jogo de marketing venha a ser muito prejudicial para você neste clima que é muito mais competitivo das torcidas, do torcedor e da imprensa em São Paulo?
27/01/1997|Túlio|36|Túlio|Mas isso vai acontecer não só aqui em São Paulo, como no Rio, ou até mesmo em Goiás, se eu voltar a jogar lá, na Bahia ou em Porto Alegre, porque ninguém consegue ser unanimidade. Acho que até mesmo o Zagallo, que é o único tetracampeão do mundo, não consegue ser unânime perante todos. Por que eu, que ainda estou começando no nível profissional, de título, essas coisas, não vou agradar? Eu tento agradar principalmente a minha torcida, o time que eu estou vestindo, a camisa que eu estou vestindo, que é hoje o Corinthians. Então, é claro que, mesmo dentro da torcida do Corinthians, vai haver sempre um ou outro que não vai gostar de uma atitude, de uma declaração minha, de algum lance meu, mas isso tudo faz parte da profissão de jogador de futebol. Por isso eu sei muito bem administrar principalmente as críticas, que com certeza virão, do que propriamente os elogios. O elogio faz bem para o ego, mas é com as críticas que você aprende, que você tenta agradar pelo menos essas pessoas que criticam.
27/01/1997|Túlio|37|Maurício Cardoso|Você pretende adaptar seu marketing pessoal, promocional para essas características que o Helena descreveu bem aqui de São Paulo? Quer dizer, essa diferença que existe entre o Rio e São Paulo. Você vai se adaptar a um novo marketing para São Paulo?
27/01/1997|Túlio|38|Túlio|Claro. A gente sempre joga de acordo com o time que tem, com o material humano que tem. É claro que tem coisas que eu fazia no Rio que é impossível eu fazer aqui. Por exemplo, “vamos jogar uma pelada na praia!”. Então são coisas que você realmente tem que se adaptar. Eu, por estar aqui há pouco menos de vinte dias, um mês, ainda estou conhecendo a cidade de São Paulo...
27/01/1997|Túlio|39|Maurício Cardoso|[interrompendo] Já pegou uma enchente, né?
27/01/1997|Túlio|40|[risos]|risos]
27/01/1997|Túlio|41|Túlio|Já peguei uma enchente, mas até que me livrei bem, sabe? Peguei uns caminhos aí, estou bem assessorado nesse aspecto. Consegui chegar aqui a tempo no programa. Mas com um jeitinho, com habilidade, a gente consegue. Eu acho que para tudo tem que ter um pouco de paciência; com tranquilidade é que a gente chega ao objetivo.
27/01/1997|Túlio|42|Matinas Suzuki|Agora, Túlio, o Edmundo [Ver entrevista do jogador em www.rodaviva.fapesp.br/materia_busca/517/Edmundo/entrevistados/edmundo_1996.htm], por exemplo, que talvez tenha tido o melhor momento da carreira dele aqui em São Paulo no Palmeiras, era uma pessoa que dizia abertamente que não gostava de morar em São Paulo. E na primeira oportunidade pegava uma ponte aérea para o Rio e tal. Romário, que é outro jogador de expressão nacional, sabidamente não quer sair do Rio de Janeiro, trocou o dinheiro para poder continuar no Rio de Janeiro, essa coisa toda. Você disputou o título de “Rei do Rio”, você era uma pessoa muito integrada ao Rio de Janeiro e disse, inclusive, que a sua personalidade teria mudado no Rio de Janeiro. Você era mais introvertido e depois da sua passagem pela Suíça, que foi muito difícil pessoalmente para você, voltou para o Rio e ali redescobriu uma alegria, um prazer, essa coisa toda. Como é que você está encarando essa mudança para São Paulo? Como é que você se preparou para essa mudança?
