DATA,ENTREVISTA,ORDEM,LOCUTOR,FALA
22/01/1996,Vicentinho (1996),1,[...],"[programa ao vivo, permitindo a participação dos telespectadores]"
22/01/1996,Vicentinho (1996),2,Matinas Suzuki,"Boa noite. Ele virou a personagem do momento no cenário político brasileiro. Na tribuna do Roda Viva está o presidente da Central Única dos Trabalhadores [CUT], Vicente Paula da Silva [na verdade, é Vicente Paulo da Silva] , o Vicentinho."
22/01/1996,Vicentinho (1996),3,[Comentarista],"Vicentinho nasceu em Acari, no Rio Grande do Norte, e veio para São Paulo em 1976, quando tinha 20 anos. Em 1977 filiou-se ao Sindicato dos Metalúrgicos de São Bernardo do Campo e trabalhou na fábrica da Mercedes Benz em um período marcado por greves e agitação trabalhista na região do ABC [região industrial, pertencente à metrópole de São Paulo, que integra os municípios de Santo André, São Bernardo do Campo, São Caetano do Sul e Diadema] durante o regime militar. Em 1981 o governo caçou a presidência do sindicato de Luiz Inácio Lula da Silva {Luiz Inácio Lula da Silva: (1945-) Ex-metalúrgico e ex-sindicalista, filiado ao Partido dos Trabalhadores (PT), foi o primeiro operário a ser eleito presidente do Brasil. Foi candidato a presidente em 1989 (perdeu para Fernando Collor de Mello), em 1994 (perdeu para Fernando Henrique Cardoso) e em 1998 (novamente perdeu para Fernando Henrique Cardoso), e ganhou as eleições de 2002 (derrotando José Serra). Lula foi reeleito no segundo turno das eleições de 2006 (derrotando Geraldo Alckmin) com mais de 58 milhões de votos, quebrando o seu próprio recorde de votação para presidente do Brasil. Ver as entrevistas com Lula no Roda Viva.} e a direção ficou para Jair Meneguelli [ver entrevista do sindicalista Jair Meneguelli no Roda Viva], que convidou Vicentinho para vice. Em 1983 Vicentinho também foi cassado, acusado de caluniar o presidente da República, o general João Figueiredo, mas conseguiu voltar à diretoria do sindicato e chegou à presidência em 1987, ficando no cargo por seis anos . Em 1993, com cinco filhos e divorciado, casou-se pela segunda vez. Em 1994 foi eleito presidente da CUT e decidiu voltar a trabalhar alguns dias por semana na fábrica da Mercedes, depois de 13 anos sem bater o cartão. Em 1995 raspou a cabeça em um protesto contra a discriminação racial no país. Nas greves, Vicentinho sempre se destacou pelo tom conciliador, o que levaria a críticas das alas mais radicais da CUT e do PT mas dava resultados práticos para a categoria. Na semana passada, Vicentinho participou do diálogo entre as centrais sindicais e o governo sobre a reforma da Previdência e recebeu uma enxurrada de críticas dos radicais ao admitir a aposentadoria por tempo de contribuição em vez de tempo de serviço."
22/01/1996,Vicentinho (1996),4,[...],[VT com trecho de uma reunião onde Vicentinho e o presidente Fernando Henrique estavam presentes]
22/01/1996,Vicentinho (1996),5,[Vicentinho],"Os jornais têm me “dado um pau” tão grande, que estou apanhando igual a um cavalo brabo!"
22/01/1996,Vicentinho (1996),6,[Fernando Henrique Cardoso],Quase como o presidente?
22/01/1996,Vicentinho (1996),7,[Vicentinho],"Não, presidente...[risos]"
22/01/1996,Vicentinho (1996),8,Matinas Suzuki,"Bem, antes de apresentar nossos entrevistadores, vou corrigir aqui...Eu falei Vicente Paula da Silva e é Vicente Paulo da Silva! Para entrevistar o Vicentinho, convidamos o Dácio Nitrini, que é diretor-executivo do TJ Brasil, do SBT; Antonio Carlos Pannunzio, deputado federal pelo PSDB [Partido da Social Democracia Brasileira] de São Paulo; Renata Lo Prete, secretária-adjunta de redação da Folha de S.Paulo; Luiz Fernando Rila, editor de política do jornal O Estado de S. Paulo; Leôncio Martins Rodrigues, professor de ciência política pela Unicamp [Universidade Estadual de Campinas]; Celso Daniel, deputado federal pelo PT de São Paulo; Ênio Lucciola, chefe de reportagem da TV Cultura de São Paulo. O Roda Viva é transmitido em rede nacional. Você também pode participar deste programa fazendo perguntas por fax ou por telefone. O número do telefone é (11) 252-6525. Se você preferir o fax, use o número (11) 874-3454. Boa noite, Vicentinho."
22/01/1996,Vicentinho (1996),9,Vicentinho,Boa noite.
22/01/1996,Vicentinho (1996),10,Matinas Suzuki,Você se sente melhor careca ou com cabelo? [risos]
22/01/1996,Vicentinho (1996),11,Vicentinho,"Sabe que eu me senti melhor careca, rapaz...Não tinha dificuldade em pentear o cabelo, estava tudo bem..."
22/01/1996,Vicentinho (1996),12,Matinas Suzuki,"Em relação ao nosso vídeo, quem “toma mais pau”: o presidente ou você?"
22/01/1996,Vicentinho (1996),13,Vicentinho,"Eu acho que em um momento de tensão...Você sabe, Matinas, que eu tenho uma característica de não ficar sempre carrancudo, não é porque eu não queira, é porque é o meu jeito de ser. Cada um tem um jeito de ser. Não tenho problema de sorrir, seja com o presidente ou...Do mesmo jeito que eu sorrio, eu o chamo de mentiroso, eu brigo com ele, faço greve, debato. Isso não tira pedaço de ninguém. Se a gente luta por uma sociedade de felicidade, eu não consigo compreender como alguém fica sério, carrancudo, duro. Nós também não podemos ficar com medo de conversar com autoridades no Brasil. Se a gente tiver medo é porque a gente não está segura e, não estando segura, é melhor não conversar. É por isso que vou sempre lutar para ser o que sempre fui: eu mesmo."
22/01/1996,Vicentinho (1996),14,Matinas Suzuki,"Ainda sobre esse capítulo, o que é pior: ciúme de mulher ou ciúme de deputado?"
22/01/1996,Vicentinho (1996),15,[...],[risos]
22/01/1996,Vicentinho (1996),16,Vicentinho,"Olha, eu queria...Inclusive eu estou aqui hoje...Não quero acirrar os ânimos, mesmo porque amanhã vou ter uma reunião com todas as bancadas, com todos os líderes de todos os partidos lá no Congresso [Nacional]. Estarão o senador José Sarney {José Sarney: Batizado como José Ribamar Ferreira de Araújo Costa (1930-), passou a adotar o nome José Sarney de Araújo Costa em 1965, sendo Sarney o nome de seu pai. Tornou-se presidente em 1985, após a morte do presidente eleito Tancredo Neves, de quem era vice e que faleceu antes de tomar posse. Seu mandato caracterizou-se pela consolidação da democracia brasileira após o fim da ditadura militar, incluindo a Assembléia Constituinte e a promulgação da Constituição de 1988, mas também por uma grave crise econômica que evoluiu para a hiperinflação e a moratória na dívida externa. Para combater a crise, lançou o Plano Cruzado em 1986, que congelou os preços por 12 meses, mas que logo foi perdendo a eficiência; sobreveio uma grave crise de abastecimento e o retorno da inflação. Seu governo foi dificultado também pela CPI da Corrupção, que envolveu seu nome, mas que foi engavetada, e pelo seu envolvimento pessoal nas negociações sobre a votação do tamanho do seu mandato, na Assembléia Constituinte. O mandato foi fixado em 5 anos. Em 2009 voltou aos noticiários pelo fato de, sendo então presidente do Senado, ter sido acusado de nomear parentes e conhecidos para cargos públicos. Sarney é também escritor e pertence à Academia Brasileira de Letras.}, o deputado Luiz Eduardo Magalhães [(1955-1998) político brasileiro, filho do ex-governador da Bahia e senador Antônio Carlos Magalhães. Foi eleito deputado estadual e federal diversas vezes, assumindo a presidência da Câmara dos Deputados em 1995. Morreu aos 43 anos, vítima de infarto]...Vou apresentar a eles nossas idéias, nossos debates, o que foi feito e, portanto, o que disse no momento em que eu estava chateado. Espero não ter que repetir."
22/01/1996,Vicentinho (1996),17,Matinas Suzuki,"Parafraseando um presidente nosso [refere-se ao presidente Fernando Collor], parece que você deixou a direita perplexa e a esquerda indignada. Como você passou esses dias diante desse povo?"
22/01/1996,Vicentinho (1996),18,Vicentinho,"Matinas, antes de mais nada, deixa só eu explicar...Primeiro, eu não previa esse acontecimento, ninguém previa, ninguém sabia que iria acontecer desse jeito. A gente faz com que, dessa maneira, a sociedade inteira discuta a Previdência Social. Como as negociações não terminaram, como há pontos ainda pendentes e como teremos uma próxima reunião na quinta-feira para continuarmos a negociação com o ministro do Trabalho e da Previdência Social [refere-se ao político Reinhold Stephanes, que exerceu o cargo entre 1995 e 1998. Ver entrevista no Roda Viva com Stephanes], é necessário que a gente tenha muita clareza do que a gente está discutindo. Nada tem valor se os trabalhadores, representados por nossa central, não decidirem na votação o que vai acontecer. Por isso é que há uma manifestação programada para o dia 24. Para nós, é fundamental que as pessoas vão às ruas, isso vai nos dar força na negociação. Queremos resolver, por exemplo, a questão da aposentadoria proporcional. Nós jamais vamos concordar com isso! Não houve acordo e o governo quis colocar isso de lado, mas queremos discutir isso. Vamos discutir a questão do setor público que o governe quer limitar, como a idade, também não concordamos de jeito nenhum. Outra questão importante é a opção universitária, pois também vamos querer colocá-los [professores universitários] dentro, embora eu tenha percebido que há diferença entre o professor do primeiro, segundo grau e o universitário, mas é tarefa nossa. Não me incomodo sobre quem fica surpreso ou não. Na minha vida, nunca feri um princípio da Central Única dos Trabalhadores sem, entretanto, ter medo de dizer o que eu penso. Nunca feri um princípio do partido ao qual sou filiado e tenho muito carinho por ele, não tenho problemas. Se não fosse assim, eu não teria tido negociação sobre câmaras setoriais. Se não fosse assim, a CUT estaria deste tamanho [gesticula com as mãos], porque hoje é uma das maiores centrais sindicais do mundo. A gente não pensa somente enquanto categoria, apenas corporativamente. Quem pensa corporativamente e imediatamente não está pensando mais amplamente neste país. Queremos debater outras coisas, como geração de empregos, uma política industrial voltada para o crescimento econômico e com distribuição de renda, reforma agrária, política educacional, saúde no Brasil. É claro que nós não podemos excluir o governo desse debate, pois é quem elabora políticas. É por essa razão que uma central como a nossa deve estar preparada muito competentemente, com sua base organizada, para elaborar essa discussão. Se alguém estiver perplexo porque a gente foi capaz de apresentar propostas, continue perplexo! A classe trabalhadora é capaz de apresentar propostas. Se alguém ficou surpreso porque fomos conversar com outro segmento, eu lamento muito. Se a gente não conversar e cada um ficar no seu lugar, a gente não avança."
22/01/1996,Vicentinho (1996),19,Dácio Nitrini,Você já colocou alguns pontos que ficaram pendentes - usando a sua própria expressão. Quais são os pontos que estão concordantes entre a CUT e as propostas do governo?
