DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
06/11/2006|Waldir Pires|1|[programa ao vivo, permitindo a participação dos telespectadores]|[programa ao vivo, permitindo a participação dos telespectadores]
06/11/2006|Waldir Pires|2|Paulo Markun| Boa noite. O caos na aviação na terra de Santos Dumont. Os aeroportos brasileiros entraram em colapso na semana de Finados, quando mais de cinco mil vôos sofreram atrasos significativos e outros mil e cem foram cancelados. O transtorno prejudicou milhares de passageiros, causou revolta, agressões, vandalismo e um questionamento sobre as condições e qualidade de trabalho na proteção aérea no país. A crise na aviação brasileira é o tema do Roda Viva de hoje. Nosso convidado é o ministro da Defesa, Waldir Pires, responsável pelas três Forças Armadas [Exército, Marinha e Aeronáutica], entre elas, a Aeronáutica, encarregada do controle da defesa do espaço aéreo brasileiro. O ministro Waldir Pires, que é baiano e advogado, começou a carreira política na década de 50, passou por diversos partidos até chegar ao PT [Partido dos Trabalhadores], foi deputado estadual e três vezes deputado federal, também foi governador da Bahia, ministro da Previdência, no governo de José Sarney [1985-1990], e controlador geral da União no governo Lula [Luis Inácio Lula da Silva, presidente do Brasil desde 2003 pelo PT], sendo depois indicado para ministro da Defesa. Tornou-se, assim, o primeiro líder de esquerda a ocupar a pasta que comanda as três Forças Armadas. Como várias questões da aviação civil passam pelos corredores do ministério, Waldir Pires tem enfrentado problemas: recentemente a Varig [uma das principais companhias aéreas brasileiras, que decretou falência em 2006, após grande crise financeira] e depois o acidente da Gol, e agora a crise do controle do tráfego aéreo, que causou desentendimentos entre o setor militar e civil, em conseqüência do caos nos aeroportos.
06/11/2006|Waldir Pires|3|[Comentarista]| Sete dias de crise e um feriado prolongado. Cenas como essas se repetindo ao mesmo tempo nos principais aeroportos brasileiros nunca foram vistas antes: saguões superlotados, confusão nos balcões, falta de informações, gente dormindo no chão, brigas e quebra-quebra. Foi preciso até chamar a polícia. A crise que dominou o noticiário na semana passada começou depois do afastamento de controladores que trabalhavam no centro de controle de Brasília no dia do acidente com o Boeing da Gol. O pior desastre abriu questionamento também sobre a segurança no tráfego aéreo e fez crescer o estresse entre os controladores. Pelo menos 18 deixaram o trabalho, alegando questões psicológicas, e não foi possível fazer a substituição de imediato. Com menos gente no controle, só restou reduzir o número de pousos e decolagens em nome da segurança. A fila de aviões e passageiros aumentou num efeito cascata que só não surpreendeu quem já conhecia as dificuldades do setor e previa a possibilidade de um colapso. Em 2001 e 2003, documentos atribuídos ao comando da Aeronáutica e ao ex-ministro da Defesa, José Viegas, alertavam que o número de controladores no tráfego aéreo não era suficiente na época e a retenção de investimentos do fundo aeronáutico e no fundo aéreo viário poderiam provocar medidas radicais na restrição ao tráfego de aviões. A previsão parece ter se confirmado e a crise bateu nos gabinetes de Brasília causando irritações e cobranças. Agora, enquanto o governo busca analisar o que está acontecendo e como resolver, medidas de emergência tentam contornar a situação, como mudanças nas rotas, contratação de mais trabalhadores, plano de cargos e salários para quem está na ativa e até mesmo passagem do sistema para o controle civil. Atualmente, dos mais de dois mil e setecentos controladores, menos de seiscentos são civis, a maioria é militar e pertence aos quadros da Força Aérea Brasileira [FAB]. É a FAB que opera o Cindacta [Centro Integrado de Defesa e Controle do Tráfego Aéreo, responsável pela vigilância do espaço aéreo e comando das ações de defesa aérea], que tem mais de oitenta radares espalhados em quatro regiões do país: Brasília, Recife, Curitiba e Manaus. Quando o avião está no solo preparando a decolagem, ele é controlado pela torre do aeroporto. Mas, no ar, o controle é feito pelo Cindacta, que além de radares, têm estações de telecomunicações para orientar as aeronaves. A segurança de pilotos e passageiros depende de cada instrumento de navegação de bordo, mas depende também do controlador de vôo, uma espécie de anjo da guarda que vigia, na tela do radar, os pontos luminosos que representam os aviões que estão no ar. Se não está fácil enxergar tudo o que está voando, também não está visível uma solução definitiva para o problema que os controladores levantaram. O governo está a par, o Congresso Nacional quer investigar a crise, o Ministério Público Federal também, e os passageiros que amargaram o caos nos aeroportos querem cobrar pelos prejuízos. 
06/11/2006|Waldir Pires|4|Paulo Markun| Para entrevistar o ministro de Defesa Waldir Pires, convidamos Rafael Corrêa, repórter da revista Veja; Alan Clendenning, correspondente da Associated Press, do Brasil; Luis Nassif, comentarista da TV Cultura; Eliane Cantanhêde, colunista do jornal Folha de S.Paulo; Roberto Godoy, jornalista do O Estado de S. Paulo e especialista em assuntos militares; Júlio Ottoboni, repórter nacional do jornal Gazeta Mercantil e pós-graduado em jornalismo científico; Cláudio Lucchesi, diretor da revista Asas. Também temos a participação do cartunista Paulo Caruso, registrando com seus desenhos os flagrantes e principais momentos do programa. O Roda Viva é transmitido em rede nacional para todo Brasil, pela rede pública de televisão. Para participar, você pode fazer sua pergunta pelo telefone (11)3677-1310. Você acessa pela internet o próprio site do programa: www.tv cultura.com.br/rodavida e envia seu e-mail. Boa noite, ministro, obrigado por ter aceito nosso convite.
06/11/2006|Waldir Pires|5|Waldir Pires| Boa noite, Paulo Markun, prazer em revê-lo, estar aqui mais uma vez.
06/11/2006|Waldir Pires|6|Paulo Markun| Ministro, todo mundo sabe o que se passou, e não é necessário explicar, mas se o senhor tiver que explicar para uma pessoa que não presenciou o que aconteceu, não acompanhou noticiário, como definiria o que aconteceu nesses últimos dias no Brasil? 
06/11/2006|Waldir Pires|7|Waldir Pires| [pensativo] Alguma coisa muito triste, que mobilizou toda a nossa vontade de corrigir qualquer coisa que houvesse. O que é o dever do Estado democrático? Servir à população. De modo que, quando a gente assistiu, nos aeroportos, àquele quadro de tantas pessoas, mulheres grávidas, homens, crianças, jovens, maduros, velhos, sofrendo, na expectativa de não viajarem, ameaçados de não terem como descansar e até desesperançados da viagem, foi algo que nos tocou profundamente, então a necessidade de encontrar uma solução foi imediatamente toda a nossa mobilização íntima.
06/11/2006|Waldir Pires|8|Paulo Markun| Mas quando há um terremoto, tempestade, algum acidente natural, imprevisível, inevitável, é esse o comportamento do poder e da sociedade. Nesse caso, não era algo previsível e evitável? 
06/11/2006|Waldir Pires|9|Waldir Pires| Quem sabe deveria ser, mas também não é primeira vez que ocorre isso, de um modo geral, e em muitas partes do mundo, não é? Eu não sabia. Para mim, foi uma surpresa, mas eu demorei muito menos nessa surpresa do que na tentativa do maior esforço possível de identificar onde estariam as razões para que devolvêssemos àquela população a possibilidade de fazer seu fim de semana, de voltar para casa, de ir para as minhas praias do Nordeste ou para qualquer parte. E foi aí que nós nos mobilizamos completamente. Isso pode ocorrer, isso tem ocorrido. Nos Estados Unidos, você já viu coisas assim, a ponto de determinarem medidas absolutamente fortes, até do presidente da República, paralisando o próprio curso da aviação civil durante meses. Você pode ter outros episódios...de repente, acontecem falhas que tornam toda a sociedade muito tensa, indignada.
06/11/2006|Waldir Pires|10|Paulo Markun| Isso exime o governo de responsabilidade? 
