DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/06/2000|Washington Novaes|1|[programa ao vivo]|programa ao vivo]
05/06/2000|Washington Novaes|2|Paulo Markun|Boa noite. Ele tem denunciado os principais atentados contra o meio ambiente e defende uma mudança total de atitude diante da natureza como única forma de evitar a repetição das tragédias ambientais que ameaçam o futuro do planeta e da espécie humana. No centro do Roda Viva esta noite, no Dia Mundial do Meio Ambiente [5 de junho], o jornalista Washington Novaes.
05/06/2000|Washington Novaes|3|[inserção de vídeo]|inserção de vídeo]
05/06/2000|Washington Novaes|4|Narração de Cláudia Tavares|A preocupação com a qualidade de vida e a busca de um novo destino para a humanidade marcaram a vida desse paulista de 65 anos, natural da cidade de Vargem Grande do Sul. Formado em direito pela Universidade de São Paulo, em 57, após defender a primeira e última causa trabalhista, mudou de rumo para trilhar o caminho do jornalismo. Uma longa trajetória: repórter, editor e diretor de vários jornais e revistas importantes, como Última Hora, Correio da Manhã, Gazeta Mercantil, Folha de S.Paulo, O Estado de S. Paulo, Jornal do Brasil, Veja e Visão . Na televisão, esteve à frente do Globo Repórter, atuou no Globo Ecologia e participou de telejornais das redes Manchete e Bandeirantes. A grande virada veio em 85, quando produziu e dirigiu a série Xingu [Xingu, a terra mágica, documentário sobre os povos do Parque Indígena do Xingu, em Mato Grosso], premiada internacionalmente. A convivência com os índios trouxe uma nova visão de mundo. Washington Novaes passou a denunciar os problemas ambientais enfrentados no Brasil e no mundo e, ao mesmo tempo, a propor soluções. Nesse rumo, foi secretário de Meio Ambiente, Ciência e Tecnologia do Distrito Federal; diretor do Instituto Dom Fernando, em Goiânia, onde desenvolveu vários programas ecológicos com a comunidade. Criou o projeto inovador de redução de lixo de Goiás [GO], a cidade candidata ao título da Unesco de patrimônio da humanidade. Atualmente, é o supervisor-geral do programa Repórter Eco, da TV Cultura, e consultor de jornalismo da emissora; escreve também artigos em vários jornais, destacando a necessidade de um novo padrão mundial de desenvolvimento sustentável. Pelo conhecimento profundo dos limites que a humanidade deverá enfrentar, Washington Novaes foi encarregado de fazer a síntese e redigir as propostas de um dos documentos mais importantes já produzidos no país, a Agenda 21 brasileira, um compromisso assumido na Eco-92 que prevê um plano de ações para tornar o planeta ambientalmente mais saudável, economicamente equilibrado e socialmente justo.
05/06/2000|Washington Novaes|5|Paulo Markun|Para entrevistar Washington Novaes, nós convidamos o engenheiro ambiental Carlos Celso do Amaral e Silva, chefe do Departamento de Saúde Pública da USP; o educador Fábio Cascino, doutorando da PUC, professor de pós-graduação do Senac em educação ambiental; a jornalista Vera Diegoli, editora-chefe do programa Repórter Eco; a jornalista Roseli Tardeli, apresentadora da rádio USP; o cientista social Mauro Leonel, professor do Instituto de Estudos Avançados da USP, responsável pela área de políticas públicas, ambientes e populações; o empresário Blairo Maggi, suplente de senador pelo PPS, presidente da Fundação de Apoio e Pesquisa Agropecuária do Mato Grosso; e a advogada Flora Cerqueira, especializada em gestão ambiental e oficial do Programa das Nações Unidas para o Desenvolvimento – Pnud. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e também para a Brasília. Boa noite, Washington.
05/06/2000|Washington Novaes|6|Washington Novaes|Boa noite, Markun.
05/06/2000|Washington Novaes|7|Paulo Markun|A gente vê esse Dia Mundial do Meio Ambiente e eu lhe confesso que a mim me passa a sensação de que é alguma coisa parecida com o Dia do Índio, com o Dia da Árvore, com o “dia do coelhinho da páscoa”, quer dizer, na medida em que a situação é essa, grave, que tanto tem sido denunciada e tanto tem sido comentada e, passa dia, entra ano, sai ano e, ao que tudo indica, não há grandes mudanças a serem comemoradas. É isso mesmo ou eu estou sendo pessimista?
05/06/2000|Washington Novaes|8|Washington Novais|Não, você está sendo realista. Realmente, quando se tem um dia do meio ambiente, já dá para pensar: por que precisa ter um dia do meio ambiente? Por que o dia do meio ambiente não é todo dia, já que a nossa vida acontece nele? Eu costumo lembrar que tudo o que acontece, acontece no concreto, acontece na terra, na água e no ar, então tudo que nós fazemos nós deveríamos sempre pensar o que é que vai acontecer no meio ambiente em função das nossas ações, porque todas elas têm uma conseqüência. Quando eu saio com o carro da minha casa, eu estou gerando poluição; quando eu aperto o botão da descarga no sanitário da minha casa, eu estou gerando esgotos; quando eu como, eu tenho lá algum problema lá na origem desse alimento e assim por diante. Isso deveria estar sempre presente nas nossas vidas, não deveria ser necessário existir um dia do meio ambiente para isso ser lembrado.
05/06/2000|Washington Novaes|9|Paulo Markun|Mas, de alguma forma, você imagina que nos últimos tempos avançou-se na direção de algum tipo de consciência? Ou esse é um discurso que a maioria das pessoas acha bacana mas não pratica?
05/06/2000|Washington Novaes|10|Washington Novaes|Não, eu creio que há um avanço de consciência bastante grande, principalmente porque a urbanização criou problemas tão sérios e tão graves no Brasil, quer dizer, de 1960 até agora, nós colocamos mais noventa milhões de pessoas nas cidades brasileiras. Isso é uma barbaridade: em quarenta anos, você coloca mais noventa milhões de pessoas com os problemas que isso gera. Ontem, a manchete da Folha de S.Paulo era de que 50% dos habitantes da Grande São Paulo vivem em lugares inadequados ou de formas inadequadas, então a consciência ambiental tem crescido muito. Por ocasião da Rio+5 [fórum de discussão das Nações Unidas, realizado no Rio de Janeiro, cujo objetivo foi revisar a implementação da Agenda 21], em 1997, o Ministério do Meio Ambiente fez uma pesquisa nacional [sobre] o que o brasileiro pensa do meio ambiente e ela deu resultados surpreendentes. Em primeiro, que dois terços da população se declararam contra qualquer forma de degradação ou de poluição, ainda que em nome do desenvolvimento ou da geração de empregos, que é o mais grave problema social no Brasil hoje. Mas há uma distância entre a consciência e a ação, e eu entendo que isso se deve ao fato de que apenas um terço das pessoas entrevistadas se considerou parte da natureza; as pessoas se consideram fora da natureza sem entender que elas são natureza também, elas não são apenas cultura. O nosso corpo é feito em 70% de água, o restante são minérios, não é? Então, tudo o que acontece à água acontece ao nosso corpo; tudo o que acontece à Terra acontece ao nosso corpo; tudo o que acontece no ar acontecerá em algum momento no nosso corpo. É preciso ampliar essa consciência também para que as pessoas se disponham mais a mudar a questão, a fazer do meio ambiente realmente uma questão prioritária.
