DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
10/07/1989|Washington Olivetto|1|Jorge Escosteguy| Boa noite. Estamos começando mais um Roda Viva. Este programa é transmitido ao vivo pela Rádio Cultura AM e pelas TVs Educativas do Piauí, Ceará, Porto Alegre, Minas Gerais, Espírito Santo e TV Cultura de Curitiba. É também retransmitido pelas TVs Educativas do Mato Grosso do Sul e Bahia. O convidado do Roda Viva desta noite é o publicitário Washington Olivetto. Para entrevistar Washington Olivetto, nesta noite, nós convidamos os seguintes jornalistas: Fátima Turci, gerente de comunicação da agência Hill and Knowlton; Fernando Mitre, superintendente de jornalismo da Rede Bandeirantes; Sérgio Leopoldo Rodrigues, secretário de redação da Rádio Eldorado; Juca Kfouri, diretor editorial do grupo de esportes da Editora Abril e comentarista da TV Globo; Marcos Augusto Gonçalves, editor da Folha de S. Paulo; Ivan Ângelo, editor chefe do Jornal da Tarde, Tão Gomes Pinto, jornalista; Vladir Dupont, jornalista especializado em publicidade do jornal Folha da Tarde. Na platéia assistem o programa convidados da produção e do Washington. Washington Olivetto nasceu em São Paulo, tem 37 anos e é um dos publicitários mais premiados do mundo. Começou a sua carreira aos 19 anos e trabalhou em várias agências. Na DPZ criou um dos personagens de maior sucesso no mercado: o garoto Bombril. Corintiano fanático, participou ativamente da criação da Democracia Corintiana, talvez uma das poucas criações de Washington Olivetto e de outras pessoas que não deram certo. Cansado de ser apenas o W na DPZ, aceitou o convite para ser o W na WGGK, hoje transformada em W/Brasil, talvez uma das suas maiores criações no mercado publicitário. Washington, você realizou o sonho de todo trabalhador brasileiro. Você começou como empregado numa agência, passou para outra e, de repente, comprou a empresa onde trabalha. Como é que foi essa transformação? 
10/07/1989|Washington Olivetto|2|Washington Olivetto| Olha, foi uma transformação fascinante. Quando, há três anos atrás, a gente fez a WGGK, tratava-se de uma associação minha com um grupo suíço de um único dono, que é o Paul Gredinger [antes da fusão, presidente da agência suíça GGK), e foi um sucesso muito grande. Agora, esse sucesso foi interessante, pois meu próprio ex-sócio reconheceu na semana passada que foi um sucesso local, um sucesso gerado por mim e pelos profissionais que trabalham comigo. E eu te diria que foi até bastante fácil comprar a parte suíça, porque, ao invés de comprar com dinheiro, compramos com uma idéia que foi a seguinte: "Olha, a gente fica com a WGGK, que passa a ser W/Brasil, tendo as mesmas pessoas, tendo os mesmos funcionários, tendo dois novos sócios brasileiros e a gente ainda constrói uma segunda agência, uma segunda GGK, para vocês no Brasil, administrado por nós mesmos." Então, foi uma idéia muito boa, que gerou a possibilidade de fazer tudo isso. Claro que a compra da WGGK, para virar W/Brasil, bem possivelmente não começou como a gente pensava, na segunda-feira passada, em Zurique. Na verdade, começou no dia em que eu comecei a escrever anúncios. Eu acho que o fato de eu ter passado dos 19 anos de idade até hoje escrevendo anúncios, forneceu a possibilidade de um dia eu fazer isso. 
10/07/1989|Washington Olivetto|3|Jorge Escosteguy| Agora, o Brasil é um país subdesenvolvido, tem uma grande dívida externa, tem uma série de problemas de pobreza, mas é campeão de automobilismo e de publicidade. Como é que você explica isso?
10/07/1989|Washington Olivetto|4|Washington Olivetto| É, o Brasil é gozado, porque o Brasil é um país de terceiro mundo que tem uma propaganda de primeiro mundo. Existem várias explicações para isso. Acho que a explicação mais oportuna seria a seguinte: a qualidade dos veículos de comunicação do país. Os veículos de comunicação brasileiros são bastante bons. Por isso mesmo, o anúncio que a gente coloca numa revista compete com o editorial. O comercial que você coloca numa emissora de televisão compete com o programa. Se ele não tiver qualidade ele não vai ser percebido. Hoje, a boa propaganda brasileira é, sem dúvida nenhuma, uma das três melhores do mundo. Então, é por essa somatória, de criatividade muito grande dos profissionais com uma capacidade de produzir direitinho. Às vezes até sem as condições adequadas de tempo e de dinheiro, mas com a necessidade de se fazer desse jeito para se conseguir eficiência. Do contrário você literalmente desaparece no meio da programação. 
10/07/1989|Washington Olivetto|5|Marcos Augusto Gonçalves| Washington, você disse que o Brasil é o terceiro, um dos três maiores do mundo? Você está usando algum critério, algum tipo de publicidade?
10/07/1989|Washington Olivetto|6|Washington Olivetto| Olha, eu te diria o seguinte. É lógico que a propaganda no mundo inteiro, a massa de propaganda, ela é meio bugiganga. Se você chegar em Nova Iorque hoje e ligar a televisão, 85% da propaganda que você vai ver é de má qualidade. É a cara do Crasy Eddie [nome do personagem de Eddie Antar, empresário americano que divulgava eletroetrônicos em comerciais de televisão], um sujeito berrando e tal. Talvez em Londres essa média seja muito mais alta. No Brasil também o que a gente tem de boa propaganda é pouco, mas esse pouco é tão bom quanto o melhor do mundo. Então, os critérios que você tem para aferir isso são graus comparativos que os próprios profissionais vão fazendo através de intercâmbio de informação. Principalmente quando você tem os tais festivais de propaganda, como é o caso de Cannes [na França, que desde 1953 realiza o Festival de Publicidade de Cannes, considerado o mais importante do mundo] Lá você tem 4 mil e poucos comerciais e você realmente pode comparar os trabalhos. Você chega a ver a publicidade brasileira colocada entre as três, entre as quatro melhores.
10/07/1989|Washington Olivetto|7|Marcos Augusto Gonçalves| Mas qual o grau de retorno de mercado para isso? Quer dizer, porque tem a coisa da avaliação da eficiência também. Você pode ter um juízo, digamos, técnico, estético, sei lá, de um trabalho e você pode ter um juízo pelo lado da eficiência. Ela [a propaganda] se propõe a vender o negócio? Vende ou não vende? Há alguma aferição?
10/07/1989|Washington Olivetto|8|Washington Olivetto| O juízo jamais pode ser estético. O estético é meramente circunstancial. Ou seja, no negócio da propaganda o conteúdo é fundamental. A forma é o veículo que você tem para expressar o conteúdo. Então, quando você tem um festival como o de Cannes, que acabou outro dia, você tem 18 homens no júri. Esses profissionais são profissionais que dirigem agências, dirigem criação de agências, são chairmans [presidente do conselho de administração ou representante de uma empresa - difere do CEO que tem funções mais executivas] de grandes empresas e tal. Eles recebem sinopses a respeito de cada um daqueles trabalhos, que mostram o intuito que teria aquele trabalho, que necessidade esse trabalho teria que preencher. É claro que, até por experiência, quando um consumidor vê um comercial em casa, esse comercial funciona ou não funciona, persuade ou não persuade, ele gosta ou não gosta. Quando eu vejo, eu fico imaginando o briefing [conjunto de dados fornecidos pelo anunciante para orientar a agência na elaboração de um trabalho de propaganda] Eu fico imediatamente imaginando assim: "O que esse anunciante queria dizer? Será que isso está bem dito?" Esse é o critério que eles utilizam para julgar.
10/07/1989|Washington Olivetto|9|Sérgio Leopoldo Rodrigues| O que quer dizer o conteúdo? Eu não entendi o que quer dizer o conteúdo do anúncio?
10/07/1989|Washington Olivetto|10|Washington Olivetto| O conteúdo basicamente é o seguinte: se você tem uma camisa que não rasga nunca, esse é o seu produto, esse é o seu briefing para mim. O que eu tenho que ressaltar é que essa camisa não rasga nunca. Se eu fizer um lindo comercial mostrando a sua camisa linda, mas não contar que ela não rasga nunca, eu não passei a informação que venderia o seu produto. Então, o meu comercial está só bonitinho, mas não está eficiente.
10/07/1989|Washington Olivetto|11|Tão Gomes Pinto| Então, em termos de grana, de dinheiro, esse mercado brasileiro representa o quê, no conjunto? 
10/07/1989|Washington Olivetto|12|Washington Olivetto| Esse mercado brasileiro deve ser, mais ou menos, a sétima economia da propaganda do mundo. Seria por aí. Chega a ser até engraçado. Por exemplo, os volumes são totalmente diferentes. Uma conta grande americana é mais ou menos cinco ou seis vezes maior que a W/Brasil inteira.
10/07/1989|Washington Olivetto|13|Fátima Turci| Isso que eu queria saber. Quer dizer, até que ponto também essa medida de eficiência está mensurada na eficiência lucrativa das agências de publicidade? Sobre isso, eu queria fazer outra pergunta. A WBrasil está indo na mesma corrente das grandes empresas do setor, mundialmente falando? Quer dizer, se a gente pegar grupos grandes que estão cada vez mais se agigantando... Você mesmo deve ter recebido inúmeras consultas desses grupos grandes de comunicação, como a [...], a WPP [agência norte-americana com presença em 106 países] e outros, que estão comprando, comprando e comprando agências e que sempre aumentam o faturamento. Nesse mundo da publicidade conta só a criatividade ou também o faturamento? Quer dizer, daqui a pouco a W/Brasil pode ser engolida por um monstro desses?
10/07/1989|Washington Olivetto|14|Sérgio Leopoldo Rodrigues| Eu queria só completar a pergunta dela. Tenho uns dados e eu queria citar. A GGK, em 85, era a 47ª no ranking brasileiro, faturava 10,8 milhões de dólares. E agora? Diminuiu, cresceu, subiu no ranking ou desceu?
10/07/1989|Washington Olivetto|15|Washington Olivetto| Não, nesses três anos, complementando a pergunta da Fátima, nesses três anos, a gente passou desses 10,8 milhões - que eu acho que era um pouquinho menos até - para algo em torno de 36, 37 milhões. A nossa previsão deste ano é para 50 milhões de dólares. Previsão a gente sempre faz pessimista, que é para dar certo no final. Se faz otimista pode quebrar a cara. O que acontece é o seguinte. Os negócios que a Fátima citou, por exemplo, do gigantismo de tal agência que compra tal agência que compra tal agência, são negócios que, na verdade, são bons para as agências. Agora, para o anunciante, tudo que ele quer é um bom anúncio. Não interessa para ele o tamanho da empresa que fez, mas, sim, a qualidade que aquele anúncio tem. Então, esses negócios, na verdade, o que acontece neles é que, de repente, um grupo de não publicitários, quase banqueiros, diz assim: “Poxa, no negócio da propaganda dá para fazer negócios.” E começaram a fazer fusões, incorporações e tal. Isso é um dado cíclico. Isso acontece e, de repente, tem um sujeito que diz assim: “Mas, espera aí, o meu anúncio melhorou o que nisso?" Ou: "O meu produto saiu mais da prateleira porque nisso?” E ele pega e muda de agência. Então, por exemplo, no caso que você citou, do [...] um grupo gigantesco, há quinze dias atrás ele passou a sofrer violentas perdas de contas na Europa e nos Estados Unidos. Então, começam as coisas das contas conflitantes que dão uma tremenda confusão. Paralelo a isso, está havendo uma revalorização da grande idéia no negócio da propaganda. Então, tem um sujeito, por exemplo, que tem uma...
10/07/1989|Washington Olivetto|16|Fátima Turci| Grande idéia e pequena agência?
10/07/1989|Washington Olivetto|17|Washington Olivetto| Não necessariamente. Uma agência pode ser do tamanho da sua capacidade de adquirir e administrar talentos. Ou seja, o seu tamanho qual é? É quantos talentos você conseguir ter e quantos talentos você conseguir administrar. Claro que, quanto mais talentos juntos, mais confuso fica. É mais difícil administrar. É normal. Mas, mais gostoso fica também. Então, se você tem uma grande capacidade de juntar talentos, você pode ser muito grande. Se você tem uma média capacidade, você vai ser médio.
