DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
23/08/2004|Alberto Dines|1|Paulo Markun|Boa noite. Ele ajudou a fazer a recente história da imprensa brasileira, viveu os momentos mais difíceis dessa fase, participou das principais transformações que o jornalismo enfrentou nos últimos 50 anos e tornou-se um observador crítico, não só do papel da imprensa como também da cultura e vida brasileira. Escritor e pesquisador biográfico, ele está lançando um novo livro, o jornalista Alberto Dines é o convidado desta noite do programa Roda Viva.
23/08/2004|Alberto Dines|2|[Vídeo narrado]|Há mais de 50 anos, ele escreve, roteiriza, pesquisa biografias, publica livros, formata jornais e revistas, ensina e critica o jornalismo e seus representantes. Pesquisador do Laboratórios de Estudos Avançados em Jornalismo  da Unicamp, a Universidade de Campinas, Alberto Dines é coordenador do Observatório da Imprensa, site criado em 1996 para acompanhar o desempenho da mídia brasileira. Em 98, o trabalho chegou à televisão em formato de programa semanal. Toda terça-feira, às dez e meia da noite, Alberto Dines apresenta o Observatório da Imprensa, produzido na TVE do Rio de Janeiro, com transmissão nacional pela Rede Pública de Televisão, da qual participa também a TV Cultura de São Paulo. O programa busca aumentar a participação da sociedade no debate de questões que afetam a vida brasileira. Convidados nas principais cidades brasileiras são entrevistados ao vivo via satélite e o público participa com perguntas por telefone, fax e também na Internet, para manifestar opiniões e comentários sobre os temas discutidos. A história pessoal de Alberto Dines também pode ser lida no próprio site do programa, onde ele conta que nasceu no Rio de Janeiro, foi criado em Vila Isabel e muito jovem se interessou por cinema e jornalismo. De roteirista passou a repórter cultural, tendo seu primeiro emprego como jornalista na revista Visão, depois fez uma longa caminhada pelos principais jornais e revistas brasileiros, além de ter trabalhado e dado aulas de jornalismo nos Estados Unidos e em Portugal. Autor de vários livros, desenvolveu um trabalho como crítico da mídia e também de pesquisador biográfico, está lançando agora a terceira edição de Morte no paraíso: a tragédia de Stefan Zweig, uma edição ampliada, quase o dobro da primeira que ele escreveu 23 anos atrás, sobre a vida do escritor judeu austríaco Stefan Zweig. Poeta, ensaísta e biógrafo, Zweig estava no auge da fama na Europa, na primeira metade do século passado. Pacifista, foi perseguido pelo nazismo e buscou refúgio no Brasil. Encantado com o país, veio com a mulher para Petrópolis, em 1941, onde escreveu Brasil - país do futuro. Seis meses depois, Zweig e a mulher foram encontrados mortos na casa em que moravam na serra fluminense. Durante anos, Alberto Dines pesquisou a vida e suicídio de Stefan Zweig e, como a realidade do mundo e do Brasil no Estado Novo entraram na obra humanista e pacifista do escritor austríaco, amigo de Freud, o livro tem como pano de fundo as duas guerras mundiais do século XX e as mudanças no mundo que nos empurraram para o dia de hoje. Best seller nos anos 20 e 30, Stefan Zweig até hoje é cultivado na Europa. Segundo Dines, isso porque sua tragédia revive temas eternos, angústias e problemas não resolvidos e indignações engolidas.
23/08/2004|Alberto Dines|3|Paulo Markun|Para entrevistar o jornalista e escritor Alberto Dines, nós convidamos: Arlene Clemesha, historiadora e pesquisadora; Daniel Piza, editor executivo e colunista do jornal O Estado de S. Paulo; Reinaldo Azevedo, diretor da revista e do site Primeira Leitura; Leopold Nosek, psicanalista e membro do Conselho da Associação Psicanalítica Internacional; Izabela Furtado Klester, professora doutora de literatura alemã da Faculdade de Letras da Universidade Federal do Rio de Janeiro e Affonso Romano de Sant’Anna, escritor, poeta e colunista. O Roda Viva é transmitido em rede nacional pela rede pública de televisão para todos os estados brasileiros e para Brasília. Boa noite, Dines? 
23/08/2004|Alberto Dines|4|Alberto Dines|Boa noite, Markun.
23/08/2004|Alberto Dines|5|Paulo Markun|A pergunta inicial é óbvia. Por que você resolveu reescrever um livro tão radicalmente, a ponto de ele ter o dobro do tamanho da edição anterior, que lhe demandou um enorme tempo, sobre um personagem que certamente a grande maioria dos brasileiros desconhece?
23/08/2004|Alberto Dines|6|Alberto Dines|Eu vou dar um exemplo. Há dois dias atrás, ou três dias atrás, um amigo meu recebeu um convite para noite de autógrafos que se realiza amanhã no Rio de Janeiro. Ele imediatamente me mandou por e-mail uma fotografia do Stefan Zweig que eu andava atrás desde que comecei a pesquisar o assunto. Claro, não é uma fotografia importante, mas isso aconteceu em 81, quando eu lancei o livro, e teve realmente um certo impacto. As pessoas começaram a me telefonar: olha, eu estive com Stefan, tenho uma carta, uma entrevista dele. Eu comecei a recolher isso, certo de que iria dar uma nota de rodapé, alguma coisa assim. Mas, evidente, você como jornalista vai me entender, para nós jornalistas as histórias não acabam. Tem edição do dia seguinte, tem o segundo clichê e esta é uma história, uma biografia que não acaba. A Virgínia Woolf , eu cito no livro, ela dizia que cada biografia precisa ser reescrita na geração seguinte, porque tem fatos novos, novas perspectivas. Eu, como jornalista, entendo isso muito bem, porque a vida acabou, mas as possibiliade são inúmeras...
23/08/2004|Alberto Dines|7|Paulo Markun|Especialmente o que muda, digamos, na percepção sua sobre aquele livro que escreveu?
23/08/2004|Alberto Dines|8|Alberto Dines|Não muda nada. Quer dizer, não muda nada e muda tudo. É o mesmo título, a mesma estrutura, a mesma armação, os mesmos capítulos, os mesmos títulos e capítulos, a mesma estruturação editorial, mas eu diria, comparando uma com a outra, que as primeiras edições foram uma aquarela, uma coisa mais difusa, mais delicada. Agora, eu quis fazer uma água forte, uma gravura, ir mais fundo, mas é tudo a mesma coisa. Acho que eu fui mais fundo onde precisava ir, sobretudo nas relações, como ele foi envolvido pelo governo Getúlio Vargas, convencido a escrever esse livro , que ele escreveu até com prazer, porque ele amava o Brasil, mas ele sabia que não era o gênero dele. Ele foi um ficcionista, um novelista, um biógrafo, mas teve que fazer um negócio com o Estado Novo e não um negócio de dinheiro, como se disse e se publicou. Isso o amargurou muito nas últimas semanas e meses dele. Ele escreveu o livro para que o governo lhe facilitasse a obtenção de um visto de residência. Naquela época, obter o visto de residência no Brasil era muito difícil e ele tinha essa necessidade. Ele queria fugir da Europa porque achava que a Europa iria ser toda destruída pelo Hitler . Ele tinha casa na Inglaterra, casa linda, mas pressentia que a Inglaterra iria cair e achou que tinha que vir para o Brasil, porque aqui ele encontraria o antípoda da Europa, uma sociedade pacífica, sem rancores, sem violências, mais simples, mais primitiva, no bom sentido. Não sei se ele se enganou ou não se enganou, mas a verdade é que ele fez esta opção.
23/08/2004|Alberto Dines|9|Daniel Piza|Então, o que ele acharia do Brasil hoje, no futuro: Índole pacífica, a questão da afetuosidade e tudo mais? 
23/08/2004|Alberto Dines|10|Alberto Dines|Essa é uma pergunta que todos nós devemos nos fazer, porque eu acho o seguinte: Stefan errou, superavaliou, idealizou o Brasil ou foi o Brasil? Quer dizer, os governantes brasileiros que levaram o país, eles não seguiram o projeto intrínseco que ele tinha vislumbrado. Esse, eu acho, é o grande debate que a leitura de Brasil - país do futuro pode suscitar hoje. 
