DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/08/2008|Armênio Guedes|1|[programa ao vivo]|programa ao vivo]
11/08/2008|Armênio Guedes|2|Lillian Witte Fibe|Boa noite. Ele diz que saiu do Partido Comunista, mas que não abandonou o vício, e muito menos critica quem segue o partido como fazem, por exemplo, muitos dos que param de fumar e pulam para o lado do anti-tabagismo. Ele se diz um comunista avulso: sem partido, sem carteirinha. Aos noventa anos e com cinquenta de militância no Partido Comunista Brasileiro, ele é referência de pensamento democrático para muita gente de esquerda. Referência de pensamento e também exemplo no convívio diário de cordialidade, de tolerância e de generosidade. O Roda Viva entrevista hoje o jornalista Armênio Guedes, que já foi da cúpula do PCB, e cuja história pessoal se confunde com a história do comunismo no Brasil. A entrevista começa já, já.
11/08/2008|Armênio Guedes|3|[intervalo]|intervalo]
11/08/2008|Armênio Guedes|4|Lillian Witte Fibe|Armênio Guedes esteve durante décadas na linha de frente do Partido Comunista Brasileiro. Discreto e anônimo para o público, assumiu um papel marcante dentro do partido: pensar, questionar e apontar rumos. Nas comemorações de seus noventa anos, havia representantes históricos da esquerda brasileira.
11/08/2008|Armênio Guedes|5|[Comentarista]|Houve festa em São Paulo, no Rio de Janeiro e em Salvador. Intelectuais, artistas, políticos, nomes conhecidos da vida pública brasileira, gente que ajudou a construir parte da história política recente do Brasil. E que se reencontrou, em junho de 2008, nas comemorações dos noventa anos de Armênio Guedes. Paciencioso e articulador, aqui ou no exílio, ele é quem procurava reunir e unir os opositores da ditadura divididos em várias correntes políticas. E que fazia, permanentemente, a defesa da via da atuação política e da democracia como caminho para levar o país ao socialismo, uma história que é a própria história pessoal desse baiano de Mucugê. Nascido em 1918, um ano depois da Revolução Russa, aos três anos de idade se mudou para Salvador com a família: pai, mãe e mais dez irmãos. O pai queria que todos os filhos estudassem. Armênio começou pelos livros de ciências jurídicas e aos 16 anos entrou na Faculdade de Direito da Bahia para se formar advogado. Tomou contato com o comunismo por influência do irmão mais velho, Enéas. E se filiou, em 1935, ao grupo baiano do Partido Comunista levando junto o irmão mais novo Celito. Em 1941, fugindo da perseguição que o Estado Novo de Getúlio Vargas impôs aos comunistas, Armênio Guedes veio para São Paulo e em seguida foi para o Rio de Janeiro. Com vários líderes comunistas presos, Armênio articulou entre companheiros paulistas e cariocas a Conferência da Mantiqueira, que praticamente refundou o PCB, em 1943. Com a queda de Getúlio Vargas em 1945 o Partido Comunista foi legalizado. Os líderes presos, incluindo o secretário geral Luís Carlos Prestes , foram soltos e Armênio se tornou  quadro profissional do PCB ao ser indicado secretário particular de Prestes. Hoje ele é uma das poucas testemunhas vivas de vários fatos da vida do mítico secretário geral do "partidão". A legalidade dos comunistas durou pouco. O partido foi cassado e assumiu uma linha radical e sectária que o levou ao isolamento. Com a saúde abalada por uma doença pulmonar, Armênio Guedes foi se tratar em Moscou em 1952, onde viveu três anos, período que coincide com a morte de Stalin e com os preparativos do vigésimo Congresso do Partido Comunista Soviético, onde Kruschev  denunciou os crimes do stalinismo. Em Moscou, Armênio Guedes já questionava a cartilha soviética. De volta ao Brasil, torna-se um dos principais articuladores da Declaração de Março de 1958 que colocou a democracia como objetivo da ação política do Partido Comunista. Nessa época, atuou como assessor parlamentar e dirigiu a revista Estudos Sociais, junto com Astrojildo Pereira , um dos fundadores do partido. Depois de 1964, mesmo com a repressão do governo militar aos movimentos de esquerda, Armênio ficou no Brasil clandestinamente até 1971. Saiu do país depois de ser abordado por um agente da CIA  em frente da casa onde morava e se exilou no Chile. Com o codinome Lázaro Feitosa, se juntou aos outros exilados como José Serra, Fernando Gabeira, Almino Afonso, Maria Conceição Tavares e Betinho , em ações políticas para denunciar a repressão no Brasil. Nesse período, perde o irmão mais próximo, Celito Guedes, que foi preso torturado e morto no Rio de Janeiro. Com o golpe militar de Pinochet e a morte de Allende em 1973, Armênio buscou exílio na França, onde chegou com o codinome Júlio. Com os exilados em Paris, entre eles Oscar Niemeyer, Miguel Arraes, Aloysio Nunes Ferreira, Luiz Hildebrando Pereira, José Leite Lopes, Armênio também organiza um esquema de denúncia da ditadura brasileira. E se torna o responsável pelo jornal do partido, Voz Operária, levando seu grupo a consolidar o princípio de que a democracia é um valor permanente e não apenas tático. Em 1979, com a anistia , volta ao Brasil. No ano seguinte, Prestes rompe com o PCB, que já mostrava outra divisão: de um lado, os que pregavam a democracia e criticavam o modelo soviético, como Armênio, de outro, os que discordavam dessa linha. A divergência levou mais gente a deixar o partido. Armênio Guedes saiu em 1986. Encerrou ali a militância de cinqüenta anos. Continuou, como ele mesmo diz, um comunista. Mas sem partido e sem carteirinha.
11/08/2008|Armênio Guedes|6|[Seguem trechos de vídeos com depoimentos]|Seguem trechos de vídeos com depoimentos]
11/08/2008|Armênio Guedes|7|Roberto Freire [deputado federal e candidato à presidência pelo PCB em 1989]|Armênio Guedes significa para todos nós, que viemos dessa família dos comunistas brasileiros, aquilo que foi a grande conquista: a questão da democracia.
11/08/2008|Armênio Guedes|8|Marco Antônio Coelho [jornalista e ex-membro do Comitê Central do PCB]|A sua luta não foi assim uma coisa que teve uma grande repercussão do público brasileiro, não teve. Mas, na verdade, entre aqueles que formam opinião no Brasil sempre se compreende a importância das teses traçadas sob orientação de Armênio Guedes.
11/08/2008|Armênio Guedes|9|Almino Afonso [advogado, foi ministro do Trabalho e Previdência Social no governo de João Goulart, teve seu mandato cassado pelo Golpe de Estado de 1964]|Nós participávamos de uma comissão chamada Comisión de denúncia de lá repression em Brasil...
11/08/2008|Armênio Guedes|10|José Serra|Tratava-se de um grupo para resistir ao avanço de repressão, da tortura, dos assassinatos que havia entre nós. Era um grupo plural. Havia gente como ele, que pensava numa saída democrática para o Brasil, da mesma maneira que havia o Hoffmann, o Almino Affonso, eu...
