|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|11/04/2005|Arnaldo Jabor|1|[Programa ao vivo, que permitiu a participação do telespectador]|
1|11/04/2005|Arnaldo Jabor|2|Paulo Markun| Boa noite, Se isso fosse um roteiro de filme eu diria que ele achou que pelo cinema poderia interferir na realidade, descobriu que não, e aí resolveu fazer jornalismo, também pensando em interferir na realidade e ajudar o Brasil a conhecer o próprio Brasil. Como jornalista, parece manter essa crença que perdeu com o cinema. O Roda Viva entrevista esta noite Arnaldo Jabor, que já foi poeta, cineasta, e virou cronista,  best seller e comentarista de rádio e televisão.
2|11/04/2005|Arnaldo Jabor|3|[Comentarista]|" Há anos ele aparece na tela da TV Globo indignado com alguma coisa: com o Brasil que não cresce nem amadurece, com o brasileiro que atrapalha, com a pedra no caminho... Crítico por natureza, criador nato de polêmicas, Arnaldo Jabor vem fazendo, na TV, no rádio, no jornal e nos livros, o cinema que queria fazer sobre a realidade brasileira, misturando realismo com psicanálise e descrédito com paixão. Como outros cineastas do Cinema Novo, na década de 1960, também carregava a crença no poder transformador da arte e com esta esperança fez oito filmes. Nos anos de chumbo do governo militar , marcou sua produção com Toda nudez será castigada , de Nelson Rodrigues, além de O casamento  e Tudo bem , considerado alguns dos melhores filmes brasileiros da época. Foi neles que centrou sua visão amarga de Brasil e de crítica à hipocrisia das relações familiares e da burguesia. Nos anos 1980, a produção de Arnaldo Jabor muda de foco e coloca o olhar crítico nas relações amorosas. Eu te amo  e Eu sei que vou te amar  são as produções marcantes desta fase. Eu sei que vou te amar chegou a ser levado também para o teatro, com a direção do próprio Jabor. Em 1991, ele achou que a produção de cineasta tinha chegado ao fim. Desencantado com o cinema, se entusiasmou com o jornalismo, onde julgou possível estar mais presente na vida do país, participar e interferir. ""Você leva dois anos para fazer um filme, sofrendo, dando duro etc, e às vezes o filme não é legal, ou não fica bom, e a um passo você jogou dois anos fora. O jornalismo não, você escreve um artigo e no dia seguinte, de repente, você tem a repercussão imediata. Você tem duzentos mil, trezentos mil leitores, você se sente interferindo na vida social do país, de alguma maneira"" . O carioca, que se formou em direito, escreveu crítica de teatro e fez cinema, retornou ao jornalismo cumprindo a vontade que tinha quando criança: de ser escritor. Suas crônicas e críticas publicadas pela Folha de S. Paulo, O Globo e O Estado de S. Paulo, viraram livros. Violência, paixão, cinema, política, sexo, miséria, lixo e luxo. Sobre o que estamos falando quando falamos de realidade? A pergunta, na orelha do livro Sanduíches de realidade e outros escritos , busca respostas no cenário trágico onde a vida brasileira se colocou, produzindo dramas que viram piada, ironia, acidez, raiva, atrevimento e até poesia nos textos do autor e podem, também, virar afeto. Amor é prosa, sexo é poesia , seu último livro, é uma reunião de crônicas afetivas, textos que lançam um olhar inquietante sobre as relações humanas mais íntimas, confissões de ternuras e invejas, um pedido de mais beleza em tudo que há na vida e a reafirmação de que o amor é uma ilusão sem a qual não se pode viver."
3|11/04/2005|Arnaldo Jabor|4|Paulo Markun| Para entrevistar Arnaldo Jabor, nós convidamos a psicanalista Anna Verônica Mautner; Mônica Teixeira, editora especial de saúde, ciência e tecnologia da TV Cultura; Michel Laub, diretor de redação da revista Bravo; o poeta, escritor e antropólogo Antonio Risério; Ana Carvalho, sub-editora de Brasil da revista IstoÉ; e Rosely Sayão, psicóloga. O programa também é acompanhado aqui em nossa platéia por diversos convidados.  Boa noite, Jabor.
4|11/04/2005|Arnaldo Jabor|5|Arnaldo Jabor| Boa noite.
5|11/04/2005|Arnaldo Jabor|6|Paulo Markun|" Eu estava pensando aqui a pergunta que eu ia fazer para começar o programa. É um dos poucos momentos em que o apresentador tem alguma participação nesta história e eu resolvi repetir uma provocação que foi feita por uma figura, que era o Ernesto Varella, um repórter que o Marcelo Tas interpretava há muito tempo atrás, e ele perguntou para o  Nelson Piquet: ""Nelson, atrás do que você corre?"". E ele disse assim: ""Da grana, meu amigo"". Então, eu pergunto: Jabor, sem ser da grana, atrás do que você corre?"
6|11/04/2005|Arnaldo Jabor|7|Arnaldo Jabor|" Só rapidinho... Perguntaram a mesma coisa a Orson Welles quando ele ganhou a Legião de Honra da França, os franceses, que o adoravam, falaram assim: ""Qual é a alma do cinema?"". E ele disse: ""L´argent"" . Eu corro atrás de uma loucura da minha geração, de alguma forma até meio romântica, de querer interferir na realidade do país, de querer me meter, de querer peruar. Esse era o sonho do Cinema Novo, quando ele surgiu. A gente achava que o mundo era fácil de mudar, bastava um desejo ou uma ideologia certa. Mas isso é uma coisa muito boa, porque isso deu a essa geração uma fome muito grande de verdade, de tentar interferir no país, de melhorar o país,  esperança no país... Então, eu faço isso. Eu fazia cinema, de repente o cinema foi proibido pelo Collor . O Collor fechou todas as fontes de financiamento das agências que nós tínhamos, e aí eu fui fazer jornalismo. Estava sem dinheiro para viver e aí eu arranjei um emprego na Folha de S. Paulo. O Otavinho  me convidou e eu fui trabalhar lá. E aí eu adorei fazer jornalismo. Adorei!"
7|11/04/2005|Arnaldo Jabor|8|Paulo Markun| Mas essa coisa da esperança, quer dizer, o Cinema Novo tinha essa esperança de mudar o mundo, mudar o país?
8|11/04/2005|Arnaldo Jabor|9|Arnaldo Jabor| De mudar o país... Hoje a gente não consegue nem mudar o Rio de Janeiro...
9|11/04/2005|Arnaldo Jabor|10|Paulo Markun|" Isso que eu ia dizer. Você tem talvez o melhor emprego da televisão, da mídia brasileira, você escreve o que você acha e pretende, fala nos veículos de maior alcance: rádio, jornal, TV Globo, Jornal Nacional... Agora, não dá uma sensação de desânimo em dizer: ""Bom, eu falo isso e não acontece nada; não cai o ministro, não derruba o presidente, não muda o país""?"
