DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
15/12/1986|Ayrton Senna|1|Paulo Markun|Boa noite! Há cinco anos na curva de Tamburelo, do circuito de Imola na Itália, terminava a carreira de uma grande esportista brasileiro. Mais do que isso, acabava ali a vida de um ídolo nacional, o piloto de Fórmula 1 Ayrton Senna da Silva. Você vai rever agora a histórica entrevista que Senna deu aqui no Roda Viva em 86, pouco depois de ter feito, pela primeira vez, o gesto que viraria sua marca registrada, carregando pela volta de comemoração a bandeira do Brasil. Mas antes vamos ver um depoimento da irmã dele, Viviane Senna.
15/12/1986|Ayrton Senna|2|Viviane Senna|A paixão pelas pistas, pela velocidade, pelas corridas, não resumia o homem Ayrton Senna. Ao lado disso, havia também uma enorme paixão pelo Brasil, que se manifestava de muitas formas e se manifestou dois meses antes do acidente através de um desejo que ele deixou e que permaneceu entre nós como uma semente, que era a vontade que ele tinha de ajudar as crianças e os jovens brasileiros a ter aquilo que ele teve, que você teve, que eu tive, mas que a maioria delas não têm, que é a oportunidade. A oportunidade de ter acesso à educação, de ter acesso ao trabalho, de ter acesso à saúde, de ter acesso à esperança, e que essa grande parte de crianças e adolescentes brasileiros não têm. Foi justamente dessa paixão, desse amor que ele tinha pelo país, que nasceu o Instituto Ayrton Senna, que deixou de ser uma semente. Hoje é uma realidade que está mudando a vida dessas crianças, desses jovens. Hoje atende mais de 180 mil crianças em todo o país e mostra que é possível, sim, mudar situações, é possível mudar o que está acontecendo e a gente não precisa mudar de profissão pra isso. O Ayrton como esportista pôde e está ajudando o país a mudar as condições de vida de muitas crianças. Todos nós podemos fazer alguma coisa e eu acho que o Ayrton não é uma exceção, ele é a regra que mostra isso. E eu acho que poder se constituir em parte de soluções para o Brasil, tranformar essas crianças em parte de soluções para o país, ao invés de deixá-las nas condições de problemas é uma tarefa linda, que o Ayrton deixou para nós, da qual todos nós podemos participar. Eu acho que, mesmo a despeito das condições que elas vivem lá, de subnutrição, de falta de acesso à educação, saindo lá nas últimas filas, quando elas recebem essa oportunidade, elas demonstram, elas nos provam que, como o Ayrton, tendo as condições necessárias, elas podem chegar à linha de chegada, cruzar essa linha de chegada como campeões, como cidadãos. É exatamente esse o objetivo que o instituto tem e que nasceu desse desejo do Ayrton, que hoje todos nós podemos partilhar e que é cada vez mais partilhado, não só por nós do Instituto, mas por outras organizações, outras fundações, grandes empresas que se somaram a isso e estão transformando essa oportunidade, para cada vez um número maior de crianças no Brasil. Nós esperamos que isso possa continuar cada vez mais.
15/12/1986|Ayrton Senna|3|Rodolpho Gamberini|Boa noite! Nós estamos começando neste momento mais um Roda Viva, o programa de entrevistas e debates da TV Cultura de São Paulo. E nosso entrevistado desta noite é Ayrton Senna, o piloto de Fórmula 1. Para participar deste Roda Viva estão conosco: Reginaldo Leme, jornalista da TV Globo de São Paulo; Marcelo Resende, jornalista da revista Placar, trabalha no Rio de Janeiro; Jorge Seadi, jornalista da TV Gaúcha; Alan Vinhé, jornalista da TV Globo do Rio de Janeiro; Galvão Bueno, jornalista da TV Globo, também do Rio de Janeiro; Élcio de São Thiago, diretor do Automóvel Clube do Estado de São Paulo; Castilho de Andrade, jornalista do Jornal da Tarde; Claudio Carsugui, editor técnico da revista Quatro Rodas; Fernando Calmon, jornalista da TV Manchete e revista Manchete. Ayrton, enquando a gente estava aqui esperando você chegar para começar o Roda Viva, houve uma certa preocupação de que você iria chegar atrasado no programa. Primeiro porque você tem fama de não cumprir muito o seu horário, mas o que é mais grave, você tem fama de dirgir muito mal na cidade. Diz-se que, uma certa vez, você, aqui em São Paulo, bateu um carro, que em uma semana você bateu o carro três vezes. É verdade?
15/12/1986|Ayrton Senna|4|Ayrton Senna|Pô, as más línguas correm mesmo, né? Não, eu costumo chegar na hora certa, não atrasado.
15/12/1986|Ayrton Senna|5|Rodolfo Gamberini|Mas é verdade essa história que você bate muito o carro quando você está dirigindo na cidade?
15/12/1986|Ayrton Senna|6|Ayrton Senna|Não, isso aí são as más línguas.
15/12/1986|Ayrton Senna|7|Rodolpho Gamberini|Mas você nunca bateu?
15/12/1986|Ayrton Senna|8|Ayrton Senna|Já perdi a conta, vai. Nunca presto atenção no trânsito.
15/12/1986|Ayrton Senna|9|Rodolpho Gamberini|Você não presta atenção?
15/12/1986|Ayrton Senna|10|Ayrton Senna|Ah, isso é um grande defeito. A gente, por estar sempre guiando um automóvel, acaba achando que sabe muito e no fundo não sabe nada, né? Vive dando trombada por aí. Mas nunca machuquei ninguém, não.
