DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
29/03/1999|Bernard Cassen|1|Paulo Markun|Boa noite. Ele defende a idéia de que o mercado financeiro deve ser desarmado e diz que os governos precisam se fortalecer, rejeitando a tese de que o mercado pode tudo, resolver os problemas do mundo, inclusive, para o bem de todos e a felicidade geral das nações. No centro do Roda Viva, esta noite, o professor francês Bernard Cassen. Cientista político, 61 anos, Bernard Cassen é professor do Instituto de Estudos Europeus da Universidade de Paris, jornalista, e é ainda secretário-geral da Maison da América Latina em Paris e presidente da Attac, a Associação por uma Taxa sobre as Transações Financeiras para Apoio aos Cidadãos. A Associação foi criada no ano passado , na França, e está ampliando seu campo de ação tentando restringir os efeitos maléficos da ciranda financeira mundial que já abalou a economia de muitos países e agora coloca o Brasil no olho do furacão. A Attac lutava, inicialmente, para que o mundo comprasse a idéia do prêmio Nobel de economia, o economista James Tobin, que há 28 anos propôs a criação de um novo imposto sobre as transações especulativas. Isso permitiria que os governos recuperassem a autonomia em matéria de política econômica, escapando das garras do capital sem pátria. A arrecadação proveniente desse imposto iria para um fundo destinado a combater a pobreza no mundo. Para entrevistar o jornalista Bernard Cassen, nós convidamos o jornalista Lourival Santana, repórter especial do jornal O Estado de S. Paulo; o historiador Luiz Felipe de Alencastro, professor da Unicamp e pesquisador e diretor científico do Centro Brasileiro de Pesquisas (Cebrap); o professor Wanderley das Neves Cardoso, presidente da Associação de Agricultura Orgânica; o consultor de desenvolvimento rural Pedro de Camargo Neto, presidente da Fundação para Desenvolvimento da Pecuária; Francisco Whitaker, secretário-executivo da Comissão Brasileira de Justiça e Paz; o jornalista Luiz Weis, articulista do jornal O Estado de S. Paulo; o jornalista Fábio Altman, repórter especial da revista Época; e o jornalista Antônio Martins, da Associação Attac no Brasil. Boa noite, professor. A sensação que eu tive, lendo seus artigos no Le Monde Diplomatique, é de que, tudo que eu escutei nos últimos tempos sobre economia mundial, sobre a situação financeira do planeta, sobre negociações entre países, está errado. É isso mesmo?
29/03/1999|Bernard Cassen|2|Bernard Cassen|Não creio que esteja tudo certo. O que anunciamos, talvez, após 15 anos de trabalho sobre o funcionamento da economia neoliberal, sobre o funcionamento da globalização financeira, infelizmente revelou-se certo. Basta ver o que houve na Ásia Oriental, depois na Rússia, hoje no Brasil. O Brasil é uma lição de livro aberto sobre o efeito nocivo da globalização financeira. Vocês podem constatar isso melhor que eu. Assim, infelizmente, tenho a impressão de que tinha razão. Eu preferiria estar errado.
29/03/1999|Bernard Cassen|3|Paulo Markun|Os defensores do sistema atual, dessa liberdade total de mercado, da globalização, dizem que não, que o que está errado é que os países não seguiram a receita, e que, justamente por não terem feito isso, o mundo está do jeito que está. Como o senhor defende, pelo seu ponto de vista, em relação a esse argumento?
29/03/1999|Bernard Cassen|4|Bernard Cassen|Para começar, vejo cada vez menos defensores do neoliberalismo atual. Vêem-se pessoas como  Sachs ou  Krugman, que são economistas norte-americanos, e até o Milton Friedman - todos insuspeitos quanto a terem nossas opiniões - dizerem o mesmo, que isso não funciona. Fazem críticas ferozes ao Fundo Monetário Internacional (FMI). Poucos, hoje, defendem o sistema atual . Todo o mundo está de acordo num ponto: ele não funciona. O que se discute é o que colocar no lugar. Creio que a conclusão é unânime: desse jeito, caminhamos para a catástrofe. E cito para vocês alguém que é bem conhecido no Brasil: o George Soros, do qual vocês herdaram alguns colaboradores. Em seu último livro, A crise do capitalismo, ele diz que o capitalismo vai direto contra a parede.
29/03/1999|Bernard Cassen|5|Paulo Markun|Alguns bilhões de dólares depois, certamente.
29/03/1999|Bernard Cassen|6|Bernard Cassen|Claro! O Soros é esquizofrênico. De um lado, rouba dinheiro em escala enorme, como especulador. De outro, distribui dinheiro, como filantropo. Mas sua análise é correta.
29/03/1999|Bernard Cassen|7|Luiz Weis|Desde que a crise financeira mundial se instalou, há cerca de vinte meses, talvez se esteja assistindo à substituição do que se costumava chamar de “fundamentalismo de mercado”  por uma outra forma de extremismo mental, que seria uma defesa de uma espécie de medievalização da economia, como se a globalização não fosse o desfecho lógico inevitável do capitalismo. Como o senhor situa diante dessa polêmica?
29/03/1999|Bernard Cassen|8|Bernard Cassen|Primeiro, você fala de economia, mas não se trata de economia. Não se deve reduzir a sociedade à economia e não se deve reduzir a economia às finanças e, muito menos, às finanças virtuais. Atualmente, não estamos nesse domínio. As finanças estão totalmente desligadas da economia. Elas se divorciaram da realidade e vivem numa esfera autônoma. E é essa esfera autônoma que provoca as crises que conhecemos.
29/03/1999|Bernard Cassen|9|Luiz Weis|Perdão, a esfera autônoma do capital financeiro é conhecida, mas quando se fala em globalização, às vezes se esquece que existe uma mundialização da produção, de que a França dá exemplo. O Airbus que é montado em Toulouse não é feito em Tolouse. É feito um pedacinho na Alemanha, um pedacinho na Espanha, um pedacinho na etc. A contabilidade da British Airways é feita na Índia, graças à internet. Esse mecanismo não tem a ver com as finanças, estou falando da produção. O senhor acha que isso pode ser desmontado no combate à globalização estritamente financeira?
29/03/1999|Bernard Cassen|10|Bernard Cassen|Vamos colocar a pergunta sob um ponto de vista democrático. Temos sorte de viver em países onde há eleições. Como podemos mostrar nossa vontade democrática? Elegendo deputados, senadores, e elegendo um presidente. Quanto mais a produção e as finanças são mundializadas, tanto mais as entradas e saídas de dinheiro são exteriores ao perímetro democrático em que vivemos. E mais: o direito de voto perde seu interesse. Você pode votar em quem quiser, da direita ou da esquerda, e isso não muda nada. Em última instância, são os mercados que governam. Quando a produção das firmas multinacionais é globalizada, quando há partes dos motores do airbus, feitas em diversos lugares, o importante é ver como os eleitores, os cidadãos, podem recuperar o domínio sobre sua própria sorte. E esse domínio passa, necessariamente, penso eu, por uma volta a uma regulamentação pública por parte do Estado. Ao passo que, hoje, desde a crise na Ásia, as grandes transações ocorrem em âmbito privado, não mais em âmbito público, o que diferencia da crise anterior dos anos 80.
