DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
08/01/2007|Bernardinho|1|Programa gravado|rograma gravado
08/01/2007|Bernardinho|2|Paulo Markun|Boa noite! Ele já levou muita bronca na rua de gente que repreendia por gritar demais com as meninas e por ser muito duro com os meninos. É parte da imagem criada como treinador exigente, perfeccionista e obstinado. O Roda Viva entrevista, esta noite, Bernardo Rocha de Resende, o técnico Bernardinho, que consolidou a Seleção Masculina como potência do vôlei mundial. Bernardinho foi escolhido pelo Comitê Olímpico Brasileiro como melhor técnico de 2006. É a quarta vez que ele recebe essa premiação, as outras foram em 2002,2003 e 2004. Este ano o prêmio foi dado pela atuação dele à frente da Seleção Brasileira Masculina de Vôlei. Vencedor em 2006 do hexacampeonato da Liga Mundial na Rússia e do bicampeonato mundial no Japão. Mais pontos na carreira do treinador que faz a seleção suar a camisa.
08/01/2007|Bernardinho|3|[Vídeo comentado]|Transformando suor em ouro é o título do livro onde Bernardinho conta histórias do voleibol brasileiro, vitórias, resultados, relatos de conquista e de sua própria vida e carreira. Carioca nascido e criado em Copacabana, formou-se em economia na Universidade Católica do Rio, mas, por influência dos primeiros treinadores, o pai Condorcet  e o técnico Bené, do Fluminense, Bernardinho decidiu-se pelo vôlei e começou a jogar seriamente aos 11 anos. Aos 17 chegou à Seleção Brasileira, onde se firmou nos anos 80, sob o comando do técnico Bebeto de Freitas. Primeiro reserva de William, Bernardinho viveu uma das eras mais vitoriosas do vôlei brasileiro ao lado de Renan, Bernard e Montanaro, grupo que mais tarde ficou conhecido como “a geração de prata”. Em 1988 foi assistente de Bebeto e, no ano seguinte, se lançou numa aventura italiana ao ser convidado e aceitar dirigir o time feminino de vôlei do Peruggia. Ficou na Itália até 1993, quando voltou e foi comandar as meninas do Brasil. Técnico da Seleção Brasileira Feminina por sete anos, Bernardinho diz no livro que a medição de força com as cubanas marcou aquela fase, quando as meninas conseguiram a primeira medalha olímpica na história da seleção feminina. Era para ser ouro na aposta de muitos, mas as cubanas endureceram em um jogo que ficou na memória pelas provocações e pela briga final, um acontecimento raro nesse esporte. Restou o bronze para as brasileiras. Mas a “era Bernardinho” também foi marcada por dezenas de vitórias importantes, entre elas a medalha de ouro nos Jogos Panamericanos de Winnipeg, em 1999, no Canadá, e a medalha de bronze nos jogos olímpicos de Sidney na Austrália. Para o técnico, foi a consolidação da carreira e do estilo durão, exigente, muitas vezes nervoso e bravo que custou as broncas recebidas na rua, mas que também lhe valeu o convite para comandar a seleção masculina em 2001. Apostando tudo em trabalho, treino e suor, Bernardinho partiu em busca do ouro, conduziu os meninos do vôlei a uma rotina de vitórias, chegando à medalha olímpica de ouro em Atenas 2004 e, agora, aos títulos de campeão da Liga Mundial pela sexta vez e a conquista do bicampeonato mundial no Japão. A Seleção Masculina Brasileira terminou 2006 em primeiro lugar no ranking da Federação Internacional do Vôlei e Bernardinho fechou a temporada firmando a imagem de um especialista em formar equipes. Desde os tempos da seleção feminina, é convidado por empresas para dar palestras sobre liderança e sobre a relação que o esporte tem com  mundo corporativo. Disciplina, persistência, motivação, planejamento de trabalho em equipe trazem resultados não só nas quadras, mas também no desempenho empresarial e na própria vida das pessoas, diz Bernardinho. Em 2003 ele criou o Instituto Compartilhar, uma organização civil sem fins comerciais voltada para o desenvolvimento humano através do esporte. O instituto trabalha com crianças e adolescentes e tem vários programas de ação esportiva e de educação.
08/01/2007|Bernardinho|4|Paulo Markun|Para entrevistar o técnico da Seleção Brasileira de Vôlei, Bernardinho, nós convidamos Mariana Lajolo, repórter de esportes do jornal Folha de S. Paulo; Hélio Alcântara, apresentador e diretor do programa Grandes momentos do esporte, da TV Cultura; Soninha Francine, vereadora, apresentadora e comentarista da ESPN Brasil, colunista do Caderno de Esporte da Folha de S. Paulo e presidente do Instituto Gol Brasil, que defende os direitos dos torcedores; Sérgio Mindlin, empresário; Maria Inês Felippe, consultora de recursos humanos e inovação aplicada ao negócio, vice-presidente da Associação Paulista dos Administradores de Recursos Humanos e membro atuante da Associação Brasileira de Recursos Humanos. Também está conosco Nely Caixeta, jornalista de economia e negócios e sócia da Totum Excelência Editorial. Também temos a participação do cartunista Paulo Caruso registrando em seus desenhos os momentos e os flagrantes do programa. Boa noite, Bernardinho!
08/01/2007|Bernardinho|5|Bernardinho|Boa noite, Paulo!
08/01/2007|Bernardinho|6|Paulo Markun|Queria começar pelo final, fazer uma pergunta que certamente não vai ser o objeto central da conversa nossa aqui. Eu li no seu livro, Transformando suor em ouro, aliás, muito bem articulado, eu li a maior parte das entrevistas que você concedeu para a imprensa escrita nos últimos tempos e não vi em nenhum desses momentos a palavra “prazer”! Você fala em paixão, obstinação, determinação, crença, suor, esticar a zona de desconforto. Onde é que na sua vida se encaixa o prazer?
08/01/2007|Bernardinho|7|Bernardinho|Eu acho que  tudo aquilo que a gente faz com paixão há o prazer envolvido. Porque, muitas vezes, as pessoas ligam o prazer a uma coisa assim... meio que um relaxamento, igual à figura que nos vem à cabeça de uma rede armada entre dois coqueiros.
08/01/2007|Bernardinho|8|Paulo Markun|Você nunca está na rede?
08/01/2007|Bernardinho|9|Bernardinho|Não, nessa não! Entre dois postes e uma quadra , em geral é nessa! Mas eu tenho um enorme prazer em estar ali, como acredito que a minha seleção, que esse grupo que hoje eu comando tem um prazer enorme em estar nesse momento de tensão. Eu acho que ela se caracteriza por dar o seu melhor nos momentos de maior cobrança. E tem que ter prazer em fazer isso e tem que ter não apenas a competência, mas se sentir confortável em momentos que parecem muito inconfortáveis, desconfortáveis, perdão, que eu acho que é um pouco a característica desse grupo. Não teria como você estar – com esse grupo são seis anos, quase treze à frente de seleções–... se não desse prazer, não seria possível.
08/01/2007|Bernardinho|10|Paulo Markun|Eu vou insistir na zona de desconforto para você, que é a seguinte: fora isso, onde é que você tem prazer, satisfação? Quer dizer, essa idéia da rede armada entre dois coqueiros jamais estaria presente no seu dia-a-dia?
