|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|18/05/1992|Caio Rosenthal|1|[Programa ao vivo, permitindo a participação de telespectadores]|
1|18/05/1992|Caio Rosenthal|2|Jorge Escosteguy| Boa noite. Que reação teria o senhor ou a senhora se descobrisse que seu filho convive na escola com um colega de aula portador do vírus da aids? Antes de responder ou de pensar que essas coisas só acontecem com os outros, são como morte ou acidente de carro, é bom saber que já se calcula em uma centena o número de crianças portadoras do vírus da aids só em São Paulo. E a previsão é de que esse número deve triplicar no próximo ano. Esse é um novo desafio que deve ser enfrentado pela sociedade brasileira. A convivência sem preconceito com os portadores do vírus da aids. E o preconceito é tão grande quanto a ignorância. Por ignorância, por exemplo, a menina Sheila, aqui de São Paulo, portadora do vírus, foi proibida de freqüentar a escola. Seus pais adotivos tiveram que ir à Justiça para garantir o direito da menina de estudar. Isso porque não há qualquer risco de contágio na convivência entre crianças numa escola. A possibilidade de uma criança pegar aids de outra portadora do vírus é tão remota quanto um meteoro cair na cabeça do diretor da escola. Hoje, no Roda Viva que está começando agora pela TV Cultura de São Paulo, nós vamos discutir a aids e o preconceito. A intolerância de uns e a manifestação de amor e solidariedade de outros, como os pais de Sheila, que adotaram a menina mesmo sabendo que ela portava o vírus da aids, e por isso mesmo a adotaram, para salvá-la do abandono. No centro do Roda Viva, está sentado o doutor Caio Rosenthal, médico especialista em moléstias infecciosas. Doutor Caio Rosenthal tem 43 anos, é formado em 1973 pela Faculdade de Medicina da PUC de Sorocaba, com residência em moléstias infecciosas. Trabalha no serviço de moléstias infecciosas no Hospital do Servidor Público Estadual desde 1976, e no hospital Emílio Ribas desde 1977. Em sua clínica particular, atende a vários doentes portadores do vírus da aids. Para entrevistar o doutor Caio Rosenthal, esta noite no Roda Viva, nós convidamos: o doutor Julio Abramczyk , médico e redator-médico da Folha de S.Paulo; Serginho Groisman, diretor e apresentador do Programa Livre do SBT; Thereza Pinheiro, redatora chefe da revista Criativa da editora Globo; Inês Knaut, repórter do Jornal do Brasil em São Paulo; o jornalista Demócrito Moura; Flávio Dieguez, editor executivo da revista Superinteressante; Ana Maria Sanches, diretora de redação da revista Nova Escola, da Fundação Vitor Civita; e a jornalista Mônica Teixeira. Boa noite, doutor Caio.
2|18/05/1992|Caio Rosenthal|3|Caio Rosenthal| Boa noite.
3|18/05/1992|Caio Rosenthal|4|Jorge Escosteguy| O senhor tem filhos?
4|18/05/1992|Caio Rosenthal|5|Caio Rosenthal| Tenho dois.
5|18/05/1992|Caio Rosenthal|6|Jorge Escosteguy| Eles são novos?
6|18/05/1992|Caio Rosenthal|7|Caio Rosenthal| Tem onze e treze anos.
7|18/05/1992|Caio Rosenthal|8|Jorge Escosteguy| O senhor já conversou com eles sobre a perspectiva de, de repente, conviverem na escola com uma criança portadora do vírus da aids?
8|18/05/1992|Caio Rosenthal|9|Caio Rosenthal| Eu nem preciso conversar com eles porque esse assunto é tão ventilado em casa. Praticamente todos os dias vem à baila esse assunto, e acho que eles já estão bem informados.
9|18/05/1992|Caio Rosenthal|10|Jorge Escosteguy| Qual é a reação deles? Eles têm esse tipo de conversa na escola, por exemplo?
