DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/02/1995|Carla Camurati|1|[Programa gravado não permitindo perguntas de telespectadores]|Programa gravado não permitindo perguntas de telespectadores]
02/02/1995|Carla Camurati|2|Heródoto Barbeiro|Boa noite. O cinema brasileiro passa por momentos surpreendentes. A produção nacional, depois de muitos anos de estagnação, começa a crescer. A crítica, muitas vezes cruel com cineastas brasileiros, já recebe com mais simpatia a produção nacional e, cada vez mais, mulheres dirigindo filmes no Brasil. Uma dessas novas diretoras é a atriz Carla Camurati, centro do Roda Viva, que começa agora, pela Rede Cultura. Estreando seu primeiro longa-metragem, o filme Carlota Joaquina, a princesa do Brasil, Carla Camurati acrescenta, em sua condição de cineasta, mais um item em seu extenso currículo artístico. Aos 34 anos, já fez teatro infantil, filmes eróticos, novelas da TV Globo, foi capa da revista Playboy, ganhou o prêmio de melhor atriz em 1985 e, segundo diz, sente-se cada vez melhor consigo mesma. Para entrevistar Carla Camurati, nós convidamos os jornalistas José Geraldo Couto, repórter especial da Folha de S. Paulo; Celso Masson, editor assistente da revista Veja; Marta Góes, redatora chefe da revista Cláudia; André Klotzel, cineasta; Artur Xexéo, sub-secretário de redação do Jornal do Brasil; Alessandro Giannini, repórter do Jornal da Tarde, e Cunha Júnior, repórter do programa Metrópolis, aqui da Rede Cultura. Este programa é transmitido, em rede nacional, por outras 27 emissoras que cobrem todo o Brasil. E nós lembramos aos telespectadores que hoje não podemos ter perguntas, porque o nosso programa foi gravado. Boa noite, Carla.
02/02/1995|Carla Camurati|3|Carla Camurati|Boa noite.
02/02/1995|Carla Camurati|4|Heródoto Barbeiro|Carla, nós temos entrevistado outras diretoras de cinema, aqui, e algumas delas até disseram da sua dificuldade com seu segundo, terceiro, quarto filme de longa-metragem. Você veio de um curta metragem para um longa-metragem e já traz um personagem histórico, personagem da história do Brasil. Eu gostaria, inicialmente, que você explicasse para a gente o seguinte: "Por que o personagem Carlota Joaquina  como o tema central de seu primeiro filme de longa-metragem?"
02/02/1995|Carla Camurati|5|Carla Camurati|Eu queria fazer um filme sobre a história do Brasil. Esse era o meu desejo e eu não sei nem explicar por que  desejo. Às vezes você não explica por quê, né? Eu queria que o meu primeiro filme fosse sobre a história do Brasil. Aí eu comecei a ler, ler, ler, ler, e cheguei nesse período, que eu achei que era o período mais legal. É um período de transformação do Brasil e onde o Brasil está completamente conectado com a Europa, de uma maneira que, quando a gente estuda no colégio, você não consegue entender direito. E tinha uma coisa infantil, uma relação infantil, de quando eu estava no colégio e aprendi sobre esse período, que era o fato de a Carlota Joaquina ter ido embora do Brasil dizendo: “Dessa terra, não quero nem o pó!”; que eu era criança e quando eu aprendi isso era uma coisa tão absurda.  "gente, por que ela tratou a gente assim? Por que ela não queria... ?”. E era engraçado isso, né? Quer dizer, você acaba tendo uma memória e quando bate na sua cabeça, você, depois, mais velho, lendo, você fala: “é mesmo, olha, é ela!”. E aí eu comecei a estudar sobre o período, e comecei a focalizar Carlota, porque, a bem da verdade, Dom João ... a gente acaba até tendo um pouco mais de noção sobre Dom João. Mas a Carlota, menos ainda, quer dizer, a única coisa que você sabe dela é isso. E ela era uma mulher interessante, entendeu? Era uma mulher, para o período, que acabou ficando com uma máscara um pouco diferente do que ela era, ela tinha qualidades que você não sabe...
02/02/1995|Carla Camurati|6|Heródoto Barbeiro| A imagem dela não é muito boa na história do Brasil, né?
02/02/1995|Carla Camurati|7|Carla Camurati|Péssima!
02/02/1995|Carla Camurati|8|Heródoto Barbeiro|É péssima?
02/02/1995|Carla Camurati|9|Carla Camurati|É péssima, tanto que, por exemplo, quando reclamam , reclamam só de Dom João. Dela ninguém fala nada. Eu poderia  até ter dado na cara dela, cuspido, feito o que eu quisesse, todo mundo ia dizer: “É pouco!".  Tudo o que eu falar sobre ela é pouco. Porque ela tem uma imagem horrorosa, que até nem é tão verdadeira, entendeu? Aquela coisa que a pessoa acaba levando a fama, em conseqüência de outras coisas.
02/02/1995|Carla Camurati|10|Heródoto Barbeiro|E no seu filme você recupera essa imagem? Você restaura essa imagem?
