DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
31/03/2008|Carlos Lyra (2008)|1|[Programa ao vivo, permitindo a participação do telespectador]|Programa ao vivo, permitindo a participação do telespectador]
31/03/2008|Carlos Lyra (2008)|2|Carlos Eduardo Lins da Silva|Boa noite. Faz cinqüenta anos que um grupo de músicos, reunidos no Rio de Janeiro, começou a apresentar para o Brasil uma nova idéia musical. Um novo jeito de compor, de tocar e de cantar, que surgiu de forma quase espontânea, adquiriu dimensão internacional e hoje é um dos capítulos mais importantes da história da nossa música. A bossa nova está completando 50 anos. O Roda Viva entrevista hoje um personagem que fez da história desse gênero e da sua biografia praticamente a mesma história. Nosso convidado é o compositor Carlos Lyra, autor de mais de duas centenas de músicas, várias delas entre as mais importantes de todos os tempos. Você vê a entrevista num instante.
31/03/2008|Carlos Lyra (2008)|3|[intervalo]|intervalo]
31/03/2008|Carlos Lyra (2008)|4|Carlos Eduardo Lins da Silva| relação de Carlos Lyra com a música começou muito antes da bossa nova. Começou em casa, com os seus pais e seus tios. Mas, a primeira composição dele foi feita em 1954 e gravada em 1955. Ele já começava a antecipar, junto com outros músicos precursores, a nova música popular brasileira que surgia na zona sul do Rio de Janeiro, naqueles anos.
31/03/2008|Carlos Lyra (2008)|5|[Comentarista]|Falar de data histórica é quase sempre esbarrar em controvérsias e até criar confusão. Mas, muita gente concorda que a bossa nova foi apresentada ao Brasil em 1958, na voz de Elizeth Cardoso , com o violão de João Gilberto ao fundo. Melodia, harmonia, a música soava diferente, mas era a batida do violão de João Gilberto que mudava as coisas. Mudava o ritmo, o jeito de tocar, trazia um balanço novo, uma bossa nova. Chega de saudade  marcou esse novo jeito de cantar e tocar, revelado naquele Rio de Janeiro dos anos 50. Não era um Rio de Janeiro qualquer, mas uma cidade maravilhada no outro tempo, mais calma, mais carioca, espelho de um Brasil esperançoso que passava do populismo de Getúlio  para o desenvolvimentismo de Juscelino , o presidente bossa nova. Uma década cheia de comemorações: Éder Jofre , Maria Esther Bueno , Ieda Maria Vargas . A arquitetura florescia com Oscar Niemeyer . Tempos de Cinema Novo, de euforia na Copa do Mundo. Claro que havia problemas, mas havia também conquistas e esperanças. Foi nesse contexto de um Brasil esperançoso e que se abria à modernidade, que a música também achou um caminho novo. Seguindo trilhas já abertas por músicos modernos, como Dick Farney, Lúcio Alves, Johnny Alf, Tom Jobim, entre outros. Caminho que, naquele momento, e num cenário que mal passava de Copacabana, se definiu e se formatou na batida da bossa nova. Carlos Lyra, carioca de Botafogo, que na infância teve um piano de brinquedo e uma gaita de boca, aos 18 anos decidiu estudar violão. Já tinha influências de músicos modernos, mas foi o violão de João Gilberto que enfeitiçou Lyra e tantos outros músicos que pegaram o gosto. Mas também não foram poucos os que não gostaram. E as críticas, quando leves, "pegavam pesado" na gozação. Certo, Carlinhos?
31/03/2008|Carlos Lyra (2008)|6|Carlos Lyra|A coisa do "toque, toque, toque..." mereceu uma crítica. E Moreira da Silva : ”eu não gosto de bossa nova, parece uma goteira: toque, toque”. 
31/03/2008|Carlos Lyra (2008)|7|[Comentarista]|O "toque-toque" não era assim tão simples. Na verdade, era um desafio, pois os acordes dissonantes e a puxada diferente do violão exigiam mais dos músicos. Gerry Mulligan , saxofonista  que se apaixonou pela bossa nova como outros jazzistas, brincou de tocar "Samba de uma nota só" na clarineta, com Tom Jobim ao piano. Mas não achou fácil. Tom Jobim teve que explicar muito como se tocava naquele ritmo. A bossa nova já havia chegado ao Carnegie Hall  e influenciava músicos do jazz. Em contrapartida, havia influência do jazz no samba, tema que se tornaria depois uma das composições mais conhecidas de Carlos Lyra. Também acusada de alienada em seu primeiro momento por falar de amor, sorrisos e flor, a bossa nova começou a mudar. Começou a incluir crítica social e política em suas letras, alertando que nem tudo era flor no Brasil. Carlos Lyra entrou nessa corrente e, em 1961, ajudou a fundar o CPC, Centro Popular de Cultura, da União Nacional dos Estudantes. Braço cultural do movimento estudantil, o CPC associou política e arte, e fez a música de protesto chegar à MPB . A censura do regime militar a partir de 1964 fechou o cerco e Carlos Lyra deixou o país. Foram dois exílios nos Estados Unidos, de 1964 a 1971 e, depois, de 1974 a 1976, quando finalmente voltou ao país retomando gravações e shows no Brasil e no exterior. Carlos Lyra se tornou um dos mais ativos e produtivos músicos dessa geração e dessa fase da música brasileira. A página dele na internet  é uma janela aberta a esse período. Traz a história pessoal, os acontecimentos musicais com as mudanças da bossa nova e uma discografia que relaciona os 29 CDs e LPs gravados, incluindo letras das 224 músicas já compostas. Em 2004, Carlos Lyra comemorou cinqüenta anos de carreira.
31/03/2008|Carlos Lyra (2008)|8|Carlos Eduardo Lins da Silva|Para entrevistar Carlos Lyra, nesta noite, nós convidamos: Zuza Homem de Mello, jornalista e produtor musical; Tárik de Souza, jornalista, escritor e colunista musical do Jornal do Brasil; Regina Echeverria, jornalista e autora do livro Furacão Elis ; Patrícia Palumbo, jornalista, apresentadora do programa Vozes do Brasil na rádio Eldorado e do programa Conversa Afinada, na TV Brasil; Sérgio Cabral, jornalista e escritor, autor das biografias de Tom Jobim e Nara Leão; Ruy Castro, jornalista, escritor e colunista do jornal Folha de S.Paulo e autor dos livros sobre a bossa nova: Chega de saudade  e A onda que se ergueu no mar . Também temos Carmem Amorim, repórter da TV Cultura, que traz para a entrevista as perguntas enviadas pelos telespectadores e internautas. E ainda a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional de televisão para todo o Brasil e também pela rádio Cultura AM. Se você quiser participar, use o telefone (11)3677-1310 ou a internet para enviar perguntas, sugestões e críticas. Nosso endereço é: www.tvcultura.com.br/rodaviva. Boa noite, Carlos Lyra
31/03/2008|Carlos Lyra (2008)|9|Carlos Lyra|Boa noite.
31/03/2008|Carlos Lyra (2008)|10|Carlos Eduardo Lins da Silva|A primeira pergunta é aquela que já foi antecipada nessa pequena reportagem sobre a sua vida. Estamos comemorando a data certa, o cinquentenário é realmente agora em 2008? Ou o início foi em 1955, quando Sylvinha Telles  gravou "Menina", ou em 1956, quando Orfeu da Conceição  foi encenado, ou em 1957 quando "Carlos Lyra, Sylvia Telles e os bossa nova" fizeram o show no Rio de Janeiro, ou em 1959, quando João Gilberto gravou o LP Chega de saudade? Quando é o aniversário?
31/03/2008|Carlos Lyra (2008)|11|Carlos Lyra|Ou em 1958 quando a Elizeth gravou Canção do amor demais? É, o leque está aberto, as pessoas escolherem o que quiserem, afinal, estamos numa democracia. Tudo o que eu disser aqui hoje é apenas minha opinião pessoal. Eu não pretendo influenciar ninguém, nem pontificar coisa alguma. Quando afirmam que o marco da bossa nova é o disco da Elizeth, fico em dúvida quanto a isso - a Elizeth é a minha paixão, adoro a Elizeth, ela é uma baladista maravilhosa - mas eu nunca achei que ela fosse uma cantora de bossa nova, na verdade. Ela já interpretava no Canção do amor demais uma série de letras que ainda não eram bossa nova: “Vá em sangue, todo amor...”  e isso está longe, está muito parnasiano. Então, aquele disco para mim é fantástico, foi uma revelação. Mas, não acho que seja o marco da bossa nova. Para mim, o marco seria mais quando o João Gilberto gravou o disco dele, Chega de saudade, onde havia todos os elementos: havia as duas duplas de parceiros, Tom e Vinicius, havia eu e o Bôscoli 1945-1982), conhecida como "pimentinha" e considerada uma das maiores cantoras da MPB], havia a interpretação de outros autores dentro do clima de bossa nova. Então, aquele LP do João Gilberto, para mim, foi o que marcou o início da bossa nova.
31/03/2008|Carlos Lyra (2008)|12|Carlos Eduardo Lins da Silva|Estamos um ano adiantados então, na sua opinião?
31/03/2008|Carlos Lyra (2008)|13|Carlos Lyra|Tanto faz, não tem importância.
31/03/2008|Carlos Lyra (2008)|14|Carlos Eduardo Lins da Silva|Tanto faz.
31/03/2008|Carlos Lyra (2008)|15|Tárik de Souza|Carlinhos, lá atrás, quando você fez "Menina" e "Criticando", já tinha uma visão de modificar a música brasileira?
31/03/2008|Carlos Lyra (2008)|16|Carlos Lyra|Nenhuma, nenhuma, nenhuma! Você tocou num ponto sensível. Quando as pessoas falam no movimento, eu também fico em dúvida, porque, naquela época, nem eu, nem Tom Jobim, nem João Gilberto, nem Vinicius, nem Bôscoli, tínhamos noção de que estávamos mudando algo. A gente queria fazer música e "cantar" as meninas.
31/03/2008|Carlos Lyra (2008)|17|Tárik de Souza|Agora, essa música "Criticando", por exemplo...Não havia nenhuma música que fizesse uma crítica ao momento musical como aquela. Acho que foi a primeira vez que se fez isso...
31/03/2008|Carlos Lyra (2008)|18|Carlos Lyra|Foi a primeira vez.
31/03/2008|Carlos Lyra (2008)|19|Tárik de Souza|Isso, na verdade, antecipa um pouco a influência do jazz.
31/03/2008|Carlos Lyra (2008)|20|Carlos Lyra|Isso, é o precursor da influência do jazz.
31/03/2008|Carlos Lyra (2008)|21|Tárik de Souza|, você fala dos boleros, da música francesa...
31/03/2008|Carlos Lyra (2008)|22|Carlos Lyra|Sim, falo dos boleros, da música francesa, e digo que o ritmo brasileiro é melhor do que tudo isso. Mas, aquilo foi uma coisa puramente intuitiva, não havia nenhuma consciência, entende? A consciência do movimento não existia para nós. Então, a bossa nova é um surto cultural, não é um movimento. E "Menina" foi uma canção gravada em 1955 pela Sylvinha Telles. Naquele tempo, o Brasil não tinha nem a bossa nova do João Gilberto, nem a batidinha de samba. Era o samba-canção, que é o grande precursor da bossa nova. O Dick Farney  cantava: “Ser ou não ser, há de ser sempre, sempre...”. Essa foi a música com a qual eu despertei para a bossa nova. Quando eu o vi cantando isso, eu fiquei louco, alucinado. Eu botava a música, apagava a luz e ficava ouvindo Dick Farney cantar aquelas coisas, foi o que me despertou para a música brasileira. Com todo o respeito que tenho pela música da Rádio Nacional , por Orlando Silva, Marlene, Nelson Gonçalves , enfim, mas aquilo não fazia a minha cabeça.
31/03/2008|Carlos Lyra (2008)|23|Tárik de Souza|Agora, você fez duas parcerias com o  Marino Pinto, que foram gravadas pela Marlene, pela Dalva de Oliveira..."Velhos tempos" e "Erros de gramática". Isso ainda não era bossa nova.
31/03/2008|Carlos Lyra (2008)|24|Carlos Lyra|Nunca. Isso era samba, a gente tentando ainda uma batida de samba. Veja bem, aquela batida de samba que o João Gilberto faz, você vê a mão dele quando ele toca, não sei onde ele aprendeu, mas ele estudou escola clássica para pegar o violão da maneira certa. E nós também. Eu tive uma orientação clássica, eu aprendi a “coisa certa”. Mas, todos nós tentávamos uma batida para o violão, até que o João Gilberto chegou com aquele achado. Aí nós abdicamos de tudo o que tínhamos feito. “É isso aí. É isso que a gente queria, essa é a batida”.
31/03/2008|Carlos Lyra (2008)|25|Sérgio Cabral|Mas, Carlinhos, você tinha noção de que estava fazendo uma coisa nova porque você deu entrevista, na época, criticando a música tradicional.
31/03/2008|Carlos Lyra (2008)|26|Carlos Lyra|Não criticando, Sérgio. 
31/03/2008|Carlos Lyra (2008)|27|Sérgio Cabral|..objetivamente, Noel Rosa e Ary Barroso, que depois seria teu padrinho.
31/03/2008|Carlos Lyra (2008)|28|Carlos Lyra|Falta de identificação completa e profunda, mas não crítica. Eu adorava aquela gente. Eu adorava aquela turma da Rádio Nacional. Tinha respeito, mas sentia que não era a minha praia, não era aquilo que eu queria. Como eu não queria também o George Gershwin, nem o Cole Porter, o Frank Sinatra , eu adorava aqueles caras...O Dick Farney, eu digo: "é isso que eu queria!".
31/03/2008|Carlos Lyra (2008)|29|Regina Echeverria|Mas, entre vocês ali, como era o papo em relação à música brasileira?
31/03/2008|Carlos Lyra (2008)|30|Carlos Lyra|Não tinha papo.
31/03/2008|Carlos Lyra (2008)|31|Regina Echeverria|"Ah, a gente não gosta disso, vamos fazer uma coisa..."
31/03/2008|Carlos Lyra (2008)|32|Carlos Lyra|A gente tinha preferências.
31/03/2008|Carlos Lyra (2008)|33|Regina Echeverria|Obviamente, não existia consciência de um movimento, porque isso realmente só acontece anos depois, em qualquer um.
31/03/2008|Carlos Lyra (2008)|34|Carlos Lyra|Nenhuma consciência.
31/03/2008|Carlos Lyra (2008)|35|Regina Echeverria|Mas ali havia um grupo, aparentemente coeso, que tinha objetivos em comum. O que se conversava sobre música?
