DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
04/08/2003|Celso Amorim|1|Heródoto Barbeiro|Olá, boa noite. Ele mesmo se define como operador de uma máquina muito grande que executa a política externa brasileira. E é à frente dessa máquina que ele busca um novo espaço para uma atuação mais ativa do Brasil na economia internacional. O Roda Viva de hoje entrevista o ministro das Relações Exteriores, Celso Amorim, responsável pelo encaminhamento das negociações brasileiras junto aos principais blocos econômicos em formação hoje no mundo.
04/08/2003|Celso Amorim|2|[Comentarista]|Celso Luiz Nunes Amorim é um veterano do Itamaraty e um dos diplomatas brasileiros mais conhecidos e prestigiados no exterior. É a segunda vez que ele ocupa o cargo de ministro das Relações Exteriores. A primeira foi no governo Itamar Franco, entre 1993 e 1994. Em 2001 e 2002, ele foi embaixador brasileiro em Londres. Formado em diplomacia pelo Instituto Rio Branco, também estudou filosofia e depois fez pós-graduação em relações internacionais em Viena e doutorado em ciências políticas na Escola de Economia e Ciências Políticas de Londres. Celso Amorim entrou no Itamaraty em 1965. Nesses 38 anos de carreira diplomática, ele passou quase a metade do tempo no exterior. Representou o Brasil junto à Organização das Nações Unidas  e à Organização Mundial do Comércio , além de outros fóruns de debate dos problemas políticos e econômicos do mundo. Tido pelos colegas como um persistente defensor dos interesses do país nas questões internacionais, sua nomeação para o Ministério das Relações Exteriores foi interpretada como um reforço a uma linha mais independente de atuação do Brasil no exterior. Sinais dessa política já surgiram no encontro entre o presidente Lula e o presidente americano George Bush. O Brasil adotou a posição de que não será possível ficar fora da Alca, a Área de Livre Comércio das Américas, e assumiu o compromisso de participar, mas decidiu que é preciso negociar mais e procurar um acordo melhor. Os interesses entre os países são muito diferentes e, às vezes, até conflitantes. O Ministério das Relações Exteriores colocou como prioridade o fortalecimento do Mercosul  e a busca de mais aliados para o Brasil negociar melhor. África do Sul, Índia, Rússia e China também poderão integrar novos blocos e se tornarem importantes parceiros. Novos acordos políticos e econômicos com esses países representariam não só uma abertura de novos mercados, mas a oportunidade de negócios com regras mais justas e uma possível redução da dependência brasileira do mercado americano.
04/08/2003|Celso Amorim|3|Heródoto Barbeiro|Bem, para a entrevistar o nosso convidado de hoje, que é o ministro das Relações Exteriores, Celso Amorim, nós convidamos o professor Oliveiros Ferreira, jornalista e professor de ciências políticas da USP e da PUC; o professor Demétrio Magnoli, que é doutor em geografia humana pela USP e editor do jornal Mundo, Geografia e Política Internacional, dirigido às escolas de nível médio e superior; a jornalista Maria Helena Tachinardi, que é editora de assuntos internacionais do jornal Gazeta Mercantil; a jornalista Eliane Cantanhêde, que é diretora da sucursal de Brasília do jornal Folha de S. Paulo; o jornalista André Lahóz, que é o diretor-executivo da revista Exame, e o jornalista Cláudio Camargo, que é editor internacional da revista Isto é. O Roda Viva é transmitido para todo o país em rede nacional e também em Brasília. Hoje não vai ser possível as perguntas ao vivo, como normalmente se faz aqui no programa Roda Viva, porque o programa está gravado. Boa noite, ministro.
04/08/2003|Celso Amorim|4|Celso Amorim|Boa noite.
04/08/2003|Celso Amorim|5|Heródoto Barbeiro|Ministro, eu gostaria que, inicialmente, o senhor esclarecesse um pouco o nosso telespectador  o seguinte: por duas vezes consecutivas a revista Carta Capital trouxe, aqui, reportagem a respeito de uma operação francesa na selva do Brasil. E a impressão que se teve, pelo menos, eu acho, para parte da opinião pública brasileira, é o seguinte: ou o governo brasileiro não sabia o que estava acontecendo ou não foi informado  que essa operação estava acontecendo. O senhor podia explicar para a gente exatamente o que aconteceu, a ponto de, inclusive, recentemente, o governo francês ter pedido desculpas ao Brasil por essa operação?
04/08/2003|Celso Amorim|6|Celso Amorim|Bem, eu posso falar o que eu sei como ministro das Relações Exteriores e tudo que chegou ao nosso conhecimento, que não é meramente especulativo ou baseado em deduções. Efetivamente, nós fomos informados tardiamente e de maneira incompleta da natureza da missão, dos objetivos, embora, até hoje, o governo francês insista – e eu não tenho nenhuma razão para duvidar– que o objetivo era humanitário. Agora, evidentemente, humanitário ou não, uma operação desse tipo, envolvendo um avião militar, envolvendo vários tipos de pessoas em território nacional, exigia um assentimento prévio do governo brasileiro – se seria dado ou não, é uma outra questão. E por isso nós reclamamos com o governo francês e o governo francês deu as explicações dizendo que lamentava, inclusive, o fato de nós não termos sido informados a tempo, dizendo também que lamentava o constrangimento que isso nos havia causado, ao Brasil, e ao mesmo tempo dando garantias de que isso não se repetiria. Então, isso para nós configura, claramente... não vou entrar na semântica, mas configura um pedido de desculpas, que, do ponto de vista diplomático – a menos que surjam fatos novos e eu espero que não surjam, que não creio que vão surgir–, para falar a verdade, o assunto está encerrado. O resto são episódios, aí, que podem ou não ter ocorrido, detalhes, alguns creio que confirmados, a presença do avião, o deslocamento, etc,  que nós só tomamos conhecimento, digamos, assim, de segunda mão, através de outros órgãos brasileiros. E enfim...
04/08/2003|Celso Amorim|7|Heródoto Barbeiro|Não foi um desprestígio do Brasil em relação à França num tratamento como esse?
04/08/2003|Celso Amorim|8|Celso Amorim|Olha, eu acho que a França é um país muito importante, como se sabe, não pede desculpas à toa. Pede desculpas porque creio que sabe que errou. E eu acho que isso para nós é o suficiente.
04/08/2003|Celso Amorim|9|Eliane Cantanhêde|Na carta eles fazem referência a uma missão médica. Pela imprensa francesa, pela imprensa brasileira, pela polícia federal e por vários indícios não era uma missão médica, não era uma missão puramente humanitária. Se houve uma mentira novamente nessa carta, como se comportaria a diplomacia brasileira e o próprio governo brasileiro?
04/08/2003|Celso Amorim|10|Celso Amorim|Olha, se surgirem fatos novos que provem que havia outros objetivos na missão... Veja bem, eles não dizem apenas que era médica, que é humanitária e que o avião era médico, não é?
04/08/2003|Celso Amorim|11|Eliane Cantanhêde|Pois é, cheio de agentes da segurança francesa.
04/08/2003|Celso Amorim|12|Celso Amorim|Só para concluir... Quer dizer, eles não estão negando que poderia resultar da missão uma libertação da Ingrid Betancourt , não há uma negativa em relação a isso. O que há negativa é em relação ao contato com guerrilheiros ou que houvesse outras pessoas para vir, outras coisas envolvidas. Eu não tenho nenhuma informação que me leve a achar que o que está sendo dito não é verdade. E eu também, você, até que, digamos, surja uma informação, eu não posso...
04/08/2003|Celso Amorim|13|Eliane Cantanhêde|E se surgir?
