|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|23/04/1990|César Maia|1|Rodolfo Konder| Boa noite, estamos começando mais um Roda Viva. O convidado desta noite é o deputado e economista César Maia. Para entrevistar o deputado César Maia, convidamos os seguintes jornalistas: José Occhiuso, editor de economia da revista Isto É Senhor; Pedro Cafardo, editor de economia do jornal O Estado de S. Paulo; José Márcio Mendonça, editorialista de política do Jornal da Tarde; Luís Roberto Serrano, editor de economia da revista Veja; Izalco Sardenberg, jornalista; Ricardo Setti, editor regional do Jornal do Brasil e Hermano Henning, repórter especial do SBT. Para registrar os melhores momentos do programa, também está conosco o cartunista Paulo Caruso. O deputado federal César Mais, 45 anos, é um dos economistas mais respeitados do Congresso Nacional. Foi secretário da Fazenda do governo Leonel Brizola, do Rio de Janeiro. Atualmente, César Maia luta dentro do PDT  para ser candidato ao governo do Rio de Janeiro. É uma luta difícil para alguém como ele, que não tem o apoio aberto de Leonel Brizola. César Maia caiu em desgraça no PDT depois de fazer elogios ao Plano Collor. Deputado, boa noite. Essa introdução está de acordo ou não? O senhor está em desgraça dentro do PDT? Qual é a sua opinião hoje sobre o Plano Collor?
1|23/04/1990|César Maia|2|César Maia| Olha, Rodolfo, o nosso ponto de vista é que a crítica permanente que as esquerdas e que o PDT, em particular, fizeram e fazem à administração Collor é uma crítica que não tem nada a ser reposta, ou seja, as nossas preocupações com a questão democrática, com a questão nacional, com o interesse público. No entanto, a economia brasileira, o processo hiper-inflacionário, foi carregando essa economia para um ponto terminal. E esse ponto terminal, praticamente, deu autonomia ao governo para introduzir propostas que foram defendidas nesses anos todos, eu estou falando dos últimos dez anos, pelos democratas, propostas de política fiscal e de política monetária financeira que dariam conta do processo inflacionário. Muito bem, numa situação dessas, a atual administração, de forma surpreendente, para mim principalmente, adota essas medidas.
2|23/04/1990|César Maia|3|Rodolfo Konder| Para o senhor apenas não, para muita gente.
3|23/04/1990|César Maia|4|César Maia| Exato.
4|23/04/1990|César Maia|5|Rodolfo Konder| As previsões eram difíceis nesse caso?
5|23/04/1990|César Maia|6|César Maia| É, porque nós estávamos muito mais imaginando um programa gradualista, quer dizer, um programa que preservasse o patrimônio financeiro, que preservasse a distribuição da riqueza definida pela ciranda financeira. E nós fomos surpreendidos por um ajuste fiscal rigorosamente igual ao ajuste fiscal que as esquerdas propuseram nestes últimos anos. E uma reforma monetária muito mais audaciosa do que a reforma que nós faríamos, porque nos não teríamos sustentação política pra ir tão longe, em relação ao patrimônio financeiro, parcialmente, produto da especulação. Muito bem, é claro que faltaram alguns pontos a serem enfrentados, como a questão da dívida externa, e que nós vamos ter que enfrentar, e que este governo vai ter que enfrentar, porque senão, esse programa não terá desdobramentos. Numa situação dessas, eu entendi que o programa de estabilização em si, ele tinha valor político e ele não podia ser tratado na crítica correta que nós fazemos às condições permanentes do governo. E aí começaram as divergências . Divergências que, no meu ponto de vista, são muito mais restritas à conjuntura que uma visão política mais geral de sociedade e de crítica à atual administração.
6|23/04/1990|César Maia|7|Rodolfo Konder| E isso inviabiliza a sua candidatura pelo PDT? O senhor acha que essa oposição interna ou essa incompreensão em relação à sua posição torna sua candidatura inviável?
7|23/04/1990|César Maia|8|César Maia| Olha Rodolfo, eu sou um aluno do governador Brizola. Ele tem nos ensinado muito. E ele tem sempre dito para nós que o fundamental é estar no processo social, nas palavras dele, no carreiro das formigas. Muito bem, quem vai sinalizar essa possibilidade é a população, é a opinião pública. Se a opinião pública entender que o meu ponto de vista, que a minha posição, tem densidade política e reagir positivamente à essa postura, não vai ser o governador Brizola e o PDT que vão correr contra o processo social, que vão sair do carreiro das formigas. Quem vai decidir isso tudo é a população. Porque, do ponto de vista programático, do ponto de vista estratégico, nós todos estamos de acordo. A nossa visão de conjuntura diverge. E a população do Rio de Janeiro vai decidir que caminho ela vai sinalizar para a posição do PDT.
8|23/04/1990|César Maia|9|Rodolfo Konder| Por enquanto a sua candidatura ainda depende do ex-governador Leonel Brizola decidir ou não se será candidato. É isso?
9|23/04/1990|César Maia|10|César Maia| Ela está colocada porque o governador Leonel Brizola não colocou sua candidatura. No momento em que ele colocar, obviamente que eu venho a deputado federal. E, até lá, nós vamos continuar desenvolvendo a postulação, com apoio, com estímulo, de setores importantes da sociedade civil do Rio de Janeiro e, principalmente, com apoio importante de setores do próprio PDT.
