|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|24/10/1994|Ciro Gomes|1|Heródoto Barbeiro|" Boa noite! No início deste ano, ao ser anunciado, o Plano Real foi recebido com desconfiança por alguns setores. O plano, diziam eles, havia sido criado exclusivamente para garantir a eleição do candidato à Presidência, Fernando Henrique Cardoso . Assim que os votos fossem apurados, imaginavam seus opositores, a economia voltaria a seus piores momentos - incluindo aí a teimosa inflação que, nos últimos tempos, andava pela casa dos 40%. No centro do Roda Viva que começa agora pela Rede Cultura, está o encarregado de mostrar que esse real é para valer: o ministro da Fazenda, Ciro Gomes. Deputado estadual, prefeito de Fortaleza, governador do Ceará e agora ministro da Fazenda - tudo isso com quase 37 anos de idade - a vida corre rápido para Ciro Gomes. Apesar da velocidade, se o ministro fosse comparado hoje a um veículo, a imagem mais apropriada não seria a de um Fórmula 1, mas a de um trator. É que Ciro Gomes costuma ser firme em suas opiniões. Ele já declarou publicamente ter nojo dos políticos e, logo ao tomar posse do Ministério, afirmou que daria quatro pancadas - aliás, a expressão não foi bem essa - para derrubar a inflação. E ainda classificou de ""canalhice"" a atitude dos empresários que cobram ágio e aumentam os preços. Certamente, o ministro vai precisar dessa energia nos 67 dias que ainda terá no seu posto para enfrentar, por exemplo, as críticas que são feitas às medidas de restrição ao consumo que acabam de ser adotadas - elas desagradaram a todos - empresários e também aos consumidores. Para entrevistar o ministro Ciro Gomes nós convidamos os jornalistas: Cláudia de Souza, que é chefe da sucursal de São Paulo do Jornal do Brasil; o José Casado, que é repórter especial do jornal O Estado S. Paulo; Stephen Kanitz, consultor da revista Exame e professor da Faculdade de Economia da Universidade de São Paulo; Celso Ming, que é comentarista de economia do Jornal da Tarde e do programa Opinião Nacional, aqui na Rede Cultura; o Otávio Costa, editor de economia da revista IstoÉ; Antonio Carlos Ferreira, repórter do Sistema Brasileiro de Televisão; Adrian Dickson, que é o correspondente da Agência Reuters; e Carlos Alberto Sardenberg, que é repórter especial da Folha de S. Paulo. Este programa aqui é transmitido simultaneamente para outras 23 emissoras de televisão que cobrem todo o Brasil. Você pode também participar do nosso programa através do telefone (011) 252-6525. A Shizuka, a Cristina e Ana Regina estarão aqui anotando suas perguntas. Se você preferir o fax, é o (011) 874-3454. Ministro, boa noite!"
1|24/10/1994|Ciro Gomes|2|Ciro Gomes| Boa noite!
2|24/10/1994|Ciro Gomes|3|Heródoto Barbeiro| Ministro, inicialmente eu gostaria que o senhor respondesse à seguinte questão. Hoje à tarde, a diretoria da Fiesp  esteve reunida aqui em São Paulo e, entre outras coisas, a diretoria da Fiesp diz aqui, num telex da Agência Star, que a medida de contenção ao crédito inibe a produção e deverá colocar em sérias dificuldades as empresas não capitalizadas. E vai mais: diz que a posição da diretoria da Fiesp é de que o governo está adotando  com impacto linear sobre todos os setores da economia, o que é inadequado, porque as dificuldades de abastecimento são localizadas. Gostaria de um rápido comentário do senhor sobre essa decisão da Fiesp.
3|24/10/1994|Ciro Gomes|4|Ciro Gomes| Olha, certamente, a Fiesp terá muito o que explicar a mim sobre essa posição, de que eu estou tomando conhecimento agora. Talvez essa seja a razão de ter o presidente me pedido uma audiência. Eu já marquei, imediatamente, como eu procuro fazer sempre, para a próxima quarta-feira; e teremos então a ocasião de discutir o que aconteceu. E o que aconteceu, fundamentalmente, é que nós toureamos, fizemos o limite do possível para que não precisássemos tomar medidas amargas restritivas, que não nos agrada tomar, mas que têm que ser tomadas por um imperativo da responsabilidade. Eu prefiro ter a humildade de aceitar todas as críticas que se queiram fazer hoje e dar ao país a confiança de que o Plano Real continua com o seu sucesso - e isso é a percepção clara que a população tem - do que amanhã, por uma ou outra omissão, inclusive por uma fraqueza de caráter, não tomando as medidas preventivamente hoje, ser acusado de entregar o país com o fracasso de uma das melhores, se não as melhores oportunidades que nós temos, enquanto nação, de tirarmos o câncer da inflação da nossa convivência social. Isso não será feito sem sacrifício. E as pessoas que ganharam muito ao longo do passado darão agora os seus sacrifícios.
4|24/10/1994|Ciro Gomes|5|Heródoto Barbeiro| Ok. Vamos à pergunta da jornalista Cláudia de Souza. Cláudia.
5|24/10/1994|Ciro Gomes|6|Cláudia de Souza|" Será mesmo, ministro? Eu gostaria de começar perguntando a respeito desse seu estilo de ""trator"". Será que ele é eficaz? O ministro da Fazenda do México, Pedro Aspe, no tempo do governo de  Salinas de Gortari , que promoveu uma estabilização com sucesso, costumava ser conhecido pelo fato de prender oito empresários por semana e não fazer nenhuma declaração contra eles a público. O senhor parece que adota a posição contrária, gosta do estilo agressivo. Mas eu me pergunto se não é oco esse discurso. Se ele realmente leva a alguma coisa."
6|24/10/1994|Ciro Gomes|7|Ciro Gomes| Olha, eu tenho sofrido uma crítica sobre esse ponto de vista adjetivo - que, volto a dizer, eu tenho muita humildade para aceitar. Não quero dizer que isso é o certo, não. Quero dizer que isso sou eu. Defeito, eventualmente, para algumas pessoas; parece-me ser uma virtude para outras tantas pessoas. Não sendo um defeito de princípio morais, eu não quero corrigir, porque seria falso. Eu digo o que eu penso. Eu tenho o hábito da franqueza e sei que o hábito da franqueza, às vezes, é pouco educado, é pouco leve, é pouco - enfim, como é que eu digo? - é pouco nobre. Em certas rodas aristocráticas do Brasil, esse estilo nunca foi muito bem aceito. Agora, eu peço desculpas a essas pessoas, mas peço perdão para continuar sendo o que eu sou.
7|24/10/1994|Ciro Gomes|8|Cláudia de Souza| Mas agredir funciona alguma coisa?
8|24/10/1994|Ciro Gomes|9|Ciro Gomes|" Não, eu nunca agredi ninguém, sabia? Eu nunca agredi ninguém. O encaminhamento é porque algumas pessoas adoram pinçar uma palavra que está fora do jargão branco aristocrático e ficar usando essa palavra como se fosse uma apologia de um discurso. E não é. O que eu disse: um repórter me perguntou, no dia em que eu acabei de votar, em que depositei meu voto: “Ministro, alguns empresários estão dizendo que, passada a eleição, vão poder aumentar preços. O que o senhor acha disso?” ""Eu acho isso uma canalhice."" Veio-me assim e é o que eu penso. Eu lamento muito, mas nunca soube, na minha vida, que eleição fosse item de custo de qualquer mercadoria.  E você dizer, num país que está surrado de sofrer como o Brasil, que passou a eleição e vai aumentar preço, eu acho uma canalhice. Mil perdões, eu acho isso mesmo."
9|24/10/1994|Ciro Gomes|10|Heródoto Barbeiro| Ministro, vamos a uma pergunta, agora, do jornalista Antonio Carlos Ferreira.
