DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
08/04/1991|Cláudia Raia|1|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva pela TV Cultura de São Paulo. Este programa é transmitido ao vivo pelas TVs educativas de Porto Alegre, Ceará, Piauí, Bahia e TV Cultura de Curitiba. No centro do Roda Viva desta noite, está uma atriz e bailarina que começou a dançar aos dois anos e nunca mais parou. Não parou de dançar e não parou de crescer. No centro de Roda Viva hoje está a atriz e bailarina Cláudia Raia. É conhecida pelas novelas que fez na televisão, pelo TV Pirata , fez campanha eleitoral, foi patrulhada pela campanha eleitoral e agora faz um show de muito sucesso em São Paulo chamado Não fuja da raia. Para entrevistar Cláudia Raia, esta noite no Roda Viva, nós convidamos Mário Mendes, jornalista da Companhia de Notícias; Célia Pardi, diretora da revista Cláudia; Roseli Tardelli, jornalista da Nova Eldorado AM; Cunha Júnior, repórter da TV Cultura; Edmar Pereira, jornalista e crítico de cinema do Jornal da Tarde; Mônica Bergamo, sub-editora da revista Veja; Walter Clark, empresário e Ricardo Soares, diretor de redação da revista Trip. Você que está em casa e quiser fazer perguntas por telefone pode chamar (11) 252-6525, que a Shizuka, a Cristina e a Iara estarão anotando suas perguntas. Boa noite, Cláudia.
08/04/1991|Cláudia Raia|2|Cláudia Raia|Boa noite, é muito bom estar aqui.
08/04/1991|Cláudia Raia|3|Jorge Escosteguy|Na sexta feira, se não me engano, você deu uma entrevista no rádio, na rádio Eldorado, e fizeram várias perguntas, perguntaram prato, uma atriz, enfim, perguntaram um político. Aí você pensou um pouco e disse Paulo Maluf. Por que não Fernando Collor?
08/04/1991|Cláudia Raia|4|Cláudia Raia|Em primeiro lugar, todos já sabem, é público e notório, que eu gosto muito do Fernando Collor, como político, tanto que eu o apoiei com fervor. Mas eu achei que eu deveria dizer um político de São Paulo, eu estava em uma rádio e em um programa paulista, fazendo um espetáculo em São Paulo, eu quis homenagear um político paulista, que gosta tanto de São Paulo, só por isso.
08/04/1991|Cláudia Raia|5|Jorge Escosteguy|Não tem nada a ver com nosso atual presidente? Você, quando justificou o seu apoio a ele, disse que o fez de graça e o único pagamento que você queria era que ele tirasse o país do buraco.
08/04/1991|Cláudia Raia|6|Cláudia Raia|É, exatamente isso.
08/04/1991|Cláudia Raia|7|Jorge Escosteguy|Você acha que ele está tirando o país do buraco?
08/04/1991|Cláudia Raia|8|Cláudia Raia|Eu acho que ele está tentando, que é o mais importante de tudo, porque a partir disso eu acho que a gente pode ter resultados muito agradáveis. Até agora as tentativas foram muito pequenas, muito tímidas, e ele não tem absolutamente essas características, pelo contrário. Eu acho que ele está tentando com muita força, com muita garra, que é uma coisa bastante notória na personalidade dele. Isso já é muito importante, eu pessoalmente acredito que ele vá conseguir tirar o país do buraco, é muito difícil, ninguém imaginou que fosse o contrário, mas eu acho que está aí a tentativa e ela é válida. 
08/04/1991|Cláudia Raia|9|Roseli Tardelli|Cláudia, nessa tentativa do presidente, na sua avaliação, ele tem acertado mais ou errado mais?
08/04/1991|Cláudia Raia|10|Cláudia Raia|Eu acho que ele tem um governo de muitas dificuldades, ele teve o primeiro ano de governo contra ele, pela guerra, pelo empresariado todo contra, eu acho que ele teve um ano que nem ele mesmo esperava que fosse tão difícil. Eu acho que ele tem acertado muitas coisas, e também tem muitas coisas que o governo está encaminhando que eu não concordo, e eu falo publicamente, que é a cultura. Ela está bastante prejudicada, morta. É uma pena, porque eu sinto que não é da intenção dele fazer esse tipo de coisa com a cultura, mas eu sinto que o governo dele é levado por umas prioridades, coisas que eu não concordo. Acho que a cultura é prioridade. Mas agora ele está reagindo.... talvez com as nossas reivindicações e na mudança do secretário, com alguns projetos que parecem bastante interessantes. Eu acho que ele tem acertado mais do que errado. .
