DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
28/01/1991|Darcy Ribeiro|1|Jorge Escosteguy|Boa noite, estamos começando mais um Roda Viva pela TV Cultura de São Paulo. O entrevistado desta noite diz que os fracassos são a glória da sua vida e, segundo ele, os fracassos são muitos. Ele diz, por exemplo, que fracassou ao tentar salvar os índios com quem viveu durante 10 anos. Fracassou ao tentar criar uma história primária para todos os brasileiros e fazer uma reforma agrária. Darcy Ribeiro, nosso entrevistado desta noite, também acha que não conseguiu criar uma universidade que desse ao Brasil o domínio do saber humano. Mas é certo que nós não estamos aqui, hoje, diante de um fracassado. Ao contrário: professor, etnólogo, antropólogo, reitor da Universidade de Brasília, ministro de Estado no governo João Goulart, escritor, romancista, vice-governador do Rio de Janeiro e criador dos famosos Cieps  de Leonel Brizola, Darcy Ribeiro fez de tudo e fez bem. Superou, inclusive, um câncer de pulmão, marca final de seu exílio durante o regime militar. Não contente com tudo isso, Darcy Ribeiro se elegeu senador pelo estado do Rio de Janeiro. Para entrevistar essa personalidade que ainda tem como característica o eterno bom humor com a vida, nós convidamos a jornalista Roseli Tardelli, da rádio Nova Eldorado AM; Fernando de Barros e Silva, editor assistente de educação da Folha de S.Paulo; Riomar Trindade, editor de Política da sucursal do Rio de Janeiro do jornal Gazeta Mercantil; Narciso Kalili, diretor de jornalismo da TV Jovem Pan; Ricardo Côrte, repórter do Jornal do Brasil; o jornalista Alex Solnik e Jaime Martins, repórter da TV Cultura. Boa noite, professor.
28/01/1991|Darcy Ribeiro|2|Darcy Ribeiro|Boa noite, meu caro.
28/01/1991|Darcy Ribeiro|3|Jorge Escosteguy|O senhor se elegeu senador, mas diz que não pretende ir ao Senado, prefere ser secretário da Educação. Assim os seus eleitores não serão fracassados?
28/01/1991|Darcy Ribeiro|4|Darcy Ribeiro|Pretendo ir ao Senado, sim. Quem recebeu mais de 3 milhões de votos tem uma obrigação a cumprir com seus eleitores. Você sabe que,  meus eleitores fizessem uma fila, de mãos dadas um com o outro, que daria para ir a Brasília, ida e volta. Com tanta gente que votou em mim, como é que eu posso deixá-los? O Brizola tem insistido que isso seria desejável. Ele acha que seria melhor se eu adiasse a minha posse por alguns anos para ajudá-lo. Eu quero ajudá-lo, mas eu quero ser senador também. Minha luta é tentar convencer o Brizola de que eu posso conciliar as duas coisas. Veja você, tem senador que tem banco, tem senador que tem fazenda, tem senador que tem indústria, eu não tenho nada. A minha indústria é a pátria brasileira e a patrinha, que é o Rio de Janeiro, especialmente a educação do Rio de Janeiro. Eu vou ter tempo como senador, o tempo que os senadores têm para tratar de seus interesses pecuniários e outros. Eu vou ter tempo para tratar das minhas paixões, que é a minha patrinha, o Rio de Janeiro e é a educação. O programa do Brizola é a coisa mais bonita que o Brasil já viu.
28/01/1991|Darcy Ribeiro|5|Jorge Escosteguy|Como que é essa história dos fracassos que o senhor comentou numa entrevista recente?
28/01/1991|Darcy Ribeiro|6|Darcy Ribeiro|Olha, é o seguinte: em um determinado momento eu recebi uma coisa tão honrosa, que comoveria qualquer brasileiro, qualquer latino-americano. Eu fui o primeiro latino-americano que recebeu da mãe das universidades, da Sorbonne , o título de doutor honoris causa . Eu tinha que ir à Sorbonne receber o título e fiquei dois meses... Eu nunca tive tanta dificuldade de escrever um discurso como esse. Eu tinha que fazer um discurso para receber a grande láurea, a grande homenagem e eu não queria fazer elogios para a Sorbonne, pois eu tinha feito uma Universidade em Brasília para não ser uma Sorbonne. Eu tinha pensado a universidade em Brasília, desde a raiz dela, radicalmente. Então, eu não queria fazer um elogio. Eu não queria fazer um elogio para a antropologia norte-americana,  Lévi-Strauss  que gostava de índio, mas não muito. Para eles, o índio é uma espécie de fóssil do espírito humano. Eles vêem como uma coisa bizarra. Eu não gostava da atitude dele, então, eu não queria fazer esse elogio. Até que surgiu uma idéia e a idéia foi essa: eu vou dizer para essa gente que eu aceito o prêmio como consolação aos meus fracassos. Só que, imperialisticamente, os meus fracassos são os fracassos do povo brasileiro. Há quarenta anos, eu tento salvar os índios; e seria tão fácil salvá-los. Dói muito que o Brasil - não eu - tenha fracassado em mudar os índices, o pouco que ele precisa para sobreviver. O Brasil fracassou também em fazer uma reforma agrária. São Paulo está com 17 milhões de habitantes, pode chegar a ter 27 milhões. Vai ser a maior cidade do mundo e uma cidade muito infeliz e faminta e terrível! A reforma agrária teria retido – e ainda é possível reter– algumas pessoas no campo. Eu fracassei, o Brasil fracassou nisso, fracassou em querer uma escola primária comum que alfabetizasse. São Paulo forma mais analfabetos que alfabetizados. Se você define alfabetizada, não  quem desenha o nome, mas quem é capaz de escrever um bilhete: "Mamãe, estou com dor de barriga." - hoje, li em um anúncio de jornal que a maior parte das crianças de São Paulo sai da escola sem saber isso. É uma verdade dolorosa. Fracassamos também no meu esforço enorme, na Universidade de Brasília, de criar uma universidade que fosse o motor do desenvolvimento cultural e científico do Brasil. Eu assumi esse fracasso e joguei isso - o discurso teve muita repercussão justamente por isso. Em vez de fazer alegações, eu falei das causas fundamentais com as quais eu estou atolado a minha vida inteira, que são as grandes causas do povo brasileiro.
28/01/1991|Darcy Ribeiro|7|Jorge Escosteguy|O senhor acompanhou o noticiário sobre o suicídio dos índios aqui no Brasil recentemente?
28/01/1991|Darcy Ribeiro|8|Darcy Ribeiro|Dos índios? Sim, acompanhei emocionado. Esse é um assunto  que eu venho tratando há muitos anos. A primeira revelação disso foi na Melanésia . Um antropólogo inglês chamado Pitt-Rivers  escreveu um documento tremendo, dizendo que os índios da Melanésia estavam fazendo buracos no chão, deitando, dizendo que iriam morrer, e morriam. Eu sabia disso da minha formação antropológica, mas eu não imaginava que a coisa fosse assim. Quando eu comecei a ver  com índios que eu estudei muito - os  Caiapós, do Pará, eu vi uma coisa terrível. Vi um índio declarar que o pai dele tinha passado e tinha dito a ele  não estava bem. Ele disse : "Eu vou lá." E ele sentou na rede e morreu. Um homem que se senta em uma rede e morre porque deseja morrer é uma coisa tremenda. A palavra espanhola  é muito bonita: descorazonar. Os índios estão "descorazonados", estão decepcionados tão profundamente  a vida que a civilização apresenta a eles, o preconceito com que eles são olhados, a tendência de tratá-los como bicho e de não tratá-los como gente, leva a uma espécie de desengano. Cada índio de algum modo tenta, se esforça para ser tratado como gente. E até para aderir, para ser igual aos brasileiros, mas é sempre rechaçado. Calcule você: São Paulo, em 1918, 1920, tinha índios sem nenhum contato com a civilização. Quantos restaram deles? Muito poucos. Esses índios morreram com enfermidades, mas muitos morreram de tristeza. Nesse momento, o que acontece é tremendo, porque povos Guaranis e Caioás, do sul do Mato Grosso, do Paraná, de outros lugares, esses índios têm uma enorme espiritualidade. Quando eu estudei pela primeira vez, eu achava que eram índios maltrapilhos, custei a entender. Depois, eu entendi que eles eram como  Gandhi , é uma gente com muita espiritualidade. Essa gente reverteu o que era o mito da criação, eles começaram a definir como o mito da morte. Então, por exemplo, no mito da criação, um grande tigre azul que cobre o céu numa guerra é o todo-poderoso. Eles transformaram o mito da criação no mito da perdição. Começaram a dizer: "A terra está cansada, a terra pede ao Criador e pede ao tigre: "acabe, estou cansada de comer cadáveres". Ou seja, é um tremendo de um desespero secular de índios que foram catequizados. A catequese quebrou a alma deles e, depois, com a desgraça que sofreram – as terras tomadas - não ficaram nem com 1% das terras que tinham– , caíram nesse desengano. Isso está ocorrendo agora. É importante isso. Tantas mortes de gente inocente, que morreu porque a vida não vale a pena. Precisamos chamar a atenção. O que nós precisamos fazer para que a vida valha a pena para os índios? Primeiro, respeitar as terras que são deles, e eles não precisam nem de 1/10 mil das terras do Brasil. Eles tinham tudo. Um pouquinho de terra não é o governo que nega, pois as leis mandam dar. A Constituição manda dar. É o fazendeirinho, o canarinho do lado que quer aumentar sua fazenda por conta da fazenda dos índios. É uma gente muito boçal, que acha que os índios são uma espécie de bicho que pode ser caçado, que tem obrigação de vir para a civilização.  eles só sabem ser eles mesmos. O que os índios pedem é a garantia da posse tranquila das terras, das matas, das águas onde eles vivem; e o direito de viver segundo os seus costumes, sem alguém entrando nas suas terras para tomar.
28/01/1991|Darcy Ribeiro|9|Jaime Martins|Professor, seguindo a titulação do índice do seu livro, "etnologando" um pouco mais a entrevista, será que o educador Darcy Ribeiro retomará a sua vocação indigenista e teremos agora no Senado um senador de penacho? Nesse sentido, o que é... 
28/01/1991|Darcy Ribeiro|10|Darcy Ribeiro|Esse penacho eu vou usar a vida inteira.
