DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
01/08/1994|David Zingg|1|Programa ao vivo|rograma ao vivo
01/08/1994|David Zingg|2|Heródoto Barbeiro|Boa Noite! No centro do Roda Viva desta noite, o nosso convidado é o fotógrafo e cronista David Zingg. Americano de nascimento, David Zingg se apaixonou pelo Brasil na primeira vez que colocou os pés aqui há 37 anos em uma viagem de veleiro. Com trabalhos publicados nas grandes revistas e jornais do Brasil, Estados Unidos e Europa, David Zingg se transformou numa espécie de cronista binacional. Em seu país ele assombrava seus compatriotas com notícias sobre a construção de Brasília, sobre o início da bossa nova e as aventuras aqui na “sambolândia”, que é como ele chama o Brasil. E aqui ele diverte seus amigos e leitores quando lembra histórias da "gringolândia", o apelido que ele deu aos Estados Unidos. Foi, aliás, na "gringolândia" que Zingg cobriu, para um jornal brasileiro, a conquista do tetra campeonato mundial de futebol. Em todo trabalho que fez, este antigo fotógrafo e amigo do presidente John Kennedy sempre traz uma mensagem otimista convencido que isto aqui ainda vai dar certo. E para entrevistar o cronista e fotógrafo David Zingg, nós convidamos os jornalistas: Matinas Suzuki, editor executivo da Folha de S. Paulo; a Rosângela Petta, editora-chefe da revista Caras; o Fernando Paiva, que é editor da revista Playboy; o Mário Prata, cronista do jornal O Estado de S. Paulo; o Jorge Araújo que é fotógrafo da Folha de S. Paulo e o Mathew Shirts, que é brasilianista e tem também uma coluna no jornal O Estado de S. Paulo. David, boa noite.
01/08/1994|David Zingg|3|David Drew Zingg|Boa noite, Heródoto.
01/08/1994|David Zingg|4|Heródoto Barbeiro|David, nós acompanhamos aí os artigos que você escreveu para a Folha de S. Paulo sobre os Estados Unidos, e especialmente essa presença brasileira nos Estados Unidos. Como você conhece bem a cultura brasileira e conhece bem a cultura americana, eu queria que você me respondesse o seguinte: mudou alguma coisa no relacionamento do Brasil ou na visão que os americanos tinham do Brasil, depois desse tetra campeonato mundial de futebol?
01/08/1994|David Zingg|5|David Drew Zingg|Bom, eu acho que mudou muito em vários níveis. Uma das coisas, eu fiquei muito tempo em São Francisco e uma das coisas que a gente observou é que São Francisco é aquela cidade que não tem fronteira perto do México e não sofre como Los Angeles invasões multiculturais, mas os brasileiros eram heróis em São Francisco, em Stanford, em Los Gatos, etc. Então, nesse sentido, acho que houve um progresso bastante grande. Agora também os Estados Unidos estão indo lentamente, é difícil desbancar beisebol, futebol, e outras brincadeiras assim, mas está indo bem devagarzinho, eu acho. Tem 40 milhões de crianças estudando em escola pública lá e dos 40, 15 milhões estão jogando soccer, quer dizer, desculpe, futebol. E dado meio século, talvez eles vão crescer e virar certos fãs do nosso jogo. 
01/08/1994|David Zingg|6|Heródoto Barbeiro|Matinas Suzuki.
01/08/1994|David Zingg|7|Matinas Suzuki|Você gostou mais de cobrir o Gay Games  ou a Copa do Mundo, David? 
01/08/1994|David Zingg|8|David Drew Zingg|É difícil dizer, Matinas, na verdade. Primeiro eu não sou expert como o senhor sabe muito bem.
01/08/1994|David Zingg|9|Matinas Suzuki|Nem numa coisa, nem na outra. Nem num campeonato, nem no outro.
01/08/1994|David Zingg|10|David Drew Zingg|Obrigado, mas eu não sou conhecidamente, eu não sou um grande expert no futebol, quer dizer, não sei nada do futebol. Agora do mundo gay tenho um certo contato de dever como repórter. E aliás os Gay Games de New York eram os grandes shows esportistas dos últimos tempos que eu apresentei pessoalmente pela televisão. Tinha o espírito de sair de casa, sair do, como se chama? 
01/08/1994|David Zingg|11|Matinas Suzuki|Armário.
01/08/1994|David Zingg|12|David Drew Zingg|Armário, obrigado, que era contagiante.
01/08/1994|David Zingg|13|Matinas Suzuki|Você não acha que eu fiz essa pergunta de propósito porque a sede do Gay Games era na costa leste e praticamente a sede do soccer era na costa oeste. Agora os dois são manifestações de uma nova América, né, David. A liberdade hoje que se conquistou, que a cultura gay conquistou nos Estados Unidos que estava simbolizada ali de uma maneira muito forte no Gay Games, e por outro lado, o evento multiculturalista como foi a Copa, com a quantidade de novas etnias que moram nos Estados Unidos que estavam do lado oeste, de uma certa maneira você podia fazer uma leitura cultural de uma mudança grande dos Estados Unidos através desses dois eventos, que teoricamente eram eventos esportivos, mas eu acho que foram além de simples competições.
01/08/1994|David Zingg|14|David Drew Zingg|Sem dúvida, sem dúvida, eu acho que era uma abertura o que a gente viu. Era uma abertura não só para um jogo chamado futebol, soccer, mas pelo multiculturalismo que o jogo traz. Era um reflexo deste mundo que está num fluxo total e constante acelerado, e o Gay Games é uma abertura cultural interna, vamos dizer, que os Estados Unidos, é possível, está começando ser possível levar uma vida de sua escolha.
01/08/1994|David Zingg|15|Heródoto Barbeiro|David,vamos à pergunta da Rosângela. Rosângela, por favor.
01/08/1994|David Zingg|16|Rosângela Petta|Eu queria saber sobre essa facilidade que o David tem de circular em rodas e rodas, pegando figurinhas mais diferentes. Não só do Gay Games, como o soccer, mas épocas e pessoas diferentes, esse savoir faire que você foi desenvolvendo. Eu queria saber, nas várias épocas, a gente ouve as histórias de bossa nova, das revistas para as quais você fotografou, eu quero saber se existe um tipo clássico, uma figurinha, um tipo inesquecível que tem em todas as épocas, que você encontra sempre, em todas as culturas, quem é essa pessoa, esse biotipo, esse tipo sociológico, existe?
01/08/1994|David Zingg|17|David Drew Zingg|Eu não sei se é biotipo, eu acho que é a “almatipo” talvez. É uma figura que você, com sorte e vontade, tem grande sorte de encontrar em qualquer lugar, sendo que você está no lugar certo no momento certo. Quer dizer, sempre tem pessoas criativas. Se você anda com uma certa abertura, não anda com medo, você inevitavelmente vai cair nos braços daquela pessoa, naquela década. Eu me considero, eu sou intimidado  hoje, mas eu me considero uma versão daquele, você conhece aquele cômico, Mel Brooks, americano, Blazing Saddles  etc, eu me considero uma espécie de homem de dois mil anos. Eu já passei tantas coisas, e como você falou não é biótipo, mas é o interior das pessoas que é constante.
01/08/1994|David Zingg|18|Heródoto Barbeiro|Davis, antes de passar a palavra ao Mário Prata, eu queria que você respondesse ao nosso telespectador, o senhor Paulo Borges, que pergunta a você o seguinte: há 35, há 37 anos no Brasil, por que que você ainda não consegue escrever os seus artigos lá na Folha em português? 
01/08/1994|David Zingg|19|David Drew Zingg|Qual é o nome dele?
01/08/1994|David Zingg|20|Heródoto Barbeiro|É o senhor Paulo Borges.
