|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|16/05/2006|Debate Deficientes|1|Paulo Markun| Boa noite. No Brasil, segundo um levantamento do IBGE, 10% dos 185 milhões de habitantes são pessoas com algum tipo de deficiência física, mental, visual ou auditiva. Já a Fundação Getúlio Vargas estima um número ainda superior, 24 milhões de brasileiros deficientes, mais do que a população de vários países da Europa. O Roda Viva, que abre hoje espaço para debater o universo dos deficientes, volta em instantes.
1|16/05/2006|Debate Deficientes|2|[intervalo]|
2|16/05/2006|Debate Deficientes|3|Paulo Markun| Recentemente uma deficiente visual ganhou na Justiça o direito de entrar nos trens do metrô de São Paulo com um cachorro-guia. Uma situação extrema em casos onde, mais do que o bom senso, o direito não resolve e obriga deficientes a procurar respaldo na Justiça. Um caso que demonstra o despreparo das empresas para receber deficientes. Acessibilidade é a palavra. Mas é mais do que isso, é o direito à cidadania.
3|16/05/2006|Debate Deficientes|4|[Vídeo comentado]| As pessoas com deficiência enfrentam barreiras para a locomoção nas cidades, não faltam dificuldades também para encontrar trabalho, apesar de leis que asseguram oportunidades de emprego. O mercado faz equipamentos especiais e cria projetos para melhorar a qualidade de vida dos deficientes, inclusive com a adaptação de equipamentos. As pessoas com deficiência recebem isenção de impostos na compra de vários produtos, como carros adaptados. Diferentes métodos de reabilitação são utilizados, como uso de animais e a integração de crianças deficientes com outras crianças na sala de aula. O esporte é uma importante ferramenta como tratamento e as pessoas com deficiência encontram nele a superação das limitações. No campo científico, especialistas defendem novas pesquisas com células-tronco que prometem resultados no combate à paralisia.
4|16/05/2006|Debate Deficientes|5|Paulo Markun| Para debater este assunto nós convidamos: Dudu Braga, apresentador; Leonardo Mattos, deputado federal pelo PV  de Minas Gerais e Presidente da Comissão Especial para o projeto de lei do estatuto das pessoas com deficiência; Lars Grael, velejador; doutor Donaldo Jorge Filho, médico fisiatra, coordenador da equipe de reabilitação de amputados da Divisão de Medicina de Reabilitação do Hospital das Clínicas de São Paulo; Célia Leão, deputada estadual pelo PSDB de São Paulo e militante do Movimento pelo Direito das Pessoas com Deficiência; Ronaldo Correia Júnior, autor do site Dedos dos pés; Marcos Frota, ator, criador e diretor da Unicirco, Universidade Livre do Circo, com programa de inclusão de deficientes; e Clodoaldo Silva, atleta paraolímpico da natação, 6 vezes medalha de ouro, 1 de prata e 4 recordes mundiais, embaixador do Pan e do Parapan 2007. Eu queria começar o debate, antes disso lembrando que o Ronaldo, que tem paralisia cerebral, se comunica com a gente pela internet. Aliás, foi isso que permitiu a ele, de alguma forma, ampliar o seu horizonte e é isso que ele vai contar para a gente aqui no programa. Eu queria, antes de mais nada, colocar uma questão preliminar, que é a seguinte: o que o país precisa fazer para que a nossa bandeira aqui, digamos, estilizada, se torne uma realidade, ou seja, para que os deficientes estejam definitivamente incluídos? E eu queria pedir isso, reclamando, digamos, solicitando, a experiência de cada um de vocês, porque se a gente for discutir a questão pura e simplesmente no plano geral, existem inúmeras questões a serem resolvidas. E eu acho que até o grande público, alguma parte delas identifica: educação, emprego, acessibilidade, condições da sociedade. Mas eu queria que cada um puxasse pela sua vivência e dissesse assim: “Pela experiência que eu tenho, o mais importante, ou mais urgente, ou mais essencial, é isso”. Começando pela Célia Leão.
5|16/05/2006|Debate Deficientes|6|Célia Leão| Dizendo a alegria de estar aqui, Paulo Markun, com todos os convidados, neste programa especialíssimo do Roda Viva, que é “Roda Viva e Bandeira Viva”. Está aqui bem o símbolo da pessoa deficiente no Brasil, que é uma causa de todos nós. Eu diria uma frase em que a gente vai vivendo 31 anos numa cadeira de rodas e vai aprendendo: “Ter uma deficiência, com certeza absoluta não é a melhor coisa do mundo”. Lógico que tem outras situações mais fáceis e mais agradáveis, mas também posso dizer, afirmar que não é a pior coisa do mundo. Muito pelo contrário, as dificuldades nós vamos tirando do dia-a-dia. Mas é preciso pelo menos três vertentes: a primeira delas a família, que é fundamental na integração da pessoa com deficiência, primeiro na sua casa. Depois a sociedade como um todo entendendo o respeito e a responsabilidade com esse segmento que, como você mesmo disse, perpassa aí quase 20 milhões de pessoas, brasileiros, homens e mulheres, jovens, crianças, adultos e idosos, que têm algum tipo de deficiência. E terceiro, obviamente, políticas públicas que venham a atender diretamente a questão do deficiente. E essas políticas públicas, nós temos a questão da legislação, seja ela federal, na Constituição Federal de 1988, nas Constituições Estaduais e principalmente nas Leis Orgânicas do Município, que quase 5.560 municípios do Brasil, hoje têm, pelo menos um artigo, um capítulo, vendo a questão da pessoa deficiente. Agora precisa colocar em prática e aí é o nosso debate de hoje à noite.
6|16/05/2006|Debate Deficientes|7|Paulo Markun| Dudu Braga, para você, o que é mais importante?
7|16/05/2006|Debate Deficientes|8|Dudu Braga| Eu acho que a gente teve umas mudanças nestes últimos anos que foram muito importantes. Eu estava falando com o Clodoaldo, já conheço o Clodoaldo há muito tempo, nosso atleta paraolímpico. E a questão do deficiente na mídia, eu acho que isso a gente vem conseguindo quebrar realmente esse preconceito. O padrão estético, às vezes, nos impede muito de entrar nesse mundo. E eu acho que a televisão tem um papel super importante e o Marcos deve concordar comigo, que o ano passado a gente fez junto a novela América , e o fato de se ter colocado um deficiente totalmente resolvido em relação ao seu problema de deficiência, eu acho que isso teve um papel fundamental. É um processo que já vem, como eu já falei, junto com o Clodoaldo, porque as Olimpíadas, Paraolímpicas vêm junto com isso, trazendo esse padrão do deficiente como atleta, conseguindo realmente superar, porque a superação é uma coisa importantíssima para o deficiente, para quem se torna deficiente, para quem nasce deficiente também. Então eu acho que é um processo que vem crescendo com o tempo, já de 50 anos para cá, seria impossível de repente a gente ver um deficiente usando o meu próprio exemplo apresentando um programa. Um deficiente visual, como eu, apresentando um programa. Mas eu acho que isso se tornou possível, o Clodoaldo vem dando exemplo, eu acho que a quebra desses conceitos, e agora o mais importante talvez seja a gente também poder mostrar o deficiente não só como atleta, não só como apresentador, que são atividades que realmente têm uma exposição maior. Mas também mostrar o deficiente como trabalhando num banco, tendo atividades de uma forma, digamos assim, mais cotidianas, que foi isso que a novela fez. A novela cumpriu esse papel de poder mostrar o deficiente no seu dia-a-dia, resolvido com ele mesmo e não só como drama. Eu sou deficiente há quinze anos, deficiente visual há 15 anos, e sinceramente me sinto muito bem, me sinto muito eficiente como deficiente. Acho que isso é muito importante, acho que a gente está conseguindo mostrar isso para todo mundo. Claro que existem várias questões que a gente vai ter que discutir aqui hoje, como acessibilidade, a quebra do preconceito e outras questões mais.
8|16/05/2006|Debate Deficientes|9|Paulo Markun| Marcos Frota, já que o Dudu mencionou a sua experiência na novela, eu queria saber o que isso, eu sei que você já era um militante dessa causa antes de fazer a novela, mas eu queria saber o que mudou aquela experiência indireta de enfrentar a situação que obviamente não é igual a da vida real, mas imagino que pela própria função do ator você teve que, de alguma forma, buscar se aproximar dessa situação.
9|16/05/2006|Debate Deficientes|10|Marcos Frota| Eu acho que o Jatobá  fez um grande convite para que o deficiente saia às ruas, sabe, encare o desafio da convivência, ocupe os seus espaços, crie os problemas para que a sociedade resolva. Eu tenho a impressão que a coisa mais essencial, neste 2006, é que esse contingente de quase 25 milhões de brasileiros se conscientize da sua importância, da contribuição que eles possam dar para a construção dessa cidadania que pode iluminar todas as outras questões do país hoje. Eu tenho andado aí com meu circo, com o projeto da Universidade do Circo, eu tenho andado com palestras, o Jatobá tem me levado a lugares que eu nunca imaginei ir, para falar e para estar com as pessoas com deficiência. E o que eu tenho feito é: “Saiam às ruas! Ocupem os seus espaços”! Eu me lembro de um rapaz entrando numa boate e aí o segurança da boate falou: “Epa, eu acho que aqui você vai ter um problema para entrar na boate”. Aí o cadeirante falou: “Não, não, não! O problema é de vocês! Eu tô aqui, quero entrar e quero que me carreguem, quero que me locomovam. Eu não tô preocupado em denunciar se a casa tem ou não tem a condição para que eu possa freqüentar. Eu quero freqüentar”. Aquela atitude serena, tranqüila, bem humorada criou um problema para o segurança resolver naquele instante e ainda criou a situação pública de que o dono do estabelecimento pensasse seriamente em preparar a boate dele para que fosse freqüentada por pessoas com dificuldades de locomoção. Eu acho que este ano, ano de 2006, eu queria colocar isso aqui na mesa, eu acho a questão do deficiente é tão ou mais importante do que a Copa do Mundo que se aproxima, do que as próximas eleições.
10|16/05/2006|Debate Deficientes|11|Paulo Markun| Lars Grael, na sua visão, o que é o passo número um para que o país trate melhor esse contingente que é tão diversificado?
