|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|10/10/2005|Debate Transposição do Rio São Francisco|1|Paulo Markun| Boa noite. O tema desta noite está materializado neste cenário montado no centro do Roda Viva, ele contém garrafas de água trazidas diretamente do rio São Francisco, como esta que está aqui também na minha mesa. Ao contrário do projeto do governo federal de levar água para as regiões do semi-árido nordestino, o Roda Viva fez uma transposição da água do rio São Francisco para a região de São Paulo. 
1|10/10/2005|Debate Transposição do Rio São Francisco|2|[Comentarista]| A água foi colhida a 150 quilômetros da cabeceira do rio, na região de Diamantina. Um caminhão da Copasa, Companhia de Água e Saneamento de Minas, colheu cerca de 1200 litros de água do São Francisco no município de Luz. Nessa região, a água do rio ainda está livre da maior parte das agressões que sofre ao longo do percurso de quase 3 mil quilômetros. De Minas Gerais, os tambores contendo as águas do São Francisco foram transportados, nesse caminhão, até São Paulo e trazidos diretamente para a sede da Fundação Padre Anchieta, onde fica a TV Cultura. Aqui, a água foi colocada em centenas de garrafas utilizadas para compor o cenário do programa que estamos levando ao ar. O objetivo principal é oferecer uma contribuição ao debate sobre este tema que interessa a milhões de brasileiros.
2|10/10/2005|Debate Transposição do Rio São Francisco|3|Paulo Markun| Aliás, eu queria registrar o agradecimento à Owens-Illinois  do Brasil, que cedeu gentilmente estas garrafas de água para gente poder fazer este cenário esta noite. Para alguns, a transposição trata-se de uma das grandes obras do século que vai resolver a questão do semi-árido, levando água para milhões de pessoas hoje prejudicadas pela seca. Para outros, trata-se de uma insanidade, um gasto gigantesco e desnecessário, pois bastaria utilizar, de forma adequada, a água existente na região. A transposição das águas do rio São Francisco divide opiniões e coloca em campos opostos governadores, especialistas, igreja e comunidades locais. O projeto do governo, avaliado em 4 bilhões e 500 milhões de reais, é polêmico porque, entre outros pontos, mexe num verdadeiro símbolo nacional.
3|10/10/2005|Debate Transposição do Rio São Francisco|4|[Comentarista]|" O ""velho Chico"", como é carinhosamente chamado por mineiros e nordestinos, nasce na Serra da Canastra, em Minas Gerais. Em quase três mil quilômetros, atravessa cinco estados: Minas, Sergipe, Bahia, Pernambuco, Alagoas até desaguar no mar. O rio forma a terceira maior bacia hidrográfica do país, com 168 afluentes. Apesar de poluído, com menos peixes, margens desmatadas e ocupadas irregularmente nas regiões urbanas, o velho Chico é uma garantia de vida para milhões de pessoas."
4|10/10/2005|Debate Transposição do Rio São Francisco|5|Ciro Gomes [em entrevista gravada na época em que era ministro da Integração Nacional]| O projeto, portanto, é a garantia do abastecimento humano para 12 milhões de pessoas que estão vivendo na área de influência do projeto, substantivamente nas pequenas, médias e grandes cidades.
5|10/10/2005|Debate Transposição do Rio São Francisco|6|[Comentarista]| O projeto do governo prevê a captação de 1% da água do rio, diariamente, e mais 2,5% sempre que a represa de Sobradinho  estiver cheia. A água será bombeada para dois eixos, interligando bacias da região carente. O eixo leste vai ligar a barragem de Itaparica, no rio São Francisco, com os rios Paraíba e Ipojuca, em Pernambuco. O eixo norte levará água do velho Chico de Pernambuco até as bacias do rio Jabuaribe, no Ceará, Piranhaçu, na Paraíba, e Apodi no Rio Grande do Norte. A transposição, que terá que enfrentar vales e montanhas, também tem pela frente uma barreira de críticas. Em diversas cidades e regiões foram registrados protestos contra a obra. Até a Igreja entrou na polêmica com a greve de fome feita pelo bispo de Barra, na Bahia, dom Luiz Flávio . O bispo só suspendeu o seu protesto quando o governo prometeu ampliar o debate sobre o assunto, mas ameaça retomar o jejum se o governo decidir iniciar as obras.
6|10/10/2005|Debate Transposição do Rio São Francisco|7|Paulo Markun| Para debater um tema tão complicado, nós chamamos uma bancada a favor da transposição e outra contra. Os que defendem a idéia estão representados por Lúcio Alcântara, do PSDB , governador do Ceará; Pedro Brito, representante do Ministério da Integração Nacional, e Uriel Duarte, professor titular de recursos hídricos e geologia ambiental da USP. Já os contrários à proposta do governo são: João Alves Filho, governador do Sergipe, do PFL ; João Abner, professor da Universidade Federal do Rio Grande do Norte, e Jorge Cury, secretário do Meio Ambiente da Bahia e presidente do Comitê da Bacia Hidrográfica do São Francisco. Também temos a participação, como sempre, do cartunista Paulo Caruso, registrando em seus desenhos momentos e flagrantes do programa. Até aqui foi fácil, complicado vai ser daqui pra frente . O que eu propus aos nossos participantes é o seguinte: que a gente faça um debate não tão cronometrado quanto os debates eleitorais, mas que permita a participação de todos. Então, eu já estipulei que vou dar um minuto e meio para cada resposta, procurar alternar as respostas na medida do ponto de vista de ambos os lados. Temos absoluta convicção de que não vamos, aqui, uma bancada convencer a outra nem sequer esgotar uma discussão tão ampla neste programa, mas queremos aproveitar o tempo para fazer um debate o mais franco, interessante e mais aprofundado possível. Queria começar com o governador João Alves perguntando o seguinte: por que o senhor é contra o projeto?
7|10/10/2005|Debate Transposição do Rio São Francisco|8|João Alves| A questão que se coloca, Paulo, é saber o seguinte: se o governo do presidente Lula está acima das lei ambientais e das leis dos recursos hídricos brasileiros. Porque o projeto não tem instrumento essencial, que é o projeto do EIA/Rima  dos estados da bacia do Rio. O que é essencial, é bacia doadora e o EIA/Rima que é exigido até para uma obra de médio porte. Por outro lado, a questão que o governo não quer, não quis, o EIA/Rima foi por questão de má-fé porque se ele fizer o EIA/Rima do rio, ele vai ver que o rio está na UTI, o rio está numa situação dramática, especialmente na foz que está com sinais claros de morte. Por outro lado, o governo federal procura vender à sociedade brasileira algo que não existe, que esse projeto é basicamente para levar água para o consumo humano. Não é verdade e quem disse isso não sou eu, é a Sociedade Brasileira para Progresso da Ciência  que disse, depois de um estudo aprofundado, que o eixo norte do projeto, que é o principal, ele é inequivocamente para irrigação. Por outro lado, não é verdade que nós da bacia neguemos água a nossos irmãos do São Francisco. O sistema, o comitê de bacias, estabelece que é permitido, o que nós não permitimos é levar água para irrigação, porque o rio está em situação dramática.
8|10/10/2005|Debate Transposição do Rio São Francisco|9|Paulo Markun| Governador, porque o senhor é a favor do projeto? 
9|10/10/2005|Debate Transposição do Rio São Francisco|10|Lúcio Alcântara| Eu sou a favor porque eu acho que essas populações precisam dessa água. Acho que está havendo aí uma coisa muito perigosa, acho que há um sentimento egoísta, acho que não está se dando a devida importância à solidariedade e à coesão entre os estados. O estado do Ceará, por exemplo, é um estado que tem primado, nos últimos anos, por uma grande política moderna de recursos hídricos. Foi a primeira Secretaria de Recursos Hídricos do país, em 1997, tem um amplo, ambicioso, programa de interligação de bacias, tem uma companhia de recursos hídricos gerindo esses recursos, mas o problema é que, com tudo isso, nós temos que importar água para atender a quatro milhões de habitantes que vão precisar dela. Do ponto de vista da engenharia, isso é uma obra tranqüila, há séculos que se faz transposição em diversos países do mundo. Então, nós pensamos que é a solidariedade que deve existir entre os estados e a participação da União é fundamental para isso. Eu acho que, primeiro, o rio deve ser revitalizado, todos nós estamos em acordo com isso, todos nós achamos que isso deve acontecer. Segundo, que os estados doadores devem ser compensados, mas não se pode é negar a água a esses estados que precisam dela. 
10|10/10/2005|Debate Transposição do Rio São Francisco|11|Paulo Markun| Ok, João Abner, do ponto de vista, vamos dizer assim, técnico, se é que a gente pode falar isso, existe motivo para condenar esse projeto? 
11|10/10/2005|Debate Transposição do Rio São Francisco|12|João Abner| Sem dúvidas, eu acho que esse projeto está na contramão da história, certo? Veja só, ao longo dos últimos 100 anos o governo federal vem investindo em obras no Nordeste setentrional , principalmente, o estado do Ceará é um exemplo disso, para tornar essa região auto-suficiente em termos de água para todos os usos. Eu acho que o Ceará é, é bom estar na presença do governador aqui, exemplo bastante positivo. O Ceará tem hoje, segundo número do próprio plano estadual de recursos hídricos, teria disponibilidade da ordem, garantida, de 215 , e são números que estavam até pouco tempo no atlas eletrônico, na página da Secretaria de Recursos Hídricos do estado do Ceará, teria uma disponibilidade para 215 metros cúbicos por segundo para uma demanda da ordem de 54, 56 metros cúbicos por segundo. Então, o Ceará conseguiu, principalmente com a construção do  Castanhão, e agora com as obras para que vão ser feitas para interligar o Castanhão com a região litorânea, conseguiu uma situação bastante vantajosa e deveria estar vendendo isso, essa auto sustentabilidade, deveria estar vendendo para atrair investimentos de empresários. Enquanto isso, fica escondendo isso, uma realidade altamente favorável, para defender um projeto que, na prática, vai criar uma dependência do estado com a água do São Francisco, uma água cara, incerta e conflitante.
12|10/10/2005|Debate Transposição do Rio São Francisco|13|Paulo Markun| Uriel Duarte, certamente, o senhor tem posição oposta, embora também seja da universidade? 
13|10/10/2005|Debate Transposição do Rio São Francisco|14|Uriel Duarte| Tenho. Tenho, tenho sim. Na verdade, eu acho que conheço desde 1968 a região do São Francisco, trabalhei lá, trabalhei para Chesf , inclusive sobre o problema, antes da construção do Sobradinho, Itaparica, Xingó e nesse tempo não existia ainda aquela parte de direito ambiental, nunca ninguém falou disso sobre o rio, quer dizer, era confortável a situação. O que nós sabemos, e eu estudei esse EIA/Rima já em 2001, uma equipe nossa aqui de São Paulo misturada a alguns outros, nós fizemos uma análise do EIA/Rima a pedido do CRA  da Bahia. E chegamos à conclusão que é a mesma, até falei para o nosso secretário, Brito, o projeto é tecnicamente perfeito, socialmente justo e ambientalmente sustentável. Então, ele tem todas as provas aqui, e eu acho que isso aí a gente, no transcorrer, a gente pode falar sobre ele.
14|10/10/2005|Debate Transposição do Rio São Francisco|15|Paulo Markun| Jorge Khoury. 
15|10/10/2005|Debate Transposição do Rio São Francisco|16|Jorge Khoury| Veja bem, nós, como representantes do Comitê da Bacia do São Francisco, temos uma posição muito clara com relação à questão desse projeto. E aí, para esclarecer para todos que estão nos ouvindo e vendo, a Lei 9433, de 1997, que cria a condição de regulamentar a gestão do uso da água no Brasil, definiu alguns entes como a Agência Nacional de Água, a ANA, e os comitês de bacia como órgãos de gestão para o uso da água. Nesta lei fica claro que o comitê da bacia é que vai definir quais são as prioridades da bacia. Isso está em lei, aprovada pelo Congresso Nacional. O comitê da bacia aprovou o plano de recursos hídricos e, neste plano, estabeleceu que a água para abastecimento humano e dessedentação de animal, com escassez comprovada, deve ser utilizada pela transposição. E o que estamos vendo, na prática, infelizmente, é que a maior parte dessa água que está sendo retirada é para atividade econômica, atividade esta que a própria bacia hoje deixa de poder exercitá-la por falta de investimentos. Há uma demanda reprimida muito grande na própria bacia. Esse comitê é constituído, legalmente, por usuários, sociedade civil e poder público, então, deveria ter a respeitabilidade e, infelizmente, não está acontecendo. 
16|10/10/2005|Debate Transposição do Rio São Francisco|17|Paulo Markun| Pedro Brito, eu só queria que o senhor incluísse na sua resposta essa questão que é, a chave, já foi debatida aqui em outro programas, que é: se o comitê de bacias afinal está sendo levado em conta ou não.
17|10/10/2005|Debate Transposição do Rio São Francisco|18|Pedro Brito| Pois não. Eu sou favorável ao projeto por razões muito objetivas. Em primeiro lugar, está mais do que provado de que na região para onde se destina a água, que são os estados do Ceará, Rio Grande do Norte, Paraíba e Pernambuco, a escassez hídrica é claramente comprovada, apesar das afirmações do professor Abner. Existe um dado muito divulgado, da Organização das Nações Unidas, que mostra que para que um cidadão possa viver dignamente, ele precisa, no mínimo, de 1500 metros cúbicos por habitante/ano. Na região para onde se destina o projeto, a disponibilidade hídrica firme é de menos da metade desse valor, em torno de 450 metros cúbicos por habitante/ano. Por outro lado, de onde nós vamos retirar água, dentre várias alternativas examinadas, que é a bacia do São Francisco, está também claramente demonstrado, aprovado no Conselho Nacional de Recursos Hídricos, aprovado pela Agência Nacional de Águas, que recentemente deu a outorga definitiva e deu o certificado de sustentabilidade ao projeto, que existe água em abundância. Além disso, a retirada de água vai ser apenas 1% de toda água que o São Francisco joga no mar. Então, o projeto, do ponto de vista técnico, está bastante maduro, sofreu, inclusive, importantes modificações a partir do próprio Comitê da Bacia do São Francisco, e foi ouvido. O comitê aprovou, inclusive, o plano decenal da bacia do São Francisco por unanimidade, aprovou, como muito bem disse o secretário Khoury, a retirada dos 26 metros cúbicos por segundo, ou seja, 26 quilômetros cúbicos de água. Estamos absolutamente seguros que o projeto tecnicamente está discutido, pronto para ser implantado, com salva-guardas ambientais que não levam prejuízo, seja para bacia do São Francisco, seja para as regiões onde os canais vão passar e, do ponto de vista social, é um projeto inatacável porque nós vamos beneficiar 12 milhões de brasileiros sem prejudicar uma única pessoa.
18|10/10/2005|Debate Transposição do Rio São Francisco|19|Paulo Markun| Queria colocar uma questão para a minha bancada, que está à minha esquerda, contrária ao projeto, e fica a critério dos senhores quem responde, ou mais de um e, obviamente, eu vou dar o direito de réplica ao outro lado. É o seguinte, um dos temas que foi levantado aqui é o seguinte: o projeto é tecnicamente inatacável, é tecnicamente perfeito, ou não? O projeto tem imperfeições técnicas, tem defeitos, algum erro? Então, quais as principais imperfeições técnicas, na visão de vocês, eu imagino que devam encontrar.
19|10/10/2005|Debate Transposição do Rio São Francisco|20|João Alves Brito| Para quem? 
20|10/10/2005|Debate Transposição do Rio São Francisco|21|Paulo Markun| Para quem quiser se habilitar.
21|10/10/2005|Debate Transposição do Rio São Francisco|22|João Alves Brito| Se me permite, queria fazer comentários sobre a colocação do doutor Brito.
22|10/10/2005|Debate Transposição do Rio São Francisco|23|Paulo Markun| Eu só gostaria que o senhor, se fizer o comentário, o fizesse curto para responder a questão, senão não vamos responder essa questão e vamos passar a fazer...
23|10/10/2005|Debate Transposição do Rio São Francisco|24|João Alves Brito| É coisa objetiva.
24|10/10/2005|Debate Transposição do Rio São Francisco|25|Paulo Markun| Por favor.
25|10/10/2005|Debate Transposição do Rio São Francisco|26|João Alves Brito|" Primeiro, o governo tenta passar essa visão, que o doutor Brito disse, que é 1% da bacia, da água que está tirando. Isso cria a idéia da chamada ""cuia d'água"" que o presidente Lula costuma repetir. Não é verdade. Hoje a disponibilidade que a bacia tem, depois de abatido todos os compromissos com a parte de geração energética, e já de projetos definidos, é de 360 metros cúbicos por segundo. O projeto do governo federal envolve um canal de 127 metros cúbicos por segundo. É fácil se ver que não se trata de 1%, se trata de mais de 30%, quase 40%, da água disponível. Segundo, se afirma que é para atender 12 milhões de pessoas, não é, atenderá no máximo, no máximo, um milhão. É fácil ver que aqui está um projeto, o livro, do senhor Francisco Sarmento, que é da equipe e que estabelece aqui que o eixo norte da bacia, está no livro, vai atender a 2,75 milhões de pessoas. Só que ele não se refere, aí deve ser abatido 2,2 milhões da área metropolitana do Ceará, que o governo Lúcio Alcântara está fazendo com muita competência, financiado pelo Banco Mundial. O próprio governo do eminente governador, seu secretário de Recursos Hídricos , disse que, depois de concluído o projeto, que será no próximo ano, vai levar água para a região, garantir o abastecimento de Fortaleza, por cerca de 30 anos. Então, os dados que aqui demonstram, facilmente levantados, estão aqui no livro que comprovam, que vai atender o máximo de um milhão de pessoas e não 12 milhões de pessoas como está sendo afirmado."
26|10/10/2005|Debate Transposição do Rio São Francisco|27|Paulo Markun| Então, não temos a resposta, Pedro Brito, eu gostaria que o senhor respondesse essa questão, depois nós vamos voltar à questão que eu coloquei.
