DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
03/12/1998|Domenico de Masi|1|Paulo Markun|Boa noite! O Roda Viva, na série das edições especiais, reapresenta hoje uma das entrevistas de maior repercussão da história do programa. É a do sociológico italiano Domenico de Masi, defensor de uma nova sociologia do trabalho, baseada na criatividade e no que ele classificou como ócio criativo, para que as pessoas possam ocupar o tempo livre tendo mais lazer, ampliando seus estudos e tornando-se melhores profissionais. Domenico de Masi foi diretor de empresa e é professor titular de sociologia na Universidade de Roma La Sapienza. Fez um amplo estudo sobre a emoção e a regra , onde conta como a criatividade impulsionou algumas empresas na Europa no último século. Questionador das relações convencionais de trabalho, de Masi abriu uma nova discussão em torno de questões centrais da educação, da formação profissional, e das relações de trabalho. Ele argumenta que a criatividade é o maior capital dos países ricos, e que esses países vivem, literalmente, de terem boas idéias. A entrevista que fizemos com o professor Domenico de Masi foi gravada em dezembro de 1998, na primeira visita que ele fez ao Brasil. Para entrevistar Domenico de Masi, estão aqui o jornalista Albino Castro, editor executivo da Gazeta Mercantil; o ex-faxineiro e ex-office boy Max Gehringer, presidente da Pullmam Plus Vita, palestrante e autor do livro Relações desumanas no trabalho; o sociólogo Danilo Miranda, diretor do Sesc no Estado de São Paulo; o engenheiro Milton Seligman, presidente do INCRA, Instituto Nacional de Colonização e Reforma Agrária; o empresário Rodrigo da Rocha Loures, presidente da Nutrimental Comércio e Indústria de Alimentos; a jornalista e empresária Mônica Falconne; e o jornalista Marco Antônio de Rezende, diretor de redação da revista Vip-Exame. Professor Domenico, boa noite!
03/12/1998|Domenico de Masi|2|Domenico de Masi|Boa noite!
03/12/1998|Domenico de Masi|3|Paulo Markun|Lendo as entrevista do senhor, lendo o seu livro, e todas as declarações que eu vi, me passa a sensação de que o senhor é um enorme otimista, que o senhor tem uma visão muito positiva sobre o futuro da humanidade e sobre o futuro do trabalho e das relações do trabalho. Embora, aqui e ali, nos seus artigos, haja o reconhecimento de problemas que a gente terá que enfrentar, como por exemplo, o do desemprego, a visão geral me parece otimista. O que é que sustenta esse otimismo?
03/12/1998|Domenico de Masi|4|Domenico de Masi|Tenho muitos amigos intelectuais que, às vezes, dizem que queriam ter vivido no século XVIII , ou na época dos gregos, dos romanos , ou no Renascimento. Creio que esses amigos se iludem, achando que, se tivessem vivido naquelas épocas, seriam príncipes ou aristocratas; pois, se tivessem sido pessoas comuns, certamente teriam vivido mal em comparação com os dias de hoje. Além disso, se iludem achando que seriam príncipes, com boa saúde, pois bastava ter uma dor dente, vinte ou trinta anos atrás, para que isso fosse uma grande tragédia. Então, acho impossível não sermos otimistas em uma situação como a atual. Pensemos um pouco nos dados. Em 800 gerações, desde o homem de Neandertal  até nossos avós, a média de vida humana girou sempre em torno de 29 a 30 anos, cerca de 300.000 horas. Quanto aos nossos bisavós na Itália, os homens viviam 32 anos; as mulheres, 33 anos. Hoje, em apenas duas gerações, temos uma média de vida de 79 anos no caso dos homens e 82 anos para as mulheres. Portanto, a média de vida dobrou em apenas duas gerações. Simplesmente para tomar um banho, nossos bisavós tinham um trabalho enorme: pegar a água do poço, aquecê-la no fogo, acender o fogo - o que era difícil, pois não havia gás - e, finalmente, tomar banho. E, na mesma banheira, na mesma água, três ou quatro pessoas tomavam banho em seguida. Portanto, desde sempre os seres humanos esperaram trabalhar o menos possível, ser o mais rico possível, cansar-se o menos possível, sofrer o menos possível. Tudo isso ainda não foi plenamente atingido. Mas estamos no caminho certo.
03/12/1998|Domenico de Masi|5|Paulo Markun|Isso! Mas, por exemplo, na época de Atenas, de Aristóteles , que o senhor menciona nos seus livros, existia isso, mas havia uma legião enorme de escravos para sustentar essas condições confortáveis e a possibilidade de um trabalho intelectual de uma elite.
03/12/1998|Domenico de Masi|6|Domenico de Masi|Certo!
03/12/1998|Domenico de Masi|7|Paulo Markun|Hoje em dia nós não temos escravos, mas temos algumas coisas parecidas, e a desigualdade é extrema. E, finalmente, as pessoas que estão na base da sociedade, muitas delas estão condenadas a não ter trabalho justamente porque são incapazes de enfrentar esses novos tempos.
03/12/1998|Domenico de Masi|8|Domenico de Masi|Ser otimista não significa esquecer os povos oprimidos e os marginalizados. Ser otimista significa apenas o seguinte: estar ciente dos problemas do mundo, de todos os sofrimentos existentes, da miséria, mas ver também a possibilidade de salvação. Creio que, graças a uma série de elementos, como o progresso tecnológico, o progresso científico, a globalização, etc., vê-se finalmente uma luz no fim do túnel. É claro, os gregos tinham escravos, mas o progresso humano nunca evoluiu uniformemente. Houve pouco progresso humano em 80 milhões de anos. Depois, na Mesopotâmia, há sete mil anos, o progresso foi extraordinário. A descoberta da escrita, da economia, da moeda, da astronomia. A astronomia permitiu viagens mais longas e trocas melhores. Depois, difundiu-se a idéia de que tudo que havia para ser descoberto já o havia sido. Aristóteles diz na Metafísica : “Tudo o que os homens podiam descobrir para seu bem-estar material e sua qualidade de vida já foi descoberto. É hora de nos dedicarmos ao progresso do espírito”. Portanto, havia a convicção de que o progresso fôra esgotado e da disponibilidade das mais perfeitas máquinas já inventadas, ou seja, os escravos. Em Atenas, na Era de Péricles , havia 40 mil homens livres, 20 mil metecos - estrangeiros naturalizados - e 350 mil escravos. Cada homem livre, em Atenas, tinha entre escravos, esposas e donas de casa, oito ou nove escravos à sua disposição. Hoje temos as lava-louças, as máquinas de lavar, elevadores, telefones... Calcula-se que tenhamos em média 33 escravos por pessoa.
03/12/1998|Domenico de Masi|9|Marco Antônio|Eu queria trazer a discussão para o Brasil, logo. O senhor tem sido um teórico muito elegante do pós-industrial, do tempo livre, do lazer, do ócio criativo, como o senhor disse. Mas como é possível aplicar esses conceitos, que o senhor desenvolve tão bem, num país como o Brasil que, em certos aspectos, vive ainda numa era pré-industrial e que tem problemas gravíssimos - de uma Índia, não é? - convivendo com alguns aspectos muito modernos. Faz sentido falar de ócio criativo, ou de gestão do tempo livre, num país como o Brasil?
03/12/1998|Domenico de Masi|10|Domenico de Masi|Faz mais sentido ainda do que nos outros países por um simples fato: porque - como direi depois, se houver a oportunidade - o século XX foi guiado pelos países que organizaram, que souberam organizar o trabalho. O século XXI será dominado pelos países que souberem gerenciar o tempo livre. Mas isto requer um pouco de tempo. Começo pelo que o sr. disse sobre a sociedade pós-industrial. Nos últimos séculos, passamos por três épocas importantes. Uma dominada pela produção rural, na qual o poder estava nas mãos dos donos de terras. Essa época durou cerca de sete mil anos. Depois, no fim do séc. XVIII, e durante todo o séc. XIX, houve uma grande revolução, que hoje chamamos de Revolução Industrial. Essa revolução causou um transtorno geral. A sociedade não estava mais centralizada na produção de bens rurais, mas na produção em grande escala de bens materiais. A sociedade industrial não abriu mão dos produtos rurais. Abriu mão dos camponeses, substituindo-os por adubos, tratores, etc. Graças à sociedade industrial, e graças também aos sacrifícios terríveis que a sociedade industrial impôs ao mundo, incluindo duas grandes guerras mundiais, hoje essa própria sociedade industrial gerou uma sociedade totalmente nova, a pós-industrial. Não mais centralizada na produção em grande escala de bens materiais, mas na produção em grande escala de bens não materiais. Ou seja, informações, serviços, estética, valores, símbolos. Hoje, o poder está nas mãos de quem produz essas coisas. Agora, o Brasil... É claro que o país ainda tem um percentual enorme de pessoas em situação rural, pré-industrial, ou até mesmo em um ruralismo muito, muito antiquado. Mas uma sociedade se caracteriza não pelos extremos inferiores; mas, pelos superiores. O Brasil também é hoje uma sociedade pós-industrial. Porque os métodos de domínio e poder são pós-industriais, e não rurais. Podemos falar de sociedade pós-industrial mundial, até nos países mais atrasados, já que participam de uma divisão internacional de tipo pós-industrial. Ou seja, em primeiro lugar no mundo, a hegemonia é açambarcada pelos países que têm o monopólio das idéias, da pesquisa científica, das patentes, da mídia de massa. Depois vêm os países cuja produção é industrial. E, enfim, os países condenados a consumir sem produzir. O Brasil está nesta situação: não é mais um país condenado tão somente ao consumo, mas ainda não é um país ideal. É um país onde há deslocamento de fábricas. Cem anos atrás, um país onde havia muitas fábricas era um país líder, um país de poder. Hoje um país que tem fábricas é um país atrasado. Uma fábrica, na sociedade pós-industrial , não digo que seja como uma favela, mas falta pouco. Um país não é evoluído se tem muitos supermercados e muitas fábricas. Os supermercados e fábricas, que na era industrial indicavam o progresso, indicam hoje uma situação intermediária entre Primeiro e Terceiro Mundo. Isso é visível nos salários. Em média, a hora de trabalho em Nova Iorque custa US$ 24. Em Cingapura, custa US$ 7; na China, US$ 1; na Malásia, US$ 0,65; e no Brasil custa US$ 12. Portanto, é uma situação intermediária entre os países líderes e os subalternos. É um grande perigo, mas também uma grande oportunidade. O Brasil poderia tornar-se o país líder entre todos os países, todas as nações que não são mais do Terceiro Mundo, mas que devem dar o salto para o Primeiro Mundo.
