DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/08/2004|Drauzio Varella|1|Paulo Markun|Boa noite. Ele tornou-se conhecido em todo o Brasil por suas campanhas públicas de prevenção e de combate ao câncer e especialmente à aids. Envolvido com o universo dos doentes terminais, acaba de lançar um novo livro, em que mostra como a dor e a perspectiva da morte transformam o comportamento de pacientes e familiares. O médico e escritor Drauzio Varella é o entrevistado desta noite do programa Roda Viva.
30/08/2004|Drauzio Varella|2|[Comentarista]|Drauzio Varella é paulistano do Brás, médico cancerologista formado pela Universidade de São Paulo, começou a trabalhar na área de moléstias infecciosas no início dos anos 1970. Por mais de 20 anos dirigiu o serviço de imunologia do Hospital do Câncer e depois o serviço de câncer do Hospital Ipiranga em São Paulo. Professor em várias faculdades no Brasil e no exterior, pesquisador de espécies de plantas que possam contribuir no combate às doenças, Drauzio Varella foi um dos pioneiros no estudo e no tratamento da aids no Brasil e tornou-se conhecido do público por suas entrevistas e campanhas no rádio e na TV sobre a prevenção dessa doença, primeiros socorros e combate ao tabagismo. Em 1989, iniciou um trabalho de pesquisa e prevenção de aids junto aos presos da Casa de Detenção de São Paulo. A experiência resultou no mais conhecido livro de sua carreira de escritor, Estação Carandiru, prêmio Jabuti de 2000. É um livro de histórias vividas no maior e talvez mais caótico presídio do país, desativado e implodido em 2002. Convivendo por mais de dez anos com os presos, Drauzio organizou palestras, vídeos, atendeu doentes e editou a Vira-lata, revista em quadrinhos que fez parte do programa educativo e preventivo da aids na penitenciária. De um total de oito livros publicados, Drauzio Varella dedicou dois à literatura infantil: De braços para o alto, a experiência do menino da cidade grande na fazenda dos tios, e Nas ruas do Brás, memórias da infância de Drauzio, vivida no bairro paulistano que reuniu imigrantes como os avós do médico e escritor. É a história pessoal marcada pelas alegrias de menino, mas também por precoces sentimentos de perda: a morte da mãe, Lídia, aos 32 anos de idade, vencida por uma doença degenerativa, e mais tarde a perda do irmão Fernando, vencido pelo câncer. É dessa convivência com a morte e depois, como médico, da convivência com doentes terminais que vem o tema do último livro do médico e escritor, Por um fio. Contando histórias de doentes e de seus conflitos familiares, Drauzio Varella analisa as mudanças de atitudes em pessoas que são tomadas pela dor e pela perspectiva da morte. A tese central é de que a notícia da morte iminente provoca transformações inesperadas: pode aumentar a solidariedade familiar, pode, em contrapartida, jogar o doente em situação de abandono, mas pode também levar alguns pacientes a novas percepções, a adquirir serenidade e a viver melhor a vida que está por um fio.
30/08/2004|Drauzio Varella|3|Paulo Markun|Para entrevistar o médico cancerologista Drauzio Varella, nós convidamos Roseli Tardelli, criadora e editora-executiva da Agência de Notícias da Aids; Roldão Arruda, repórter da editoria de política do Jornal Estado de S. Paulo; Mônica Teixeira, editora especial de saúde, ciência e tecnologia da TV Cultura; Cristiane Segatto, editora de saúde, ciência e tecnologia da revista Época; Michael Laub, editor de literatura da revista Bravo e Maria Helena Pereira Franco, professora titular de psicologia da Pontifícia Universidade Católica de São Paulo e coordenadora do Laboratório de Estudos sobre o Luto da PUC, é também integrante do Instituto de Psicologia Quatro Estações. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e para Brasília também pela rede pública de televisão. Boa noite, Drauzio.
30/08/2004|Drauzio Varella|4|Drauzio Varella|Boa noite, Paulo.
30/08/2004|Drauzio Varella|5|Paulo Markun|Esse seu livro aborda um tema que é tabu na televisão, a morte. A morte aparece na televisão, aparece no cinema, aparece no entretenimento, de modo geral, sempre pelo lado glorioso ou pelo lado heróico, trágico no sentido grego. E a morte que aparece no seu livro não é essa morte heróica, na maioria das vezes é trágica, mas não com essa dimensão de tragédia. E o que me chamou a atenção no livro é o fato de que, desse grande painel que você desenha, surge uma coisa aleatória, imprevisível e absoluta, uma loteria. É assim que você enxerga a morte?
30/08/2004|Drauzio Varella|6|Drauzio Varella|Exatamente assim. Você, quando nasce, sabe que vai morrer, não é? É a única certeza que nós temos na vida. Mas você acha que isso vai acontecer em um dia que está distante. Mas esse dia chega para todo mundo. E chega aleatoriamente. Nós ficamos procurando uma lógica para isso, para explicar, não é? Eu cansei de ouvir gente: “Mas, puxa, aconteceu isso com fulano! Fulano não merecia isso, era uma boa pessoa, bom pai de família, uma pessoa exemplar...” Como se a morte tivesse algum interesse nas qualidades de vida. Machado de Assis, em Memórias póstumas de Brás Cubas, disse... ele fala sobre o câncer, ele diz: “O câncer não respeita as virtudes do sujeito”. É verdade, a morte não respeita as virtudes de ninguém. Pode acontecer aleatoriamente, mas, como acontece todos os dias, nós é que fingimos que isso não é possível, porque para a gente fica muito difícil lidar com a vida diante da perspectiva da morte aleatória.
30/08/2004|Drauzio Varella|7|Paulo Markun|E ela é pior se é uma perspectiva de uma doença incurável, como se diz, quer dizer, uma doença em que o sujeito sabe que não tem saída e que é uma ladeira? 
30/08/2004|Drauzio Varella|8|Drauzio Varella|Eu não sei se é pior. Sabe, eu acho que a morte violenta, essa morte inesperada, eu acho muito mais brutal, porque te colhe num momento da vida em que isso não podia acontecer, não estava previsto que isso acontecesse. A morte que vem... que acompanha uma doença grave, que tem uma evolução mais ou menos longa, ao mesmo tempo em que ela começa a se armar por trás da doença, vai havendo uma preparação, você vai aprendendo a lidar com essa possibilidade. Um acontecimento que era uma hipótese altamente improvável, como é a morte de cada um de nós pessoalmente, quando começa a se tornar mais próximo, você vai tendo um entendimento diferente daquele que você tinha quando isso era uma coisa distante de você. O que eu quero dizer é o seguinte: é que a própria doença vai te preparando para aceitar a evolução desfavorável que ela possa ter.
30/08/2004|Drauzio Varella|9|Paulo Markun|E por que surge...
30/08/2004|Drauzio Varella|10|Roseli Tardelli [interrompendo]|Será, doutor Drauzio? Será? Eu acho que, às vezes, é tão difícil ainda a gente lidar com perda, a gente lidar com morte, quer dizer, uma situação onde a impotência da gente fica tão grande, tão maior e... Não sei. O senhor viveu isso também com o seu irmão, o senhor sabe do que eu estou falando.
