DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
02/02/1996|Edmundo|1|Matinas Suzuki|Boa noite. Ele estreou oficialmente no sábado com a camisa oito do Corinthians. Tocando a bola no Roda Viva esta noite está Edmundo.
02/02/1996|Edmundo|2|[Comentarista]|Gênio... e que gênio! Afirmativas com um merecido duplo sentido. As interpretações se materializam num gênio intempestivo e também na genialidade contida no prazer de encarar e driblar o adversário. Edmundo é hoje um dos jogadores de maior carisma do futebol brasileiro. Encarna, ao mesmo tempo, os papeis de herói e vilão. Virou símbolo de um futebol de garra, que mistura arte e molecagem. Mas estrelou alguns episódios em que a bola e a rede deixaram de ser importantes em cena. A coleção de incidentes, o jeito inquieto, malcriado, os gols e a vibração escancarada o tornaram dono absoluto da camisa de bad boy. Edmundo começou na  juvenil do Botafogo. Deixou a estrela solitária para ir jogar no time do maior ídolo, o Vasco, de Roberto Dinamite. Os dribles, o domínio de bola e os gols foram abrindo caminho. Saltou rápido do juvenil para o profissional. E, em 1992, ganhava o primeiro título regional do Campeonato Carioca desprestigiado e sem Maracanã. Mesmo sem os espetáculos do maior estádio do mundo, o talento de Edmundo foi reconhecido. Em 1993, fez as malas, mudou-se para São Paulo como uma das atrações da recém associação Palmeiras e Parmalat. Edmundo se tornou ídolo e ajudou a quebrar um jejum de 17 anos sem títulos do Palmeiras. Melhor que isso, integrou uma campanha vitoriosa, cinco títulos em três anos: os bicampeonatos Paulista e Brasileiro e um torneio Rio – São Paulo. Colaborou com mais de cinqüenta gols e atuações que lhe renderam três convocações para a Seleção Brasileira. A insolência é a destreza capaz de desequilibrar uma partida e ganhar o coração da torcida, Edmundo foi presenteado com mais um título: Animal. A fera chegou a ser confinada quatro dias depois de agredir um cinegrafista no Equador. A diplomacia funcionou lá, mas aqui o adeus de Edmundo ao Palmeiras  em meio às acusações de atrasos de pagamentos. E mais de seis milhões de dólares levaram Edmundo de volta ao Rio. Chegou ao Flamengo para formar o ataque dos sonhos com Sávio e Romário no ano do centenário do clube. O trinômio, ídolo, imagem e negócios iam bem,  em campo a situação era outra: poucos gols, contusões e confusões, o Flamengo nada venceu. O sonho acabou por desabar na madrugada de dois de dezembro. Edmundo se envolveu em um acidente de trânsito que deixou três mortos. Foi acusado de dirigir em alta velocidade e vai responder inquérito por homicídio culposo. O desafio de vencer esse momento triste fez com que Edmundo trocasse mais uma vez o futebol carioca pelo paulista. A imensa torcida do Corinthians e toda a diretoria presentearam o jogador com carinho e confiança. Edmundo pediu para que o Animal fosse esquecido, entrou em campo na estréia contra o Coritiba não como um anjo, mas um gavião guerreiro. Marcou presença, um pouco pelo esforço, pela malandragem e por deixar uma forte esperança que o ataque alvinegro vai dar muito trabalho aos adversários. Na primeira partida pelo Campeonato Paulista quase marca o primeiro gol com a camisa do Corinthians. Se dessa vez o gênio intempestivo será controlado ninguém sabe, mas a torcida é para que abuse do talento e crie instantes inesquecíveis, geniais.
02/02/1996|Edmundo|3|Matinas Suzuki|Para entrevistar o “cracaço” Edmundo, nós escalamos para esse Roda Viva de hoje à noite o jornalista italiano Oliviero Pluviano, correspondente da agência de noticias italianas Ansa; o músico e colunista esportivo Nando Reis; Barbara Gancia que é colunista da Folha de S.Paulo; Juca Kfouri, do Cartão Verde, aqui da rede Cultura e da Folha de S.Paulo; o ator Eri Johnson, aliás, a gente gostaria de agradecer à Rede Globo por ter liberado Eri para participar deste Roda Viva, muito obrigado pela sua presença Eri; o consultor de empresa e comentarista da rádio Eldorado Antoninho Marmo Trevisan; e Silvio Lancelotti comentarista esportivo da Rede Record. O Roda Viva é transmitido em rede nacional por 43 outras emissoras de 17 estados brasileiros  Eu vou pedir um pouquinho de paciência, porque mesmo antes do começo do programa já estavam chegando perguntas aqui para o Edmundo. Acho que vamos bater hoje o nosso recorde de participação. Boa noite, Edmundo.
02/02/1996|Edmundo|4|Edmundo|Boa noite.
02/02/1996|Edmundo|5|Matinas Suzuki|Muito obrigado pela sua presença. Eu acho que a nossa produtora aqui, Márcia, está te marcando há mais tempo que qualquer outro beque que você tenha enfrentado pela frente. Edmundo, a camisa oito cai bem? O número oito, você gosta dele?
02/02/1996|Edmundo|6|Edmundo|Eu gosto. Número de camisa, eu nunca tive nenhuma preferência. Coincidentemente, eu marquei pela camisa sete. Fui para o Flamengo, gostaria também de ter mudado quando eu cheguei no Flamengo e lá foi feito uma votação e ganhou por 92% camisa sete. E aqui, o Marcelinho é o dono da camisa sete e gosta de jogar com ela, eu acho que não tinha nem como eu pensar em jogar com a camisa sete. E aí foram escolhidos outros dois números, caiu o número oito. Eu me simpatizo bem com o número oito.
02/02/1996|Edmundo|7|Matinas Suzuki|Como foi a estréia, Edmundo? O que você achou? Foi bom voltar ao Campeonato Paulista? Você se sentiu bem, como foi?
02/02/1996|Edmundo|8|Edmundo|Foi ótimo. Eu estou muito feliz, muito contente de estar de volta a São Paulo, principalmente no Corinthians, um time que eu não conhecia, via só como adversário, tinha aquela rixa entre Palmeiras e Corinthians. Mas eu estou muito satisfeito, muito feliz. E a minha estréia oficial, no sábado, a meu ver, foi maravilhosa. Eu ainda não  condições físicas, técnicas e táticas como os demais jogadores, então, eu tenho que entrar no ritmo deles, porque fiquei três meses sem fazer nada – comendo, bebendo e dormindo – enfim, isso prejudica um pouco o rendimento. Aí, eu conversei com o Eduardo ... na quinta-feira foi um jogo de festa, valia tudo, eu conversei com o Eduardo e com o Toninho que é o preparador físico, que eu ia jogar o máximo, correr até quando eu tivesse gás e depois  para eles me tirarem, me substituírem. Eu fiz isso no primeiro tempo, eu corri bastante, lutei, batalhei. Eu acho que foi excelente.  já no intervalo eu não reunia as mesmas condições de quando eu entrei. Estava sentindo uma contusão e até gostaria de ter saído, mas tivemos o mesmo problema com um outro jogador, o Róbson, e ele está em condições piores ainda do que eu, não fez a pré-temporada e estava acima do peso. Aí, optou por tirar o Róbson para que eu permanecesse no jogo, e aí o segundo tempo foi um pouco mais lento, eu estava um pouco cansado, mas foi excelente.
02/02/1996|Edmundo|9|Matinas Suzuki|Agora, Edmundo, vendo ali o jogo... As três ou quatro primeiras bolas que você pegou, você sofreu faltas duras, teve dois cartões amarelos para jogadores do Botafogo de faltas em cima de você, essa coisa toda. Como é? Você entra em campo e já sabe que vai ser assim, que vai ter que levar? Como é o seu preparo para esse tipo de coisa? Porque deve ser muito desgastante. Primeiro: não conseguir dar seqüência para a jogada. Segundo: são entradas bastante duras, colocando em risco a sua integridade física, essa coisa toda.
02/02/1996|Edmundo|10|Edmundo|A questão da integridade física, a gente está sujeito, mesmo nos treinos, a acontecer alguma coisa. Já levei entradas fortes demais e dessa vez que eu me machuquei – acho que foi a pior vez que eu me machuquei – foi uma jogada que o adversário não teve nem culpa, nem chegou... Quer dizer, para você se machucar, acontece em qualquer momento. Mas é um fator psicológico muito difícil porque as pessoas acham que vão te tirar do jogo, vão te desestabilizar. E nesse jogo em Ribeirão  foi a prova disso. No primeiro lance o cara estava me marcando homem a homem, levou cartão. Aí trocou o cara que ia me marcar, o outro tomou cartão.  veio me marcar um terceiro, que no final do jogo acabou tomando também um cartão amarelo. Quer dizer, é meio complicado... Na hora em que você pega na bola... Mas isso aí, eu até acostumei, porque quando era na época do Palmeiras, que eu estava sobrando dentro do campo...
02/02/1996|Edmundo|11|Matinas Suzuki|Estava arrebentando...
