DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12/04/2001|Elie Wiesel|1|Paulo Markun|Boa noite. Ele cunhou uma expressão que rodou o mundo e que hoje é, de certo modo, contestada pelo próprio autor. A expressão é "Holocausto". Sobrevivente dos campos de concentração nazistas, onde perdeu os pais e uma irmã, tornou-se um aguerrido combatente na luta pelos direitos humanos. Desde então, em suas andanças pelo mundo, em seus livros e seus artigos, ele exorta todos a se manterem atentos contra o que chama de "o grande mal da humanidade". E nós colhemos uma frase, dita por ele, para dar a medida desta apreensão. A frase é a seguinte: "o contrário do amor não é o ódio, mas a indiferença. O contrário da arte não é a feiúra, mas a indiferença. E o contrário da vida não é a morte, mas a indiferença". O Roda Viva esta noite entrevista o escritor judeu e prêmio Nobel da Paz de 1986, Elie Wiesel. Para entrevistar Elie Wiesel, nós convidamos: o sociólogo Tulio Kahn, coordenador de pesquisas do Ilanud, Instituto Latino Americano das Nações Unidas para a Prevenção do Delito e o Tratamento do Delinqüente; convidamos também o jornalista Moisés Rabinovich, repórter especial do Jornal da Tarde e ex-correspondente em Israel e nos Estados Unidos; está conosco ainda Vicente Adorno, editor de internacional da TV Cultura de São Paulo; também participa do programa o jornalista Jaime Spitzcovsky, diretor do site Prima Página e autor de coberturas jornalísticas em mais de quarenta países, entre eles a Rússia e a China – o Jaime também esteve no Oriente Médio diversas vezes; a historiadora Arlene Clemesha, autora do livro Marxismo e judaísmo - a história de uma relação difícil, especialista da questão judaica no século XX; o rabino Henry Sobel, presidente do rabinato da Congregação Israelita Paulista; participa também do programa o jornalista Adhemar Altieri, diretor de jornalismo da Rádio Eldorado. O Roda Viva, você sabe, é transmitido em rede nacional para todos os estados brasileiros e também para Brasília. E como este programa está sendo gravado, ele não permite a participação dos telespectadores. Boa noite, Elie. Nós estamos gravando este programa no dia seguinte à posse do novo primeiro-ministro de Israel, Ariel Sharon. Eu queria saber se o senhor considera e se esse novo governo tem condições de finalmente obter aquilo que já provocou a concessão de cinco prêmios Nobel da Paz, mas até hoje é apenas um projeto para o Oriente Médio.
12/04/2001|Elie Wiesel|2|Elie Wiesel|Bem, alguns mereceram mais que outros, mas isso ocorre com todas as áreas, todas as pessoas, todos os anos. Eu não sei se eu mereci. Mas, quando se trata do Oriente Médio, eu sempre oscilo entre a maior esperança e o mais profundo desespero. Quando tudo vai bem, estou nas nuvens. Quando não vai, pergunto-me se a humanidade tem algum futuro. Agora, com Sharon como primeiro-ministro, tendo um governo de unidade nacional, tendo ouvido o que ele disse de imediato em seu primeiro discurso ao Knesset , eu sinto que tudo seguirá de uma forma mais positiva. Barak  falhou. Lamento dizer, mas ele falhou. Ele e sua filosofia, ele e sua ideologia, ele e sua coragem, em termos políticos, falharam. O outro lado recusou-se a receber o que ele ofereceu em Camp David. . Eu acho que Sharon deve tentar algo novo, e espero realmente que as coisas melhorem.
12/04/2001|Elie Wiesel|3|Paulo Markun|O que é que... Eu sei que essa pergunta é uma pergunta difícil de ser respondida mas, em todo caso, a minha tarefa aqui sou eu fazer as perguntas e não encontrar as respostas. O que falta para que haja paz no Oriente Médio? Qual é o ponto central?
12/04/2001|Elie Wiesel|4|Elie Wiesel|Como vamos passar uma hora e meia juntos, devo dizer-lhe: sou melhor com perguntas do que com respostas. Passei toda a minha vida adulta fazendo perguntas. Ensino aos meus alunos a arte de questionar. Adoro perguntas. Há uma missão nas perguntas. E acredito que estamos todos aqui numa missão em busca de um significado, de compaixão e de paz. O que falta? Não faço idéia, mesmo. Houve bons momentos. Quando Sadat foi a Jerusalém, eu  lembro de tê-lo visto pela TV, chegando a Jerusalém - e eu não costumo chorar, mas derramei lágrimas ao ver aquele homem chegando sozinho em seu isolamento, pois estava isolado em outro mundo, e ele foi a Jerusalém. E eu pensei: "O que um homem pode fazer?". Mas eu vi os que o receberam, havia centenas de pessoas, entre elas havia pais que tinham perdido os filhos na guerra de 1973 , iniciada por Sadat. Havia maridos que tinham perdido as esposas, esposas que tinham perdido os maridos, mas eles o receberam com tamanho fervor, com tamanho amor. Eu senti: "Olhe. É possível. É possível obtermos na história uma mudança de valores". E por que isso não ocorreu agora? Isso quase ocorreu. Eu estava em Washington em 13 de setembro de 1993, quando Rabin  – que era meu amigo –, e Arafat  apertaram as mãos. Eu não acreditava no que via. Algo acontecia, a história parecia avançar. Eu estava convencido de que estava vendo o capítulo seguinte, o segundo capítulo da história que Sadat havia começado. Mas as coisas deram errado. É o fanatismo? Isso é sempre ruim. O fanatismo é sempre destrutivo. Destrói a esperança que temos uns nos outros. É apenas a política? Eu não sei o que é, mas algo acontece com essa região do mundo. Jerusalém foi destruída 17 vezes em sua história. Não houve um império na antiguidade que não tenha tentado destruir Jerusalém e tenha conseguido. Babilônios, romanos, os cristãos quando tentaram retomar os lugares sagrados do Império Otomano... O que tem Jerusalém que atrai tanta guerra? E Jerusalém deveria ser a cidade da paz. O nome significa "Cidade da Paz". Receio não ter a resposta. Tudo que eu sei é que está lá.
12/04/2001|Elie Wiesel|5|Paulo Markun|O senhor acredita que talvez, apesar de tudo isso, deva haver a persistência e em uma determinada ocasião – sem que se explique exatamente porque, ou de que motivo – a paz finalmente vença na história? Não há um caminho lógico para isso?
12/04/2001|Elie Wiesel|6|Elie Wiesel|Não temos escolha. Deve haver paz naquela região. É muito perigoso. Existem muitas armas hoje e existirão amanhã. Algumas são perigosas. Saddam Hussein acha que há um arsenal lá. Algumas realmente existem. O Irã... As coisas são perigosas. Palestinos e israelenses devem perceber que não há saída para eles. Eles devem viver em paz. Como? Eles devem decidir. Mas eu sugeriria uma coisa: educação. Acredito em educação acima de tudo. Eu começaria com crianças no jardim de infância. Elas deveriam se encontrar pelo menos uma vez por mês. Ficarem o dia juntas. Crianças judias deveriam ir ao jardim de infância palestino. E, depois, para outras escolas. Depois, colégios, universidades. Professores, pintores, jornalistas, arquitetos deveriam se encontrar durante anos e construir pontes de entendimento. E sei que encontrarão meios de viverem juntos. É preciso.
12/04/2001|Elie Wiesel|7|Jaime Spitzcovsky|Eu queria mudar um pouco o foco do Oriente Médio – eu tenho certeza que nós vamos depois voltar a conversar sobre o tema – mas, em uma palestra recente, o senhor disse como os escritores e filósofos no final do século XIX estavam otimistas em relação ao novo século que se aproximava. No entanto, este século, que terminou há pouco, foi senão o pior, foi provavelmente um dos piores da história do ponto de vista da violência: Primeira Guerra Mundial, Segunda Guerra Mundial, Holocausto – do qual o senhor foi vítima –, genocídios na África, Camboja... O que deu errado no século XX? Porque que o século XX foi tão trágico?
12/04/2001|Elie Wiesel|8|Elie Wiesel|Provavelmente uma combinação de eventos. A República de Weimar não fez seu trabalho . Acho que o Tratado de Versalhes foi um erro, porque ele foi feito para humilhar uma nação, e humilhar a nação alemã foi um erro.  Hitler  não chegaria ao poder se não fosse pela humilhação do povo alemão  a situação econômica da Alemanha. E  a autoconfiança da França. Por exemplo, a França acreditava que ninguém a derrotaria. Tudo isso junto, e havia muitas pessoas insatisfeitas no mundo todo, descontentes com o que o mundo fizera com elas ou com outros. E sempre há algo irracional na guerra. A guerra nem sempre é um produto racional. Há algo irracional. Como foi possível um homem como Hitler, que não possuía talento algum além de demagogia, como ele conquistou a opinião pública, o público e os corações da Alemanha, as mulheres alemãs, as crianças? Vendo na TV filmes feitos na época, eles olham para Hitler... Meu Deus, o modo como olham para ele, é como se olhassem para um santo ou para Deus, se Deus pudesse ser visto! Isso é irracional. Mas uma coisa também é clara, acho que tem a ver com a idéia de que é possível reduzir uma pessoa a uma abstração. E isso ocorreu em dois movimentos, duas ideologias totalitárias: comunismo e nazismo. E eu não as comparo, nazismo foi pior. Mas reduzir uma pessoa a uma abstração, esse foi o primeiro pecado capital. Se a pessoa não passa de uma abstração, por que não fazer o que quisermos com ela? Ou com mil, ou um milhão delas? Foi uma combinação de idéias: idéias errôneas; muitos desejos: desejos perversos; muitas ideologias: ideologias desumanas. E houve o culto da morte, personificado pelos nazistas. Todas essas coisas juntas produziram o pior século da história.
12/04/2001|Elie Wiesel|9|Jaime Spitzcovsky|Essa combinação pode se repetir no século XXI?
12/04/2001|Elie Wiesel|10|Elie Wiesel|Eu pertenço a um pequeno grupo que acredita, talvez ingenuamente... Neste caso, é uma utopia, e o significado é o do século XVI, no qual a utopia é um lugar que não existe. Mas ainda acredito, ingenuamente, que o que chamo de Holocausto – já não gosto dessa palavra – foi um evento único, que não pode e não deve se repetir. Mas outras coisas ocorreram, você citou algumas. Os massacres na África, na  Bósnia, as ondas de horror que varreram a civilização. E o verdadeiro problema também foi a indiferença. Houve indiferença ao nazismo no século XX, e há indiferença hoje  as enormes tragédias que ocorrem no Terceiro Mundo. Poderíamos ter poupado muitas vidas na Bósnia. Com certeza poderíamos ter evitado o massacre de seiscentas a oitocentas mil pessoas em Ruanda.  Por que não fizemos isso? Mas não fizemos.
