DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/06/1989|Emerson Leão|1|[Programa ao vivo]|Programa ao vivo]
05/06/1989|Emerson Leão|2|Jorge Escosteguy|Boa noite. Estamos começando mais um Roda Viva. O convidado do Roda Viva desta noite é o ex-goleiro da seleção brasileira e atual técnico da Sociedade Esportiva Palmeiras, Emerson Leão. Para entrevistar Emerson Leão nesta noite nós convidamos os jornalistas: Regiani Ritter, repórter e comentarista do Mesa Redonda da TV Gazeta; Alfredo Ogawa, chefe de redação da revista Placar; Alon Feuerwerker, editor de esportes do jornal Folha de S. Paulo; Gênia Winitzki, editora da revista Nova; Luis Alberto Volpe, editor de esportes e apresentador do Vídeo Esporte da TV Cultura; José Góes, locutor e entrevistador da TV Cultura; Silvio Luiz, jornalista e comentarista da TV Bandeirantes; Tonico Duarte, editor de esportes do jornal O Estado de S. Paulo. Emerson Leão tem 39 anos, nasceu em Ribeirão Preto e é uma das personalidades mais polêmicas e um dos goleiros mais importantes do futebol brasileiro. Tem 25 anos de futebol, participou de quatro Copas do Mundo e foi tricampeão em 1970 no México. Foi goleiro, entre outros times, do Palmeiras, do Vasco, do Corinthians e do Grêmio. Começou como técnico em 1987, no Sport Club do Recife. Depois foi para São José e o time ficou em terceiro lugar no Campeonato Paulista. Este ano veio para o Palmeiras e a equipe está fazendo uma excelente campanha, não perdeu nenhum jogo durante esse campeonato e tirou do Corinthians a Taça dos Invictos. Leão, você é considerado um técnico bastante disciplinador e isso, aliás, tem sido uma das queixas que se fazem ao seu método de trabalho. Agora você, como goleiro, em certos momentos, não foi muito disciplinado. Você foi colocado na reserva, por exemplo, pelo Telê, você chiou bastante, reclamou, etc. Você como técnico hoje, aceitaria a reclamação de um jogador eventualmente colocado na reserva por sua determinação?
05/06/1989|Emerson Leão|3|Emerson Leão|O mais importante é que você deve analisar que as críticas não são por parte dos atletas quanto à disciplina, muito pelo contrário, eles estão satisfeitos com o tipo de cobrança que eu faço, porque eles têm recebido muito retorno nessa mesma proporção, então isso me deixa um pouco mais tranqüilo. Com respeito a você ser titular ou não, naquela época em que eu supostamente teria reclamado, eu acho que o atleta deve sempre se empenhar para ser titular, e quando se acha injustiçado, deve dialogar com o treinador, deve conversar com ele, e não exigir do treinador. E através disso nós estamos mantendo um bom relacionamento no Palmeiras e até agora sem problemas maiores. 
05/06/1989|Emerson Leão|4|Jorge Escosteguy|Na época do Telê , você procurou o diálogo com ele quando ele o colocou na reserva?
05/06/1989|Emerson Leão|5|Emerson Leão|Na oportunidade, o Telê, na realidade, em 1982, não me colocou na reserva. Ele simplesmente não me colocou na Copa do Mundo de 82, porque eu entendia e achava que poderia estar presente. Mas como era a única opção do treinador, você tem que respeitar o treinador, sendo ele certo ou errado. Já em 1986, eu estava com 37 anos de idade, foi, antes de mais nada, uma satisfação pessoal, talvez até uma vitória pessoal, ter reconquistado a condição de voltar à seleção brasileira após muito tempo, pelas próprias mãos da pessoa, no caso do Telê, que não teria me convocado em 82. E isso já significou muito para mim. Mas essa Copa que eu fui, ou seja, a última Copa em 86, me marcou também pelo lado de decepção, ao ponto de ao regressar ao país, regressar ao Brasil e definitivamente encerrar a minha atividade profissional como atleta. 
05/06/1989|Emerson Leão|6|Jorge Escosteguy|Silvio Luiz tem uma pergunta.
05/06/1989|Emerson Leão|7|Silvio Luiz|Boa noite, o problema é o seguinte: todo técnico tem uma linha, eu quero saber qual é a sua linha: Fidel Castro,  Gorbachev ou  Mussolini?  
05/06/1989|Emerson Leão|8|Emerson Leão|Nenhuma das três. A minha linha é simplesmente a linha “Emerson Leão necessidade de momento”.
05/06/1989|Emerson Leão|9|Silvio Luiz|E como você encara o problema de ter querido fazer uma espécie de censura ao trabalho de jornalistas durante um treinamento do Palmeiras, quando solicitou a ele o filme de um incidente havido dentro do seu campo de trabalho? 
05/06/1989|Emerson Leão|10|Emerson Leão|Bom, primeiro nós não recorremos a uma censura dentro do Palmeiras, porque tem vários companheiros seus que estão todos os dias no Palmeiras e sabem que isso não existe. O que existe naquela oportunidade é que eu, como treinador, eu como responsável de uma equipe, deveria, antes de mais nada, tomar todas as providências necessárias e cabíveis para que as coisas funcionassem mais simples e não mais longas. Eu, sabedor de que no meio esportivo tudo o que se faz em curto se torna longo - naquela oportunidade a que você está se referindo foi o fato de uma briga entre o Gaúcho  e o Murilo [durante um treinamento. Naquela oportunidade eu estava distante, foi fotografado por um fotógrafo.
05/06/1989|Emerson Leão|11|Silvio Luiz|Marcos Fernandes. 
05/06/1989|Emerson Leão|12|Emerson Leão|Por esse... E, na ocasião, na metade do treinamento, eu me dirigi até ele e pedi a ele: “se for possível” - delicadamente ainda, escrito no outro dia pelo Dinoel, no Jornal da Tarde, me parece - “se for possível, gostaria que você me desse o filme porque só você está aqui, você não faz o futebol no dia-a-dia, e isso não vai levar a nada. Nós estamos às vésperas de uma partida, e isso não leva nada. Pense, e se for possível, no final do treino você entrega”. “Ok”- ele falou assim – “Eu vou pensar”. Quando, para minha surpresa, eu fui até ele e disse: “Como é, está sendo possível ou não”? Ele pegou, me entregou o filme e ainda me pediu que não contasse aos companheiros do trabalho dele para ele não ficar mal com os companheiros de trabalho. Então você vê que foi uma solicitação aceita pelo fotógrafo. Muito bem, como já pertenço ao meio há algum tempo, naquele exato momento eu me dirigi a minha diretoria, dizendo: “existe um filme nesse sentido assim e eu acredito não ter nada dentro. Vai acontecer isso e isso e isso". O que também não teria problema nenhum, porque nós não escondemos o fato depois de ele ocorrer, nós lamentamos o fato. E assim foi. Eu acho que ele tentou enganar, apesar de eu não ter enganado ninguém; faltou primeiro, como um homem, a coragem de dizer para mim: “Olha Leão, você vai me desculpar, eu estou realizando um trabalho jornalístico e eu não vou te dar o filme”. Perfeitamente viável! Eu gosto da palavra franca, e ele não o fez, ele faltou com a responsabilidade, não foi homem suficiente para assumir essa atitude e por isso foi isso. E eu não acho isso uma censura à imprensa, eu acho uma solicitação normal de um técnico que se preocupa com a sua equipe.
05/06/1989|Emerson Leão|13|Tonico Duarte|Há algum tempo, numa entrevista à revista Placar, você disse que os seus amigos no futebol são seus troféus. Você não tem amigo dentro do futebol, você não fez amigos ao longo desse tempo todo que você trabalhou? 
05/06/1989|Emerson Leão|14|Emerson Leão|Primeiro, eu não dei essa entrevista na revista Placar porque eu não dou entrevista na revista Placar há mais de dez anos. Então, esse é o primeiro caminho.
05/06/1989|Emerson Leão|15|[Jorge Escosteguy e outro entrevistador fazem a mesma pergunta]|Por que você não dá entrevista à revista Placar? 
05/06/1989|Emerson Leão|16|Emerson Leão|Um minutinho só. Segundo, eu tenho muitos amigos, e mais de 90% desses amigos foram feitos através do futebol e não só com o futebol. Então eu acho que futebol é uma abertura muito grande para que você faça novos amigos. Agora, depende de você cultivar ou não essa amizade. A outra pergunta?
05/06/1989|Emerson Leão|17|Jorge Escosteguy|Por que você não dá entrevista à revista Placar? 
05/06/1989|Emerson Leão|18|Emerson Leão|Eu não dou entrevista à revista Placar já desde o tempo em que eu era atleta, mais ou menos uns dez ou 12 anos atrás, por não concordar com a linha de conduta. Eu acho que é uma revista negativa para o futebol, ela vê um outro ângulo... Digamos que, se nós jogarmos uma partida - “nós”, que eu digo, é a Seleção Brasileira, nós do Brasil - 90%, e nos 10% que restam dessa partida nós perdemos de 1 a 0, pode ter certeza que essa revista vai enaltecer os 10% negativos a favor da outra equipe e não os 90% positivos. Então é uma linha de conduta que eu não concordo e já tive problemas; logicamente se há de convir que em 25 anos de carreira você tem que ter algum tipo de problema. Se você ficar 25 anos dirigindo uma revista, você vai ter problemas com seus companheiros, então aí está explicado o motivo de eu não dar entrevista.
05/06/1989|Emerson Leão|19|Gênia Winitzki|Nós estávamos falando de brigas entre jogadores, então vamos falar um pouquinho das brigas das torcidas. A do Palmeiras parece que está sendo um pouquinho ou um tanto quanto selvagem. Eu gostaria de saber se você deixaria a sua mulher, no estágio atual das brigas entre as torcidas, presenciar uma partida em campo? E o que você sugere para aplacar ou diminuir essas brigas em campo? 
05/06/1989|Emerson Leão|20|Emerson Leão|Eu acho que bom... O programa está bem... só falando em agressividade, né? A realidade é que seguindo a linha do programa...
05/06/1989|Emerson Leão|21|Silvio Luiz|Não, do programa não, é a linha... 
05/06/1989|Emerson Leão|22|Emerson Leão|Sua?
05/06/1989|Emerson Leão|23|Silvio Luiz|Não! Sua! 
05/06/1989|Emerson Leão|24|Emerson Leão| Ah, é?! Então tá bom. Realmente nós procuramos sempre uma atividade agressiva, mas agressiva sempre no bom sentido para vencer as partidas. Agora eu acho que realmente está difícil você permitir não só sua esposa, mas principalmente uma família, para ir no estádio...
05/06/1989|Emerson Leão|25|Gênia Winitzki| Alguma vez a sua esposa assistiu a uma partida sua? 
05/06/1989|Emerson Leão|26|Emerson Leão|A minha esposa assistiu a uma partida minha, sim, no Rio de Janeiro, na época em que eu estava começando na Seleção Brasileira, e depois disso ela não assistiu mais. Agora as famílias estão se afastando dos estádios. Então, se você vai com sua família ao estádio e você tem três filhos, pode ter certeza que no futuro nós teremos mais três torcedores buscando alguma coisa melhor. E com esse problema de organização, de torcida organizada, realmente a coisa dificultou um pouco. Eu acho que nós temos, primeiro,  que não dar tanta ênfase como nós damos a qualquer problema negativo no futebol, principalmente em se tratando de torcida. Nós estamos cedendo um espaço maior do que o necessário para essas torcidas. Acho também que os problemas que têm ocorrido - vide Inglaterra, um mau exemplo – têm refletido negativamente no nosso país. Mas o brasileiro não é para isso, brasileiro não é para guerra. Acho que nós temos a obrigação, cada um no seu setor, de melhorar. O meu setor será dar à minha equipe, consequentemente à equipe do Palmeiras, consequentemente à torcida do Palmeiras, resultados positivos para que eles vão a campo ver o espetáculo, se sentir alegre e não brigar.
05/06/1989|Emerson Leão|27|Gênia Winitzki|Você tem dado resultados positivos e mesmo assim... 
05/06/1989|Emerson Leão|28|Emerson Leão|Não temos conseguido retorno. Mas já nesse último domingo, como eu soube hoje, eles foram até à missa em Novo Horizonte, tiveram um comportamento muito bonito, realmente é isso que nós esperamos. Esperamos também para essa próxima partida, que será quarta-feira, um comportamento agressivo sim, mas agressivo na medida do incentivo, na medida do espírito vencedor.
05/06/1989|Emerson Leão|29|Alfredo Ogawa|Na verdade eu tenho uma colocação e uma pergunta em relação à violência. Quanto a você não falar com a Placar, isso é histórico para nós, mas eu queria dizer que se você não concorda com a linha editorial da revista é um direito seu. Mas isso também não quer dizer que nós vamos mudar a linha editorial que a gente faz... 
05/06/1989|Emerson Leão|30|Emerson Leão|Perfeitamente. Não pedi isso.
05/06/1989|Emerson Leão|31|Alfredo Ogawa|A gente não está aqui só para elogiar... 
05/06/1989|Emerson Leão|32|Emerson Leão|Não, muito pelo contrário, senão eu não viria aqui só para receber elogios.
