|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|02/04/2001|Emília Viotti da Costa|1|Paulo Markun| Boa noite, ela se tornou referência na historiografia brasileira. Conhecida por suas investidas contra a história oficial, vem se dedicando a resgatar a memória e os discursos dos brasileiros que ficaram às margens da sociedade. O Roda Viva entrevista esta noite a historiadora Emília Viotti da Costa. Durante 26 anos, ela foi professora de história da América Latina na Universidade de Yale, nos Estados Unidos, para onde se mudou depois de ser aposentada pelo Ato Institucional número 5 - o AI5 , em 1969, quando lecionava na Universidade de São Paulo , onde hoje faz parte do conselho consultivo. Sua pesquisa histórica procura reconstituir a vida e a versão dos brasileiros que interferiram na história do Brasil, mas não conseguiram contar como as coisas aconteceram, setores da sociedade que ficaram às margens da história e que, em geral, são os temas que predominam em seus livros. 
1|02/04/2001|Emília Viotti da Costa|2|[Comentarista]| Momentos decisivos da vida brasileira, as transformações na sociedade, o comportamento das elites, Emília Viotti re-estuda em seus livros as circunstâncias que marcaram a construção da nacionalidade brasileira. Busca nas categorias sociais marginalizadas a história que não entrou nos textos oficiais. Estudiosa do tema escravidão, ela destaca o sentido limitado da abolição num Brasil que, apesar de reconhecer o papel do escravo na construção da sociedade, ainda discrimina seus descendentes. O mesmo olhar crítico lançado sobre as mudanças da monarquia para a república revela um país que se desenvolveu, mas que também perpetuou valores tradicionais, elitistas, autoritários e que ainda são a base de muitos problemas do Brasil contemporâneo. Em seu novo trabalho, O Supremo Tribunal Federal e a construção da cidadania, Emília Viotti levanta o papel histórico do Supremo Tribunal no difícil processo de construção da democracia. Ilustrações de época recheiam histórias saborosas como a Revolta da Vacina. A exigência desmedida de atestados contra a varíola e uma campanha sanitária feita com força policial no Rio de Janeiro do inicio do século  provocaram reações no Congresso, manifestações de rua, estado de sítio e quase mil prisões. A intervenção da Justiça resultou também em debates importantes que posteriormente definiram as leis sobre fiscalização sanitária no país. O livro mostra a importância da Justiça na defesa dos direitos do cidadão, na limitação do papel do Estado e na construção de instituições democráticas num país historicamente marcado por conflitos, golpes, desrespeito ao Estado de Direito e exclusão social.
2|02/04/2001|Emília Viotti da Costa|3|Paulo Markun|" Para entrevistar a historiadora Emília Viotti da Costa nós convidamos Silvia Colombo, repórter da ""Ilustrada"" do jornal Folha de S. Paulo; Isabel Loureiro professora-doutora de filosofia política pela USP, que leciona na faculdade de filosofia e ciências da Universidade Estadual Paulista ; Getúlio Bittencourt, editor chefe do site Panorama Brasil; o jornalista Dalmo Dallari, professor da Faculdade de Direito da Universidade de São Paulo e vice-presidente da Comissão Internacional de Juristas; Márcio Chaer, diretor da revista Consultor Jurídico e Francisco Alembert, professor de história do Instituto de Artes da Universidade Estadual Paulista . O Roda Viva é transmitido ao vivo em Rede Nacional para todos os estados. Boa noite, professora."
3|02/04/2001|Emília Viotti da Costa|4|Emília Viotti| Boa noite. 
4|02/04/2001|Emília Viotti da Costa|5|Paulo Markun| Queria saber se a senhora acha que, hoje em dia, esses segmentos que ficaram à margem da história têm mais espaço na historiografia. Estão, afinal, conseguindo registrar sua versão ou não?
5|02/04/2001|Emília Viotti da Costa|6|Emília Viotti| Hoje há uma explosão de historiografia exatamente focalizando aqueles que foram os esquecidos da história quando eu comecei a fazer história. Mas isso já vai muitos anos, mais de 40 anos. E nesses 40 anos a historiografia mudou. O interesse maior que se tem hoje é exatamente resgatar a fala e a história desses indivíduos que, até então, não tinham história.
6|02/04/2001|Emília Viotti da Costa|7|Paulo Markun| Mas, no sistema escolar tradicional, a história que é ensinada para as crianças, para os adolescentes, já recupera essa versão?
7|02/04/2001|Emília Viotti da Costa|8|Emília Viotti| Eu acho que depende muito de onde estamos. Aqui em São Paulo houve um esforço de se criar uma história mais próxima ao povo. No Rio de Janeiro também houve. E as pessoas formadas nas universidades do Rio e de São Paulo, de Porto Alegre, difundiram essa nova história por toda parte, onde eles estiveram. Agora, talvez em alguns estados onde não tenha representantes dessas universidades ou não tenha pessoas que adotaram esse tipo de história, ainda se faça a história tradicional. Eu estou meio afastada do público brasileiro para poder falar com segurança que as crianças ainda aprendem história tradicional. Mas, pelo que eu leio, pelo que eu vejo, os livros de história reconhecem muito mais a presença do povo que foi excluído da história. O que não quer dizer que o povo esteja participando o quanto poderia participar.
8|02/04/2001|Emília Viotti da Costa|9|Getúlio Bittencourt|O Paulo Markun alega que não se pode combinar perguntas para preservar a espontaneidade do programa. Mas eu fiz à senhora uma pergunta na sua casa da praia, que é por que o Brasil não deu certo, e por que, no hemisfério norte, onde a senhora viveu o último quarto de século, existe a tese de que o Brasil fica no lugar errado do mundo, porque só tem economias desenvolvidas onde os climas são temperados, ou frios, onde existe uma colonização anglo-saxônica, e não portuguesa ou espanhola e, finalmente, o Brasil é também um país católico. Então, para as hipóteses que existem para a colonização dar errado, o Brasil teria capitulado em todas. A senhora concorda com isso?
9|02/04/2001|Emília Viotti da Costa|10|Emília Viotti| Eu já disse a você, a verdade é que o Brasil deu certo para alguns. Mas não deu certo para a maioria do povo brasileiro. Então, você precisa explicar por que esses alguns se beneficiaram da história do Brasil e a grande maioria não.
10|02/04/2001|Emília Viotti da Costa|11|Paulo Markun| A escravidão é a razão fundamental disso?
