DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
11/10/2004|Especial 18 anos Roda Viva|1|Paulo Markun|Boa noite. O Roda Vida está em festa, estamos comemorando hoje 18 anos do programa.
11/10/2004|Especial 18 anos Roda Viva|2|[Paulo Markun - em off com imagens de programas anteriores]|Ao longo desses 18 anos passaram pelo programa quase 900 convidados, e mais de 2.000 jornalistas e acadêmicos participaram como entrevistadores. O Roda Vida estreou dia 29 de setembro de 1986 com a apresentação do jornalista Rodolpho Gamberini. O primeiro entrevistado foi o jurista gaúcho Paulo Brossard, então ministro da Justiça do governo  Sarney . O Brasil começava o seu processo de redemocratização e o Roda Viva colocava em debate questões de justiça, censura e segurança nacional, temas ainda delicados naquela época. Na seqüência, o programa foi comandado por 20 jornalistas, entre eles ficaram mais tempo como titulares: Augusto Nunes , Rodolfo Konder , Roseli Tardelli , Jorge Escosteguy , Heródoto Barbeiro  e Matinas Suzuki , até a minha chegada ao programa em 1998. Durante esses anos o Brasil realmente passou por aqui. Artistas e presidentes da República, economistas e políticos, cineastas e esportistas, sociólogos e filósofos deixaram nos arquivos do programa o registro de suas idéias, análises, debates e embates, frases e críticas que contribuíam para a discussão e a melhor compreensão dos momentos de dificuldades ou de mudanças na vida do Brasil e no mundo.
11/10/2004|Especial 18 anos Roda Viva|3|Paulo Markun|E esses jornalistas que apresentaram o programa por mais tempo estão conosco nesta noite especial: Rodolpho Gamberini, hoje âncora do Jornal de Notícias da TV Record, Augusto Nunes, diretor do Jornal do Brasil, Heródoto Barbeiro, do Jornal da Cultura e da CBN, Roseli Tardelli, criadora e editora executiva da Agência de Notícias da Aids, Rodolfo Konder, jornalista, escritor e diretor cultural da UNFMU - Centro Universitário das Faculdades Metropolitanas Unidas e Matinas Suzuki, jornalista e presidente do IG - portal e provedor de internet. Só não está conosco Jorge Escoteguy, falecido há oito anos. A partir de hoje, o Roda Viva volta também a ter uma platéia seleta que acompanha o programa aqui no estúdio e ao vivo. Estão conosco nesta estréia as seguintes pessoas: Arari Santana, secretária da Reparação de Salvador na Bahia, Orlando Fantasini, deputado federal do Partido dos Trabalhadores e da comissão "Quem financia a baixaria é contra a cidadania", Sérgio Franklin, presidente da Stilgraf, Maria de Fátima Rodrigues, engenharia e representante da empresa Mega Tec, José Gregori, ex-ministro da Justiça, Ana Úngüe, da Ong "Te Ver", Eduardo Rodrigues, engenheiro da empresa MegaTec, o cartunista Paulo Caruso, que também estava na estréia do programa de 18 anos. Está conosco também Luiz Turcio, presidente da Ordem dos Advogados do Brasil (OAB) aqui de São Paulo, Renata Sagareli, do Banco Santander Banespa, o jornalista Mauro Chaves, articulista do Jornal O Estado de S. Paulo e Fátima Turfe, apresentadora do programa Economia e Negócios da TV Mulher. E ao lado desse estúdio, uma boa parte dos nossos entrevistados e também dos debatedores e entrevistadores que fizeram este programa ao longo de 18 anos, participam da festa de aniversário do Roda Viva. Bom, como sempre estamos transmitindo ao vivo para todos os estados brasileiros e também para Brasília pela rede pública de televisão. Participe da nossa festa e, como você já viu, festa tem sempre novidades e hoje os apresentadores do Roda vão ocupar aquela cadeira cobiçada e temida aonde está o Rodolpho Gamberini.
11/10/2004|Especial 18 anos Roda Viva|4|Rodolpho Gamberini|O que você viu de cobiçado aqui? .
11/10/2004|Especial 18 anos Roda Viva|5|Paulo Markun|Tem gente que acha né? Tem gente que liga para pedir para participar do programa . Gamberini, você estava na nossa estréia em setembro de 1986 e também no comando da entrevista histórica com o piloto Ayrton Senna. Vamos rever um trechinho.
11/10/2004|Especial 18 anos Roda Viva|6|[Vídeo com entrevista de Ayrton Senna, piloto de Fórmula 1 - 1986]|Vídeo com entrevista de Ayrton Senna, piloto de Fórmula 1 - 1986]
11/10/2004|Especial 18 anos Roda Viva|7|Ayrton Senna|É, foi realmente um dia especial, olha, porque...
11/10/2004|Especial 18 anos Roda Viva|8|Rodolpho Gamberini|Você sabe o nome dessa música que estava tocando, Ayrton?
11/10/2004|Especial 18 anos Roda Viva|9|Ayrton Senna|Boys don't cry 
11/10/2004|Especial 18 anos Roda Viva|10|Rodolpho Gamberini|"Os rapazes não choram". E você está com olhos aí com lágrimas e do que você lembra disso aí?
11/10/2004|Especial 18 anos Roda Viva|11|Ayrton Senna|Olha, eu lembro, foi um dia especial, foi em Detroit, aonde, no dia anterior eu acabei fazendo a pole position, era 2h30 da tarde e entrei no box devagarzinho e tinha acabado de fazer a polieposition e um mecânico meu segurando um quadro e me dizendo Brasil 1 X França 0, que o Brasil tinha acabado de fazer o gol contra a França, né? Eu saí do carro e fui direto para o meu apartamento no hotel para assistir o jogo, né, e tinha uma conferência de imprensa que eu tinha que ir e me meteram o pau dizendo que eu não falava com a imprensa. Eu estava a fim de assistir o jogo do Brasil. E fui lá assistir o jogo do Brasil. Meu projetista é francês, os mecânicos da Renault, franceses , bom conclusão: depois do jogo eu nem fui à garagem aonde o pessoal trabalha a tarde toda preparando o carro para o dia seguinte, porque eu sabia que eles iriam me alugar, e nem apareci naquele dia, só apareci domingo cedo na pista, porque o Brasil tomou pau, né, e por uma grande felicidade a gente venceu a corrida. E o interessante que tinha muito brasileiro lá, sabe, eu notei que tinha muito brasileiro, e quando eu passei na linha de chegada, que eu diminuí, eu estava esgotado, porque foi uma corrida dura, fisicamente, eu vi um brasileiro do lado de lá da cerca, para trás do... com uma bandeirinha do Brasil, aí então foi instinto, e eu parei e fazia sinal para o cara do lado da cerca ele não podia vir e o bandeirinha do meu lado e ele não entendia nada, até que o bandeirinha olhou para mim e olhou para o cara e entendeu e o bandeirinha foi lá, tomou a bandeira do torcedor que estava pendurado na cerca, entendeu? Isso que é maravilhoso, né? O cara torcendo, e trouxe a bandeira para mim e dei a volta com a bandeira. Então foi uma volta especial, né?
11/10/2004|Especial 18 anos Roda Viva|12|[Fim do vídeo]|Fim do vídeo]
11/10/2004|Especial 18 anos Roda Viva|13|Rodolpho Gamberini|É muito gostoso, muito legal ver isso, Markun, é muito bom. Primeiro a gente se vê 18 anos mais jovem, não é verdade, Augusto? É muito gostoso. E é muito emocionante.
11/10/2004|Especial 18 anos Roda Viva|14|Paulo Markun|O Augusto acha que nós melhoramos.
11/10/2004|Especial 18 anos Roda Viva|15|Rodolpho Gamberini|Como um bom jornalista ele mente um pouco. . É muito emocionante ver isso. É muito emocionante estar aqui com os meus amigos, com os meus colegas, gente que fez este programa que é importante, né Markun? Sabe que eu lembro da primeira crítica que foi feita ao Roda Viva, eu não tenho certeza, mas eu acho que foi uma crítica feita da Folha de S. Paulo. A crítica dizia o seguinte: eu pedi demissão da TV Globo para vir fazer o Roda Viva a convite do Marcos Weinstock e Valdir Zwetsch. Vim fazer o Roda Viva, primeiro programa no ar, crítica dois dias depois, né? Porque foi de noite. A crítica dizia o seguinte: o cenário é stalinista, o Rodolpho Gamberini tem todos os vícios da TV Globo. O programa não dura seis meses.
11/10/2004|Especial 18 anos Roda Viva|16|Paulo Markun|Esta foi a primeira crítica.
11/10/2004|Especial 18 anos Roda Viva|17|Rodolpho Gamberini|É. Isso também é gostoso de ver hoje. É gostoso! Então é muito divertido estar aqui.
11/10/2004|Especial 18 anos Roda Viva|18|Paulo Markun|E pouco depois da morte do Ayrton Senna quem esteve no centro do programa foi o piloto Nélson Piquet, arqui-rival de Ayrton, naquela ocasião quem estava comandando o programa era Roseli Tardelli. E vamos rever um trechinho.
11/10/2004|Especial 18 anos Roda Viva|19|[Vídeo com entrevista de Nelson Piquet, piloto de Fórmula 1 - 1994]|Vídeo com entrevista de Nelson Piquet, piloto de Fórmula 1 - 1994]
11/10/2004|Especial 18 anos Roda Viva|20|Nelson Piquet|É uma curva que nem posso falar que é uma reta, que não é uma reta . É uma curva. Mas é uma curva que não é reta. É uma reta torta praticamente e, realmente, tiveram três acidentes nessa curva sérios: o meu, o do Berger  e do Senna. O meu e o do Berger foi já com certeza provado que foi um acidente mecânico ou falha mecânica, e do Senna tenho certeza também que foi uma falha mecânica. Só que existe muita polêmica. E isso vai existir, porque ninguém vai admitir a culpa de ter quebrado alguma coisa no carro ou estourado um pneu. Então, sem dúvida, tem que chegar à conclusão que aconteceu alguma coisa no carro. Se não for o carro, seria o Senna, mas o Senna, novo, preparo físico ótimo, nunca teve problema de saúde, então, acho muito difícil, errar ele não poderia errar ali. Ali não é uma questão de errar, acho que não tem nenhuma maneira de alguma pessoa errar aquela curva ali. Então, a única coisa que se pode pensar realmente foi uma falha mecânica que aconteceu.
11/10/2004|Especial 18 anos Roda Viva|21|Paulo Stein|Como seria interpretado, como isso é armado dentro dos contratos? Como se ele sentisse, como está declarado em alguns depoimentos que ele teria dado, que ele não estava bem para fazer aquela corrida.
11/10/2004|Especial 18 anos Roda Viva|22|Nelson Piquet|Olha, eu acho o seguinte: eu não acredito que o Senna faria uma coisa dessas, porque ele sempre foi um profissional nesse ponto, fantástico, de querer correr, de querer competir. E, em primeiro lugar, ele tinha automobilismo na vida dele. Se você, um cara mais velho que nem eu, com meus filhos e tudo e falasse: não, essa corrida eu não quero correr, tudo bem. Chegar ao ponto de falar, isso é compreensivo. Agora, ele eu não acreditaria nunca que ele falasse, ele poderia até falar: Olha, ele corria em piores condições correndo na chuva e aquelas são 10, 50 ou 100 vezes mais perigosas do que esta corrida de Imola.
11/10/2004|Especial 18 anos Roda Viva|23|[Fim do vídeo]|Fim do vídeo]
11/10/2004|Especial 18 anos Roda Viva|24|Roseli Tardelli|Boa noite, Markun. Boa noite, telespectador. Muito prazer estar aqui com vocês, foi um programa muito difícil, gente, porque o Senna tinha acabado de morrer e o Piquet era o maior crítico do Senna, e eu até achei que ele não viesse e o Gamberini também. Mas, ele veio, reverenciou tudo o que ele deveria, assim, de homenagem ao Ayrton, manteve as críticas, quer dizer, foi firme, foi transparente como ele sempre foi, foi um programa muito interessante, porque foi um programa de verdade. Nem sempre a gente consegue na televisão, e os meus colegas sabem disso, fazer programas onde as pessoas se colocam na realidade como elas são, com transparência, com honestidade e tal.
11/10/2004|Especial 18 anos Roda Viva|25|Rodolpho Gamberini|24 horas depois da morte.
11/10/2004|Especial 18 anos Roda Viva|26|Roseli Tardelli|24 horas depois de um momento de comoção, momento que o Brasil tinha muita dor, estava de luto, estava doído, perdeu a figura que foi e que é o Ayrton Senna até hoje pra gente. Quer dizer, foi um programa muito interessante. Acho que foi um programa que marcou a história do Roda Viva neste aspecto, de ser um programa transparente, do Piquet ter sido bastante honesto no ar. É difícil.
11/10/2004|Especial 18 anos Roda Viva|27|Augusto Nunes|Porque, na verdade, o enterro prosseguia...
11/10/2004|Especial 18 anos Roda Viva|28|Roseli Tardelli|Prosseguia, claro.
11/10/2004|Especial 18 anos Roda Viva|29|Augusto Nunes|Foi um dos mais longos velórios da história.
11/10/2004|Especial 18 anos Roda Viva|30|Paulo Markun|Agora, eu acho que uma coisa curiosa que a gente vê nos 920 programas do Roda Viva é que nem sempre o esporte freqüenta o programa com freqüência. O Matinas é até um dos que mais fez programas nessa área.
11/10/2004|Especial 18 anos Roda Viva|31|Matinas Suzuki|Eu fiz vários. Fizemos com Emerson , fizemos com Christian , mas eu estava lembrando agora aqui que, quando o Rubinho Barrichello  assinou para fazer a primeira temporada dele, numa semana como esta, de véspera de grande prêmio em São Paulo, a gente fez o Roda Viva. E aí era um outro clima, era toda uma esperança para cima do Rubinho, quase como uma cobrança no ar de que ele teria repetir o que o Piquet e o Senna...
11/10/2004|Especial 18 anos Roda Viva|32|Rodolpho Gamberini|Matinas, nesse programa do Senna que a gente mostrou essas cenas do Senna, apareceu o Rubinho correndo de kart 18 anos atrás. Ele estava no kart, e o Rubinho era um menino vestido de macacão e a gente perguntou para ele, pediu para ele falar com o Senna e ele disse assim: “O meu sonho um dia é andar junto com o Senna”. Aí ele parou, pensou e disse assim: “junto, na mesma pista” .
11/10/2004|Especial 18 anos Roda Viva|33|Augusto Nunes|A gente abriu o programa usando exatamente essas imagens. Estou lembrando dessa história toda aqui e acabou que a gente conseguiu, naquele período, fazer programas com vários esportistas e houve um pouco mais de esportes no Roda Viva. Eu acho que acabamos entrevistando vários esportistas importantes. O Roda Viva surgiu no momento também que havia uma enorme curiosidade pelo o que se passava no Brasil...
11/10/2004|Especial 18 anos Roda Viva|34|Matinas Suzuki|Questão política, né?
11/10/2004|Especial 18 anos Roda Viva|35|Rodolpho Gamberini|Questão política.
11/10/2004|Especial 18 anos Roda Viva|36|Matinas Suzuki|A entrevista  do  Saldanha  é memorável, talvez uma das grandes entrevistas já feitas sobre esportes no Brasil.
11/10/2004|Especial 18 anos Roda Viva|37|Paulo Markun|O Ricardo Medeiros, aliás, de Recife - Pernambuco menciona o seguinte: A minha surpresa maior assistindo o Roda Viva foi ver o Ayrton Senna chorando, e poucos homens fazem isso, e mais, é difícil você ver isso na televisão com sinceridade. Aqui, eu já vi algumas vezes, a própria prefeita Marta Suplicy, agora, no primeiro turno da campanha, chegou aqui e se emocionou no momento em que mencionou o fato da separação dela e como isso estava influenciando, mas não é o usual, pois quem senta naquela cadeira acaba adquirindo uma couraça e isso funciona melhor, ou mais eficientemente do que a emoção pura e simplesmente.
11/10/2004|Especial 18 anos Roda Viva|38|Roseli Tardelli|E deveria ser o contrário, porque é um programa que dá tempo para que a pessoa possa se despir, não é, possa ser o que ela é. Será que a gente é muito contundente?
11/10/2004|Especial 18 anos Roda Viva|39|Augusto Nunes|Eles não gostam, porque as flechadas vêm pelas costas, literalmente.
11/10/2004|Especial 18 anos Roda Viva|40|Paulo Markun|Ninguém gosta de jornalistas né, Augusto?
11/10/2004|Especial 18 anos Roda Viva|41|Augusto Nunes|Não. Esta é que é a verdade.
11/10/2004|Especial 18 anos Roda Viva|42|Paulo Markun|Agora, Rodolpho, em julho de 1990, o Rodolfo Konder era o mediador quando esteve aqui o empresário Antonio Ermírio de Moraes . Vamos rever um trechinho do programa.
11/10/2004|Especial 18 anos Roda Viva|43|[Vídeo com entrevista de Antonio Ermírio de Moraes, empresário, presidente do Grupo Votorantin - 1990]|Vídeo com entrevista de Antonio Ermírio de Moraes, empresário, presidente do Grupo Votorantin - 1990]
11/10/2004|Especial 18 anos Roda Viva|44|Antonio Ermírio de Moraes|Nestes 41 anos que eu trabalho eu assisti, de um lado, a empresa privada nacional abrindo as portas a seus departamentos, já que não existia, era muito fraca, insipiente, e de outro, a multinacional sempre olhando para o Brasil com o aspecto meio assim básico e colonizador. Na verdade, que nós poderíamos entrar em uma grande crise social e resolvemos abrir os departamentos e criar estatais, empregar gente que, no começo, naturalmente, tinha os salários muito pequenos, o salário antigamente era cinqüenta cruzeiros. Era um salário quase de fome, mas era um salário. Hoje, os salários se transformaram em grandes salários e a verdade é que o governo não tem mais a possibilidade de empregar gente. Então, o governo não emprega mais. A empresa privada nacional tem que partir com muito bom humor no sentido de perseguir produtividade, o que significa menos lucro. E a mesma coisa acontece com a multinacional. Então, eu pergunto a você o seguinte: nós temos três milhões de brasileiros que nascem todos os anos? Admita que 40% precisam de emprego. Então, são 1 milhão e 250 mil empregos por ano. Quem é que vai dar esses empregos? Então, o Brasil para não ir em uma recessão maior, eu acho que a gente devia lançar um programa realmente de maior produtividade, de maior produção, principalmente no setor agrícola. Por que o setor agrícola? Porque é o setor que responde mais rapidamente. O setor industrial demora cinco, seis, sete anos para responder, enquanto o setor agrícola em dois anos está respondendo. E é talvez uma maneira de nós evitarmos uma recessão maior. Daí eu dizer a você que é perigoso trocar a mão-de-obra nacional pela mão-de-obra estrangeira. E com uma coisa pior. Que no momento, com essa abertura de produtos importados, nós vamos favorecer exclusivamente a classe mais abastada. Quem é que vai poder comprar um vídeo-cassete, um televisor sofisticado ou até mesmo automóveis sofisticados? São classes menos abastadas? Pergunta se traz alguma melhoria para as classes menos favorecidas? Melhoria nenhuma. Não há melhoria nenhuma, pelo contrário, quer dizer, vai haver até mais choques entre aqueles que são abastados e aqueles que são menos favorecidos. Então, sob este aspecto eu tenho a impressão que nós temos que ir com muita prudência e muita cautela no sentido de não tornar o caos, que geralmente é difícil. Nós temos o caldo de cultura muito difícil no momento. E se nos próximos 10 anos nós não formos capazes de dar emprego, viveremos um conflito social dos piores que já vimos até agora.
11/10/2004|Especial 18 anos Roda Viva|45|[Fim do vídeo]|Fim do vídeo]
11/10/2004|Especial 18 anos Roda Viva|46|Rodolfo Konder|Houve época em que achava que a história caminhava para frente de maneira linear, na verdade isso não acontece. E um dos retrocessos que nós tivemos foi quando não conseguimos eleger Antonio Ermírio de Moraes governador de São Paulo. Eu acho que ali andamos para trás, lamento muito, mas eu quero acrescentar que estou de acordo com Augusto Nunes e, observando atentamente, vejo que todos nós melhoramos muito nestes últimos anos.
11/10/2004|Especial 18 anos Roda Viva|47|Paulo Markun|Pois é . E o doutor Antonio Ermírio de Moraes está lá na nossa festa ao lado da Mônica Teixeira. Mônica.
11/10/2004|Especial 18 anos Roda Viva|48|[Cena externa ao vivo]|Cena externa ao vivo]
11/10/2004|Especial 18 anos Roda Viva|49|Mônica Teixeira|Olá, Markun. De fato o doutor Antonio de Ermírio está aqui e ao lado dele o ministro do Planejamento Guido Mantega. Primeiro, o senhor, doutor Antonio Ermírio, depois vocês dois juntos, porque eu pretendo fazer uma pergunta conjunta. O senhor acabou de dizer ali no Roda Viva, em 1990, quatorze anos atrás, o senhor disse a seguinte frase: “Nos próximos 10 anos se nós não tivermos a capacidade de dar emprego, então, nós veremos um conflito social dos piores que nós já vimos até agora”. Então, o senhor falou isso em 1990 a respeito de 2000. E, o que o senhor acha, o Brasil consegui resolver esse problema que seria a origem de um conflito social?
11/10/2004|Especial 18 anos Roda Viva|50|Antonio Ermírio de Moraes|Eu acho que a gente não resolveu totalmente, mas a obrigação do empresário é continuar lutando para que um belo dia esse problema seja inteiramente resolvido. Dar emprego com competência, porque antigamente nosso emprego era dado à semi-analfabeto, hoje não existe mais isso. O empregado hoje que vai para a indústria, ele é um homem especializado, ele conhece inclusive informática, né? Mudou muito, quer dizer, isso é importante. Significa que o país vai crescer de uma maneira estonteante, e eu só queria estar neste Brasil daqui a vinte anos, vai ser um colosso esse Brasil.
11/10/2004|Especial 18 anos Roda Viva|51|Mônica Teixeira|Nestes últimos 10 anos o senhor acha que o crescimento foi dessa maneira como o senhor disse?
11/10/2004|Especial 18 anos Roda Viva|52|Antonio Ermírio Moraes|Eu acho, houve turbulência, quem não as teve? Vamos analisar a vida de todos os países europeus, da América do Norte, da China, todos eles tiveram turbulências e nós no Brasil vencemos a turbulência de maneira bastante razoável. O Brasil tem uma possibilidade imensa de ser o maior produtor agrícola do mundo. E será!
11/10/2004|Especial 18 anos Roda Viva|53|Mônica Teixeira|O senhor também disse isso na entrevista, em 1990.
11/10/2004|Especial 18 anos Roda Viva|54|Antonio Ermírio|Eu não me lembro mais .
11/10/2004|Especial 18 anos Roda Viva|55|Guido Mantega|O Brasil continua otimista, que é muito bom.
11/10/2004|Especial 18 anos Roda Viva|56|Mônica Teixeira|O senhor acredita que o crescimento econômico vai continuar, este que a gente está vivendo?
11/10/2004|Especial 18 anos Roda Viva|57|Antonio Ermírio|Eu não acredito, eu tenho certeza.
11/10/2004|Especial 18 anos Roda Viva|58|Mônica Teixeira|E a Votorantin vai investir?
11/10/2004|Especial 18 anos Roda Viva|59|Antonio Ermírio|Já está investindo, a Votorantin nunca parou de investir e investe. É verdade! Nós temos setores que crescem 9% ao ano, isso há quarenta anos vem crescendo 9% ao ano. Caso do alumínio é típico, mais 9% ao ano nos últimos quarenta anos. Então, estamos por aí, só o cimento que está devagar, mas vai chegar uma época em que ele vai voltar a crescer.
11/10/2004|Especial 18 anos Roda Viva|60|Mônica Teixeira|Ministro, e o senhor acha que outros empresários brasileiros, como o doutor Antonio Ermírio, acreditam na possibilidade de crescimento e pretendem investir?
