|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|10/09/1990|Especial Conflito no Golfo Pérsico|1|Rodolfo Konder| Boa noite, estamos começando mais um Roda Viva. Este programa é transmitido ao vivo pelas TVs Educativas de Porto Alegre, Minas Gerais, Espírito Santo e Bahia, TV Cultura de Curitiba e TV Cultura do Pará. Esta noite, o Roda Viva vai falar da crise do Golfo Pérsico. Mais uma vez o Oriente Médio atrai a atenção do mundo para a possibilidade de uma nova guerra de conseqüências imprevisíveis. Novamente o foco do conflito está no Iraque, que invadiu e anexou o Kuwait, provocando a maior movimentação militar desde a Segunda Guerra Mundial. Infelizmente, a maioria dos brasileiros ignora a gravidade da crise.
1|10/09/1990|Especial Conflito no Golfo Pérsico|2|[Vt de vários transeuntes]|
2|10/09/1990|Especial Conflito no Golfo Pérsico|3|[Repórter]| O que a senhora acha da invasão do Kuwait?
3|10/09/1990|Especial Conflito no Golfo Pérsico|4|[Entrevistada]| Ah, eu acho que é ambição.
4|10/09/1990|Especial Conflito no Golfo Pérsico|5|[Entrevistado]| Os interesses estão muito confusos, na minha opinião.
5|10/09/1990|Especial Conflito no Golfo Pérsico|6|[Repórter]| O senhor acha que os Estados Unidos têm que invadir?
6|10/09/1990|Especial Conflito no Golfo Pérsico|7|[Entrevistado]| Ah, não, isso não, o que é isso? Afinal de contas, o nosso Brasil é Brasil.
7|10/09/1990|Especial Conflito no Golfo Pérsico|8|[Entrevistado]| A luta em si, eu acho, na minha opinião, que eles estão formando para segurar o poder do petróleo. Então, quem pode lutar mais, segura mais, então, tem o envolvimento do Canadá, Estados Unidos, Alemanha, são países que não precisavam se intrometer contra o Iraque.
8|10/09/1990|Especial Conflito no Golfo Pérsico|9|[Entrevistado]| Você vê, a gente está procurando uma solução para a política internacional, né? E, agora, um louco desses quer acender o estopim de uma nova terceira guerra.
9|10/09/1990|Especial Conflito no Golfo Pérsico|10|Rodolfo Konder| Para esclarecer o que está acontecendo na região e responder às dúvidas de muita gente, a TV Cultura montou este mapa, em alto relevo, que reproduz a geografia do Oriente Médio com a atual distribuição de tropas, oleodutos e navios de guerra ali estacionados. Além disso, a TV Cultura convidou os seguintes jornalistas e especialistas: Geraldo Cavagnari Filho, diretor do Núcleo de Estudos Estratégicos da Unicamp; Roberto Godoy, chefe da sucursal de Campinas da Agência Estado e especialista em indústria bélica; Nely Caixeta, chefe da sucursal da revista Exame, em Brasília, ela já esteve duas vezes no Iraque, trabalhou lá e sobreviveu; Alberto Tamer, editor de economia do SBT e do jornal O Estado de S. Paulo, participou de todas as reuniões da Opep  entre 1973 e 1979 e acompanha a evolução do mercado mundial de petróleo, sendo ainda autor do livro Petróleo: o preço da dependência; professor Mansour Challita, escritor, jornalista e advogado, ex-ministro da Liga dos Estados Árabes no Brasil e atual presidente da Associação Cultural Gibran, no Rio de Janeiro, autor de mais de quarenta livros, entre romances, estudos e traduções da cultura árabe, inclusive o Alcorão, o livro da religião islâmica; e Vicente Adorno, editor de internacional da TV Cultura  Vamos começar o nosso debate sobre a crise no Golfo Pérsico perguntando ao Alberto Tamer. O Brasil, Tamer, estava preparado para essa crise do petróleo? Nós vamos ter falta de petróleo aqui? Os preços dos combustíveis vão aumentar em decorrência do conflito?
