|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|22/07/1994|Especial Eleições: Enéas e Lula|1|Heródoto Barbeiro| Boa noite. O Roda Viva entrevista hoje mais dois candidatos à Presidência da República: o doutor Enéas Carneiro, do Prona , e Luís Inácio Lula da Silva, da coligação liderada pelo PT . Nós estamos completando, assim, a série especial do Roda Viva que entrevista todos os candidatos à presidência da República do Brasil. No centro do Roda Viva que começa agora está o candidato Enéas Carneiro, do Partido de Reedificação da Ordem Nacional. Nascido em Rio Branco, estado do Acre, Enéas Carneiro só foi registrado nove anos mais tarde, em Belém do Pará. Órfão de pai desde os nove anos, sempre trabalhou para ajudar a família. Aos 19 anos, mudou-se para o Rio de Janeiro em busca do sonho de formar-se em medicina. Ingressou então na Escola de Saúde do Exército, onde se graduou terceiro sargento auxiliar de anestesia, em 1959. Formou-se em medicina em 1965 e tem mestrado em cardiologia pela Universidade Federal do Rio de Janeiro. É formado também em física e matemática. Sua estréia na política foi em 1989, quando fundou o Partido de Reedificação da Ordem Nacional e lançou-se candidato à Presidência da República. Com apenas 15 segundos no horário gratuito de televisão em 1989, tornou-se célebre com a frase “Meu nome é Enéas” e obteve mais de 360 mil votos, conquistando o 12º lugar nas eleições daquele ano. De volta à política, novamente como candidato à Presidência, Enéas Carneiro disporá agora de mais de um minuto no horário gratuito da televisão. Para entrevistar o nosso candidato de hoje, o doutor Enéas Carneiro, está aqui o jornalista Fernando Mitre, diretor-executivo do Jornal da Tarde; o jornalista Josemar Gimenez, chefe da redação da sucursal paulista do jornal O Globo; Clóvis Rossi, que é repórter e colunista da Folha de S. Paulo; o José Paulo Kupfer, editor-chefe da sucursal paulista do jornal Zero Hora; Rui Xavier, coordenador de política do jornal O Estado de S. Paulo; e o jornalista Ibsen Spartacus, chefe de reportagem do Jornal do Brasil, também sucursal de São Paulo. O Roda Viva é retransmitido por 23 emissoras de televisão de todo o país. E você pode participar desse programa pelo telefone (011) 252-6525. A Shizuka, a Cristina e a Ana estão anotando as suas perguntas; se você preferir o nosso fax, é o (011) 874-3454. Doutor Enéas, boa noite!
1|22/07/1994|Especial Eleições: Enéas e Lula|2|Enéas Carneiro| Boa noite!
2|22/07/1994|Especial Eleições: Enéas e Lula|3|Heródoto Barbeiro| Doutor Enéas, a nossa primeira pergunta a todos os candidatos à Presidência da República do Brasil. O senhor obviamente tem acompanhado, aí, a evolução das pesquisas eleitorais. E, em alguns estados, o senhor está até empatado tecnicamente com outros candidatos que são políticos profissionais. Em função disso, qual é a estratégia do senhor daqui para a frente, em busca de uma passagem para o segundo turno e para a eleição para presidente da República do Brasil?
3|22/07/1994|Especial Eleições: Enéas e Lula|4|Enéas Carneiro| Muito obrigado ao senhor e a todos os senhores pela presença e aos telespectadores. A única estratégia que eu me permito usar é falar através dos meios de comunicação. Eu não creio que, para ser atingido um universo como o da população brasileira, de cerca de 150 milhões de pessoas, possa existir uma outra estratégia. Exatamente isso.
4|22/07/1994|Especial Eleições: Enéas e Lula|5|Heródoto Barbeiro| Doutor Enéas, o senhor vai continuar usando o bordão “Meu nome é Enéas”, que eu acabei de ler aqui no perfil do senhor?
5|22/07/1994|Especial Eleições: Enéas e Lula|6|Enéas Carneiro| Ainda não defini isso, uma vez que, para dizer essa expressão - que é o meu nome, mesmo -, eu levo cerca de dois segundos. Eu, quando tinha 15 segundos, gastava dois. Se usar de novo, gastarei dois dentro de um minuto, que será um tempo bem menor do que o total.
6|22/07/1994|Especial Eleições: Enéas e Lula|7|Heródoto Barbeiro| Josemar Gimenez.
7|22/07/1994|Especial Eleições: Enéas e Lula|8|Fernando Mitre| O senhor enfatiza muito... desculpe.
8|22/07/1994|Especial Eleições: Enéas e Lula|9|Heródoto Barbeiro| Josemar, por favor.
9|22/07/1994|Especial Eleições: Enéas e Lula|10|Enéas Carneiro| Ah, vira assim não é? 
