DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
25/12/1989|Fernando Sabino|1|Programa gravado, portanto, sem a participação de telespectadores.|rograma gravado, portanto, sem a participação de telespectadores.
25/12/1989|Fernando Sabino|2|Jorge Escosteguy|Boa noite, estamos começando mais um Roda Viva. O convidado do Roda Viva desta noite é o escritor Fernando Sabino. Para entrevistar Fernando Sabino esta noite, nós convidamos os seguintes jornalistas e escritores: Ricardo Soares, jornalista da TV Cultura; Sérgio Pinto de Almeida, editor da revista Guia Itália 90; Ruy Castro, escritor e jornalista; Mário Viana, editor assistente da revista Veja São Paulo; Marcos Faerman, repórter especial do Jornal da Tarde e editor-chefe da revista Crises; Osmar Freitas, editor da revista Ícaro; Caio Fernando Abreu, escritor e jornalista da revista AZ e Cláudia Boyago, repórter da Rádio Nova Eldorado AM. Na platéia assistem ao programa convidados da produção. O escritor Fernando Sabino é mineiro de Juiz de Fora e tem 66 anos. Seu livro mais conhecido, O encontro marcado, representa um marco na literatura brasileira por se tratar do primeiro romance moderno urbano escrito na década de 50, e é um sucesso de vendas até hoje. Fernando Sabino escreveu ainda vários livros, como O grande mentecapto, O homem nu, e o último foi o livro de memórias de viagem, chamado De cabeça para baixo. Boa noite, Fernando Sabino.
25/12/1989|Fernando Sabino|3|Fernando Sabino|Boa noite. Antes de mais nada, eu queria fazer um reparo.
25/12/1989|Fernando Sabino|4|Jorge Escosteguy|Faça-o.
25/12/1989|Fernando Sabino|5|Fernando Sabino|Quem é mineiro de Juiz de Fora é o Fernando Gabeira , não sou eu não.
25/12/1989|Fernando Sabino|6|Jorge Escosteguy|Você é mineiro de onde?
25/12/1989|Fernando Sabino|7|Fernando Sabino|Eu sou mineiro de Belo Horizonte. Tem o Affonso Romano  também, que é de Juiz de Fora.
25/12/1989|Fernando Sabino|8|Jorge Escosteguy|Está feito o reparo e a correção.
25/12/1989|Fernando Sabino|9|Fernando Sabino|Rubem Fonseca  também.
25/12/1989|Fernando Sabino|10|Jorge Escosteguy|Está feito o reparo e a correção.
25/12/1989|Fernando Sabino|11|Fernando Sabino|Não, eu preferia ser de Diamantina, sabe? Mas infelizmente sou de Belo Horizonte.
25/12/1989|Fernando Sabino|12|Jorge Escosteguy|Você está trancado de novo escrevendo um novo livro, um novo romance?
25/12/1989|Fernando Sabino|13|Fernando Sabino|Não, eu estou pensando em me trancar para ver se consigo escrever um novo livro. É uma coisa um pouco diferente.
25/12/1989|Fernando Sabino|14|Jorge Escosteguy|Está dependendo do quê?
25/12/1989|Fernando Sabino|15|Fernando Sabino|Dependendo de vencer essa preguiça, que é um bloqueio, e, segundo, você sabe, a gente escrever assim sobre uma coisa que você não sabe é como você pretender ir dormir para sonhar alguma coisa que você não sabe o que é. Então dá até um pouco de azar falar nisso, sabe? Porque você pensa que vai sonhar com a Marilyn Monroe e sonha com o Frankenstein , não é?
25/12/1989|Fernando Sabino|16|Jorge Escosteguy|Você precisa se isolar para escrever? O isolamento, para você, é uma coisa fundamental?
25/12/1989|Fernando Sabino|17|Fernando Sabino|Tudo conspira contra escrever. Vencer a distância que separa você da máquina de escrever é o mais difícil. Como dizia Sinclair Lewis , se botar naquela postura de quem vai escrever. Escrever, segundo Sinclair Lewis, é a arte de sentar a bunda na cadeira.  Há esse problema do bloqueio, da distância que te separa. Depois que começa é fácil. Aliás como tudo na vida, não é?
25/12/1989|Fernando Sabino|18|Jorge Escosteguy|Eu estou aqui com o livro, vou fazer o merchandising do Ruy Castro, que lançou recentemente uma antologia, O melhor do mau humor, com várias frases, e há frases aqui sobre literatura, e tem uma do Samuel Johnson , que diz: “ninguém, a não ser um idiota, escreve a não ser por dinheiro”. Você escreve por dinheiro, você ganhou muito dinheiro escrevendo, por ser escritor famoso?
25/12/1989|Fernando Sabino|19|Fernando Sabino|Não, se eu tivesse ganho muito dinheiro para escrever, eu não escreveria por dinheiro, eu já teria dinheiro. Mas eu escrevo por dinheiro sim.
25/12/1989|Fernando Sabino|20|Jorge Escosteguy|Ruy. Ah, por favor, Osmar, desculpe.
25/12/1989|Fernando Sabino|21|Osmar Freitas|Por falar em dinheiro, já dá para viver de direitos autorias?
25/12/1989|Fernando Sabino|22|Fernando Sabino|Dava, até a inflação me comer pela perna. Hoje eu estou igualzinho o Brasil, eu estou gastando mais do que arrecado.
