|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|30/01/2006|Fritjof Capra|1|[Programa gravado não permitindo a participação de telespectadores]|
1|30/01/2006|Fritjof Capra|2|Paulo Markun| Boa noite. Ele alerta que a sobrevivência da humanidade nas próximas décadas vai depender da alfabetização ecológica, vai depender do conhecimento e do entendimento sobre como a natureza organizou a sustentabilidade da vida. Nós vamos entrevistar esta noite o físico, ambientalista e escritor Fritjof Capra, austríaco, para quem o Brasil não precisa se submeter à globalização porque tem muitas riquezas e produz o suficiente para o seu próprio sustento.
2|30/01/2006|Fritjof Capra|3|[Comentarista]| Doutor em física pela Universidade de Viena, Fritjof Capra tornou-se conhecido no mundo e no Brasil nos anos 70 e 80 a partir de dois best-sellers: O tao da física, livro onde estabeleceu paralelos entre a física moderna e o misticismo oriental e O ponto de mutação, onde propôs uma nova visão de mundo para superar a crise da sociedade moderna. Nos últimos anos, Capra concentrou seu trabalho nas questões ecológicas e tornou-se um ativo ambientalista. Já veio várias vezes ao Brasil para seminários e cursos sobre desenvolvimento sustentável, energias alternativas e alfabetização ecológica. É um dos fundadores do Centro de Eco-Alfabetização de Berkeley, na Califórnia, onde promove a divulgação do pensamento ecológico na rede escolar americana. Em seu último livro, As conexões ocultas, Capra afirma que tudo na natureza está interligado e que os ecossistemas representam teias de alimentos, rede de organismos. Fritjof Capra coloca que conhecer e reconhecer essas redes deverá se tornar qualificação indispensável para todo tipo de profissional, especialmente empresários e políticos.
3|30/01/2006|Fritjof Capra|4|Paulo Markun| Para entrevistar o físico Fritjof Capra, nós convidamos: Ulisses Capozzoli, presidente da Associação Brasileira de Jornalismo Científico; Flávio Dieguez, jornalista especializado em assuntos científicos e diretor da Agência Brasil de Notícias; Miriam Duailibi, coordenadora da ONG Instituto Ecoar para a Cidadania, especialista em educação para sustentabilidade; Darlene Menconi, editora de ciência, tecnologia e meio ambiente da revista Isto É; Marcos Sorrentino, diretor de Educação Ambiental do Ministério do Meio Ambiente; Edgard de Assis Carvalho, professor do Departamento de Antropologia da PUC; Marcelo Knobel, professor do Instituto de Física e coordenador do Núcleo de Desenvolvimento da Criatividade da Unicamp. Também temos a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. Boa noite, Fritjof.
4|30/01/2006|Fritjof Capra|5|Fritjof Capra| Boa noite.
5|30/01/2006|Fritjof Capra|6|Paulo Markun| Há 30 anos, quando o senhor escreveu o primeiro livro que tornou o seu nome mundialmente conhecido, O tao da física, segundo o senhor próprio relata, aquela idéia de que tudo está interligado - se é que eu estou simplificando bem a coisa - surgiu numa praia dos Estados Unidos, onde o senhor tinha um visual muito agradável. Eu estava ontem em uma praia do litoral de Santa Catarina, no sul do Brasil, e não tive insight nenhum, não tive idéia nenhuma, mas vi um carrinho de vendedor de água de coco, carrinho feito de plástico, que vendia água de coco em um recipiente de plástico e finalmente entregava para o consumidor um canudo, para se beber a água de coco, de plástico. Uma prova, imagino, de que essa questão da conscientização ambiental não é tão fácil e que, talvez, o fato simples das coisas todas se interligarem não seja suficiente para que o mundo tome consciência de que é preciso preservar a natureza. E eu pergunto: como o senhor acha que isso vai ser obtido a curto prazo, porque a verdade é que os problemas estão crescendo vertiginosamente.
6|30/01/2006|Fritjof Capra|7|Fritjof Capra| Antes de responder, eu quero dizer em português que é um grande prazer para mim estar neste programa. Sinto muito que o meu português não é suficiente para discutir idéias com vocês em seu idioma, então vou ter que falar em inglês.
7|30/01/2006|Fritjof Capra|8|Paulo Markun| Nenhum problema, nós cuidaremos das necessárias legendas.
8|30/01/2006|Fritjof Capra|9|Fritjof Capra| Considero muito boa essa história com que iniciou o programa. Além de estar relacionada a mim pessoalmente, quando comecei essa jornada, ele também mostra que ecologia não é fácil. Dizer que tudo está interligado não basta. É preciso saber mais. O que chamo de alfabetização ecológica é a compreensão dos princípios básicos da ecologia para entender como a natureza preservou a vida durante bilhões de anos, como as coisas estão interligadas. Pensar em termos de redes, em termos de ciclos, pensar de onde vem a energia, refletir sobre o papel da biodiversidade e assim por diante. Isso é conhecimento sofisticado também do ponto de vista científico, portanto, estimulante para o intelecto. Quando obtemos esse conhecimento, existe um outro problema, como traduzir isso em política, em estilos de vida. Porque ao aprendermos coisas dos ecossistemas, não podemos aprender política, democracia, cultura. Estas são questões do reino humano. Vai custar muito trabalho traduzir conhecimento ecológico em política e comportamento humano.
9|30/01/2006|Fritjof Capra|10|Paulo Markun| Agora, voltando a esse exemplo do vendedor de água de coco, a sensação que eu tenho também é que toda a sofisticação intelectual dos ambientalistas e todos os argumentos que são muito consistentes dificilmente ultrapassam um limite muito claro das pessoas que é a necessidade da sobrevivência. Esse vendedor de água de coco, eu tenho certeza, não tem condição tecnológica de fazer algo diferente. Ele não tem educação formal, ele não tem emprego formal, e a maneira de vender água de coco ali, até do ponto de vista higiênico, é melhor do que a média do que acontece nas praias brasileiras, e imagino, em muitos lugares. Como que se resolve isso?
