DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
05/08/2002|Gabriel Chalita|1|Paulo Markun|Boa noite. Ele administra uma estrutura que cuida do destino de seis milhões de brasileiros, algo assim como o estado de Pernambuco ou como muito país no nosso mundo. Ele também pretende capacitar, valorizar e incentivar o professor, mas também quer que o professor cobre mais a si mesmo como educador, porque acha que os alunos precisam ser seduzidos para a educação. Para discutir essas idéias e esse desafio, o Roda Viva entrevista esta noite Gabriel Chalita, o jovem secretário da Educação do estado de São Paulo.
05/08/2002|Gabriel Chalita|2|[Comentarista]|Tudo na vida do paulista Gabriel Isaac Chalita começou muito cedo. Aos 15 anos de idade ele já era professor; aos 19, vereador e presidente da Câmara Municipal da cidade natal Cachoeira Paulista. Formado em direito e filosofia, fez mestrados em direito e ciências sociais e doutorados em direito, comunicação e semiótica. Aos 33 anos de idade, já publicou mais de trinta livros, a maioria na área de direito, filosofia e educação. Entusiasmado com a profissão de ensinar e ainda dando aulas, ele quer valorizar e capacitar melhor os professores da rede estadual de ensino público em São Paulo. Há quatro meses na Secretaria Estadual da Educação, ele era secretário da Juventude do governador Geraldo Alckmin desde o ano passado . Gabriel Chalita comanda uma das maiores estruturas da administração pública paulista. A Secretaria da Educação de São Paulo tem 320 mil funcionários - sendo que duzentos mil são professores -, seis mil escolas e seis milhões de alunos, um orçamento anual de 7,5 bilhões de reais, quase o orçamento do estado de Pernambuco. Nessa estrutura toda, se não falta tamanho, também não faltam problemas. Ao assumir o cargo em maio último, o novo secretário anunciou prioridade ao combate à violência nas escolas, anunciou programas de capacitação e motivação de professores e defendeu a Progressão Continuada como melhor forma de ensino hoje no mundo. Implantada em 1998, a Progressão Continuada, que é a aprovação automática de alunos no ensino fundamental, criou polêmica, chegou a ser acusada de permitir a aprovação de alunos que aprendiam pouco ou quase nada. O secretário diz que o sistema é mal interpretado, precisa ser aperfeiçoado e ter o apoio do professor, que é a figura central desse processo. O professor precisa ter suas necessidades atendidas e precisa também mudar a forma de lidar com os jovens, motivar e seduzir os alunos para a educação. A escola pública, na visão de Gabriel Chalita, não deve ser mais a escola que só passa informação, ela precisa ser formadora de cidadania, ensinar mais valores sociais aos alunos e dar a eles uma visão mais crítica do mundo.
05/08/2002|Gabriel Chalita|3|Paulo Markun|Para entrevistar o secretário da Educação nós convidamos José Maria dos Santos, editor-executivo do Jornal da Tarde; Mário Volpi, oficial de projetos do Fundo das Nações Unidas para a Infância, Unicef-Brasil; Âmbar de Barros, vice-presidente da Andi, Agência de Notícia dos Direitos da Infância; Gabriela Athias, repórter especializada na cobertura de políticas públicas e investigação na área social, com foco na infância e na educação; José Cerchi Fusari, professor e pesquisador da Faculdade de Educação da Universidade de São Paulo - USP; e Gilberto Nascimento, colunista do jornal Diário de São Paulo.  Boa noite, secretário.
05/08/2002|Gabriel Chalita|4|Gabriel Chalita|Boa noite.
05/08/2002|Gabriel Chalita|5|Paulo Markun|O senhor tem um mandato, se o governador Alckmin  não for reeleito, um mandato curto de secretário da Educação. Neste período curto, o que o senhor imagina que dê pra fazer? Qual seria, assim: “Tudo bem, eu vou sair da Secretaria e vou deixar isso feito”?
05/08/2002|Gabriel Chalita|6|Gabriel Chalita|Olha, eu acho que é uma série de questões que são importantes dentro desse conceito educacional de São Paulo. Talvez o mais importante seja a figura do educador. Quando a gente pensa nos números que foram apresentados agora, inclusive, no Roda Viva, o tamanho que é a rede pública do estado de São Paulo, as complexidades, as várias vocações de cada região do estado de São Paulo, a gente acaba encontrando diferentes alunos que vêm um pouco do tipo de família que tem em cada região, do tipo de problema que tem em cada região. Então, eu acho que o grande foco deve ser nessa formação do professor, não é a linha pedagógica, não é a visão educacional e nem o aspecto conceitual que determina a qualidade da sala de aula, o que determina é quem está na sala de aula, é o educador. Eu acho que o investimento que nós estamos fazendo, o investimento que esse governo está fazendo é enorme, e tudo que se investiu em termos de construção de escolas, construção de salas de aula, de equipamentos informacionais, de bibliotecas, de expansão de quadras cobertas, tudo isso é bastante importante. Agora, sem dúvida nenhuma, o que dá esse diferencial, o que forma uma rede melhor, o que transforma esses alunos, o que prepara melhor esse aluno é o papel dos educadores. Eu acho que essa é a primeira grande questão. A segunda é transformar essa escola cada vez mais numa escola cidadã, como um desafio mundial, não uma escola que passe informações apenas, que traga algum tipo de conteúdo para ser trabalhado com esse aluno, mas uma escola aberta para a comunidade em que os pais participem, em que exista uma efetiva contribuição da comunidade escolar dentro dessa fundamentação da escola. E o terceiro, que era a segurança na escola, que eu acho que é um programa que já vem dando certo, nós abaixamos muito o índice de violência escolar. Nós elegemos essas três prioridades por determinação do próprio governador para trabalhar nesse período deste ano.
05/08/2002|Gabriel Chalita|7|Paulo Markun|Nesse período do mês de junho, de julho, aliás, a Secretaria fez uma pesquisa junto aos professores. Já existe algum resultado parcial disso aí?
05/08/2002|Gabriel Chalita|8|Gabriel Chalita|Nós mandamos uma ampla pesquisa para analisar várias questões ligadas à educação: Progressão Continuada, o Saresp, os núcleos de capacitação, a questão da informática, como é que ele enxerga a rede na qual ele trabalha, e a gente está recebendo essas pesquisas de volta e tendo uma ampla participação dos professores nessas respostas, e aprendendo com isso. Eu acho que a rede que tem essa quantidade de professores... e alguns que estão na rede há vinte anos, trinta anos, merecem respeito. Então, daí a nossa grande preocupação em democratizar essas decisões frente à Secretaria.
05/08/2002|Gabriel Chalita|9|Âmbar de Barros|O senhor quer dizer com isso que o governo, que a gestão da Rose Neubauer  foi uma gestão autoritária que não ouviu os professores?
05/08/2002|Gabriel Chalita|10|Gabriel Chalita|Eu acho que cada secretário tem um perfil. A Rose é uma técnica extraordinária e trouxe grandes avanços na educação do estado de São Paulo e priorizou algumas medidas. A questão da Progressão Continuada eu acho que foi uma das grandes bandeiras que ela implementou na Secretaria - e a gente concorda plenamente com essa bandeira -, a questão da reorganização escolar...
