DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
16/05/1988|Gerald Thomas|1|Antônio Carlos Ferreira|Boa noite. Nós estamos começando o programa Roda Viva que é transmitido, simultaneamente, pela Rádio Cultura AM de São Paulo e retransmitido pelas TVs educativas do Rio Grande do Sul, de Minas Gerais, Espírito Santo, Mato Grosso do Sul, Bahia e Piauí. O entrevistado desta noite é o autor e diretor teatral Gerald Thomas. Gerald Thomas, trinta e três anos, nasceu no Rio de Janeiro, foi criado em Londres onde começou a carreira no teatro e na pintura. Trabalhou também em Nova Iorque no teatro La MaMa , dirigindo, agora, no Brasil e ainda em Nova Iorque. Gerald Thomas se tornou, em pouco tempo, e ao mesmo tempo, um dos mais aplaudidos e criticados diretores de teatro de vanguarda do país. Entre os trabalhos mais conhecidos fez Eletra com Creta  e dirigiu também  Navio fantasma  de Wagner e agora está apresentando a Trilogia Kafka . Um conjunto de três peças: Uma metamorfose, Um processo e Praga, que estão sendo encenadas, alternadamente, no teatro Ruth Escobar, aqui de São Paulo. Gerald Thomas será entrevistado esta noite por: Mario Prata, escritor, roteirista e autor de teatro; Vivien Lando, crítica e diretora de teatro; Aimar Labaki, crítico de arte da Folha de S. Paulo; Maria Amélia Rocha Lopes, jornalista do programa Metrópolis, da TV Cultura; Kleber de Almeida, editor do Caderno de Sábado do Jornal da Tarde; Mário Mazetti, diretor de teatro; Edelcio Mostaço, crítico de teatro da revista Isto É e presidente da Associação Paulista de Críticos de Arte ; Ilka Marinho Zanotto, crítica de teatro do Caderno Dois do Estado de S. Paulo. O cartunista Paulo Caruso vai fazer alguns desenhos ao longo do nosso programa, que serão mostrados durante a entrevista. Na nossa platéia estão alguns convidados da produção de Roda Viva. Este programa não está sendo feito ao vivo, ele foi gravado. Gerald Thomas, eu estou aqui com o catálogo da peça, da Trilogia Kafka e tem uma página aqui dedicada à crítica, né? O amor da crítica à você. Eu vou ler algumas críticas...
16/05/1988|Gerald Thomas|2|Gerald Thomas|Antônio. É o amor com um risco...
16/05/1988|Gerald Thomas|3|Antônio Carlos Ferreira|O amor com um risco. Eu vou mostrar aqui algumas críticas. Vivien Lando, que está aqui ao meu lado, disse o seguinte: “Viu o galo cantar e não sabe onde”; outra crítica: “Falso inglês, inventor do teatrão de vanguarda dos anos sessenta, embusteiro, impostor”. Tem uma do Mário Henrique Simonsen, economista e, de vez em quando, crítico de ópera, dizendo o seguinte do Navio fantasma: "A parte cênica é um exercício do absurdo, e qualquer um faz absurdos, eu também posso imaginar coisas exóticas. Por exemplo, passar a lua-de-mel com um badejo". Outra crítica: "É o primeiro besteirol brasileiro de luxo com texto de teatro". E mais algumas críticas, que estão aqui colocadas, como frases entreouvidas em corredores de teatro, mesas de bares etc. "É um megalomaníaco com sintomas esquizofrênicos". "É o inventor do FMI no teatro brasileiro". "Era um garoto tão precoce que virou senil aos trinta anos". E outra aqui: "Quem é essa inglesinha para vir aqui cantar de galo em nosso terreiro". Gerald, como é que você recebe essas críticas todas? O que você fez no teatro para receber essa ira toda, pelo menos, de parcela da crítica de teatro brasileira.
16/05/1988|Gerald Thomas|4|Gerald Thomas|Olha, eu recebo de tal forma que eu publico no meu próprio programa. Quer dizer, esse programa é do espetáculo, não é uma... Foi coletado pelos anos aí de trabalho. E a gente... Eu acho curioso, eu me vejo na terceira pessoa. Eu não me levo muito a sério nesse sentido de... Gerald Thomas que sai nos jornais e esse que vai ao ar na televisão é uma outra figura, não tem muita preocupação com o... Não tem muita relação com o diretor de teatro, a pessoa que está ligada, de uma forma e outra, à cultura ou à estética, enfim, à criatividade. Eu acho que é curioso exaltar de forma tão repentina e tão voraz, a xenofobia de um país como o Brasil. Que, geralmente, você vê que um país que se sente por baixo e que está, literalmente, por baixo, vai sempre exacerbar esses pseudodotes nacionalistas e xenofóbicos para tentar levantar a moral de alguma forma.
16/05/1988|Gerald Thomas|5|Antônio Carlos Ferreira|Você acha que essa crítica aqui, o fundo dela...
16/05/1988|Gerald Thomas|6|Gerald Thomas|Não, aí têm várias.
16/05/1988|Gerald Thomas|7|Antônio Carlos Ferreira|Eu sei. Dessas críticas, o que existe de fundo, seria o quê? O fato de você não ser bem brasileiro. Ter nascido aqui, mas ter feito a sua educação artística fora daqui. É isso que está por trás?
16/05/1988|Gerald Thomas|8|Gerald Thomas|Eu acho, é como eu estava dizendo, muitas coisas. Uma, obviamente, tem a ver com isso. A primeira coisa que acontece... Veja o seguinte, é óbvio, ninguém precisa ficar tecendo teses em cima disso. Mas o Brasil está em plena decadência financeira e há uma certa decadência moral que acompanha isso. Junto com isso, dentro disso, existe um teatro fragilizado pela própria mediocridade e falta de criatividade dos últimos vinte anos, vamos dizer, desde talvez o Teatro Oficina.  o poder aquisitivo vai diminuindo. Uma das primeiras coisas que “dançam”, em termos da prioridade do público é pagar, seja lá o que for. Quer dizer, esse tipo de sociedade, esse tipo de sistema financeiro vai criando um ranço rigoroso dentro dessas classes, que vão se desprivilegiando. No caso do teatro é muito difícil. Eu sei que a barra é muito pesada, e noventa e poucos porcento da classe teatral se refugia atrás desse conceito para justificar a montagem de peças fáceis, comerciais, comediazinhas, de entendimento brutal, vamos dizer...
16/05/1988|Gerald Thomas|9|Maria Amélia Rocha Lopes|Gerald, diante disso, que espaço você ocupa no teatro nacional?
16/05/1988|Gerald Thomas|10|Gerald Thomas|Mas eu não tinha acabado de falar ainda o que eu... Espera aí, deixa-me acabar de falar esse negócio.
