DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
03/12/2007|Guido Mantega|1|[programa ao vivo, permitindo a participação dos telespectadores]|programa ao vivo, permitindo a participação dos telespectadores]
03/12/2007|Guido Mantega|2|Paulo Markun|Boa noite. O mercado financeiro internacional está nervoso. A economia mundial entrou em alerta por causa da crise imobiliária americana, mas o Brasil está enfrentando bem as turbulências. Os indicadores econômicos mostram um crescimento em alta, inflação em baixa e uma entrada de investimento estrangeiro no Brasil, investimento externo que registra novo recorde. Só uma coisa está ameaçando toda essa perspectiva otimista: a derrubada da CPMF no Congresso . E é o que tem tirado o sono do ministro da Fazenda, Guido Mantega, convidado do Roda Viva desta noite. Você vê a entrevista num instante.
03/12/2007|Guido Mantega|3|[intervalo]|intervalo]
03/12/2007|Guido Mantega|4|Paulo Markun|Há mais de 15 anos atuando como assessor econômico de Luiz Inácio Lula da Silva, o economista Guido Mantega já teve muita tarefa difícil como, por exemplo, convencer empresários e investidores de que a vitória de Lula, em 2002, não representaria qualquer ameaça para a economia do país. Agora enfrenta outra tarefa difícil: convencer a oposição de que a derrubada da CPMF representa ameaça ao modelo econômico que está em vigor no país.
03/12/2007|Guido Mantega|5|[Comentarista]|A batalha é dura e se dá num ambiente político difícil. Bola da vez na onda de escândalos federais, o Senado vive, há meses, uma situação delicada criada com as acusações contra o presidente da casa, Renan Calheiros . Mais recentemente, denúncias de uso de verba pública na campanha do PSDB  de Minas Gerais, em 1998, atingiram o senador Eduardo Azeredo e o ministro das Relações Institucionais, Walfrido Mares Guia. O ministro teve de pedir demissão e deixou o presidente Lula sem coordenação política no meio das negociações da CPMF. Entre os opositores, os Democratas  querem o fim da contribuição e o PSDB quer negociar além do que o governo já acenou. No impasse, a oposição fechou questão contra. Na perspectiva de derrota, o ministro Guido Mantega ameaçou cortar investimentos, aumentar impostos e até criar novos tributos para compensar perdas. A CPMF é a principal fonte de recursos para os programas sociais do governo. Surgiu em 1993, como IPMF, Imposto Provisório sobre Movimentação Financeira, alíquota de 0,25%. O nome CPMF veio em 1996, quando a contribuição caiu para 0, 20% e, depois de algumas oscilações, se fixou em 0,38% em 2001, e permaneceu assim com validade até 31 de dezembro de 2007. Para cada mil reais que o cidadão saca no banco, ele paga 3,8  para a União. Este ano, a CPMF deve render 36,3 bilhões de reais para o governo. Ela representa 8,8% dos 411 bilhões da arrecadação federal líquida prevista para 2007. Na divisão dos recursos, 52,6% da CPMF vão para o Fundo Nacional de Saúde, 26,3% são destinados à Previdência Social e 21,1% para o Fundo de Combate à Pobreza, especialmente para o Bolsa Família. Empresários e sindicatos industriais têm se colocado contra a CPMF. Sugerem que o governo reduza gastos e a carga de impostos no país. O governo diz que já está cortando impostos e que sem a CPMF, seu programa de desenvolvimento fica comprometido. Nas contas da Fazenda, o Brasil vive uma combinação inédita de indicadores positivos. A queda dos juros aumentou o consumo, fazendo crescer a produção e os investimentos. A indústria automobilística tem o melhor desempenho dos últimos dez anos e vem puxando o setor industrial. A perspectiva energética mudou com o novo campo de petróleo na Bacia de Santos. A construção civil está em alta. A agricultura prevê agora uma safra de grãos 13% maior que a do ano passado. E o aumento do consumo de alimentos afetou pouco a previsão de inflação. No comando desse processo, Guido Mantega está no auge de sua carreira pública, iniciada em 1989, com Luiza Erundina , na prefeitura de São Paulo. Desde então, assessorou o programa econômico do PT  em várias eleições. E, com a eleição de Lula, assumiu o Ministério do Planejamento. Depois, foi dirigir o BNDES, o Banco Nacional de Desenvolvimento Econômico e Social. Assumiu o Ministério da Fazenda em março de 2006, substituindo Antônio Palocci . Guido Mantega, 58 anos, é italiano de Gênova e veio para o Brasil com dois anos de idade. Ele é formado em economia, sociologia e tem especialização em orçamento.
03/12/2007|Guido Mantega|6|Paulo Markun|Para entrevistar o ministro da Fazenda Guido Mantega, nós convidamos: Leonardo Attuch, editor de economia da revista IstoÉ Dinheiro; Luís Nassif, diretor da agência Dinheiro Vivo; Helena Celestino, editora-executiva do jornal O Globo; Pedro Cafardo, editor-executivo do jornal Valor Econômico; Sergio Malbergier, editor do caderno "Dinheiro" do jornal Folha de S.Paulo; Márcio Aith, editor-executivo da revista Veja. E também temos a participação do cartunista Paulo Caruso registrando, em seus desenhos, os principais momentos e flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil e também por meio da rádio Cultura AM. Você pode fazer sua pergunta pelo telefone (11)3677-1310 ou 3677-1311. E pode ainda utilizar a internet pelo site do programa: www.tvcultura.com.br/rodaviva e mandar o seu e-mail. Ministro, boa noite!
03/12/2007|Guido Mantega|7|Guido Mantega|Boa noite, Markun.
03/12/2007|Guido Mantega|8|Paulo Markun|Diante de tantos dados positivos, da pujança da economia favorável, não seria melhor reduzir os gastos, deixar de lado a CPMF e tocar o barco para frente?
03/12/2007|Guido Mantega|9|Guido Mantega|Não, porque a pujança da economia também depende de você fazer investimentos em infra-estrutura, que é o que estamos fazendo com recursos públicos, É você reforçar os programas sociais, porque são eles que, além de diminuir a pobreza, dão capacidade de consumo à população mais pobre. E tudo isso cria um círculo virtuoso. Eu acho que o que nós conseguimos hoje no Brasil é exatamente isso: chegamos a um círculo virtuoso. Se aumentamos os investimentos, aumenta o emprego, aumenta o crédito. O governo faz os programas sociais, faz os investimentos, não é? E os empresários...
03/12/2007|Guido Mantega|10|Paulo Markun|Tudo isso é sustentado pela CPMF?
