DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/04/2007|Hélio Bicudo|1|[Programa gravado, não permitindo a participação dos telespectadores]|Programa gravado, não permitindo a participação dos telespectadores]
30/04/2007|Hélio Bicudo|2|Paulo Markun|Boa noite. Ligado à defesa dos direitos humanos, visado pelo regime militar, ele foi responsável por uma das maiores crises na polícia de São Paulo quando denunciou o Esquadrão da Morte no início da década de 70. Conhecedor e crítico do funcionamento da Justiça, diz que o Judiciário no Brasil não se modernizou como poder, e tratou apenas de manter e ampliar seus privilégios. Na política ajudou a fundar o PT, mas deixou o partido por discordar das diretrizes do governo Lula. O Roda Viva entrevista esta noite o jurista e procurador de Justiça, Hélio Bicudo. 84 anos, e mais um livro, dessa vez de memórias, o jurista Hélio Bicudo relata sua experiência de vida não apenas como coadjuvante, mas como personagem que testemunhou fatos e participou de um período importante de transformações da vida brasileira.
30/04/2007|Hélio Bicudo|3|[Comentarista]|Hélio Pereira Bicudo é paulista da cidade de Mogi das Cruzes e formou-se em direito na Faculdade de Direito da USP, aos 22 anos. O livro Minhas memórias, lançado em 2006, conta sua trajetória. Ele começa com uma frase do escritor colombiano Gabriel García Márquez: “A vida não é a que alguém viveu, e sim a que alguém recorda, e como a recorda para contá-la”. Hélio Bicudo foi promotor público, procurador de Justiça, jornalista e editorialista; foi também chefe da Casa Civil do governo paulista de Carvalho Pinto e chegou a ocupar interinamente a cadeira do Ministério da Fazenda do presidente João Gourlart em 1963. Como defensor dos direitos humanos, investigou as atividades do Esquadrão da Morte, em São Paulo, no período de 1969 e 70. No livro Meu depoimento sobre o Esquadrão da Morte, revelou as pressões que sofreu, e a omissão das autoridades estaduais e federais na época. Revelou ainda detalhes que levariam à prisão alguma das mais famosas autoridades policiais paulistas. Hélio Bicudo defende que crimes cometidos por policiais devem ser julgados na polícia comum e não pela justiça militar. Na década de 90, Hélio Bicudo foi eleito integrante da Comissão de Direitos Humanos da Organização dos Estados Americanos, e logo depois assumiu a presidência da Comissão Interamericana de Direitos Humanos da OEA. Na vida política, foi fundador do PT, deputado federal, e eleito vice-prefeito da cidade de São Paulo na chapa formada com Marta Suplicy. Na década de 80, chegou a afirmar que o PT era um partido de burocratas e que, se não mudasse, correria o risco de ruir como os partidos comunistas do Leste Europeu. Pouco antes da reeleição do presidente Lula, Hélio Bicudo criticou o Partido dos Trabalhadores e se disse decepcionado com o governo petista. Bicudo é autor de vários livros de direito que prefere classificar como livros técnicos. Ele é casado há 60 anos com Déia Bicudo, tem sete filhos e 14 netos.
30/04/2007|Hélio Bicudo|4|Paulo Markun|Para entrevistar o jurista Hélio Bicudo, convidamos Hugo Studart, diretor da sucursal de Brasília da revista Isto É; Percival de Souza, jornalista, escritor e comentarista da Rede Record de Televisão; Renato Lombardi, jornalista da TV Cultura; Lílian Christofoletti, repórter do Caderno Brasil do Folha de S. Paulo; Carlos Marchi, repórter e analista de política do jornal O Estado de S.Paulo, e Gilberto Nascimento, repórter do jornal Correio Brasiliense em São Paulo. E temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Boa noite, doutor Bicudo.
30/04/2007|Hélio Bicudo|5|Hélio Bicudo|Boa noite, Paulo.
30/04/2007|Hélio Bicudo|6|Paulo Markun|Quando o senhor iniciou a sua atividade pública mais visível, justamente na questão do Esquadrão da Morte, o Ministério Público era uma instituição muito mais fraca que hoje em dia, com muito menos poderes.
30/04/2007|Hélio Bicudo|7|Hélio Bicudo|Sem dúvida.
30/04/2007|Hélio Bicudo|8|Paulo Markun|No entanto a sensação que eu tenho é de que o Ministério Público de hoje não consegue mas fazer muito mais do que o senhor fez em relação ao Esquadrão da Morte, dada a realidade do Brasil ser cada vez mais complicada. O senhor acha que algum dia, essa equação vai se resolver, o Ministério Público vai ter força suficiente para ser um poder influente na sociedade brasileira?
30/04/2007|Hélio Bicudo|9|Hélio Bicudo|Eu acho que vai depender muito das pessoas que participam da instituição, e daqueles que comandam a instituição. Hoje, por uma série de fatores, a instituição não tem um comando unificado, existem muitos setores que digladiam com outros setores dentro do Ministério Público, e evidentemente, isso enfraquece a instituição como um todo. Quando eu fui designado para as investigações do Esquadrão da Morte, o que não foi feito de uma maneira unânime pelo Conselho Superior do Ministério Público, eu tive praticamente carta branca para atuar, mesmo porque o Procurador Geral da Justiça não era um homem ligado a esse tipo de problemas, ele estava sujeito naquele tempo a uma demissão ad nutum  pelo governador do estado, e ele, naturalmente, não queria se comprometer. Então, as coisas vieram como um todo para que eu assumisse a responsabilidade e atuasse em conseqüência. Essa questão de assumir responsabilidades e atuar em conseqüência era muito do agrado do secretário, por exemplo, da Segurança, e de outras pessoas do governo do estado, naquele tempo o governador era o Abreu Sodré, que estavam muito mais ligados ao sistema do que à administração de São Paulo como um estado autônomo. E evidentemente que eles esperavam que eu não fosse ter o mínimo êxito nessas investigações, aliás, isso me foi acentuado pelo secretário da Segurança de então, na presença do presidente do Tribunal de Justiça, quando ele disse: “Não, eu não vou lhe dar nenhum apoio porque o senhor não vai a lugar nenhum”.
30/04/2007|Hélio Bicudo|10|Paulo Markun|Trazendo, então, a situação para os dias de hoje, para a realidade atual, o senhor imagina que alguém, na condição de representante do povo no Ministério Público, teria condições de enfrentar e denunciar determinadas mazelas que o país tem?
