|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|15/05/1995|Herbert Vianna|1|Matinas Suzuki Jr.| Boa noite. Ele pegou a sua moto para fazer sucesso na capital. Depois, tirou os óculos, a carreira convencional de um ídolo de rock e entrou de gaiato no navio para fazer a América Latina. No palco do Roda Viva está o paraibano Herbert Lemos de Souza Vianna. Lançando um novo disco com seus velhos companheiros, Bi Ribeiro e João Barone, do Paralamas do Sucesso, ele segue abrindo mais um dos novos caminhos para a música brasileira. Para entrevistar o Herbert Vianna nós convidamos Regina Echeverria, repórter especial da revista Caras; Nando Reis, da banda Titãs; a diretora de jornalismo da MTV, Astrid Fontenelle; Marcos Augusto Gonçalves, que é editor de domingo da Folha de S. Paulo; a crítica de música e editora executiva do programa Metrópoles, da rede Cultura, Maria Amélia Rocha Lopes; Washington Olivetto, publicitário; e o repórter do Caderno Dois do jornal O Estado de S. Paulo, J.B. Medeiros. Boa noite, Herbert Vianna. Você está lançando um novo disco. O Paralamas está lançando um novo disco. Você poderia contar para nós como é o novo disco e um pouco do que ele vai ser?
1|15/05/1995|Herbert Vianna|2|Herbert Vianna| Boa noite. Boa noite para quem está assistindo. Boa noite para todo mundo que veio. Obrigado. Fiquei bastante honrado de ter essas pessoas aqui para este programa. A gente está lançando um novo disco. Eu não lembro mais qual é o número. Eu não sei mais quantos são.
2|15/05/1995|Herbert Vianna|3|Matinas Suzuki Jr.| Seriam uns 15?
3|15/05/1995|Herbert Vianna|4|Herbert Vianna| Contando com todas compilações, que saíram dentro e fora do Brasil, talvez seja alguma coisa em torno 15. E esse disco  é um disco híbrido. Ele é metade ao vivo. Na verdade, é um disco ao vivo com um disco bônus. Dois CDs na mesma caixa e nesse disco bônus tem 4 músicas novas gravadas em estúdio. A gente queria há algum tempo ter um disco ao vivo, porque o único registro que a gente tinha da banda ao vivo era de 87, quando o João Fera mal tinha entrado. Então, era basicamente o trio ainda e a gente queria retratar esse momento, as coisas que a gente tem feito com os outros músicos. Nós temos um naipe de sopros, percussão e teclados. Um pouco porque existe quase um consenso de que os Paralamas funcionam melhor no palco do que no estúdio. Então, a gente queria registrar, tivemos uma temporada muito legal no final do ano passado.
4|15/05/1995|Herbert Vianna|5|Matinas Suzuki Jr.| Você acha que vocês funcionam melhor no palco do que no estúdio? Você também tem essa avaliação, como é que é?
5|15/05/1995|Herbert Vianna|6|Herbert Vianna| Eu acho que a gente é bom no palco. Acho que no estúdio a gente já teve coisas boas, mas a gente já cometeu alguns erros também. Eu não sei, é mais frio o estúdio, é sempre uma negociação, o resultado de um disco é um mínimo múltiplo comum dessa negociação que é feita ali. E no palco não, as músicas que a gente grava, eu vejo que elas mudam muito, assim acaba virando outra coisa, porque a gente vai ao primeiro show e fala: “Hum, isso aqui não funciona”. Então, vamos subir o tom, vamos esticar essa parte, vamos não sei... Então, você vai dando uma forma orgânica para música, como a gente chama, que é ir tendo a resposta direto da platéia. Eu acho que no fundo no fundo a gente funciona melhor no palco.
6|15/05/1995|Herbert Vianna|7|Matinas Suzuki Jr.| Herbert, o disco anterior  a esse vocês lançaram com uma semana de antecedência na Argentina do que no Brasil, se eu estou correto. Vocês têm feito muito sucesso, o Paralamas tem feito muito sucesso na Argentina e muito sucesso no México, na América Latina. Vocês estão num momento que vão voltar a investir na carreira do Brasil ou vão continuar com essa estratégia de crescer pelo mundo afora?
7|15/05/1995|Herbert Vianna|8|Herbert Vianna| A gente vai tentar, ambiciosamente, fazer as duas coisas ao mesmo tempo, porque a gente sente pela quantidade de pessoas que chegam: “Pô, o que houve? Acabou a tua banda?” Eu falo: “Meu Deus, eu nunca trabalhei tanto na minha vida”. Então, alguma coisa está errada. Mas a gente viu uma oportunidade na nossa frente, que eu acredito que nenhuma banda brasileira até hoje teve essa mesma oportunidade, por uma série de fatores. Pelo tipo de música que a gente estava fazendo, ou que a gente vem fazendo, pelo momento, pelas relações de amizades que a gente tem com músicos de outros países e tal. Os padrinhos que introduziram a gente, especialmente no caso da Argentina. A coisa tomou uma proporção muito grande. Então, a gente pensou: ou a gente investe todo o nosso tempo nisso e conquista uma coisa que é difícil e que sei lá, poucas pessoas... Hoje em dia, realmente, na América Latina eu diria que Roberto Carlos é um ícone. A Xuxa é uma campeoníssima.
8|15/05/1995|Herbert Vianna|9|Marcos Augusto Gonçalves| Nelson Ned.
9|15/05/1995|Herbert Vianna|10|Herbert Vianna| É, o Nelson Ned é um caso mais específico do México.
