|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
0|29/10/2007|Hugo Acero|1|Heródoto Barbeiro| Olá, boa noite. Segurança pública não é uma questão só de polícia e justiça. Nas áreas onde a violência ocorre é preciso entrar com todas as instituições e fazer melhorias  saúde, educação, transporte e saneamento. O problema da segurança é municipal e as autoridades precisam se envolver e assumir essa responsabilidade. São idéias de um sociólogo que reverteu as estatísticas de homicídios, chacinas e seqüestros em Bogotá, capital da Colômbia, e que já foi considerada cidade símbolo da violência na América do Sul. Hugo Acero é convidado de hoje do Roda Viva. Foi coordenador de segurança e convivência de Bogotá por 9 anos  atualmente é consultor do Programa das Nações Unidas para o Desenvolvimento. A experiência de combate à criminalidade em Bogotá chamou a atenção do mundo pelo resultado obtido – queda de 80 % da criminalidade num período de menos de 10 anos– e chamou a atenção também para as idéias do colombiano Hugo Acero Velásquez, sociólogo com especialização em convivência urbana e em gestão de crises e terrorismo. Hugo Acero coordenou o programa de políticas públicas de segurança durante a gestão de três prefeitos em Bogotá, de 1995 a 2003 e se tornou referência no debate sobre a segurança urbana.
1|29/10/2007|Hugo Acero|2|[Comentarista]| A violência na Colômbia começou a crescer nos anos 1960, com o surgimento da guerrilha de esquerda das Farc – Forças Revolucionárias da Colômbia, do ELN - Exército de Libertação Nacional e, depois, dos grupos paramilitares de direita para combater os guerrilheiros. Com o fim da Guerra Fria, a luta armada perdeu a motivação política. Guerrilheiros e milicianos entraram em crescente envolvimento com o narcotráfico e o conflito civil no país se tornou cada vez mais complexo e sangrento, causando mais de duzentas mil mortes em quatro décadas. Enquanto forças federais cuidaram do combate à guerrilha, principalmente nas áreas rurais, nas grandes cidades a atenção se concentrou na ação de criminosos. O plano que Hugo Acero coordenou em Bogotá foi montado com base em informações confiáveis sobre os focos e tipos de crime em cada região da cidade. E, além da polícia e justiça, envolveu as áreas de saúde, educação e outras para atacar todos os fatores que afetavam a segurança e a qualidade de vida dos cidadãos. O plano começou com um acordo político: esquerda e direita decidiram se unir no combate ao crime e a questão da segurança foi assumida como responsabilidade do prefeito e do governador. A verba necessária veio do aumento de impostos: uma taxa obrigatória, junto com o IPTU , e outra opcional, na conta telefônica. Com mais dinheiro, a prefeitura investiu na urbanização de favelas e melhorias em bairros pobres, além de programas educacionais e sociais. O investimento na polícia aumentou cinco vezes. Mais infra-estrutura, mais inteligência, com a criação de um sistema único de informações, combate à corrupção e expulsão de policiais corruptos, aumento de salários e capacitação de novos policiais, com melhor nível de escolaridade, retomada da autoridade nas cadeias. O porte de armas foi proibido na cidade. E os bares passaram a fechar mais cedo, a uma hora da manhã. A prefeitura desenvolveu programas de melhoria da convivência urbana com mais educação, incentivo às condutas cívicas e participação da sociedade no plano. A violência no trânsito foi combatida com aplicação de multas pesadas e maior exigência de respeito aos pedestres. No final de nove anos, os resultados foram os seguintes: queda de 70% na taxa de homicídios, de 65% nas mortes em acidentes de trânsito, de 35% nos demais delitos e aumento da auto-estima dos moradores da cidade. Hugo Acero, ao se tornar referência na questão da segurança pública, tem dedicado parte de suas atividades ao debate de idéias que podem mudar o cenário em zonas de conflito e violência. Ele esteve recentemente em São Paulo, onde participou de um projeto do Itaú Cultural, um encontro de líderes de ações culturais destinadas a mudar a vida de comunidades em situação de risco ou vulnerabilidade.
2|29/10/2007|Hugo Acero|3|Heródoto Barbeiro| Para entrevistar o sociólogo Hugo Acero, nós convidamos o jornalista Percival de Souza, escritor e comentarista da TV Record; Bruno Paes Manso, repórter do Jornal O Estado de S. Paulo; Miriam Guindani, criminóloga, professora da Universidade Federal do Rio de Janeiro e diretora de projetos de extensão comunitária na área do Complexo da Maré ; o professor Oscar Vilhena, professor da Escola de Direito da Fundação Getúlio Vargas e diretor jurídico da Conectas, organização internacional de defesa dos direitos humanos; o jornalista Gilberto Dimenstein, que é colunista do jornal Folha de S. Paulo; o jornalista Renato Lombardi, jornalista da TV Cultura; Túlio Kahn, coordenador de análise e planejamento da Secretaria de Segurança Pública de São Paulo. Temos também a participação do cartunista Paulo Caruso, registrando em seus desenhos os momentos e os flagrantes do programa. O Roda Viva é transmitido em rede nacional de TV para todo o Brasil. Como o programa de hoje está sendo gravado, não podemos contar com a participação dos telespectadores.
3|29/10/2007|Hugo Acero|4|Heródoto Barbeiro| Doutor Acero, boa noite. Inicialmente, eu gostaria de perguntar ao senhor se a legalização das drogas hoje mundialmente distribuídas contribuiria para diminuir a violência, principalmente nos países onde ela se destaca cada vez mais, como Colômbia, Venezuela, Brasil e outros. O que o senhor pensa disso?
4|29/10/2007|Hugo Acero|5|Hugo Acero| Boa noite. Bem, você já começou com uma pergunta direta... Com relação às drogas, enquanto não forem legalizadas de maneira universal, é preciso continuar o combate a elas. É preciso continuar a combatê-las, não só no tráfico internacional, mas também no consumo interno. Acho que nisso os prefeitos têm um papel importante. No fim, acho que o mundo vai ter de reconhecer que estamos perdendo essa luta. Foi-se o tempo em que havia poucos milhares de usuários nos EUA, na Europa e nos nossos países. Agora isso aumentou mil vezes, assim como se multiplicaram a produção e a distribuição. No fim todos os países vão ter de discutir a possível legalização das drogas, mas essa é uma decisão que não pode ser unilateral, precisa ser uma discussão multinacional, quase no âmbito da ONU , que permita tomar decisões. Acho que foi grande demais o crescimento do consumo, da distribuição e da produção de drogas e é um problema grave. Agora, creio que é uma discussão para a qual não estamos prontos, mas é preciso começar. É necessário discutir, falar sobre as conseqüências. Saber até onde uma medida, como a legalização das drogas, pode mesmo ajudar na redução da violência. No caso colombiano acho que foi assim. Acho que a Colômbia sofreu demais com o fenômeno da produção, da distribuição e também do consumo de drogas em termos de violência e delinqüência. Acho que a legalização – que não pode ser unilateral, não pode ser de um único país, mas deve ser uma discussão internacional– acabaria beneficiando muito a Colômbia em termos de violência e redução da criminalidade. Como a droga é ilegal e é rentável, como é um instrumento de violência na Colômbia, sua legalização ajudaria, no caso colombiano, a reduzir a violência.
5|29/10/2007|Hugo Acero|6|Percival de Souza| Professor, o seu trabalho na Colômbia é visto com admiração, curiosidade. O seu trabalho coloca o tema segurança pública de uma maneira diferente, numa vitrine que todos estão observando. O senhor já esteve em vários lugares do Brasil e o seu trabalho – eu queria fazer essa pergunta ao senhor – é centrado na municipalização e em um planejamento de trabalho que, no caso da Colômbia, por exemplo, chega até o ano de 2015. Pelo que o senhor viu do nosso país, nosso Brasil, aqui, a política de segurança é estadual, ela costuma mudar de quatro em quatro anos com raras exceções. A nossa Constituição não outorga ao município essa competência de segurança pública. E esse planejamento, uma parte preventiva e outra coercitiva, também o nosso país deixa a desejar. Por isso eu pergunto: com a sua experiência lá e o que o senhor já viu aqui, no nosso Brasil, o senhor acha que a sua proposta de trabalho é um modelo para nós ou é apenas uma referência?
6|29/10/2007|Hugo Acero|7|Hugo Acero| Creio que, digamos, Bogotá e várias cidades colombianas tiveram referências internacionais na redução da violência e da delinqüência, que foram reduzidas de maneira crítica, ou seja, adaptando-se à realidade colombiana. Talvez a única situação original que tivemos em Bogotá, nesses últimos dez anos, tenha sido a cultura cidadã. É um desenvolvimento teórico bem importante que veio com a Cultura da Legalidade , promovida em Palermo por Leoluca Orlando , contribuindo para a mudança do comportamento cidadão. O resto nós aprendemos. Aprendemos com programas preventivos de outros países, inclusive do Brasil, programas policiais com outras polícias, de Nova York, de Madri, de Barcelona e da polícia chilena, no caso latino-americano. Aprendemos sobre as prisões com os Estados Unidos e outras cadeias que vêm fazendo trabalhos importantes. É um programa que vai da prevenção até a coerção, das questões de convivência às de controle de delito. Acho que – complementando a pergunta que você fez–, cada vez mais, as autoridades locais têm um papel importante. O Brasil vai ter de discutir o papel dos prefeitos na questão da segurança e dar a eles mais responsabilidade, porque são eles que, de certa forma, vivem o problema de maneira direta e o conhecem em seus municípios. Não se deve esperar para essa discussão começar. Ela vai acontecer, certamente se chegará lá. Acho necessário estabelecer um nível de coordenação mais alto.
7|29/10/2007|Hugo Acero|8|Gilberto Dimenstein| Mas você recomendaria que o controle da polícia fosse do prefeito? Porque, até onde eu consegui entender, na Colômbia a polícia é nacional. Nós não temos uma polícia nacional como vocês têm. E, em algumas cidades como Medellín e como Bogotá, a polícia nacional é controlada ou influenciada fortemente pelo prefeito. Você defenderia que, na América Latina ou, então, no Brasil, o prefeito tivesse uma força maior no policiamento? Não só em questões sociais?
8|29/10/2007|Hugo Acero|9|Hugo Acero|" Creio que é preciso avançar na questão da coordenação. Quando olho para o Brasil e para o México, vejo que há várias polícias que não se coordenam, que têm problemas de coordenação, não só a polícia, mas também o sistema judiciário e os organismos de controle, que fazem o controle de maneira específica. Há muito pouca coordenação. Nessa linha eu diria que... principalmente para os prefeitos, eles não seriam os chefes absolutos das polícias, mas haveria coordenação – e a falta dessa coordenação geraria conseqüências–. Digo isso por causa do Equador, onde os prefeitos também não têm responsabilidades políticas no trato da segurança. Embora lá, como na Colômbia, exista uma única polícia, eles não têm nenhuma autoridade para dar ordens a essa polícia. No entanto, houve progresso em duas frentes. Numa discussão que ocorreu no Congresso, o Equador determinou que prefeitos poderão colaborar com as polícias e instituições nacionais de justiça para melhorar a segurança. Também vem acontecendo uma discussão importante para ver até onde os prefeitos, no caso do Equador, podem começar a ter certa incidência sobre o trato da polícia localmente. Acontece que essas polícias locais, que vêem, por exemplo, a venda de drogas bem de perto, que a sentem e sabem que ela está acontecendo, muitas vezes dizem ""não é um problema nosso, é da polícia federal"" ou  alguma outra polícia que tem de assumir esse problema. Enquanto isso, o narcotráfico e outros problemas de violência e delinqüência crescem por causa dessa divisão. Creio que se deve buscar um nível de coordenação que permita aos prefeitos coordenar e trabalhar com todas as autoridades de segurança e justiça. Incluir todos os programas de prevenção e convivência  que eles conduzam, localmente, na organização da cidade. Sem essa coordenação, haverá uma conseqüência a enfrentar. Na Colômbia, o comandante que não trabalha com os prefeitos pode ser avaliado pelo prefeito e essa avaliação afeta a carreira do comandante. E, nesse caso, se trata de uma polícia nacional. O prefeito deve avaliar seu comandante de polícia uma vez por ano. As ordens, ele impõe por meio do comandante. O prefeito não dá ordens à polícia na rua. Ele se coordena com o comandante e é esse comandante que estabelece, digamos, as ordens e hierarquias."
9|29/10/2007|Hugo Acero|10|Oscar Vilhena| O senhor falou em vários momentos, não só hoje, aqui, no começo da sua explicação, mas também nas suas entrevistas, que o elemento fundamental de mudança foi a formação de uma cultura cidadã. E é evidente que uma cultura cidadã parte do pressuposto de um alto grau de confiança dos indivíduos nos atores estatais, em especial na polícia, que têm um contato direto com ele. Mas a corrupção e a violência talvez sejam elementos que dificultem a construção dessa cultura cidadã, dificultem a construção dessa confiança na polícia. Quais foram os passos fundamentais – eu gostaria  que o senhor me explicasse– tanto para a redução da corrupção na polícia... e para que houvesse uma polícia menos violadora de direitos na Colômbia?
