DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
15/03/2005|Hugo Chávez|1|Paulo Markun|Boa noite! Ao ser eleito, ele disse que o seu governo representaria a ressurreição de seu país e o renascimento de seu povo. Para a América Latina, ele passou a representar uma ponta de lança contra o pensamento conservador e uma nova frente em busca da integração regional. O Roda Viva se deslocou de novo a Brasília, desta vez para encontrar e entrevistar o coronel Hugo Chávez, presidente da República Bolivariana da Venezuela. Ele veio ao Brasil para a Cúpula Sul-Americana, que reúne 12 países da região.
15/03/2005|Hugo Chávez|2|Comentarista|Hugo Chávez foi eleito pelo voto popular em dezembro de 1998. Ele já havia tentado chegar ao poder em 92, através de um golpe militar que não deu certo e o levou à prisão por dois anos. Libertado, criou seu movimento Quinta República, e com o apoio de pequenos partidos de esquerda, venceu a eleição presidencial. De origem humilde, sonhava em ser jogador de beisebol, mas foi para o exército com dezoito anos e fez carreira militar. Chegou ao posto de coronel e se lançou numa ação política inspirada em Simón Bolívar, o herói da independência sul-americana, que buscava uma América Latina livre e unificada. Com um discurso popular de combate à corrupção e à pobreza, Hugo Chávez está no governo há seis anos, e sobreviveu a várias crises. Em 2002, sofreu uma tentativa de golpe militar que fracassou, depois enfrentou duas greves gerais com saques e conflitos de rua entre opositores, partidários e polícias, que deixaram dezenas de mortos e centenas de feridos. A oposição, incluindo alas militares, setores empresariais, e a classe média e alta acusou Chávez de querer impor à Venezuela um regime autoritário à moda de Fidel Castro, mesma linha de pensamento do governo dos Estados Unidos, e conseguiu convocar um plebiscito com a idéia de abreviar o mandato do presidente. O povo foi às urnas, mas disse sim a Hugo Chávez. Fortalecido e apoiado por governos do continente, especialmente Argentina e Brasil, o presidente dá seqüência à sua anunciada revolução política – reformou o Congresso, mudou a Constituição, e com o dinheiro farto, obtido com a alta do preço do petróleo, começou a investir pesado em programas sociais, que só fizeram aumentar sua popularidade e, na opinião de muitos analistas, sua chance de reeleição no ano que vem.
15/03/2005|Hugo Chávez|3|Paulo Markun|Para entrevistar o presidente venezuelano, Hugo Chávez, nós convidamos Lourival Sant'Anna, repórter especial do jornal O Estado de S. Paulo; Bob Fernandes, jornalista e escritor; Eliane Cantanhêde, colunista do jornal Folha de S. Paulo; Ricardo Amaral, repórter da agência de notícias Reuters; Fernando Morais, escritor; Luiz Carlos Azedo, repórter do jornal Correio Brasiliense; e Vicente Adorno, editor de política da TV Cultura.  Boa noite, presidente!
15/03/2005|Hugo Chávez|4|Hugo Chávez|Boa noite, Paulo!
15/03/2005|Hugo Chávez|5|Paulo Markun|É um prazer ter o senhor aqui! Eu sei que como o senhor gosta de pelear - como se diz no castelhano - de combater, o bom combate da entrevista, eu começo com uma pergunta bastante objetiva, sobre a realidade atual da...
15/03/2005|Hugo Chávez|6|Hugo Chávez|Veja bem que eu não gosto de brigar!
15/03/2005|Hugo Chávez|7|Paulo Markun|Ah, não?
15/03/2005|Hugo Chávez|8|Hugo Chávez|Não! Eu gosto da paz! 
15/03/2005|Hugo Chávez|9|Paulo Markun|Ah, mas digo na discussão de idéias . Pelo menos era o que nós tínhamos...
15/03/2005|Hugo Chávez|10|Hugo Chávez|Ah, o debate...
