DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
17/02/1992|Ives Gandra Martins|1|[programa ao vivo]|programa ao vivo]
17/02/1992|Ives Gandra Martins|2|Jorge Escosteguy|Boa noite. O brasileiro é seguramente um dos cidadãos que mais pagam impostos em todo mundo. No Brasil, há imposto para todos, de todos os tipos, para todos os gostos e para todos os orçamentos.  IPTU , IPVA , IPI , ICMS , Imposto de Renda , o que quiser. O governo, toda vez que pensa em arrumar as suas contas, pensa logo num novo imposto, ou então em aumentar o imposto que já existe. Nós vamos discutir um pouco hoje essa carga tributária sobre o brasileiro porque no centro do Roda Viva, que está começando pela TV Cultura, está o tributarista, professor de direito constitucional da Universidade Mackenzie, Ives Gandra Martins. Lembramos que este programa também é transmitido pela TV Minas Cultural e Educativa, TVA do Ceará, TV Cultura do Pará, TVE do Piauí, TVE da Bahia, TVE de Porto Alegre e TVE do Mato Grosso do Sul. Para entrevistar Ives Gandra Martins esta noite, nós convidamos Denise Campos de Toledo, comentarista de economia e apresentadora do programa Lucros e Perdas da rádio Nova Eldorado AM; Antônio Félix, editor de economia do jornal O Estado de S. Paulo; Stephen Kanitz, professor da Universidade de São Paulo; Fernando Rodrigues, editor de economia do jornal Folha de S.Paulo; Milton Abrucio, editor assistente da editoria de Brasil da revista Veja; Alberto Tamer, comentarista de economia do SBT; Raimundo Pereira, redator do jornal Brasil Agora; e Jaime Martins, jornalista da TV Cultura. Na platéia, assistem ao programa alunos do curso de telejornalismo da TV Cultura. Boa noite, professor.
17/02/1992|Ives Gandra Martins|3|Ives Gandra Martins|Boa noite.
17/02/1992|Ives Gandra Martins|4|Jorge Escosteguy|Tem alguma solução para o brasileiro pagar menos imposto?
17/02/1992|Ives Gandra Martins|5|Ives Gandra Martins|A impressão é que o problema teria que ser colocado fundamentalmente numa pressão junto ao Congresso Nacional para que se fizesse uma revisão constitucional do sistema, uma simplificação. Hoje nós temos, em nível de Constituição, talvez o sistema mais complexo de todo o mundo. Basta dizer que o brasileiro, entre impostos, taxas, contribuições especiais, contribuição de melhoria, empréstimos compulsórios tem hoje em torno de 60 e poucos tributos, e todos esses tributos entram em todos os preços e todos os serviços que o brasileiro compra. O cidadão que ganha salário mínimo, no momento em que vai comprar um quilo de feijão no supermercado, está nesse quilo recebendo o impacto de todas essas tributações anteriores. E é evidente, com isso o brasileiro hoje é um homem que está pagando em torno de 50%, se não mais, do que ganha em todos os tributos embutidos, porque a carga tributária no Brasil é de 25% do PIB , mas na formação do PIB nacional, praticamente 50% é o Estado, se não mais, e o Estado não paga tributos, o que vale dizer que a sociedade não governamental, os 90% de brasileiros que formam a sociedade não governamental suportam uma carga superior a 50% do que ganham. Trabalham os primeiros seis ou sete meses para os governos da União, dos estados, do Distrito Federal e dos municípios, e depois começam a trabalhar para si mesmo.
17/02/1992|Ives Gandra Martins|6|Jorge Escosteguy|Quer dizer que metade do ano o brasileiro trabalha para pagar imposto?
17/02/1992|Ives Gandra Martins|7|Ives Gandra Martins|Para pagar os governos, os tributos.
17/02/1992|Ives Gandra Martins|8|Jorge Escosteguy|E o imposto único, de que tanto se fala, seria uma solução?
17/02/1992|Ives Gandra Martins|9|Ives Gandra Martins|O imposto único é uma solução interessante, mas tem que ser examinada com muita cautela, por quê? Porque o imposto único é um imposto que, se for adotado, eliminará todos os demais. E se houver uma forma de se contornar o imposto único, evidentemente esse contorno do imposto único vai quebrar o Estado e o sistema financeiro. Eu vou dar um exemplo, como é que incide o imposto único? Se o senhor comprar um carro de uma concessionária, vai dar um cheque a essa concessionária, e a concessionário deu o cheque à montadora. Se o carro custou 20 milhões, é evidente que sobre esse cheque incidirá um imposto de 2%, e o carro custou 15 milhões...
17/02/1992|Ives Gandra Martins|10|Jorge Escosteguy| 2% se for fixado em 2%?
