DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
13/05/1996|Jayme Sirotsky|1|Matinas Suzuki|No centro do Roda Viva está o gaúcho Jayme Sirotsky. Natural de Passo Fundo, aos 62 anos Sirotsky assume o cargo de presidente da Associação Mundial de Jornais  no próximo dia 22, em Washington, no encerramento do 49º Congresso Mundial de Jornais. Com sede em Paris, a associação reúne cinqüenta associações de editores de 48 países, representando 15 mil jornais, 14 agências de notícias e sete organizações de jornais regionais de todo o mundo. Jayme Sirotsky é também presidente do conselho de administração do grupo RBS  que publica o jornal Zero Hora, entre outros. Com sede em Porto Alegre, a RBS atinge principalmente os estados do Rio Grande do Sul e Santa Catarina, mas se prepara para lançar nacionalmente em setembro o Rural Sat, o primeiro canal vinte e quatro horas dedicado à agricultura. Para entrevistar esta noite o Jayme Sirotsky, nós convidamos: o jornalista Alberto Dines, fundador do Laboratório de Estudos Avançados em Jornalismo  da Unicamp; o editor chefe do Jornal do Brasil, Marcelo Pontes; Eleonora de Lucena, secretária de redação da Folha de S.Paulo; Neide Duarte, repórter especial do TJ Brasil, o presidente da Federação Nacional dos Jornalistas, Américo Antunes, e Marco Antonio de Resende, diretor de redação da revista Vip e Exame da Editora Abril. O Roda Viva é transmitido em rede nacional por 150 outras emissoras de 21 estados brasileiros e está completando 10 anos. Nós estamos fazendo uma série de programas com os principais grupos de comunicação do país. Boa noite, Jayme.
13/05/1996|Jayme Sirotsky|2|Jayme Sirotsky|Boa noite, Matinas. Pode não ser importante para os telespectadores ou para ti, mas um pequeno detalhe aqui: não são 62, mas 61 até outubro.
13/05/1996|Jayme Sirotsky|3|Matinas Suzuki|Perdão. Desculpe a nossa falha.
13/05/1996|Jayme Sirotsky|4|Jayme Sirotsky|São alguns meses significativos .
13/05/1996|Jayme Sirotsky|5|Matinas Suzuki|Mas você, então, chegará ao 62 como presidente da Fiej. Você pode contar um pouco para o nosso telespectador o que é a Associação Mundial de Jornais, que atividades ela desenvolve e por que um brasileiro foi alçado à presidência desse organismo máximo das empresas jornalísticas do mundo?
13/05/1996|Jayme Sirotsky|6|Jayme Sirotsky|A Fiej nasceu no pós-guerra , em 1948, na França, como tantas organizações que se estruturaram após aquele imenso problema sofrido pela humanidade. A sede em Paris chamou-se originariamente Fédération Internationale des Éditeurs de Journaux ; até hoje, estatutariamente, ela precisa ser bilíngüe... francês e inglês. Ela se estruturou voltada prioritariamente à idéia da liberdade de imprensa, da liberdade de expressão, que estava muito evidenciada na Carta da ONU, na Declaração dos Direitos do Homem. E, depois, evidentemente, ela se voltou também para fortalecer a atividade jornalística como atividade empresarial e faz isso até hoje. Faz com extrema atenção e, também, através do seu Fórum Mundial de Editores, proporciona a troca de informações, o aprimoramento profissional de editores de jornais do mundo inteiro. Ela, ao longo desses anos, cresceu muito, consolidou-se em importância, é hoje interlocutora oficial de grandes organizações como a ONU, Unesco, os organismos da Europa. E tem, entre as suas atividades, algumas que são fascinantes dentro deste mundo que está sofrendo modificações tão expressivas, sobretudo nesses últimos anos. Uma delas, apenas para exemplificar... depois da queda do Muro de Berlim houve todo um processo de redisposição dos meios de comunicação nos Balcãs, no leste europeu e nos países da ex-União das Repúblicas Socialistas Soviéticas . Ora, esses profissionais não sabiam como se comportar dentro de um ambiente com liberdade de expressão. Todos eles eram oriundos de Estados que dominavam a mídia. A Fiej – à qual a nossa Fenaj, presidida pelo Américo Antunes, é filiada – em associação com a International Federation of Journalists fizeram, desde então, constantes seminários, cursos, aperfeiçoamentos, adestramento de jornalistas com fundos providos pelo mercado europeu e que estão resultando na melhoria de capacitação profissional de centenas e centenas de jornalistas todos os anos. Essa é uma das muitas outras atividades desenvolvidas por essa entidade que, nessa sua maturidade, está hoje com presença de setenta e tantos países, como você mencionou, representando cerca de 15 mil jornais e associações de notícias.
13/05/1996|Jayme Sirotsky|7|Matinas Suzuki|Jayme, você já é vice-presidente?
13/05/1996|Jayme Sirotsky|8|Jayme Sirotsky|Eu sou vice-presidente, a minha militância nesses organismos é antiga. A Sociedade Interamericana de Imprensa, primeiro, e na Fiej, depois, é resultado de uma constatação de que nós, que já estamos entrados nos sessenta anos, ou aqueles que tiveram como nós oportunidade de viver momentos de falta de liberdade, da ausência de liberdade... E foi o que todos nós, jornalistas brasileiros, vivemos aqui num período bastante largo. Nessas ocasiões, quais eram as entidades que socorriam os jornalistas brasileiros, os jornais brasileiros? Eram estas: a Sociedade Interamericana de Imprensa, a Fiej, o World Press Freedom Committee. E foi então que percebi o quanto seria importante auxiliar na preservação dessas entidades, porque se tem como "favas contadas" a liberdade de expressão – eu acho que é um erro.
13/05/1996|Jayme Sirotsky|9|Matinas Suzuki|Como você avalia hoje a situação internacional na questão da liberdade de expressão? Estamos avançando? A situação é melhor do que dez anos atrás?
13/05/1996|Jayme Sirotsky|10|Jayme Sirotsky|Sem dúvida, é melhor. Em vários ambientes você encontra essa melhora,  exemplo: América Latina. Há muito tempo nós não tínhamos aqui regimes democráticos vigentes na quase totalidade dos países, a única exceção hoje é Cuba. Outro exemplo que acabei de mencionar, o leste europeu. Nesses últimos anos, nasceram centenas e centenas de novos meios de comunicação, jornais, revistas, muitas emissoras de rádio, canais de televisão nessas sociedades que estão modificando a estrutura e o processo de convivência dos meios de comunicação com a sociedade.
